以下は、政治家の日本の社会保障全般の見直し（医療・介護）に対するスタンスを基にした要約です。

１．社会保障制度の変革を支持
・コロナ感染症を受け、変革すべき社会保障制度のパッケージ作成に取り組み、DX化の重要性を強調。

２．情報共有の必要性を強調
・税や社会保障の情報を拡散し、緊急事態に活用できる制度設計を求める。

３．消費税増税に対する疑問
・消費税の増税による社会保障の形が示されていないとし、財源の一般財源化が地方の自由度を制約していることを指摘。

４．実態把握の重要性を指摘
・未熟児の訪問指導や生活保護の増大について、実態を把握しないことが問題の原因と考えている。----------1. 社会保障制度の見直しに賛成
   - コロナを受けた変革の必要性を強調。社会保障制度のデジタル化の遅れを指摘。

2. 社会保障と税制の一体改革を重視
   - 増税による財源の確保だけでは不十分とし、具体的な社会保障の充実が必要であると述べる。

3. 地方自治体の自由度の拡大が重要
   - 国庫補助金の一般財源化が地方の自由度に影響を与えているとし、より柔軟な制度設計を求めている。

4. 実態把握の重要性を指摘
   - 生活保護の増大や税金・保険料滞納の問題は、実態を正しく把握していないことが原因とし、適切な調査と対応が必要と強調。----------1. 社会保障制度の見直しを支持
   - コロナ禍を契機に、社会保障制度の改革が必要だと認識。特にデジタルトランスフォーメーション（DX）の推進が急務であると強調。

2. 増税と社会保障の結びつきに疑問
   - 消費税の増税が進められる中で、具体的な社会保障の改善策が示されていないことに懸念を表明。財源の使途についても問題提起。

3. 地方自治体の自由度の制限を指摘
   - 国庫補助金などの一般財源化が進むことにより、地方自治体の財政運営の自由度が低下しているとの認識を示す。

4. 実態把握の重要性を訴え
   - 社会保障の現状や課題についての具体的な実態把握が不足していることが、問題の増大に繋がっていると考察。
