１．防衛予算の増額に強く反対
・大軍拡やスタンドオフ防衛能力の推進は日本に戦争をもたらす危険があるため、撤回すべきだと主張。

２．自衛隊の憲法の明記に反対
・自衛隊の活動が憲法九条に違反する可能性を指摘し、集団的自衛権の行使や海外派兵を批判。この憲法解釈の変更は不当だと訴え。

３．日米軍事同盟の強化に懸念
・アメリカの要求に基づく自衛隊と米軍の一体化が進むことに反対し、その背景にはアメリカの軍事戦略への組み込みがあると指摘。

４．住民とのコミュニケーション不足を問題視
・自衛隊や米軍による訓練の実態が住民に十分説明されておらず、地域社会との関係が軽視されていると批判。

５．国民の知る権利の侵害を懸念
・自衛隊および米軍への取材活動が制限される法律に強く反対し、国家の透明性を損なうことを懸念。

６．政府の安保政策の透明性不足を強調
・国家安全保障に関する法案や政策の変更に際し、十分な議論がなされていないことを問題視し、法案には懸念を表明。----------1. 防衛財源確保法案に反対
   - 大軍拡やスタンドオフ防衛能力の導入が戦争を引き起こす危険性を指摘し、これらの撤回を求めている。

2. 自衛隊と米軍の関係に懸念
   - 日米軍事協力の進展が日本の防衛政策に影響を与え、自衛隊がアメリカの戦争に巻き込まれる可能性を危惧。

3. 経済安全保障の強化に反対
   - 経済政策が国家安全保障に組み込まれることに対し、アメリカとの軍事一体化の加速を懸念している。

4. 情報の透明性と国民の知る権利を重視
   - 自衛隊及び米軍に関する情報の隠蔽や取材制限を問題視し、住民や国民の知る権利を守る必要があると主張。

5. 法制度の信頼性に疑問
   - 防衛省や自衛隊に関する不祥事や監視機関の独立性不足が問題で、適切な監視体制の必要性を訴えている。

6. 憲法九条の価値を評価
   - 憲法九条の平和主義に基づき、日本が軍事力を持つことに対して批判的で、自衛隊の海外派遣や集団的自衛権行使に反対。----------1. 防衛予算の増額に反対
   - 大軍拡に対する懸念を表明し、戦争を招く可能性があるとして推進される財源法案の撤回を強く求める。

2. 自衛隊の憲法明記に反対
   - 自衛隊の活動が憲法に抵触する可能性を指摘し、政府の集団的自衛権行使の根拠を疑問視。憲法九条の平和主義に基づく日本の立場を守るべきと主張。

3. 日米軍事同盟の強化に反対
   - 日本防衛が米国の戦争に巻き込まれる危険性を指摘し、日米の軍事的結びつきの強化が日本の自主性を損ねると懸念。

4. 地元住民の意見を無視する政府の姿勢に反対
   - 自衛隊や米軍の訓練飛行による住民への影響を問題視し、政府が住民に対して説明責任を果たすべきと主張。

5. 経済安全保障における懸念
   - 経済政策と防衛政策の融合が日本の自主性を低下させ、アメリカの戦略に組み込まれる危険があるとして反対を表明。
