議員氏名,読み方,議員氏名(本名),性別,会派(最終),選挙回次等,選挙区(最終),備考,西暦
鮎川 金次郎,あいかわ きんじろう,,男,自由民主党,第5回(昭34)、辞職(昭34.12.29),東京都,,1959
鮎川  義介,あいかわ よしすけ,,男,第十七控室,第3回(昭28)、第5回(昭34)、辞職(昭34.12.29),全国,,1953-1959
相澤  重明,あいざわ しげあき,,男,各派に属しない議員,第4回(昭31)、第6回(昭37),神奈川県,,1956-1962
相沢  武彦,あいざわ たけひこ,,男,公明党,第10回(昭49),北海道,,1974
会田  長栄,あいた ちょうえい,,男,日本社会党・護憲連合,第15回(平元),福島県,,1989
愛知  揆一,あいち きいち,,男,自由党,第2回(昭25)、辞職(昭30.1.30),全国,,1950
愛知  治郎,あいち じろう,,男,自由民主党・国民の声,"第19回(平13),第21回(平19),第23回(平25)",宮城県,,2001-2007-2013
相原 久美子,あいはら くみこ,,女,立憲民主党・民友会・希望の会,第21回(平19)、第23回(平25),比例代表,,2007-2013
青井  政美,あおい まさみ,,男,自由民主党・自由国民会議,第10回(昭49),愛媛県,,1974
青木  一男,あおき かずお,,男,自由民主党,第3回(昭28)、第5回(昭34)、第7回(昭40)、第9回(昭46),全国,,1953-1959-1965-1971
青木   茂,あおき しげる,,男,サラリーマン新党・参議院の会,第13回(昭58),比例代表,,1983
青木  薪次,あおき しんじ,,男,社会民主党・護憲連合,第10回(昭49)、第12回(昭55)、第14回(昭61)、第16回(平4),静岡県,,1974-1980-1986-1992
青木  幹雄,あおき みきお,,男,自由民主党,第14回(昭61)、第16回(平4)、第18回(平10)、第20回(平16)、,島根県,,1986-1992-1998-2004
青島  幸男,あおしま ゆきお,,男,二院クラブ,第8回(昭43)、第10回(昭49)、第12回(昭55)、第14回(昭61)、辞職(平元.6.2)、第16回(平4)、退職[公選90](平7.3.23),比例代表,,1968-1974-1980-1986-1992
青田 源太郎,あおた げんたろう,,男,自由民主党,第5回(昭34)、第7回(昭40),兵庫県,,1959-1965
青柳  秀夫,あおやぎ ひでお,,男,自由民主党,第3回(昭28)、第5回(昭34)、第7回(昭40),愛知県,,1953-1959-1965
青山  正一,あおやま しょういち,,男,自由民主党,第1回(昭22)、第3回(昭28),全国,,1947-1953
赤石  清美,あかいし きよみ,,男,自由民主党,第22回(平22),比例代表,,2010
赤木  正雄,あかぎ まさお,,男,緑風会,第1回(昭22)[3年任期]、第2回(昭25),兵庫県,,1947-1950
赤桐   操,あかぎり みさお,,男,社会民主党・護憲連合,第10回(昭49)、第12回(昭55)、第14回(昭61)、第16回(平4),千葉県,副議長(第21代),1974-1980-1986-1992
赤澤  與仁,あかざわ よじん,,男,緑風会,第1回(昭22),徳島県,,1947
茜ヶ久保重光,あかねがくぼ しげみつ,,男,日本社会党,第9回(昭46)、第11回(昭52),群馬県,,1971-1977
赤間  文三,あかま ぶんぞう,,男,自由民主党,第5回(昭34)、第7回(昭40)、第9回(昭46)、逝去(昭48.5.2),大阪府,,1959-1965-1971
赤松  常子,あかまつ つねこ,,女,民主社会党,第1回(昭22)、第3回(昭28)、第5回(昭34),全国,,1947-1953-1959
秋元   司,あきもと つかさ,,男,自由民主党,第20回(平16),比例代表,,2004
穐山   篤,あきやま あつし,,男,日本社会党・護憲連合,第11回(昭52)、第13回(昭58)、第15回(平元),比例代表,,1977-1983-1989
秋山 俊一郎,あきやま しゅんいちろう,,男,自由民主党,第2回(昭25)、第4回(昭31),長崎県,,1950-1956
秋山  長造,あきやま ちょうぞう,,男,日本社会党・護憲連合,第3回(昭28)、第5回(昭34)、退職[公選90](昭39.10.18)、第5回(昭34)補欠(昭39.12.9)、第7回(昭40)、第9回(昭46)、第11回(昭52)、第13回(昭58),岡山県,副議長(第15、16代),1953-1959-1959-1965-1971-1977-1983
秋山   肇,あきやま はじめ,,男,自由民主党,第14回(昭61),比例代表,,1986
阿具根  登,あぐね のぼる,,男,各派に属しない議員,第3回(昭28)、第5回(昭34)、第8回(昭43)、第10回(昭49)、第12回(昭55),全国,副議長(第17代),1953-1959-1968-1974-1980
淺井  一郎,あさい いちろう,,男,国民民主党,第1回(昭22)[3年任期],千葉県,,1947
浅井   亨,あさい とおる,,男,公明党,第6回(昭37)、第8回(昭43),兵庫県,,1962-1968
淺岡  信夫,あさおか のぶお,,男,自由党,第1回(昭22)[3年任期],全国,,1947
浅野  勝人,あさの かつひと,,男,自由民主党,第20回(平16)、,愛知県,,2004
浅野   拡,あさの ひろむ,,男,自由民主党・自由国民会議,第11回(昭52)、逝去(昭56.5.15),岐阜県,,1977
朝日  俊弘,あさひ としひろ,,男,民主党・新緑風会,第17回(平7)、第19回(平13),比例代表,,1995-2001
芦尾  長司,あしお ちょうじ,,男,自由民主党,第16回(平4)補欠(平8.11.17),兵庫県,,1992
足鹿   覺,あしか かく,,男,日本社会党,第8回(昭43),鳥取県,,1968
東    隆,あずま たかし,,男,民主社会党,第2回(昭25)、第4回(昭31),北海道,,1950-1956
阿曽田  清,あそだ きよし,,男,自由党,第17回(平7)、辞職(平12.3.17),熊本県,,1995
阿竹 齋次郎,あたけ さいじろう,,男,緑風会,第1回(昭22)[3年任期],三重県,,1947
足立  信也,あだち しんや,,男,国民民主党・新緑風会,第20回(平16)、第22回(平22)、第24回(平28),大分県,,2004-2010-2016
安達  良助,あだち りょうすけ,,男,国民民主党,第1回(昭22)[3年任期],全国,,1947
足立  良平,あだち りょうへい,,男,民主党・新緑風会,第15回(平元)、第17回(平7),比例代表,,1989-1995
阿南  一成,あなん いっせい,,男,自由民主党,第18回(平10),比例代表,,1998
安孫子 藤吉,あびこ とうきち,,男,自由民主党・自由国民会議,第10回(昭49)、第12回(昭55),山形県,,1974-1980
安部 キミ子,あべ きみこ,,女,日本社会党,第3回(昭28),山口県,,1953
安部  清美,あべ きよみ,,男,自由民主党,第4回(昭31),福岡県,,1956
阿部  憲一,あべ けんいち,,男,公明党,第8回(昭43)、第10回(昭49),東京都,,1968-1974
阿部  幸代,あべ さちよ,,女,日本共産党,第17回(平7),埼玉県,,1995
阿部  竹松,あべ たけまつ,,男,日本社会党,第4回(昭31)、第6回(昭37),全国,,1956-1962
阿部  正俊,あべ まさとし,,男,自由民主党,第17回(平7)、第19回(平13),山形県,,1995-2001
天田  勝正,あまだ かつまさ,,男,民主社会党,第1回(昭22)[3年任期]、第3回(昭28)、第5回(昭34)、逝去(昭40.2.27),埼玉県,,1947-1953-1959
天埜  良吉,あまの りょうきち,,男,自由民主党,第5回(昭34),全国,,1959
雨森  常夫,あめもり つねお,,男,自由民主党,第3回(昭28),全国,,1953
荒井  正吾,あらい しょうご,,男,自由民主党,第19回(平13)、辞職(平19.3.9),奈良県,,2001
荒井  八郎,あらい はちろう,,男,民主自由党,第1回(昭22)、逝去(昭25.1.11),全国,,1947
荒井  広幸,あらい ひろゆき,,男,新党改革・無所属の会,第20回(平16)、第22回(平22),比例代表,,2004-2010
荒木  清寛,あらき きよひろ,,男,公明党,第16回(平4)、第18回(平10)、第20回(平16)、第22回(平22),比例代表,,1992-1998-2004-2010
荒木 正三郎,あらき しょうざぶろう,,男,日本社会党,第2回(昭25)、第4回(昭31),全国,,1950-1956
有田  一寿,ありた かずひさ,,男,参議院クラブ,第10回(昭49),福岡県,,1974
有田  芳生,ありた よしふ,,男,立憲民主・社民,第22回(平22)、第24回(平28),比例代表,,2010-2016
有馬  朗人,ありま あきと,,男,自由民主党,第18回(平10),比例代表,,1998
有馬  英二,ありま えいじ,,男,自由民主党,第1回(昭22)補欠(昭25.6.4)、第3回(昭28),北海道,,1947-1953
粟森   喬,あわもり たかし,,男,新緑風会,第15回(平元),石川県,,1989
アントニオ  猪木,あんとにお いのき,猪木  寛至,男,国民民主党・新緑風会,第15回(平元)、第23回(平25),比例代表,,1989-2013
案納   勝,あんのう まさる,,男,日本社会党,第10回(昭49),全国,,1974
安部   定,あんべ さだむ,,男,緑風会,第1回(昭22)[3年任期],全国,,1947
飯島 連次郎,いいじま れんじろう,,男,緑風会,第2回(昭25),群馬県,,1950
飯田 精太郎,いいだ せいたろう,,男,緑風会,第1回(昭22)[3年任期],全国,,1947
飯田  忠雄,いいだ ただお,,男,公明党・国民会議,第13回(昭58),比例代表,,1983
伊江  朝雄,いえ ともお,,男,自由民主党,第11回(昭52)、第13回(昭58)、第15回(平元),比例代表,,1977-1983-1989
家西   悟,いえにし さとる,,男,民主党・新緑風会,第20回(平16),比例代表,,2004
猪飼  清六,いかい せいろく,,男,緑風会,第1回(昭22)[3年任期]、辞職(昭22.7.2),滋賀県,,1947
井川  伊平,いかわ いへい,,男,自由民主党,第5回(昭34)、第7回(昭40),北海道,,1959-1965
池口  修次,いけぐち しゅうじ,,男,民主党・新緑風会,第19回(平13)、第21回(平19),比例代表,,2001-2007
池田宇右衞門,いけだ うえもん,,男,自由民主党,第1回(昭22)[3年任期]補欠(昭23.2.5)、第2回(昭25),長野県,,1947-1950
池田   治,いけだ おさむ,,男,緑風会,第15回(平元),愛媛県,,1989
池田  幹幸,いけだ かんこう,,男,日本共産党,第18回(平10),比例代表,,1998
池田七郎兵衞,いけだ しちろうべえ,,男,各派に属しない議員,第1回(昭22),福井県,,1947
池田  恒雄,いけだ つねお,,男,労働者農民党,第1回(昭22)[3年任期],茨城県,,1947
諫山   博,いさやま ひろし,,男,日本共産党,第14回(昭61),比例代表,,1986
石井  一二,いしい いちじ,,男,二院クラブ・自由連合,第13回(昭58)、第15回(平元)、第17回(平7),兵庫県,,1983-1989-1995
石井   桂,いしい けい,,男,自由民主党,第3回(昭28)、第6回(昭37),東京都,,1953-1962
石井   一,いしい はじめ,,男,民主党・新緑風会,第21回(平19),比例代表,,2007
石井  道子,いしい みちこ,,女,自由民主党・保守党,第13回(昭58)繰上(昭59.9.4)、第15回(平元)、第17回(平7),比例代表,,1983-1989-1995
石井 みどり,いしい みどり,,女,自由民主党・国民の声,第21回(平19)、第23回(平25),比例代表,,2007-2013
石上  俊雄,いしがみ としお,,男,国民民主党・新緑風会,第23回(平25),比例代表,,2013
石川  榮一,いしかわ えいいち,,男,自由民主党,第2回(昭25),全国,,1950
石川  一衞,いしかわ かずえ,,男,国民民主党,第1回(昭22)[3年任期],埼玉県,,1947
石川  準吉,いしかわ じゅんきち,,男,国民民主党,第1回(昭22)[3年任期],秋田県,,1947
石川  清一,いしかわ せいいち,,男,無所属クラブ,第2回(昭25),全国,,1950
石川   弘,いしかわ ひろし,,男,自由民主党,第15回(平元)、辞職(平6.3.4)、第17回(平7)、逝去(平11.8.2),比例代表,,1989-1995
石黒  忠篤,いしぐろ ただあつ,,男,参議院同志会,第2回(昭25)補欠(昭27.5.6)、第4回(昭31)、逝去(昭35.3.10),静岡県,,1950-1956
石坂  豊一,いしさか とよかず,,男,自由民主党,第1回(昭22)、第3回(昭28),富山県,,1947-1953
石田  次男,いしだ つぎお,,男,公明党,第5回(昭34),全国,,1959
石田  美栄,いしだ みえ,,女,民主党・新緑風会,第17回(平7),岡山県,,1995
石谷  憲男,いしたに のりお,,男,自由民主党,第5回(昭34),全国,,1959
石破  二朗,いしば じろう,,男,自由民主党・自由国民会議,第10回(昭49)、第12回(昭55)、逝去(昭56.9.16),鳥取県,,1974-1980
石原 幹市郎,いしはら かんいちろう,,男,自由民主党,第1回(昭22)補欠(昭24.12.24)、第3回(昭28)、第5回(昭34)、第7回(昭40),福島県,,1947-1953-1959-1965
石原 健太郎,いしはら けんたろう,,男,各派に属しない議員,第13回(昭58)補欠(昭63.9.4)、第15回(平元)、辞職(平5.6.21),福島県,,1983-1989
石原 慎太郎,いしはら しんたろう,,男,自由民主党,第8回(昭43)、辞職(昭47.11.14),全国,,1968
石村  幸作,いしむら こうさく,,男,自由民主党,第2回(昭25),神奈川県,,1950
石本   茂,いしもと しげる,,女,自由民主党,第7回(昭40)[3年任期]、第9回(昭46)、第11回(昭52)、第13回(昭58),比例代表,,1965-1971-1977-1983
石渡  清元,いしわた きよはる,,男,自由民主党・保守党,第15回(平元)、第17回(平7),神奈川県,,1989-1995
和泉   覚,いずみ さとる,,男,公明党,第6回(昭37),東京都,,1962
泉   信也,いずみ しんや,,男,自由民主党,第16回(平4)、第18回(平10)、第20回(平16),比例代表,,1992-1998-2004
和泉  照雄,いずみ てるお,,男,公明党・国民会議,第11回(昭52),全国,,1977
泉山  三六,いずみやま さんろく,,男,自由民主党,第2回(昭25)、第4回(昭31),全国,,1950-1956
岩動  道行,いするぎ みちゆき,,男,自由民主党,第7回(昭40)補欠(昭43.6.9)、第9回(昭46)、第11回(昭52)、第13回(昭58)、逝去(昭62.1.25),岩手県,,1965-1971-1977-1983
礒崎  陽輔,いそざき ようすけ,,男,自由民主党・国民の声,第21回(平19)、第23回(平25),大分県,,2007-2013
磯村   修,いそむら おさむ,,男,新緑風会,第15回(平元),山梨県,,1989
板垣   正,いたがき ただし,,男,自由民主党,第12回(昭55)、第14回(昭61)、第16回(平4),比例代表,,1980-1986-1992
板野  勝次,いたの かつじ,,男,日本共産党,第1回(昭22)[3年任期],岡山県,,1947
板谷  順助,いたや じゅんすけ,,男,民主自由党,第1回(昭22)、逝去(昭24.12.20),北海道,,1947
一井  淳治,いちい じゅんじ,,男,民主党・新緑風会,第14回(昭61)、第16回(平4),岡山県,,1986-1992
市川  一朗,いちかわ いちろう,,男,自由民主党,第17回(平7)、退職[公選90](平9.10.9)、第18回(平10)、第20回(平16),宮城県,,1995-1998-2004
市川  正一,いちかわ しょういち,,男,日本共産党,第11回(昭52)、第13回(昭58)、第15回(平元),比例代表,,1977-1983-1989
市川  房枝,いちかわ ふさえ,,女,第二院クラブ,第3回(昭28)、第5回(昭34)、第7回(昭40)、第10回(昭49)、第12回(昭55)、逝去(昭56.2.11),全国,,1953-1959-1965-1974-1980
一川  保夫,いちかわ やすお,,男,民主党・新緑風会,第21回(平19),石川県,,2007
市來  乙彦,いちき おとひこ,,男,緑風会,第1回(昭22)[3年任期],全国,,1947
市田  忠義,いちだ ただよし,,男,日本共産党,第18回(平10)、第20回(平16)、第22回(平22)、第24回(平28),比例代表,,1998-2004-2010-2016
伊藤  郁男,いとう いくお,,男,民社党・国民連合,第12回(昭55),全国,,1980
伊藤   修,いとう おさむ,,男,日本社会党(第二控室)〔右〕,第1回(昭22),岐阜県,,1947
伊藤  顕道,いとう けんどう,,男,日本社会党,第4回(昭31)、第6回(昭37),群馬県,,1956-1962
伊藤  五郎,いとう ごろう,,男,自由民主党,第7回(昭40)、第9回(昭46),山形県,,1965-1971
伊東  隆治,いとう たかはる,,男,国民民主党,第1回(昭22)[3年任期],全国,,1947
翫   正敏,いとう まさとし,,男,各派に属しない議員,第15回(平元),比例代表,,1989
伊藤  基隆,いとう もとたか,,男,民主党・新緑風会,第17回(平7)、第19回(平13),比例代表,,1995-2001
伊藤  保平,いとう やすへい,,男,緑風会,第1回(昭22),兵庫県,,1947
糸数  慶子,いとかず けいこ,,女,沖縄の風,第20回(平16)、退職[公選90](平18.11.2)、第21回(平19)、第23回(平25),沖縄県,,2004-2007-2013
糸久 八重子,いとひさ やえこ,,女,日本社会党・護憲民主連合,第13回(昭58)、第15回(平元),千葉県,,1983-1989
糸山 英太郎,いとやま えいたろう,,男,自由民主党・自由国民会議,第10回(昭49),全国,,1974
稲浦  鹿藏,いなうら しかぞう,,男,自由民主党,第4回(昭31)、第6回(昭37),全国,,1956-1962
稻垣 平太郎,いながき へいたろう,,男,民主クラブ,第1回(昭22),全国,,1947
稲葉  誠一,いなば せいいち,,男,日本社会党,第6回(昭37),栃木県,,1962
稲嶺  一郎,いなみね いちろう,,男,自由民主党・自由国民会議,沖縄国政参加[昭46までの任期](昭45.11.15)、第9回(昭46)、第11回(昭52),沖縄県,,1971-1977
稲村  稔夫,いなむら としお,,男,日本社会党・護憲民主連合,第13回(昭58)、第15回(平元),新潟県,,1983-1989
乾   晴美,いぬい はるみ,,女,新緑風会,第15回(平元),徳島県,,1989
犬塚  直史,いぬづか ただし,,男,民主党・新緑風会,第20回(平16),長崎県,,2004
井野  碩哉,いの ひろや,,男,自由民主党,第3回(昭28)、第5回(昭34)、第7回(昭40),三重県,,1953-1959-1965
伊能 繁次郎,いのう しげじろう,,男,自由民主党,第2回(昭25)補欠(昭29.1.20)、第4回(昭31)、辞職(昭35.10.27),千葉県,,1950-1956
井上  吉夫,いのうえ きちお,,男,自由民主党・保守新党,第10回(昭49)、第12回(昭55)、第14回(昭61)、第16回(平4)、第18回(平10)、逝去(平15.10.24),鹿児島県,,1974-1980-1986-1992-1998
井上   計,いのうえ けい,,男,平成会,第11回(昭52)、第13回(昭58)、第15回(平元),愛知県,,1977-1983-1989
井上  章平,いのうえ しょうへい,,男,自由民主党,第15回(平元),比例代表,,1989
井上  清一,いのうえ せいいち,,男,自由民主党,第3回(昭28)、第5回(昭34),京都府,,1953-1959
井上   孝,いのうえ たかし,,男,自由民主党,第12回(昭55)、第14回(昭61)、第16回(平4),比例代表,,1980-1986-1992
井上  哲夫,いのうえ てつお,,男,新緑風会,第15回(平元),三重県,,1989
井上  知治,いのうえ ともはる,,男,自由民主党,第3回(昭28),鹿児島県,,1953
井上 なつゑ,いのうえ なつゑ,,女,緑風会,第1回(昭22),全国,,1947
井上  美代,いのうえ みよ,,女,日本共産党,第18回(平10),東京都,,1998
井上   裕,いのうえ ゆたか,,男,各派に属しない議員,第12回(昭55)、第14回(昭61)、第16回(平4)、第18回(平10)、辞職(平14.5.8),千葉県,議長(第23、24代),1980-1986-1992-1998
猪熊  重二,いのくま じゅうじ,,男,公明,第14回(昭61)、第16回(平4),比例代表,,1986-1992
井原   巧,いはら たくみ,,男,自民,第23回(平25),愛媛県,,2013
伊部   真,いべ まこと,,男,日本社会党,第9回(昭46)、逝去(昭48.10.9),全国,,1971
今井   澄,いまい きよし,,男,民主党・新緑風会,第16回(平4)、第18回(平10)、逝去(平14.9.1),比例代表,,1992-1998
今泉   昭,いまいずみ あきら,,男,各会派に属しない議員,第17回(平7)、第19回(平13),千葉県,副議長(第26代),1995-2001
今泉  正二,いまいずみ しょうじ,,男,自由民主党,第9回(昭46),全国,,1971
