,Topic,Count,Name,Representation,Representative_Docs
0,-1,1559,-1_経済_法_御_ダイジン,"['経済', '法', '御', 'ダイジン', '大臣', '性', '国民', 'コクミン', 'ホー', 'ホウ']","['では仮に法案が成立しなかったらどうなるのかという指摘がありましたけれどもそれについては今回は経済安全保障目的で基金をつくっていますから法案が成立しなかったら法案が成立しない前提でそれはしっかりと運用していくんだと思います', '必ずしもそういう意味でこの法案におきまして経済安全保障の定義を要するものではないと考えております', '法案による制度創設の際にも安全保障の確保と自由な経済活動との両立を図ることが重要であると考えております']"
1,0,652,0_ダイジン_大臣_御_省,"['ダイジン', '大臣', '御', '省', '本当', '経済', 'トキ', '庁', '性', 'アメリカ']","['ですからそのときの防衛大臣がどういう考えで今回出動されたのかということが極めて大事ではないかと思います', '後で細かいことは質問をさせていただきたいと思うんですけれども例えば日本有事の際の防衛体制日米ガイドラインの見直しさらには国内法になりますけれども周辺事態法の見直しそういうことまで含めて必要であるならば日米同盟を深化させるという観点からきちっとした議論をしていく必要があるのではないか私はそのように思うんですが外務大臣の御見解を伺いたいと思います', 'それを申し上げた上で今この経済安全保障という法案をお作りいただいて担当の大臣も置いていただいて極めて進んでいると私は思います']"
2,1,206,1_経済_コクサイ_国際_環境,"['経済', 'コクサイ', '国際', '環境', '性', 'ケイザイ', 'ケーザイ', '社会', 'シャカイ', '技術']","['この中で我が国として経済安全保障を確保していくためには我が国の経済構造の自律性を向上させてまた我が国の技術などの他国に対する優位性ひいては国際社会にとっての不可欠性をしっかりと獲得していくことこうしたことに向けた取組をしっかりと推進しながら同志国との協力を拡大しそして深めていかなければならないと考えています', 'こうした中で国際情勢の複雑化あるいは経済社会構造の変化こうしたことを踏まえて外交防衛はもとより経済上の措置を講じることによって幅広い課題に対処する必要性が増してきていると考えているんです', 'その上でスピードが速く広がりのある変化にしっかりと対応していくためには経済構造の自律性をしっかりと確保していくことまた技術などの他国に対する優位性そしてそれを更に磨いて国際社会にとっての不可欠性にしていくことそしてある意味脆弱性を解消して強みを磨いていくことによって国際社会における立ち位置を強化し普遍的な価値やルールに基づく国際秩序の維持強化この三つの目標をしっかりと推進していくことが重要であると考えておりましてそのための経済的な施策を総合的かつ効果的また時間軸を意識しながら推進していくことが現在取り組んでいる経済安全保障の中心にある考え方だと考えております']"
3,2,173,2_憲法_ケンポウ_ケンポー_条,"['憲法', 'ケンポウ', 'ケンポー', '条', '党', '自民', 'ジミン', '項', 'ハンイ', '範囲']","['それが本当にそうだとすれば憲法九条は集団的自衛権も認めていないわけです', '憲法九条について自民党が直ちにフルスペックの集団的自衛権の実現を目指して改正しようとしていると懸念する声もあるようですが自民党が示している条文イメージたたき台素案は憲法九条一項及び二項の解釈を変えることなく徹底した平和主義を維持することが前提となっています', '先ほどもありましたとおりきのうの答弁で総理は自民党の憲法改正草案に触れて七割の憲法学者が自衛隊に憲法違反の疑いを持っている状況をなくすべきであるという考え方もあって九条二項を改正し自衛権や自衛のための組織を明記したというふうに自民党の憲法改正草案を評されました']"
4,3,127,3_法_バアイ_場合_第,"['法', 'バアイ', '場合', '第', 'ダイ', '武器', 'ブキ', '他国', '条', 'ジタイ']","['私が「ＰＫＯの協力法では二十四条の六項で自衛隊法九十五条「武器等の防護のための武器の使用」というのはＰＫＯ業務に従事する自衛官には適用しないと明確に書かれているんですけれども今回のガイドライン関連の周辺事態安全確保法案並びに自衛隊法改正案ともにそのような条項がないということは逆に言えばこの三つの活動の際にこの自衛隊法九十五条の「武器等の防護のための武器の使用」というものも十分適用があるんだそういうように受けとめていていいのでしょうか', '現行のＰＫＯの協力法では二十四条の六項で自衛隊法九十五条「武器等の防護のための武器の使用」というのはＰＫＯ業務に従事する自衛官には適用しないと明確に書かれているんですけれども今回のガイドライン関連の周辺事態安全確保法案並びに自衛隊法改正案ともにそのような条項がないということは逆に言えばこの三つの活動の際にこの自衛隊法九十五条の「武器等の防護のための武器の使用」というものも十分適用があるんだそういうように受けとめていていいのでしょうか', '○国務大臣（小林鷹之君）この法案に基づく協議会は科学技術・イノベーション活性化法や産業技術力強化法と同様に全ての府省庁に適用される枠組みでございまして広く一般的に多義性を有する先端的な技術の研究開発につきまして例えば防衛省が自らの研究開発事業においてこの法案の第六十二条に基づく協議会を設置することですとかまた関係省庁の一つとして防衛省が他省庁の設置する協議会に参画することを制度上否定しているものではございません']"
5,4,94,4_費_財源_ザイゲン_予算,"['費', '財源', 'ザイゲン', '予算', 'ヨサン', 'エン', 'ｇｄｐ', '案', 'アン', '年度']","['これまで政府は内容の積み上げの結果として二〇二七年度において防衛力の抜本強化とそれを補完する取組を併せてそのための予算水準が現在のＧＤＰの二％に達するよう所要の措置を講ずるものとしたものというふうに説明してきていますがしかしやはり聞いていますと実態は財源議論をする前にまずは二％ありきで四十三兆円に政治決着をしたんだというふうに考えています', 'ところで今回の防衛財源確保法案では民主党政権時代に成立させた復興財源確保法案とは異なって増税や決算剰余金歳出削減による財源確保規定は盛り込んでいません', 'なおかつこの十四条の法案で確保される財源のうち確実に確保されるというものは来年度以降に回される防衛財源のうちたしか三・四兆円ぐらいだったと思っております']"
6,5,46,5_省_ショウ_ショー_事業,"['省', 'ショウ', 'ショー', '事業', '標準', '税制', 'シャ', '者', 'オキナワ', '船舶']","['事業者の安定的かつ計画的な船舶投資の確保の観点からトン数標準税制を拡充すべきとの御指摘につきましては経済安全保障の確立を初めとするさまざまな視点から総合的に検討していくべきものと考えておりますがまずは今般のトン数標準税制の拡充による日本船舶等の確保の状況等の効果を検証したいと考えております', '事業者の安定的かつ計画的な船舶投資の確保の観点からトン数標準税制を拡充すべきとの御指摘につきましては経済安全保障の確立を初めとするさまざまな視点から総合的に検討していくべきものと考えますがまずは今般のトン数標準税制の拡充による日本船舶等の確保等の状況の効果を検証したいと考えております', '事業者の安定的かつ計画的な船舶投資の確保の観点からトン数標準税制を拡充すべきとの御指摘につきましては経済安全保障の確立を初めとするさまざまな視点から総合的に検討していくべきものと考えますがまずは今般のトン数標準税制の拡充によります日本船舶等の確保の状況等の効果を検証したいと考えておるところでございます']"
7,6,32,6_省_数字_アメリカ_ミサイル,"['省', '数字', 'アメリカ', 'ミサイル', 'システム', '国防', 'ａ', 'トウキョウ', 'ミサワ', 'コース']","['一つはここのところ何カ月かの間に何発もミサイルを打ち上げられてしまったんですけれども今これがもし東京の国会のこの場所に着弾をしそうだという話になったときに今の日本の防衛システムの中でそれを排除することができるのかどうかそれが一点', 'でも首都圏の防衛であったり完全に二カ所に都合の悪いコースで飛んできたときにいかに防衛ができるのかというところの信憑性が私はどうしても感じられないといいますか今までのイージス艦のミサイルとＳＭ３ブロック２Ａがどういうふうに違うのかというところも改めて御答弁いただいてもよろしいでしょうか', '一日当たり東京で一万人大阪で五千人という数字はこれは防衛省・自衛隊自身がはじいた数字なのかそれともどこからか降ってきた例えば官邸から降ってきた数字なのかどちらなのか']"
8,7,23,7_ｉｔ_セキュリティー_食料_イデオロギー,"['ｉｔ', 'セキュリティー', '食料', 'イデオロギー', '経済', '課題', '環境', 'ネットワーク', 'ショクリョー', 'ショクリョウ']","['社会保障であるとか経済政策外交安全保障地方活性化防災対策確かにこれらの方が私も重要だと思っております', 'だから食料安全保障経済安全保障が非常に大事ということ', '次はＩＴセキュリティーの問題についてなんですけれどもサイバーテロ等に対応したＩＴネットワークのセキュリティー確保これが安全保障上大変重要な位置づけになっているこのように思います']"
9,8,14,8_タカギ_大臣_ダイジン_御,"['タカギ', '大臣', 'ダイジン', '御', 'カタガタ', '方々', 'サマ', '先頭', '再発', 'サイハツ']","['その後も発見をされた文書の発表が後を絶たないという状況でありますがこのような状況も含めてこのまさにシビリアンコントロールをしっかりと国民の皆様からも御理解をいただけるような防衛省の在り方大臣としてどのように先頭に立って対応されていくのか再発防止も含めて大臣の決意をお聞かせいただきたいと思います', '○高木副大臣ただいま委員御指摘のとおり中小企業の方々に安全保障貿易に対する認識を高めていただくことは大変重要であると認識をしております', '○高木副大臣午前中にも御指摘もいただいたんですけれどもまさに中小企業の方々にこの安全保障貿易に対する認識を高めていただくこと大変重要だと考えております']"
