Topic,Count,Name,Representation,Representative_Docs
-1,314,-1_力_リョク_ジコ_事故,"['力', 'リョク', 'ジコ', '事故', 'フクシマ', '国', 'イイン', '委員', 'ダイ', 'クニ']","['\r\n\u3000そうしますと、原子力安全委員会にもちろんすべての原因があるのではないかもしれません、しかしながら、やはりこの原子力安全委員会がそういった原子力の規制について大きな部分を担っているということで考えれば、この機にもっと原子力安全委員会を強化する必要があるのではないかと思うんですけれども、どうでしょうか', 'その点は、やはり、第一原子力発電所事故あるいは原子力爆弾が私たちの日本で悲劇的にあったというところの部分を考えれば、やはり、原子力というものに関して世界と同義的に扱うのではなくて、より日本ならではの、日本としての取組方が大切だというふうに思っております', '\r\n\u3000原子力に対する国民の信頼を得ていくためにも、まず国がきちんと国民に向かって原子力の重要性、必要性を発信していかなければならないという思いをしているところでございます']"
0,272,0_力_リョク_エネルギー_中,"['力', 'リョク', 'エネルギー', '中', 'ナカ', 'モンダイ', '問題', 'フウ', 'フー', 'ふう']","['\r\n\u3000そのためには、まず今極めて割合の少ない再生可能エネルギーを拡大していって、例えば将来それだけで全てのエネルギーが賄えるようになれば、それは化石エネルギーも要らない、原子力エネルギーも要らないということになりますけれども、そこまではとてもまだ見える状況ではありませんので、一方で再生可能エネルギーを拡大する、一方で原子力については安全性を徹底的に追求する、化石燃料についてはＣＯ２のできるだけの少ない中での効率的な利用をする、そして省エネについても徹底的にそれを進めていくと、そういう姿勢が必要ではないかと考えております', '\r\n\u3000あわせて、これから廃炉をしていくわけでありますけれども、イノベーション・コースト構想という言葉もございますけれども、廃炉の技術等もあの地域でしっかりと醸成していって、それがまた、早晩、日本の原子力発電所も、あるいは世界の原子力発電所もいつかは廃炉という時代が来るわけでもございますので、そうしたものが、福島で培った技術というものがそうしたところで生かされていくという、これはある種前向きな考えだというふうに思っていただいて結構でございますけれども、そういったことにも資する福島の地域になっていかなきゃならないと思いますし、また、新エネ構想という言葉、この間総理が出したわけでございますけれども、そうした、福島というものが新エネあるいは再エネの基地になっていくというそういうような発想、考え方、それに取り組んでいくというようなことも大事だというふうに思っておるところでございます', '\r\n\u3000あわせて、これから廃炉をしていくわけでありますけれども、イノベーション・コースト構想という言葉もございますけれども、廃炉の技術等もあの地域でしっかりと醸成していって、それがまた、早晩、日本の原子力発電所も、あるいは世界の原子力発電所もいつかは廃炉という時代が来るわけでもございますので、そうしたものが、福島で培った技術というものがそうしたところで生かされていくという、これはある種前向きな考えだというふうに思っていただいて結構でございますけれども、そういったことにも資する福島の地域になっていかなきゃならないと思いますし、また、新エネ構想という言葉、この間総理が出したわけでございますけれども、そうした、福島というものが新エネあるいは再エネの基地になっていくというそういうような発想、考え方、それに取り組んでいくというようなことも大事だというふうに思っておるところでございます']"
1,249,1_力_リョク_フクシマ_ジコ,"['力', 'リョク', 'フクシマ', 'ジコ', '事故', 'エネルギー', 'ダイ', 'ハツデン', '発電', '国']","['\r\n\u3000今回の原子力発電所事故による被災者の方々に対しては、迅速かつ適切な補償を行っていくことが必要であります', '東京電力福島第一原発事故の教訓を踏まえずに、あの事故がなかったかのような対応だ、あるいは政策だと言わなきゃいけないと思っているんです', '\r\n\u3000このため、原子力のエネルギー利用に関する基本原則として、国及び原子力事業者が安全神話に陥り、東京電力福島第一原子力発電所の事故を防止することができなかったことを真摯に反省した上で、原子力事故の発生を常に想定し、その防止に向けて最大限努力すること、エネルギーとしての原子力利用に当たっては、電気の安定供給の確保、カーボンニュートラルの実現、エネルギー供給の自律的向上に資するよう国が必要な措置を講ずる責務を有すること、安全性の確保を前提に、原子力事故の防止に万全の措置を講じ、国民からの信頼確保、立地地域の課題解決に向けた取組を推進することなどを原子力基本法に明記する改正案を提出いたしました']"
2,65,2_委員_イイン_リョク_力,"['委員', 'イイン', 'リョク', '力', '会', 'ダイジン', '大臣', 'ケン', 'ナカ', '中']","['\r\n\u3000時間が余りなくなってきたので、次に、ちょっと一つ飛ばさせていただいて、先ほど、福島第一原発と言うんじゃなくて東京電力福島第一原発と言いなさいと、もう席を外されました小熊委員が言っていましたけれども、Ｆ１と言われる東京電力福島第一原発の事故の際に、きょうも田嶋先生が言われていた国会事故調の話なんですけれども、私も黒川先生の話を直接聞いたこともございますし、敬意を表していますし、あの報告書は大変私どもにとっては参考になるものであるという認識を持っておりますけれども、原子力規制委員会としては、この国会事故調の報告書について、御活動の参考になっているのか、あるいはなっていないのか、あるいはなっているとすればいかなる点が参考になっているのかという認識を確認させていただきたく存じます', '\r\n\u3000専門性と公正性の双方が担保された形での委員会の運営である、こういうふうに思っていますし、先ほど大臣が申し上げましたように、原子力安全委員会の中にも保安院をチェックする、ダブルチェック体制もありますので、委員の御懸念には値しないというふうに思っております', '\r\n\u3000そうした中で、原子力の再稼働については、現在、原子力規制委員会の技術審査をクリアして、自治体の避難計画が策定されれば、政府が再稼働するかしないか決めるということになっておりますが、しかし、私はこれではだめだと思っております']"
3,29,3_リョク_力_事故_ジコ,"['リョク', '力', '事故', 'ジコ', '者', 'ｃｓｃ', '事業', '間違い', 'マチガイ', 'シャ']","['原子力発電所の事故は起きないことが前提です、事故が起きないのにそういう避難計画をあからさまに作るということについては慎重に対処をお願いします', '改めて副大臣に確認をさせていただきたいんですが、原発の事故の際の、万が一の事故があった場合に、有効に機能する避難計画が策定されない状態で原発を実際上は稼働することはないんだということを世耕大臣は答弁しておりますけれども、この考え方に間違いございませんでしょうか', '改めて副大臣に確認をさせていただきたいんですが、原発の事故の際の、万が一の事故があった場合に、有効に機能する避難計画が策定されない状態で原発を実際上は稼働することはないんだということを世耕大臣は答弁しておりますけれども、この考え方に間違いございませんでしょうか']"
4,18,4_震災_シンサイ_ダイ_ジコ,"['震災', 'シンサイ', 'ダイ', 'ジコ', '事故', 'ヒガシ', '東', '復旧', '大', '日本']","['まず優先すべきは、この大震災と原子力事故のまさに復旧復興あるいは収束であります', '○野田内閣総理大臣\u3000野田政権の最大かつ最優先の課題は、東日本大震災からの復旧復興と原発の事故収束、そして日本経済の再生ということを申し上げてまいりましたが、大震災の前からあるいわゆる課題、宿題、内政については少子高齢化とか財政の問題とかがあります', '\r\n\u3000野田内閣の最大かつ最優先の課題は、東日本大震災からの復旧復興、そして原発事故の収束と日本経済の再生であります']"
5,16,5_エト_第_ナカ_ダイ,"['エト', '第', 'ナカ', 'ダイ', 'フクシマ', 'ａｔｒ', '中', 'タチイリ', 'ｎｕｍｏ', '当時']","['\r\n\u3000きょうは、この議論を通じまして、このＡＴＲ実証炉建設中止が本当に原子力長期計画の中で妥当なものなのかどうか、そういう議論をして、その議論の結果、国民の皆様にこれからの原子力長期計画を考えていく上の材料を提供したい、こういう観点から質問をさせていただきたいと存じます', '\r\n\u3000たまたま六ケ所村を地元に控えていらっしゃいます江渡先生が今メモをどんどんと入れておられますけれども、私は、江渡先生とともに、やはり科学技術庁が歩いていっていただくことが日本の原子力行政推進の大きなポイントだと思っておりますし、ぜひひとつ御答弁を願いたいと思います', '特に、戦争による唯一の被爆国と言っている我が国が、そして先ほど来のいろいろな質疑の中でも、これから原子力をどうするかということの中でも、この大きなリスクということに私たちはまず向き合った上でなければ国民も地球も守れないと私は思いますので、是非、今の西村大臣の御答弁、岸田総理にお伝えいただきたく、また、二〇二二年のＧ７の外相会談で原発施設への攻撃問題が俎上に上っておりましたので、是非、国際法のルールの中でも更に強化していただきますよう、お願いを申し上げます']"
6,14,6_気持ち_キモチ_事故_ジコ,"['気持ち', 'キモチ', '事故', 'ジコ', 'ナカ', 'ジシン', '中', 'さん', 'シンサイ', '震災']","['\r\n\u3000三・一一、起きてしまったわけでありますから、今何ができるか、これから何ができるか、その教訓をどれだけ風化させずに学び取っていくことができるか、もうそれしかないという思いで今日まで来ていますけれども、私もこの原子力の委員会にいながら、何となく少し後ろめたい気持ち、やるべきことを十分やり切れていないという気持ちを常に感じながらきょうに至っておるのが正直なところでございます', '\r\n\u3000三・一一、起きてしまったわけでありますから、今何ができるか、これから何ができるか、その教訓をどれだけ風化させずに学び取っていくことができるか、もうそれしかないという思いで今日まで来ていますけれども、私もこの原子力の委員会にいながら、何となく少し後ろめたい気持ち、やるべきことを十分やり切れていないという気持ちを常に感じながらきょうに至っておるのが正直なところでございます', '○内閣総理大臣（菅直人君）\u3000私自身、今も御指摘ありましたが、こういう震災のまだ大変、復旧復興が真っただ中、原子力事故もまだ収束していない中では、多くの国民の皆さんは与野党という壁を超えて協力をしてほしいと思われていたと思いますし、私も不十分かもしれませんが、そういう気持ちで野党の皆さんにも少なくとも私なりには臨んできたつもりであります']"
7,12,7_行政_イイン_委員_ダイジン,"['行政', 'イイン', '委員', 'ダイジン', '大臣', 'サンギ', 'フタイ', '参議', 'ケツギ', '決議']","['○国務大臣（甘利明君）\u3000私、京都会議の時代から原子力が地球環境保全、ＣＯ２に関しては極めて有効だということをずっと主張してきたんですが、どうしてもその枠組みに入れてもらえませんでした', '\r\n\u3000ちなみに、原子力委員会の設置法に関する附帯決議、参議院で上がったものですが、縦割り行政を排していかないと真の安全行政はできない', '\r\n\u3000ちなみに、原子力委員会の設置法に関する附帯決議、参議院で上がったものですが、縦割り行政を排していかないと真の安全行政はできない']"
8,11,8_セキニン_責任_政策_リョク,"['セキニン', '責任', '政策', 'リョク', '力', 'コクサク', '国策', 'シャ', '事業', '者']","['\r\n\u3000原子力政策は国策として進められてきたものであり、国に大きな責任があると認識しております', 'しかし同時に、国策として原子力政策を進めてきた政府にも、ある意味、それにまさるとも劣らない同様の責任があるので、きちんと東電がそうした賠償責任を果たせるような、そういうことを考えて政府として行動したいと考えました', 'そして、原子力政策を推し進めてきた政府としての責任は、そういう賠償が適切にできるように万全を期していく、そういう大きな責任を持って対応するというふうに理解をしています']"
