Topic,Count,Name,Representation,Representative_Docs
-1,482,-1_国_クニ_ダイジン_大臣,"['国', 'クニ', 'ダイジン', '大臣', '中', 'ナカ', '環境', '御', '日米', '国務']","['○稲田国務大臣\u3000もちろん、日米同盟は我が国の防衛政策の基軸ではありますけれども、委員おっしゃるように、やはり我が国自身の戦略、我が国自身がどうやって我が国を守るのかという大きな意味での戦略というのは、しっかりと現状を見据えて、さらには、我が国を取り巻く環境のスピードに合わせて、常に検証すべきものだというふうに考えております', 'これを見ても、我が国を取り巻く安全保障環境が非常に厳しくなってきたというのはお分かりをいただけると思います', '○国務大臣（岸田文雄君）\u3000今御議論をお願いしている平和安全法制の議論の中においても申し上げさせていただいておりますが、我が国の外交安全保障の要諦、最も重視すべきものは、まずは外交を通じて我が国にとって好ましい国際環境をつくることであると考えています']"
0,101,0_憲法_法_ブリョク_武力,"['憲法', '法', 'ブリョク', '武力', '国', 'クニ', '場合', 'バアイ', 'ケンポー', 'ケンポウ']","['○岸田国務大臣\u3000まず、国際法上、集団的自衛権の行使に当たっては、武力攻撃を受けた国からの要請または同意があるということ、これは当然の前提だと思います', '○河野国務大臣\u3000情報収集活動を含め自衛隊による全ての活動は、国際法及び憲法を含む我が国の国内法令に従って行われることは当然であって、他国による武力攻撃が発生しているような状況下で、我が国がみずから武力紛争に巻き込まれるような形で行うものではないと思っております', '\r\n\u3000これは、憲法、国際法、国内法の範囲内で、専守防衛の考え方を堅持した上で、あくまで国民の命と平和な暮らしを守るために必要となるものであり、専守防衛に反する、他国に脅威を与える、武力による威嚇を禁じた憲法九条に反するといった御指摘は当たりません']"
1,100,1_省_御_ショウ_ショー,"['省', '御', 'ショウ', 'ショー', '内容', 'カンサツ', '監察', 'トー', 'オキナワ', '装備']","['\r\n\u3000しかしながら、今、陸幕長に対して事実確認、そして、陸上自衛隊における確認内容も含めて、報道された一連の内容について、公正性、正確性を期するため、防衛監察本部による特別監察を行うことを考えておりまして、一定の時間を要することは御理解をいただきたいと思います', '\r\n\u3000このような対応を行っておりますが、外務省としましては、今後とも、防衛省とも連携しながら、適切に対応していきたいと考えております', '\r\n\u3000また、本件については、国会において責任のある答弁を行うためにも、個々の断片的な調査内容等を御説明するよりも、全体の整合性を防衛監察本部による特別防衛監察によって徹底的に調査、検証した上で、正確かつ誠実にその内容を御説明することが重要である、このように考えているということでございます']"
2,95,2_国_国際_コクサイ_クニ,"['国', '国際', 'コクサイ', 'クニ', '核', '御', '中', 'ナカ', '国民', 'コクミン']","['我が国としましては、拡大抑止政策を含む安全保障政策と両立する形で段階的に核軍縮を進めるというアプローチをとっていますが、いただいた提言にあります、核兵器のない世界を目指すという目標については国際社会で広く共有していると考えております', '我が国としましては、拡大抑止政策を含む安全保障政策と両立する形で段階的に核軍縮を進めるというアプローチをとっていますが、いただいた提言にあります、核兵器のない世界を目指すという目標については国際社会で広く共有していると考えております', '\r\n\u3000複雑化する国際環境の中で、日本として国際社会の平和と安定を維持するためにどのような責任を果たしていくのか、これが我が国の外交、安全保障の中で問われていく、具体的にそうした信頼に応えるべく努力を続けていきたいと思っています']"
3,91,3_ワケ_ナカ_中_わけ,"['ワケ', 'ナカ', '中', 'わけ', '訳', 'フー', '風', 'ふう', 'フウ', '意味']","['○国務大臣（小野寺五典君）\u3000仮定の話ですので、具体的にどうするこうするという答えではないと思いますが、まず私どもとして、安全の確認その他について外務省から要請をいただく中で外務省の中でも検討されると思いますし、外務省、防衛省様々協議しながら進めることになるんだと思っております', '\r\n\u3000また、日本側からの要請を受けていないというような話もあるということでございますけれども、日本側からの説明とか要請をどの範囲で共有するかというのは、ある意味、米国政府内の問題でありまして、そこについては防衛省としてコメントする立場にはないというふうに考えております', '○国務大臣（浜田靖一君）\u3000先生、大変申し訳ないんですけれども、私とすると、軍人、今言ったように、天皇陛下というようなお言葉がありましたけれども、我々とすれば、戦後の中の体制の中でやっぱり自衛隊というのがあるわけでありますので、これがいいとは、何でしょう、言葉としては私はいいと思っていますけれども、ただ軍人勅諭云々の、今の自衛官の中にそういったものがあるというふうには私自身は思っていませんので、それだけが何か抽出されて言われるのは私としてはちょっと違和感があるので、逆に言えば、今の戦後の自衛隊としての在り方というものを考えたときには、その中にも、言葉としてはそういったものを当然当たり前のように人間としてやらなきゃいけないことも中にはあるわけですから、その部分がいいと言っているだけのことであって、軍人勅諭がいいと言っているわけではございませんので、その点も含めて考えて、これが駄目だから、要するに今連続性があって旧軍時代と同じじゃないかと言われると、そうではないんではないかなと私は思います']"
4,66,4_クニ_国_環境_日米,"['クニ', '国', '環境', '日米', '抜本', 'バッポン', '同盟', 'カンキョー', 'カンキョウ', 'コクミン']","['\r\n\u3000その上で、南西地域の防衛態勢の強化については、我が国自身の努力に加え、日米防衛協力の強化を通じて日米同盟全体の抑止力及び対処力を強化していくことが重要であり、これらの取組を通じて、国民の生命、財産と領土、領海、領空を守り抜くため、万全を期す考えであります', 'そして、我が国が、安全保障環境ますます厳しくなる中にあって、我が国の平和と安定を守るためには、まずは我が国自身の防衛力を適切に整備することが求められます', '\r\n\u3000防衛省・自衛隊としては、我が国の防衛力を抜本的に強化することにより抑止力を高め、我が国の領土、領海、領空、そして国民の生命と財産を守り抜いてまいります']"
5,18,5_食料_化_農林_水産,"['食料', '化', '農林', '水産', 'スイサン', 'エネルギー', 'コクサン', '国産', '投資', '業']","['\r\n\u3000このため、総合経済対策では、目下の為替環境によって国内立地環境がコスト面でも大きく改善しているこの機を捉えて、半導体、蓄電池、ワクチン等の攻めの国内投資の拡大による国内供給力の強化、そして海外依存度の高い小麦、大豆、飼料作物等の国産化、下水汚泥、堆肥等を活用した肥料の国産化等による食料安全保障の確保、これらを推進してまいりたいと考えております', '\r\n\u3000このため、スマート農林水産業、輸出促進、グリーン化、食料安全保障の強化、これらを四本柱として農林水産政策を大きく転換し、食料安全保障の強化と農林水産業の持続的な成長、これを推進してまいります', '\r\n\u3000御指摘の価格保障や所得補償は、一般に需給動向や品質を考慮しない生産が助長されるなどの問題があると考えており、収入保険制度等により経営の安定を図りつつ、スマート農林水産業、輸出促進、グリーン化、食料安全保障の強化を農林水産政策の四本柱として農林水産業の成長産業化を推進し、農業者の所得向上を図ってまいります']"
6,17,6_キシダ_ブンユウ_内閣_ナイカク,"['キシダ', 'ブンユウ', '内閣', 'ナイカク', '君', 'クン', 'ダイジン', '大臣', '総理', '岸田']","['○国務大臣（岸田文雄君）\u3000まず、現在のアジア太平洋地域を含め、この国際社会の安全保障等の戦略環境は大変厳しいものを感じております', '○内閣総理大臣（岸田文雄君）\u3000戦後長きにわたって日本で平和が保たれた背景には、外交努力に加えて、自衛隊と、そして日米同盟によるしっかりとした抑止力があると認識をしています', '○内閣総理大臣（岸田文雄君）\u3000戦後長きにわたって日本で平和が保たれた背景には、外交努力に加えて、自衛隊と、そして日米同盟によるしっかりとした抑止力があると認識をしています']"
7,16,7_化_課題_カダイ_ハマダ,"['化', '課題', 'カダイ', 'ハマダ', '官', 'クン', '君', 'セイイチ', 'ダイジン', '大臣']","['○国務大臣（浜田靖一君）\u3000防衛省・自衛隊の人的基盤の強化について施策の具現化を図っていくところ、自衛隊員の人材確保が厳しくなる中で、これまで以上に民間の労働市場の動向や働き方に対する意識の変化といった社会全体の動きを踏まえて検討を進める必要があると考えます', '○国務大臣（浜田靖一君）\u3000安全保障環境が急速に厳しさを増していることを踏まえれば、いざというときに自衛官とともに様々な任務に就く予備自衛官等の人材の確保や体制強化、極めて重要な課題だと認識をしております', '○国務大臣（浜田靖一君）\u3000安全保障環境が急速に厳しさを増していることを踏まえれば、いざというときに自衛官とともに様々な任務に就く予備自衛官等の人材の確保や体制強化、極めて重要な課題だと認識をしております']"
8,14,8_ミサイル_ロシア_ウクライナ_迎撃,"['ミサイル', 'ロシア', 'ウクライナ', '迎撃', 'ミサイル-missile', 'ロフテッド', '弾道', 'システム', '法', '国']","['○岸田内閣総理大臣\u3000ロシアによるウクライナ侵略について、ウクライナ軍に対する楽観的な見積りや、ロシア軍の能力向上への自信といったロシア側の要因が指摘されており、ロシアによる侵略を思いとどまらせ、抑止できなかったという意味で、ウクライナが保有していた防衛能力は少なくとも十分なものではなかったと考えております', '\r\n\u3000ウクライナが備えておくべきだった能力については、仮定の議論となってしまうため、政府として具体的にお答えすることは困難ですが、現状を申し上げれば、ウクライナは、ロシア軍に対抗するために、例えば、携行型対戦車ミサイル、ジャベリン、高機動ロケット砲システム、ＨＩＭＡＲＳなど、各国から様々な装備支援を受け、さらに、主力戦車、レオパルト２やエイブラムス、防衛ミサイルシステム、ペトリオット、こういった装備の提供を受ける予定であると承知をしております', '○国務大臣（稲田朋美君）\u3000ロフテッド軌道を含め、弾道ミサイル攻撃に対する迎撃可能性については、飛来する弾道ミサイルの性能、発射地点、着弾場所等の様々な要因によって変化するものであることから一概にお答えすることは困難ですが、現行の迎撃ミサイルであるＳＭ３ブロックⅠＡ、ＰＡＣ３の個別具体的な性能についても我が国の手のうちを明かすことになるのでお答えは差し控えさせていただいておりますが、その上で、弾道ミサイル防衛システムについては、迎撃ミサイルを組み合わせた多層防衛により我が国に飛来する弾道ミサイルへの対処能力を有しておりますが、一般に、ロフテッド軌道を取ることにより迎撃を回避することを企図して発射された弾道ミサイルについては迎撃はより困難になるというふうに考えております']"
