,pmi
自然エネルギー重視,1.6506808709681495
高コスト,1.6506808709681495
原子力艦船,1.6506808709681495
林業再生,1.6506808709681495
その準備,1.6506808709681495
教科書,1.6506808709681495
控訴,1.6506808709681495
原発関連企業,1.6506808709681495
秘密主義,1.6506808709681495
産業事故,1.6506808709681495
三倍,1.6506808709681495
賠償スキーム,1.6506808709681495
適切に機能していなかったこと,1.6506808709681495
反原発,1.6506808709681495
日米同盟,1.6506808709681495
企業文化,1.6506808709681495
地震安全対策,1.6506808709681495
"賛成
・最近",1.6506808709681495
核問題,1.6506808709681495
官邸,1.6506808709681495
志賀原子力発電所,1.6506808709681495
"疑問を持つ
・福島原発",1.6506808709681495
教訓を無視していると指摘,1.6506808709681495
情報隠蔽,1.6506808709681495
復興大臣,1.6506808709681495
"懸念
・現行",1.6506808709681495
無責任であると指摘,1.6506808709681495
教訓を無視していると批判,1.6506808709681495
11年,1.6506808709681495
損害賠償金,1.6506808709681495
経済成長戦略,1.6506808709681495
迅速な処理,1.6506808709681495
災害廃棄物,1.6506808709681495
警護強化,1.6506808709681495
想定外,1.6506808709681495
支払い能力,1.6506808709681495
原発推進政策,1.4683593141741949
強く反対,1.4275373196539396
慎重に考える必要,1.4275373196539396
一度,1.4275373196539396
厳しい条件,1.3629987985163685
福島県内,1.3629987985163685
初動対応,1.3629987985163685
太陽光発電,1.3629987985163685
再稼働を推進すること,1.3629987985163685
核燃料サイクル政策,1.3629987985163685
60年,1.3629987985163685
いると批判,1.3252584705335215
初動,1.3142086343469366
姿勢を批判,1.3142086343469366
"反対
・原発",1.307736119841319
"批判
・原発",1.294005927029417
輸出を成長戦略,1.2452157628599851
経年劣化,1.2452157628599851
抑止力,1.2452157628599851
原発ゼロ法案,1.2452157628599851
国際市場,1.2452157628599851
災害リスク,1.2452157628599851
救済措置,1.2452157628599851
撤退,1.2452157628599851
菅総理,1.2452157628599851
高いため,1.2452157628599851
役割分担,1.2452157628599851
取り返し,1.2452157628599851
核物質,1.2452157628599851
ごみ処理,1.2452157628599851
支出,1.2452157628599851
核実験,1.2452157628599851
決別,1.2452157628599851
脱原発社会,1.2452157628599851
安全を確保すること,1.2452157628599851
規定,1.2452157628599851
核燃サイクル,1.2452157628599851
決議,1.2452157628599851
自党,1.2452157628599851
労働環境,1.2452157628599851
否定的,1.2088481186891102
日本政府,1.1398552472021588
原子力潜水艦,1.1398552472021588
高いと指摘,1.1398552472021588
推進を提唱,1.1398552472021588
健康管理,1.1398552472021588
地震リスク,1.1398552472021588
支援を重視,1.0910650830327269
原発を輸出すること,1.0910650830327269
"
・現行",1.0910650830327269
ミス,1.0910650830327269
不適切,1.0801360125005366
いない中,1.0628942060660305
見直しを要求,1.0445450673978338
動き,1.0445450673978338
行為,1.031641662561926
"
・文部科学省",0.9575336904082041
輸送,0.9575336904082041
不十分であると指摘,0.9575336904082041
厳しい安全基準,0.9575336904082041
ドイツ,0.9575336904082041
避難対応,0.9575336904082041
自民党,0.9575336904082041
和解案,0.9575336904082041
代わり,0.9575336904082041
心身,0.9575336904082041
原発関連予算,0.9575336904082041
不十分だと指摘,0.9575336904082041
安全なエネルギー政策,0.9575336904082041
原発事故対応,0.9575336904082041
各省庁,0.9575336904082041
被災地住民,0.9575336904082041
積極的に推進すること,0.9575336904082041
声を重視,0.9575336904082041
自治体任せ,0.9575336904082041
不十分であることを指摘,0.9575336904082041
その解決,0.9575336904082041
反対意見,0.9575336904082041
グリーンエネルギー,0.9575336904082041
周辺国,0.9575336904082041
有事,0.9575336904082041
"
・IAEA",0.9575336904082041
厚生労働省,0.9575336904082041
具体的な計画,0.9575336904082041
安全リスク,0.9575336904082041
思い,0.9575336904082041
運転期間延長,0.9575336904082041
宮城県,0.9575336904082041
国民投票,0.9575336904082041
脱却を支持,0.9575336904082041
即時廃止,0.9575336904082041
責任を認識,0.9575336904082041
核廃絶,0.9575336904082041
持続可能な社会,0.9575336904082041
国際情勢,0.9575336904082041
"
・有事",0.9575336904082041
冷却システム,0.9575336904082041
不測,0.9575336904082041
配備,0.9575336904082041
原因解明,0.9575336904082041
子どもたち,0.9575336904082041
慎重姿勢,0.9575336904082041
国際的な安全保障,0.9575336904082041
命を守るため,0.9575336904082041
唯一,0.9575336904082041
大間原発,0.9575336904082041
国際基準,0.9575336904082041
賠償対応,0.9575336904082041
不備を指摘,0.9575336904082041
影響を受けた人々,0.9575336904082041
労働者,0.9575336904082041
推進を提案,0.9575336904082041
日米,0.9575336904082041
核軍縮,0.9575336904082041
"賛成
・太陽光",0.9575336904082041
ごみ問題,0.9575336904082041
原発運転期間,0.9575336904082041
中間貯蔵施設,0.9575336904082041
サイバー攻撃,0.9575336904082041
非核三原則,0.9575336904082041
経済優先,0.9575336904082041
影響を受けた住民,0.9575336904082041
原子力基本法,0.9575336904082041
対策強化,0.9575336904082041
農林漁業者,0.9575336904082041
責任追及,0.9575336904082041
権利,0.9575336904082041
"

全体",0.9575336904082041
経済安全保障,0.9575336904082041
選択肢を広げること,0.9575336904082041
"支持
・脱炭素",0.9575336904082041
倫理,0.9575336904082041
非常時,0.9575336904082041
どれ,0.9575336904082041
農水産物,0.9575336904082041
生命,0.9575336904082041
根本的な問題,0.9575336904082041
不備を批判,0.9575336904082041
慎重な姿勢を持っていること,0.9575336904082041
民意,0.9575336904082041
軍事転用,0.9575336904082041
必要な対策,0.9575336904082041
核拡散,0.9575336904082041
政党,0.9575336904082041
安全問題,0.9575336904082041
自然エネルギー,0.9575336904082041
原子力安全行政,0.9575336904082041
職員,0.9575336904082041
国際的な流れ,0.9575336904082041
縮小,0.9575336904082041
生活再建,0.9575336904082041
表現,0.9575336904082041
一貫した姿勢,0.9575336904082041
原発輸出,0.9167116958879491
反対,0.9014442237571606
運転延長,0.8969090685917692
いる中,0.8774909827346676
核不拡散,0.8774909827346676
矛盾,0.8622235106038793
総理,0.8622235106038793
転換を支持,0.8622235106038793
太陽光,0.8622235106038793
批判,0.8564375735368355
"
・原発依存",0.8557509960982618
命,0.8521731747503778
教訓を重視,0.8483343984432121
事故リスク,0.8397506547518208
石炭,0.8397506547518208
不備,0.8397506547518208
管理体制,0.8397506547518208
津波,0.8240022977836815
市民,0.8240022977836815
普及,0.8144328467675309
トラブル,0.803383010580946
反発,0.803383010580946
実情,0.803383010580946
批判的,0.803383010580946
"
・原発問題",0.803383010580946
原発を再稼働させること,0.803383010580946
"
・避難計画",0.803383010580946
危機管理体制,0.803383010580946
運転再開,0.803383010580946
意見をまとめたもの,0.803383010580946
石炭火力,0.803383010580946
原発推進,0.7932306391169279
利益,0.7856834334815449
収束,0.7856834334815449
懐疑的,0.7856834334815449
即時,0.7752121336142496
防衛,0.7752121336142496
再構築,0.7752121336142496
福島県民,0.7752121336142496
被災者支援,0.7752121336142496
不信感,0.7568629949460531
不信,0.752739277762191
危険,0.7511972574103757
警告,0.7498943256299597
"
・政府",0.7462245967409972
危険性,0.7462245967409972
原子力規制機関,0.7343901390939943
"
概要：
以下",0.7343901390939943
"
・自民党",0.7343901390939943
新たな原発建設,0.7343901390939943
原発安全性,0.7343901390939943
"
・原発関連",0.7343901390939943
福島原発事故後,0.7343901390939943
将来世代,0.7343901390939943
国外,0.7343901390939943
配慮を重視,0.7343901390939943
いると指摘,0.7343901390939943
"
・自身",0.7343901390939943
慎重な対応,0.7343901390939943
原発事故被害者,0.7343901390939943
持続可能なエネルギー社会,0.7343901390939943
二度,0.7343901390939943
除染作業,0.7343901390939943
原発運用,0.7343901390939943
社会全体,0.7343901390939943
現行法,0.7343901390939943
脱原発・再生可能エネルギー,0.7343901390939943
"
・福島県民",0.7343901390939943
"賛成
・東日本大震災",0.7343901390939943
与野党,0.7343901390939943
被害を受けた人々,0.7343901390939943
ないまま,0.7343901390939943
意見をわかりやすく説明するもの,0.7343901390939943
東電,0.7343901390939943
保有,0.7343901390939943
情報収集,0.7343901390939943
プルトニウム,0.7343901390939943
国益,0.7343901390939943
事態,0.706219262127298
受け入れ,0.706219262127298
再稼働を進めること,0.706219262127298
脱却,0.7016003162710035
"賛成
・福島第一原発事故",0.6951694259407132
未解決,0.6951694259407132
その影響,0.6951694259407132
新増設,0.6855999749245624
疑念,0.6698516179564232
不満,0.6698516179564232
「安全神話,0.6698516179564232
賛同,0.6698516179564232
県民,0.6698516179564232
戦争,0.6698516179564232
健康,0.6698516179564232
今回,0.6698516179564232
ない中,0.6698516179564232
エネルギー政策を見直す必要,0.6698516179564232
ごみ,0.6698516179564232
野党,0.6698516179564232
欠如,0.6574290979578661
政権,0.6390799592896695
救済,0.6390799592896695
ことを問題視,0.6390799592896695
転換,0.6390799592896695
"
・福島原発",0.6337466133143069
適切な対応,0.6210614537869912
地震,0.6210614537869912
その責任,0.6210614537869912
必要だと訴え,0.6145889392813738
危機管理,0.6092269961399883
意見を理解,0.6092269961399883
被害者,0.6047123157854617
"
・福島原発事故",0.5975309563767971
