,pmi
反原発,1.599387576580599
控訴,1.599387576580599
被爆体験者,1.599387576580599
長崎,1.599387576580599
厚生労働省,1.599387576580599
ない中傷,1.599387576580599
展示内容,1.599387576580599
復興大臣,1.599387576580599
迅速な処理,1.599387576580599
災害廃棄物,1.599387576580599
企業文化,1.599387576580599
原子力艦船,1.599387576580599
再処理体制,1.599387576580599
地震安全対策,1.599387576580599
"賛成
・最近",1.599387576580599
原子力災害被災地域,1.599387576580599
議会制民主主義,1.599387576580599
農林水産業再生,1.599387576580599
浄化槽,1.599387576580599
損害賠償金,1.599387576580599
11年,1.599387576580599
原発関連企業,1.599387576580599
三倍,1.599387576580599
過去10年間,1.599387576580599
高コスト,1.599387576580599
展示,1.599387576580599
核問題,1.599387576580599
教科書,1.599387576580599
経済成長戦略,1.599387576580599
環境対策,1.599387576580599
原発立地団体,1.599387576580599
"賛成
・関係自治体",1.599387576580599
課税制度,1.599387576580599
観光振興,1.599387576580599
発電時,1.599387576580599
港湾,1.599387576580599
自然エネルギー重視,1.599387576580599
法務省,1.599387576580599
原子力関係施設,1.599387576580599
警護強化,1.599387576580599
教訓を無視していると批判,1.311705504128818
産品,1.311705504128818
脱却を支持,1.311705504128818
推進を提案,1.311705504128818
姿勢を批判,1.262915339959386
日本産,1.1939224684724346
老朽原発,1.1939224684724346
輸出を成長戦略,1.1939224684724346
規定,1.1939224684724346
"賛成
・資源",1.1939224684724346
支出,1.1939224684724346
労働環境,1.1939224684724346
継続的な支援,1.1939224684724346
決議,1.1939224684724346
"懸念
・現行",1.1939224684724346
教訓を無視していると指摘,1.1939224684724346
転換を提案,1.1939224684724346
決別,1.1939224684724346
自民党,1.1939224684724346
輸入規制撤廃,1.1939224684724346
核実験,1.1939224684724346
内部被曝,1.1939224684724346
常識,1.1939224684724346
見直しを要求,1.1474024528375417
"
・自身",1.0885619528146082
国益,1.0885619528146082
"賛成
・東日本大震災",1.0885619528146082
慎重に考える必要,1.0885619528146082
農林水産業,1.0885619528146082
"
・自民党",1.0885619528146082
"反対
・原発",1.0557721299916174
老朽化,1.0397717886451763
撤退,1.0116009116784799
健康被害,1.0116009116784799
動き,0.9932517730102834
強く反対,0.9707789171582248
懐疑的,0.9575336904082041
不適切,0.9488000104394496
産業競争力,0.9062403960206536
再稼働を推進すること,0.9062403960206536
重要インフラ,0.9062403960206536
責任追及,0.9062403960206536
税制上,0.9062403960206536
原発を利用すること,0.9062403960206536
農林漁業者,0.9062403960206536
地球温暖化防止,0.9062403960206536
バイオテロ,0.9062403960206536
唯一,0.9062403960206536
原発関連予算,0.9062403960206536
安全性を高めるため,0.9062403960206536
農水産物,0.9062403960206536
原爆,0.9062403960206536
想定外,0.9062403960206536
経済回復,0.9062403960206536
民主主義,0.9062403960206536
グリーンエネルギー,0.9062403960206536
福島県内,0.9062403960206536
労働者,0.9062403960206536
テロ行為,0.9062403960206536
根本的な問題,0.9062403960206536
核廃絶,0.9062403960206536
60年,0.9062403960206536
有効利用,0.9062403960206536
影響を受けた人々,0.9062403960206536
周辺自治体,0.9062403960206536
安定した電力供給源,0.9062403960206536
代わり,0.9062403960206536
安全性を確認すること,0.9062403960206536
核燃料サイクル政策,0.9062403960206536
配備,0.9062403960206536
"
・東日本大震災後",0.9062403960206536
外務省,0.9062403960206536
子どもたち,0.9062403960206536
周辺環境,0.9062403960206536
経済安全保障,0.9062403960206536
基盤整備,0.9062403960206536
森林,0.9062403960206536
国際的な原子力発電,0.9062403960206536
輸出規制,0.9062403960206536
普及,0.9062403960206536
秘密主義,0.9062403960206536
核拡散,0.9062403960206536
"支持
・脱炭素",0.9062403960206536
ブラックアウト,0.9062403960206536
環境保全,0.9062403960206536
"
・浜岡原発",0.9062403960206536
民意,0.9062403960206536
"

２．カーボンニュートラル",0.9062403960206536
軍事転用,0.9062403960206536
天然ガス,0.9062403960206536
日印原子力協定,0.9062403960206536
特別な支援,0.9062403960206536
特例措置,0.9062403960206536
不測,0.9062403960206536
影響を受けた住民,0.9062403960206536
その解決,0.9062403960206536
核不拡散体制,0.9062403960206536
大型原発,0.9062403960206536
慎重な姿勢を持っていること,0.9062403960206536
基本政策,0.9062403960206536
ドイツ,0.9062403960206536
"
・文部科学省",0.9062403960206536
心身,0.9062403960206536
安全リスク,0.9062403960206536
実態,0.9062403960206536
裁判例,0.9062403960206536
被曝,0.9062403960206536
原発建設計画,0.9062403960206536
国民投票,0.9062403960206536
積極的に推進すること,0.9062403960206536
自治体任せ,0.9062403960206536
経済優先,0.9062403960206536
被爆者,0.9062403960206536
情報隠蔽,0.9062403960206536
家計,0.9062403960206536
和解案,0.9062403960206536
サイバー攻撃,0.9062403960206536
サプライチェーン,0.9062403960206536
原発作業,0.9062403960206536
持続可能な社会,0.9062403960206536
原発推進政策,0.9062403960206536
国際交渉,0.9062403960206536
故郷,0.9062403960206536
原発運転期間,0.9062403960206536
諸外国,0.9062403960206536
いると批判,0.9062403960206536
"賛成
・太陽光",0.9062403960206536
課税,0.9062403960206536
放射線医療,0.9062403960206536
"
・IAEA",0.9062403960206536
与党,0.9062403960206536
運転期間延長,0.9062403960206536
がん医療,0.9062403960206536
原発輸出,0.8654184015003984
行為,0.8261976883471172
核不拡散,0.8261976883471172
子供たち,0.8261976883471172
"
・避難計画",0.7520897161933954
復興再生,0.7520897161933954
事故を背景,0.7520897161933954
意見をまとめたもの,0.7520897161933954
トラブル,0.7520897161933954
国際的な原子力協力,0.7520897161933954
原発を輸出すること,0.7520897161933954
運転再開,0.7520897161933954
否定的,0.7520897161933954
利益,0.7343901390939943
福島県,0.7120843815796961
日本政府,0.6830968447064438
"
概要：
以下",0.6830968447064438
信頼回復を重視,0.6830968447064438
ないまま,0.6830968447064438
推進を提唱,0.6830968447064438
原子力潜水艦,0.6830968447064438
トルコ,0.6830968447064438
インフラ整備,0.6830968447064438
プルトニウム,0.6830968447064438
国外,0.6830968447064438
安全情報,0.6830968447064438
"
・子供たち",0.6830968447064438
電気代,0.6830968447064438
一度,0.6830968447064438
福島原発事故後,0.6830968447064438
取り組みを重視,0.6830968447064438
高いと指摘,0.6830968447064438
権利,0.6830968447064438
産業界,0.6830968447064438
国際貢献,0.6830968447064438
農産物,0.6830968447064438
安全性を前提,0.6830968447064438
現行法,0.6830968447064438
外国人,0.6830968447064438
情報収集,0.6830968447064438
"
・福島県民",0.6830968447064438
原発推進,0.6678293725756554
"
・福島県",0.6611179379876686
輸出,0.6584042321160724
不拡散,0.6549259677397475
子供,0.6549259677397475
いる中,0.6438761315531625
県民,0.6185583235688726
働きかけ,0.6185583235688726
賛同,0.6185583235688726
安全なエネルギー政策,0.6185583235688726
倫理,0.6185583235688726
戦争,0.6185583235688726
不満,0.6185583235688726
対象,0.6185583235688726
ない中,0.6185583235688726
撤廃,0.6185583235688726
収束,0.6008587464694718
ことを問題視,0.5877866649021191
矛盾,0.5877866649021191
外国,0.5697681593994407
反対,0.5624688569178291
危険,0.5175824062288704
事故収束,0.5007752879124892
解除,0.5007752879124892
福島県民,0.5007752879124892
多い日本,0.5007752879124892
経済成長,0.5007752879124892
原発マネー,0.5007752879124892
補償制度,0.5007752879124892
"
・柏崎刈羽原発",0.5007752879124892
不可欠なエネルギー源,0.5007752879124892
いない中,0.5007752879124892
文部科学省,0.5007752879124892
裁判,0.5007752879124892
核物質,0.5007752879124892
ことを提唱,0.5007752879124892
沖縄,0.5007752879124892
エネルギー多様化,0.5007752879124892
被害者保護,0.5007752879124892
火力発電所,0.5007752879124892
輸入規制,0.5007752879124892
政党,0.5007752879124892
圧力,0.5007752879124892
浜岡原発,0.5007752879124892
風評被害対策,0.5007752879124892
強い不満を表明,0.5007752879124892
まま,0.5007752879124892
原子力教育,0.5007752879124892
IAEA,0.5007752879124892
福祉,0.5007752879124892
最近,0.5007752879124892
原子力協力,0.5007752879124892
原子力防災体制,0.5007752879124892
名,0.5007752879124892
危険性,0.5007752879124892
その他,0.5007752879124892
即時,0.5007752879124892
抑止力,0.5007752879124892
原発廃止,0.5007752879124892
緩和,0.5007752879124892
可能性を評価,0.5007752879124892
報告,0.5007752879124892
重大事故,0.5007752879124892
将来的なエネルギー政策,0.5007752879124892
石炭,0.5007752879124892
導入促進,0.5007752879124892
十分な安全対策,0.5007752879124892
判決,0.5007752879124892
表現,0.5007752879124892
感情,0.5007752879124892
進捗状況,0.5007752879124892
原発事故防止,0.5007752879124892
原発施設,0.5007752879124892
環境問題解決,0.5007752879124892
ケア,0.5007752879124892
"賛成
・現在",0.5007752879124892
損害賠償制度,0.5007752879124892
"
・新エネルギー",0.5007752879124892
攻撃対象,0.5007752879124892
救済措置,0.5007752879124892
国際的な安全保障,0.5007752879124892
重要と指摘,0.5007752879124892
農林水産物,0.5007752879124892
不備を指摘,0.5007752879124892
取り返し,0.5007752879124892
導入を重視,0.5007752879124892
水産業,0.5007752879124892
危機意識,0.5007752879124892
"賛成
・原子力発電所",0.5007752879124892
支援措置,0.5007752879124892
無責任であると指摘,0.5007752879124892
過酷事故,0.5007752879124892
納得,0.5007752879124892
力を入れる必要,0.5007752879124892
まだ不十分であることを指摘,0.5007752879124892
原発立地自治体,0.5007752879124892
原発ゼロ法案,0.5007752879124892
北海道,0.5007752879124892
高経年化,0.5007752879124892
日米,0.5007752879124892
再稼働を急ぐこと,0.5007752879124892
世論,0.5007752879124892
自党,0.5007752879124892
その理由,0.5007752879124892
様々なリスク,0.5007752879124892
復興庁,0.5007752879124892
原発事故を背景,0.5007752879124892
転換,0.5007752879124892
シフトを支持,0.5007752879124892
対策強化,0.5007752879124892
国際市場,0.5007752879124892
スタンスをわかりやすく説明するもの,0.5007752879124892
国々,0.5007752879124892
インド,0.5007752879124892
災害リスク,0.5007752879124892
日本経済,0.5007752879124892
原子力問題,0.5007752879124892
協定締結,0.5007752879124892
高いため,0.5007752879124892
"重要性を強調
・再稼働",0.5007752879124892
スタンスを理解するために作成したもの,0.5007752879124892
中小企業,0.5007752879124892
国際機関,0.5007752879124892
あまり詳しくない方,0.5007752879124892
受け入れ,0.5007752879124892
"賛成
・地球温暖化対策",0.5007752879124892
指針,0.5007752879124892
妥当性,0.5007752879124892
環境負荷,0.5007752879124892
疑念,0.4754574799281993
影響を受けた地域,0.47092232476280815
自然エネルギー,0.4542552722775964
問題を指摘,0.44670806664221346
インフラ,0.44670806664221346
市民,0.43623676677491807
健康,0.43623676677491807
流れ,0.43623676677491807
"賛成
・原発事故",0.43623676677491807
"賛成
・福島第一原発事故",0.42073258023895277
批判,0.42073258023895277
不十分であることを指摘,0.395414772254663
東電,0.395414772254663
農業,0.395414772254663
反対意見,0.395414772254663
思い,0.395414772254663
経済産業省,0.395414772254663
核兵器,0.395414772254663
"

全体",0.395414772254663
考えを表明,0.395414772254663
"批判
・原発",0.395414772254663
"
・東日本大震災",0.3829922522561057
協定,0.37561214495848316
意見を理解,0.37561214495848316
意見を尊重,0.37561214495848316
シフト,0.362624949431672
懸念を表明,0.352855157835867
"
・政府",0.346624608085231
協議,0.346624608085231
反発,0.346624608085231
詳しくない方,0.346624608085231
長期的な取り組み,0.346624608085231
原子力機構,0.346624608085231
賛否,0.346624608085231
"
・現行",0.346624608085231
問題点,0.346624608085231
石炭火力,0.346624608085231
公共,0.346624608085231
安全保障上,0.346624608085231
柱,0.346624608085231
理解を得る努力,0.346624608085231
健康影響,0.346624608085231
警告,0.3308762511170917
問題視,0.32642190076771144
一般,0.3184537311185346
補償,0.3184537311185346
東日本大震災,0.3115332882739609
海外,0.3115332882739609
いると指摘,0.30840339526503324
脱却,0.30546653559172343
影響を懸念,0.30010459245033816
"
・国内",0.30010459245033816
救済,0.30010459245033816
意思,0.30010459245033816
原子力協定,0.27763173659827955
輸入,0.27763173659827955
企業,0.27763173659827955
"懸念を示す
",0.2643865098482588
損害賠償,0.2643865098482588
理由,0.25565282987950433
貢献,0.24946085963158324
"
・原発依存",0.24484191377528855
"賛成
・福島",0.23841102344499815
適切な対策,0.21309321546070836
規制緩和,0.21309321546070836
非核三原則,0.21309321546070836
被害者支援,0.21309321546070836
生活支援,0.21309321546070836
全力,0.21309321546070836
いないと批判,0.21309321546070836
"関心
",0.21309321546070836
未来志向,0.21309321546070836
10年,0.21309321546070836
住民支援,0.21309321546070836
批判的,0.21309321546070836
最終処分問題,0.21309321546070836
安定化,0.21309321546070836
緊急時対応,0.21309321546070836
国際協力を重視,0.21309321546070836
処分問題,0.21309321546070836
経済産業,0.21309321546070836
野党,0.21309321546070836
今回,0.21309321546070836
信頼性向上,0.21309321546070836
"
・温暖化対策",0.21309321546070836
費用負担,0.21309321546070836
核軍縮,0.21309321546070836
「安全神話,0.21309321546070836
問題点を指摘,0.21309321546070836
声を重視,0.21309321546070836
蓄積,0.21309321546070836
継承,0.21309321546070836
放射線量,0.21309321546070836
"懸念
・東日本大震災",0.21309321546070836
中立的,0.21309321546070836
即時廃止,0.21309321546070836
エネルギー資源,0.21309321546070836
スタンスを分かりやすくまとめたもの,0.21309321546070836
