,pmi
放射線障害防止,1.640209571100854
島々,1.640209571100854
安全を確保すること,1.640209571100854
安心を重視,1.640209571100854
発電時,1.640209571100854
諸外国,1.640209571100854
エネルギー外交,1.640209571100854
米軍,1.640209571100854
展示内容,1.640209571100854
教科書,1.640209571100854
民主主義,1.640209571100854
観光振興,1.640209571100854
港湾,1.640209571100854
志賀原子力発電所,1.640209571100854
11年,1.640209571100854
被爆体験者,1.640209571100854
長崎,1.640209571100854
"賛成
・エネルギー需要",1.640209571100854
三倍,1.640209571100854
核問題,1.640209571100854
消防団,1.640209571100854
経済安全保障,1.640209571100854
資源利用,1.640209571100854
迅速な処理,1.640209571100854
災害廃棄物,1.640209571100854
科学者,1.640209571100854
警護強化,1.640209571100854
産業政策,1.640209571100854
"
・大震災",1.640209571100854
慎重な姿勢を持っていること,1.640209571100854
議会制民主主義,1.640209571100854
宮城県,1.640209571100854
復興活動,1.640209571100854
反原発,1.640209571100854
展示,1.640209571100854
日米同盟,1.640209571100854
閉鎖性,1.640209571100854
特別な健康管理,1.640209571100854
裁判,1.640209571100854
核施設,1.640209571100854
外務省,1.640209571100854
工程表,1.640209571100854
損害賠償金,1.640209571100854
仮設住宅,1.640209571100854
裁判例,1.640209571100854
慎重に考える必要,1.4170660197866443
被爆者,1.3525274986490732
具体的な意見,1.2347444629926896
近隣,1.2347444629926896
燃料棒,1.2347444629926896
沖縄,1.2347444629926896
判決,1.2347444629926896
スタンスを理解するために作成されたもの,1.2347444629926896
日米,1.2347444629926896
攻撃対象,1.2347444629926896
決議,1.2347444629926896
核実験,1.2347444629926896
その活動,1.2347444629926896
重要性を示唆,1.1293839473348635
重要であることを指摘,1.1293839473348635
除染作業,1.1293839473348635
"
・原発事故以降",1.1293839473348635
取り扱い,1.0805937831654315
健康影響,1.0805937831654315
経済成長戦略,0.9470623905409088
食品,0.9470623905409088
故郷,0.9470623905409088
日本国内,0.9470623905409088
バイオテロ,0.9470623905409088
地球温暖化防止,0.9470623905409088
国際的な視点,0.9470623905409088
不透明な中,0.9470623905409088
いじめ,0.9470623905409088
その後,0.9470623905409088
生活再建,0.9470623905409088
賠償対応,0.9470623905409088
不測,0.9470623905409088
中間貯蔵施設,0.9470623905409088
監視機関,0.9470623905409088
具体的な進展,0.9470623905409088
心身,0.9470623905409088
"
・世界中",0.9470623905409088
"懸念
・東日本大震災",0.9470623905409088
国際交渉,0.9470623905409088
作業者,0.9470623905409088
二酸化炭素排出量,0.9470623905409088
性質,0.9470623905409088
その解決,0.9470623905409088
フランス,0.9470623905409088
社会的な問題,0.9470623905409088
避難対応,0.9470623905409088
対象,0.9470623905409088
感謝,0.9470623905409088
想定外,0.9470623905409088
震災対策,0.9470623905409088
安全問題,0.9470623905409088
国民投票,0.9470623905409088
信頼関係構築,0.9470623905409088
輸出規制,0.9470623905409088
特別な支援,0.9470623905409088
軍事転用,0.9470623905409088
サイバー攻撃,0.9470623905409088
復興大臣,0.9470623905409088
厚生労働省,0.9470623905409088
法的な整備,0.9470623905409088
避難所,0.9470623905409088
震災復興,0.9470623905409088
適切な対応,0.9470623905409088
難しい状況,0.9470623905409088
冷却システム,0.9470623905409088
積極的に推進すること,0.9470623905409088
拠点,0.9470623905409088
"
・文部科学省",0.9470623905409088
事故収束,0.9470623905409088
一貫した姿勢,0.9470623905409088
与党,0.9470623905409088
農林漁業者,0.9470623905409088
法務省,0.9470623905409088
核廃絶,0.9470623905409088
若い世代,0.9470623905409088
和解案,0.9470623905409088
放射線量,0.9470623905409088
福島県内,0.9470623905409088
健康被害,0.8292793548845252
賛同,0.8135309979163862
賛否,0.7929117107136504
疑念を表明,0.7929117107136504
"賛成
・エネルギー政策",0.7929117107136504
復興再生,0.7929117107136504
いると認識,0.7647408337469541
１．福島,0.7422679778948956
疑問を提起,0.723918839226699
"
・自身",0.723918839226699
中長期的な対応,0.723918839226699
最小限,0.723918839226699
保有,0.723918839226699
原子力潜水艦,0.723918839226699
被害を受けた人々,0.723918839226699
取り組みを重視,0.723918839226699
漁業者,0.723918839226699
国益,0.723918839226699
何,0.723918839226699
配慮を重視,0.723918839226699
モニタリング,0.723918839226699
福島原発事故後,0.723918839226699
日本政府,0.723918839226699
その影響,0.6846981260734176
"
・東日本大震災後",0.6593803180891278
根幹,0.6593803180891278
適切な情報提供,0.6593803180891278
慎重な態度,0.6593803180891278
今回,0.6593803180891278
"懸念を示す
",0.6416807409897269
"関心
",0.6105901539196958
表現,0.5415972824327444
復興作業,0.5415972824327444
原発施設,0.5415972824327444
いないことを指摘,0.5415972824327444
協定締結,0.5415972824327444
電源喪失,0.5415972824327444
その上,0.5415972824327444
国々,0.5415972824327444
可能性を評価,0.5415972824327444
国際市場,0.5415972824327444
内部被曝,0.5415972824327444
地域ごと,0.5415972824327444
中国,0.5415972824327444
安全性を確保すること,0.5415972824327444
役割分担,0.5415972824327444
真剣に取り組む必要,0.5415972824327444
様々なリスク,0.5415972824327444
日本産,0.5415972824327444
復興を最重要課題,0.5415972824327444
まだ不十分であることを指摘,0.5415972824327444
その理由,0.5415972824327444
輸出を成長戦略,0.5415972824327444
引き合い,0.5415972824327444
命を守るため,0.5415972824327444
軍事利用,0.5415972824327444
妥当性,0.5415972824327444
農林水産物,0.5415972824327444
北朝鮮,0.5415972824327444
現地,0.5415972824327444
緊張感,0.5415972824327444
柔軟な対応,0.5415972824327444
原発防護,0.5415972824327444
原発事故防止,0.5415972824327444
継続的な支援,0.5415972824327444
重大な事故,0.5415972824327444
本当,0.5415972824327444
あまり詳しくない方,0.5415972824327444
福祉,0.5415972824327444
力を入れる必要,0.5415972824327444
子供,0.5415972824327444
スタンスを理解するために作成したもの,0.5415972824327444
原爆,0.5415972824327444
国際機関,0.5415972824327444
その管理,0.5415972824327444
燃料デブリ,0.5415972824327444
