,pmi
健康保険制度,1.462834438242225
子ども・子育て支援法改正案,1.462834438242225
秘書,1.462834438242225
出生支援,1.462834438242225
一極集中是正,1.462834438242225
"賛成
・高齢者",1.462834438242225
育児休業法,1.462834438242225
農村活性化,1.462834438242225
可処分所得を増やすこと,1.462834438242225
"懸念
・地方自治体",1.462834438242225
若い女性,1.462834438242225
余剰住宅,1.462834438242225
"賛成
・十万円",1.462834438242225
経済的負担を軽減する必要,1.462834438242225
積極財政,1.462834438242225
賃金低下,1.462834438242225
進学支援,1.462834438242225
食生活,1.462834438242225
主食用米,1.462834438242225
未利用地,1.462834438242225
全体像,1.462834438242225
教育ローン,1.462834438242225
生命保険会社,1.462834438242225
高校無償化法案,1.462834438242225
選挙制度,1.462834438242225
輸出促進,1.462834438242225
国会職員,1.462834438242225
相続制度,1.462834438242225
若年世代,1.462834438242225
景気回復,1.462834438242225
可処分所得,1.462834438242225
金融立国,1.462834438242225
学生数,1.462834438242225
理系人材,1.462834438242225
法制化,1.462834438242225
再整備,1.462834438242225
公共交通インフラ,1.462834438242225
一時保育,1.462834438242225
経営者,1.462834438242225
大学進学率,1.462834438242225
若者向け政策,1.462834438242225
財政政策,1.462834438242225
民主党,1.2396908869280152
輸出,1.2396908869280152
"支持
・人口減少",1.1751523657904441
生産年齢人口,1.1751523657904441
実現可能性,1.1751523657904441
国政,1.1751523657904441
底上げ,1.1751523657904441
移転,1.1751523657904441
内需,1.1751523657904441
いない現状を批判,1.0573693301340605
岸田政権,1.0573693301340605
家庭生活,1.0573693301340605
経済力,1.0573693301340605
誘致,1.0573693301340605
議員,1.0573693301340605
都市圏,1.0573693301340605
国内外,1.0573693301340605
より効果的な施策,1.0573693301340605
経済効果,1.0573693301340605
"賛成
・こども",1.0573693301340605
各党,1.0573693301340605
因果関係,1.0573693301340605
質向上を重視,1.0573693301340605
未婚率,1.0573693301340605
以前,1.0573693301340605
"
・子ども・子育て支援金制度",1.0573693301340605
雇用創出,1.0573693301340605
持続可能な形,1.0573693301340605
出産・育児支援,1.0573693301340605
学費無償化,1.0573693301340605
具体的なアプローチ,1.0573693301340605
給付型奨学金制度,1.0573693301340605
高校無償化,1.0573693301340605
深刻な影響を及ぼすため,1.0573693301340605
このため,1.0573693301340605
憲法改正,1.0573693301340605
喪失,1.0573693301340605
いると批判,1.0108493144991677
法改正,1.0033021088637848
"
・国内市場",0.9520088144762343
景気,0.9520088144762343
悪影響を及ぼす可能性,0.9520088144762343
影響を認識,0.9520088144762343
数を増やすこと,0.9520088144762343
経済対策,0.9520088144762343
この状況,0.9520088144762343
重要な施策,0.9520088144762343
働く人,0.9520088144762343
均衡,0.9520088144762343
割合,0.9520088144762343
子ども・子育て支援金制度,0.9520088144762343
自民党,0.923837937509538
国内市場,0.9032186503068024
懐疑的,0.9032186503068024
支援拡充,0.9032186503068024
農村地域,0.9032186503068024
部分,0.8750477733401059
需要,0.8566986346719094
"賛成
・子育て支援",0.8437952298360014
国内,0.8268456715222283
外国人労働者,0.7696872576822797
優先配分,0.7696872576822797
食料自給率,0.7696872576822797
原則,0.7696872576822797
"
・出生数",0.7696872576822797
食料安全保障,0.7696872576822797
賃金格差,0.7696872576822797
複雑化,0.7696872576822797
外国人労働力,0.7696872576822797
待機児童解消,0.7696872576822797
国内経済,0.7696872576822797
この意見,0.7696872576822797
貧困層,0.7696872576822797
「ばらまき,0.7696872576822797
教育国債,0.7696872576822797
公立保育所,0.7696872576822797
関係者,0.7696872576822797
力を合わせること,0.7696872576822797
東京圏,0.7696872576822797
適切な対応,0.7696872576822797
内需拡大,0.7696872576822797
子どもを持つ家庭,0.7696872576822797
教師,0.7696872576822797
重要であると提案,0.7696872576822797
施政方針,0.7696872576822797
単独の問題,0.7696872576822797
養育費,0.7696872576822797
共働き・共育て,0.7696872576822797
不育症,0.7696872576822797
経済的負担を軽減するため,0.7696872576822797
低収入,0.7696872576822797
一元化,0.7696872576822797
手立て,0.7696872576822797
少子化・高齢化,0.7696872576822797
大学経営,0.7696872576822797
子供一人一人,0.7696872576822797
支援不足,0.7696872576822797
新規就農者,0.7696872576822797
各省,0.7696872576822797
私学助成,0.7696872576822797
就職難,0.7696872576822797
移民政策,0.7696872576822797
年齢制限,0.7696872576822797
中間所得世帯,0.7696872576822797
最後,0.7696872576822797
"
・給食費",0.7696872576822797
育児休暇制度,0.7696872576822797
生活保護,0.7696872576822797
"
・日本社会",0.7696872576822797
バランスを重視,0.7696872576822797
借金返済,0.7696872576822797
余剰,0.7696872576822797
多子世帯支援,0.7696872576822797
新しい時代,0.7696872576822797
防衛予算,0.7696872576822797
"反対
・子ども手当",0.7696872576822797
生殖補助医療,0.7696872576822797
生活費,0.7696872576822797
政権,0.7696872576822797
