,pmi
山口県,1.5093544538771178
未利用地,1.5093544538771178
地域医療構想,1.5093544538771178
公的年金制度,1.5093544538771178
介護事業者,1.5093544538771178
竹,1.5093544538771178
土地利用,1.5093544538771178
"
・過疎化",1.5093544538771178
土地改良,1.5093544538771178
新たな国土計画,1.5093544538771178
秘書,1.5093544538771178
若い女性,1.5093544538771178
子ども・子育て支援法改正案,1.5093544538771178
法制化,1.5093544538771178
国内経済,1.5093544538771178
高校無償化法案,1.5093544538771178
水道事業,1.5093544538771178
公共施設,1.5093544538771178
都市機能,1.5093544538771178
食生活,1.5093544538771178
教育ローン,1.5093544538771178
経済規模,1.5093544538771178
主食用米,1.5093544538771178
農業農村整備事業,1.5093544538771178
全体像,1.5093544538771178
無人アセット,1.5093544538771178
建設業,1.5093544538771178
収容定員,1.5093544538771178
公共交通インフラ,1.5093544538771178
健康保険制度,1.5093544538771178
観光資源,1.5093544538771178
再整備,1.5093544538771178
金融立国,1.5093544538771178
市営住宅,1.5093544538771178
生活インフラ,1.5093544538771178
大学進学率,1.5093544538771178
輸出促進,1.5093544538771178
潜在的な待機児童,1.5093544538771178
省人化,1.5093544538771178
恩恵を受けること,1.5093544538771178
無人化技術,1.5093544538771178
生命保険会社,1.5093544538771178
ローカル路線,1.5093544538771178
農村活性化,1.5093544538771178
学校再編,1.5093544538771178
農業事業者,1.5093544538771178
国会職員,1.5093544538771178
外国人材,1.5093544538771178
"
・団地",1.5093544538771178
積極財政,1.5093544538771178
育児休業法,1.5093544538771178
公立高校,1.5093544538771178
人口流出,1.286210902562908
財政政策,1.221672381425337
行財政,1.221672381425337
最大限,1.221672381425337
"支持
・人口減少",1.221672381425337
深刻な人口減少,1.1038893457689534
無人化,1.1038893457689534
大きな影響を与えると指摘,1.1038893457689534
雇用確保,1.1038893457689534
郵便局,1.1038893457689534
都市圏,1.1038893457689534
より効果的な施策,1.1038893457689534
いない現状を批判,1.1038893457689534
誘致,1.1038893457689534
喪失,1.1038893457689534
輸出,0.9985288301111273
経済対策,0.9985288301111273
"
・自治体",0.9985288301111273
首長,0.9985288301111273
土地,0.9985288301111273
使途,0.9985288301111273
"
・国内市場",0.9985288301111273
流出,0.9215677889749988
ことを示唆,0.8903152454708944
ローカル線,0.8162072733171725
格差解消,0.8162072733171725
国政,0.8162072733171725
学生数,0.8162072733171725
多面的な対策,0.8162072733171725
大学経営,0.8162072733171725
地方都市,0.8162072733171725
懐疑的,0.8162072733171725
防衛省,0.8162072733171725
食料自給率,0.8162072733171725
私学助成,0.8162072733171725
海外市場,0.8162072733171725
社会状況,0.8162072733171725
必要性を提唱,0.8162072733171725
優先配分,0.8162072733171725
安倍政権,0.8162072733171725
日本人,0.8162072733171725
手立て,0.8162072733171725
肯定的,0.8162072733171725
養育費,0.8162072733171725
地方財政,0.8162072733171725
賃金低下,0.8162072733171725
余剰,0.8162072733171725
いる少子高齢化,0.8162072733171725
地方議会,0.8162072733171725
借金返済,0.8162072733171725
地域活力,0.8162072733171725
行政サービス,0.8162072733171725
市場縮小,0.8162072733171725
地域生活,0.8162072733171725
海外,0.8162072733171725
関係者,0.8162072733171725
"
・日本社会",0.8162072733171725
公立保育所,0.8162072733171725
内需,0.8162072733171725
「ばらまき,0.8162072733171725
"
・給食費",0.8162072733171725
各地域,0.8162072733171725
考えを表明,0.8162072733171725
"反対
・子ども手当",0.8162072733171725
与党,0.8162072733171725
経済全体,0.8162072733171725
議員,0.8162072733171725
このこと,0.8162072733171725
内需拡大,0.8162072733171725
アジア,0.8162072733171725
地方部,0.8162072733171725
高齢者対策,0.8162072733171725
定住人口,0.8162072733171725
児童福祉施策,0.8162072733171725
"賛成
・地方",0.7208970935128478
子育て支援施策,0.7208970935128478
国土,0.6984242376607891
予測,0.6984242376607891
"
・今後",0.6620565934899142
このまま,0.6620565934899142
その効果,0.6620565934899142
農業従事者,0.6620565934899142
地域医療,0.6620565934899142
国内市場,0.6620565934899142
"懸念
・人口減少",0.6338857165232179
"重要性を強調
・人口減少",0.6338857165232179
子ども・子育て支援金,0.6338857165232179
その他,0.5930637220029628
真正面,0.5930637220029628
子ども・子育て支援金制度,0.5930637220029628
影響を認識,0.5930637220029628
割合,0.5930637220029628
重要な施策,0.5930637220029628
再編,0.5930637220029628
公共交通,0.5930637220029628
"
・岸田総理",0.5930637220029628
景気,0.5930637220029628
過疎化,0.5538430088496815
いる現状を指摘,0.5538430088496815
過疎,0.5442735578335308
税収,0.5285252008653916
人口問題,0.5285252008653916
適切な対応,0.5285252008653916
慎重な姿勢,0.5285252008653916
国民負担,0.5285252008653916
"疑問
・少子化対策",0.5285252008653916
危機感を表明,0.5285252008653916
国債,0.5285252008653916
示唆,0.5087225735692119
需要,0.49775354219863793
"
・国",0.47136678702544305
国内,0.4679005790489568
手段,0.4679005790489568
ことを強調,0.43777083759692753
借金,0.41074216520900814
見解をわかりやすくまとめたもの,0.41074216520900814
出産・育児支援,0.41074216520900814
"
・生殖補助医療",0.41074216520900814
社会保障制度改革,0.41074216520900814
データ,0.41074216520900814
希望を持てる社会を作ること,0.41074216520900814
"充実を求める
・政府",0.41074216520900814
"
・子ども・子育て支援金制度",0.41074216520900814
命を守ること,0.41074216520900814
経済効果,0.41074216520900814
出産・子育て応援交付金,0.41074216520900814
課題であると指摘,0.41074216520900814
憲法改正,0.41074216520900814
農業振興,0.41074216520900814
子育て支援施設,0.41074216520900814
地域特性,0.41074216520900814
再構築,0.41074216520900814
どれ,0.41074216520900814
保育事業,0.41074216520900814
厚労省,0.41074216520900814
特別会計,0.41074216520900814
非正規職員,0.41074216520900814
問題点を指摘,0.41074216520900814
学費免除,0.41074216520900814
母子家庭,0.41074216520900814
"賛成
・人口減少",0.41074216520900814
このため,0.41074216520900814
教育施設,0.41074216520900814
過程,0.41074216520900814
災害,0.41074216520900814
質向上を重視,0.41074216520900814
同性婚,0.41074216520900814
不可欠であると認識,0.41074216520900814
持続可能な形,0.41074216520900814
"賛成
・少子化問題",0.41074216520900814
移住促進,0.41074216520900814
統廃合,0.41074216520900814
給与,0.41074216520900814
国内外,0.41074216520900814
岸田総理,0.41074216520900814
新しいアプローチ,0.41074216520900814
質を向上させる必要性,0.41074216520900814
"
・子ども・子育て支援法",0.41074216520900814
未婚化対策,0.41074216520900814
"
・全国",0.41074216520900814
未婚率,0.41074216520900814
環境問題,0.41074216520900814
農地,0.41074216520900814
担い手不足,0.41074216520900814
"賛成
・政府",0.41074216520900814
景気対策,0.41074216520900814
出生率を上げること,0.41074216520900814
"
・農山漁村",0.41074216520900814
役割を果たすこと,0.41074216520900814
給食,0.41074216520900814
"賛成
・こども",0.41074216520900814
給食費,0.41074216520900814
学費無償化,0.41074216520900814
重要であることを指摘,0.41074216520900814
大都市,0.41074216520900814
交流人口,0.41074216520900814
希薄化,0.41074216520900814
全国一律,0.41074216520900814
安全保障,0.41074216520900814
高校授業料無償化,0.41074216520900814
国際競争力,0.41074216520900814
クラス,0.41074216520900814
経済力,0.41074216520900814
"支持
・少子化対策",0.41074216520900814
地域農業,0.41074216520900814
子ども・子育て関連,0.41074216520900814
地方移住,0.41074216520900814
需要減少,0.41074216520900814
共感,0.41074216520900814
以前,0.41074216520900814
取り組みを重視,0.41074216520900814
コンパクトシティー,0.41074216520900814
いると認識,0.41074216520900814
構造的な問題,0.41074216520900814
財政再建,0.41074216520900814
転換を提案,0.41074216520900814
"影響を懸念
・人口減少",0.41074216520900814
地方支援,0.41074216520900814
引上げ,0.41074216520900814
進学率,0.41074216520900814
セーフティーネット,0.41074216520900814
