,pmi
雇用喪失,0.31237468504215243
安価な労働力,0.31237468504215243
無期雇用,0.31237468504215243
存続,0.31237468504215243
法的保護,0.31237468504215243
風評被害,0.31237468504215243
軍事優先,0.31237468504215243
医療従事者,0.31237468504215243
大胆な財政出動,0.31237468504215243
労務費,0.31237468504215243
グローバル化,0.31237468504215243
彼女,0.31237468504215243
若い船員,0.31237468504215243
雇用確保を重視,0.31237468504215243
専門職,0.31237468504215243
"
・農家",0.31237468504215243
自由主義経済,0.31237468504215243
大企業優遇,0.31237468504215243
ハローワーク,0.31237468504215243
介護職,0.31237468504215243
子育て世帯,0.31237468504215243
デフレ状態,0.31237468504215243
野党,0.31237468504215243
流動化,0.31237468504215243
輸入価格,0.31237468504215243
この意見,0.31237468504215243
不良債権,0.31237468504215243
処理,0.31237468504215243
補正予算案,0.31237468504215243
国際協調,0.31237468504215243
"
・岸田政権",0.31237468504215243
積極的な財政出動,0.31237468504215243
ワクチン接種,0.31237468504215243
アフターコロナ,0.31237468504215243
小規模企業,0.31237468504215243
大企業優先,0.31237468504215243
経済協力,0.31237468504215243
医療体制,0.31237468504215243
教育格差,0.31237468504215243
ベーシックインカム,0.31237468504215243
このため,0.31237468504215243
行政機関,0.31237468504215243
地方経済活性化,0.31237468504215243
"賛成
・スタートアップ",0.31237468504215243
教育無償化,0.31237468504215243
高校生,0.31237468504215243
貧困層,0.31237468504215243
エネルギーコスト上昇,0.31237468504215243
TPP,0.31237468504215243
互い,0.31237468504215243
全世代・全経済主体,0.31237468504215243
国際的な協力,0.31237468504215243
失業者,0.31237468504215243
悪影響を及ぼしていると指摘,0.31237468504215243
投資協定,0.31237468504215243
エネルギーコスト,0.31237468504215243
安定化を重視,0.31237468504215243
"疑問
・現在",0.31237468504215243
公立学校,0.31237468504215243
育児休業給付,0.31237468504215243
成長型経済,0.31237468504215243
保育士,0.31237468504215243
取扱い,0.31237468504215243
通り,0.31237468504215243
IT投資,0.31237468504215243
国民経済,0.31237468504215243
経済的な支援,0.31237468504215243
"賛成
・全国一律",0.31237468504215243
柔軟化,0.31237468504215243
透明性を要求,0.31237468504215243
問題意識,0.31237468504215243
インフラ投資,0.31237468504215243
大規模な経済対策,0.31237468504215243
長期的な雇用政策,0.31237468504215243
就職氷河期世代,0.31237468504215243
拡大を提案,0.31237468504215243
外国人雇用,0.31237468504215243
商工中金,0.31237468504215243
見直しを要求,0.31237468504215243
社会保険料負担,0.31237468504215243
外国人労働者受け入れ,0.31237468504215243
適用範囲,0.31237468504215243
所得補償制度,0.31237468504215243
あまり詳しくない方,0.31237468504215243
追加経済対策,0.31237468504215243
根本的な改革,0.31237468504215243
限界を指摘,0.31237468504215243
燃料価格,0.31237468504215243
再編,0.31237468504215243
大胆な経済対策,0.31237468504215243
ケア,0.31237468504215243
一政治家,0.31237468504215243
若者・子育て世代,0.31237468504215243
所得を上げること,0.31237468504215243
与党,0.31237468504215243
減税政策,0.31237468504215243
供給力,0.31237468504215243
一般国民,0.31237468504215243
中央省庁,0.31237468504215243
"
・男性",0.31237468504215243
公教育,0.31237468504215243
全国一律,0.31237468504215243
富裕層,0.31237468504215243
