,pmi
官民一体,0.549504478331102
M&A市場,0.549504478331102
公共放送,0.549504478331102
生産拡大,0.549504478331102
軍事優先,0.549504478331102
農林水産品,0.549504478331102
民間金融機関,0.549504478331102
信用保証制度,0.549504478331102
キャンペーン,0.549504478331102
国民一人一人,0.549504478331102
リカレント教育,0.549504478331102
重要である一方,0.549504478331102
再分配機能,0.549504478331102
固定資産税,0.549504478331102
職業選択,0.549504478331102
通信インフラ,0.549504478331102
"
・地域産業",0.549504478331102
国際的な協力,0.549504478331102
全世代・全経済主体,0.549504478331102
互い,0.549504478331102
高校生,0.549504478331102
不十分だと指摘,0.549504478331102
医療従事者,0.549504478331102
東京圏,0.549504478331102
感染症法,0.549504478331102
新産業,0.549504478331102
日本人雇用,0.549504478331102
短期的な経済対策,0.549504478331102
若者・子育て世代,0.549504478331102
活性化策,0.549504478331102
育児休業給付金,0.549504478331102
消費者視点,0.549504478331102
赤字企業,0.549504478331102
持続的な賃上げ,0.549504478331102
活用を提案,0.549504478331102
機能強化,0.549504478331102
エネルギー安全保障,0.549504478331102
追加経済対策,0.549504478331102
自衛隊,0.549504478331102
あまり詳しくない方,0.549504478331102
賃上げ環境,0.549504478331102
適切な対応,0.549504478331102
新たな経済対策,0.549504478331102
"懸念
・景気",0.549504478331102
自動車産業,0.549504478331102
保証制度,0.549504478331102
理解を得ること,0.549504478331102
終身雇用制度,0.549504478331102
安定化を重視,0.549504478331102
飲食業界,0.549504478331102
社会経済情勢,0.549504478331102
国産ワクチン,0.549504478331102
調達制度,0.549504478331102
若い船員,0.549504478331102
労務費,0.549504478331102
共生社会,0.549504478331102
飲食店,0.549504478331102
風評被害,0.549504478331102
雇用・所得環境,0.549504478331102
資産デフレ,0.549504478331102
教育投資,0.549504478331102
同等以上,0.549504478331102
緑,0.549504478331102
年功序列,0.549504478331102
輸入価格,0.549504478331102
生活資金,0.549504478331102
日本人,0.549504478331102
"
・終身雇用",0.549504478331102
環境再生,0.549504478331102
災害対策,0.549504478331102
取扱い,0.549504478331102
ふるさと納税制度,0.549504478331102
外国人雇用,0.549504478331102
商工中金,0.549504478331102
多子加算,0.549504478331102
公的資金,0.549504478331102
科学的根拠,0.549504478331102
防衛産業,0.549504478331102
賃上げ率,0.549504478331102
民間経済,0.549504478331102
国全体,0.549504478331102
関連性を指摘,0.549504478331102
終身雇用,0.549504478331102
持続可能な社会保障制度,0.549504478331102
雇用制度改革,0.549504478331102
無制限,0.549504478331102
"賛成
・デジタル化",0.549504478331102
地方都市,0.549504478331102
民需主導,0.549504478331102
電波,0.549504478331102
"
・税金",0.549504478331102
分析,0.4923460644911534
都市,0.48496595719353097
円高,0.4805116068441507
慎重な対応,0.46946177065756567
零細企業,0.4624931013414723
最大限,0.4441439626732757
経済循環,0.4317214426747186
適正価格,0.4317214426747186
物価安定,0.42434133537709606
政策を進めること,0.4159730857065795
賃上げ促進税制,0.4159730857065795
財政規律,0.4159730857065795
金融教育,0.4159730857065795
意味,0.3953537985038437
公正な移行,0.3953537985038437
雇用促進策,0.3953537985038437
漁業者,0.3953537985038437
格差問題,0.3953537985038437
外国人材,0.3953537985038437
エネルギー価格,0.3953537985038437
存続,0.3953537985038437
輸出促進,0.3953537985038437
景気回復策,0.3953537985038437
"
・地方自治体",0.3824503936679358
理解を深める必要,0.3671829215371475
改善を提言,0.3671829215371475
特に若い世代,0.3671829215371475
育児休業給付,0.3671829215371475
"
・TPP",0.3671829215371475
必要だと認識,0.3671829215371475
農業経営,0.3671829215371475
産業界,0.3671829215371475
中小企業金融,0.3671829215371475
財政健全化,0.3671829215371475
若者雇用,0.3671829215371475
"賛成
・デフレ脱却",0.3671829215371475
それぞれ,0.3671829215371475
プライマリーバランス,0.3671829215371475
"
・経済活動",0.3553484638901446
不況,0.3553484638901446
生活支援,0.3553484638901446
促進を重視,0.3488337828689509
法定雇用率,0.3488337828689509
企業収益,0.3488337828689509
"
・感染症",0.3488337828689509
業種,0.34186511355285754
研究開発,0.33819538466389515
健全な発展,0.3263609270168923
不透明感,0.3263609270168923
福祉分野,0.3263609270168923
資金支援,0.3263609270168923
成長型経済,0.3263609270168923
取り扱い,0.3263609270168923
地方団体,0.3263609270168923
重要な課題,0.3263609270168923
倒産,0.3263609270168923
海外進出,0.3263609270168923
雇用慣行,0.3263609270168923
消費者被害,0.3263609270168923
消費者を守るため,0.3263609270168923
中小企業政策,0.3263609270168923
企業誘致,0.3263609270168923
防衛省,0.3263609270168923
人権,0.3263609270168923
地方交付税,0.3263609270168923
対象拡大,0.3263609270168923
合理的な価格形成,0.3263609270168923
所得補償制度,0.3263609270168923
経済指標,0.3263609270168923
補正予算案,0.3263609270168923
被災者支援,0.3263609270168923
意識改革,0.3263609270168923
必要だと提言,0.3263609270168923
正常化,0.3263609270168923
基本方針,0.3263609270168923
対応策,0.3263609270168923
物価目標,0.3263609270168923
住民税,0.3263609270168923
災害復旧,0.3263609270168923
定額給付金,0.3263609270168923
地域金融機関,0.3263609270168923
コストプッシュインフレ,0.3263609270168923
"賛成
・地方",0.31311570026687174
リスキリング,0.3083424215142141
商品,0.29819005005019594
職業訓練,0.29819005005019594
"
・補正予算",0.29819005005019594
公共工事,0.29819005005019594
価格形成,0.29819005005019594
東京一極集中,0.29819005005019594
"
・物価高騰",0.29819005005019594
野党,0.29819005005019594
所得再分配,0.29819005005019594
ことを評価,0.29167536902900226
資産,0.29167536902900226
現場,0.2899932828460175
成長を重視,0.28714021386361105
最大,0.28714021386361105
農林水産業,0.28714021386361105
適切な政策,0.28714021386361105
"
・個人",0.28714021386361105
環境政策,0.2812404917364226
厳しい中,0.2812404917364226
脱却するため,0.2812404917364226
"
・物価高",0.2775707628474603
視野,0.2775707628474603
策定,0.27506763262934175
一体,0.27506763262934175
・金融政策,0.2732511017029439
国内消費,0.2618224058793211
新たな施策,0.2618224058793211
地方大学,0.2618224058793211
IT投資,0.2618224058793211
"賛成
・消費税",0.2618224058793211
役所,0.2618224058793211
"
・農家",0.2618224058793211
少子化問題,0.2618224058793211
影響を軽減するため,0.2618224058793211
社会保障費,0.2618224058793211
その実施,0.2618224058793211
教育環境,0.2618224058793211
より多く,0.2618224058793211
保育士,0.2618224058793211
重点を置いていること,0.2618224058793211
洋上風力発電,0.2618224058793211
周知徹底,0.2618224058793211
基本,0.2618224058793211
デジタル化推進,0.2618224058793211
地域格差,0.2618224058793211
"
・東京一極集中",0.2618224058793211
従業員,0.2618224058793211
具体的な取り組み,0.2618224058793211
強化を提唱,0.2618224058793211
中小零細企業,0.2618224058793211
健全な成長,0.2618224058793211
必要性を示唆,0.2618224058793211
賃上げ支援,0.2618224058793211
経営難,0.2618224058793211
資金面,0.2618224058793211
流動化,0.2618224058793211
関係省庁,0.2618224058793211
中小企業施策,0.2618224058793211
借金,0.2618224058793211
"賛成
・地方経済",0.2618224058793211
スタンスを要約したもの,0.2618224058793211
自ら,0.2618224058793211
その際,0.2618224058793211
医療体制,0.2618224058793211
経済対策を提案,0.2618224058793211
雇用保護,0.2618224058793211
ワクチン接種,0.2618224058793211
専門的な知識,0.2618224058793211
後継者不足,0.2618224058793211
介入,0.2618224058793211
建設業界,0.2618224058793211
若者向け,0.2618224058793211
経済連携協定,0.2618224058793211
脱却を重視,0.2618224058793211
目標達成,0.2618224058793211
"
・全て",0.2618224058793211
賃金向上,0.2618224058793211
構造的な問題,0.2618224058793211
社会経済活動,0.2618224058793211
"
・円安",0.2618224058793211
健全化,0.2618224058793211
金融面,0.2618224058793211
"賛成
・デフレ",0.2618224058793211
税制上,0.2618224058793211
消費促進,0.2618224058793211
優遇措置,0.2618224058793211
インセンティブ,0.2618224058793211
"
・地方団体",0.2618224058793211
企業側,0.2618224058793211
はじめ,0.2618224058793211
"
・金融政策",0.2618224058793211
対象,0.25323866218792956
長期的な視点,0.24939988588076406
停滞,0.2472236064581685
運用,0.2458220645328801
デフレマインド,0.2441228287799202
進展,0.2441228287799202
