,pmi
アニマルウエルフェア,1.1693488397598881
そこ,1.1693488397598881
多子加算,1.1693488397598881
若者・子育て世代,1.1693488397598881
庶民,1.1693488397598881
国内消費,1.1693488397598881
ジビエ,1.1693488397598881
需要拡大,1.1693488397598881
輸入価格,1.1693488397598881
食品表示,1.1693488397598881
資産デフレ,1.1693488397598881
カーボンプライシング,1.1693488397598881
エネルギーコスト上昇,1.1693488397598881
発言をもと,1.1693488397598881
新たなビジネスモデル,1.1693488397598881
燃料価格,1.1693488397598881
両面,1.1693488397598881
消費行動,1.1693488397598881
消費者物価,1.1693488397598881
アフターコロナ,1.1693488397598881
事業承継税制,1.1693488397598881
両者,1.1693488397598881
官民連携,1.0515658041035045
企業間,1.0358174471353654
発言を基,1.0151981599326299
融資制度,1.0151981599326299
メリット,1.0151981599326299
エネルギーコスト,1.0151981599326299
中堅企業,0.9870272829659333
需要喚起,0.9686781442977369
デフレ状況,0.9462052884456782
喫緊,0.9462052884456782
福祉分野,0.9462052884456782
スタンスを分かりやすくまとめたもの,0.9462052884456782
活性化を図ること,0.9462052884456782
ガソリン税,0.9462052884456782
地方交付税,0.9462052884456782
経済見通し,0.9462052884456782
コストプッシュインフレ,0.9462052884456782
"
・賃金上昇",0.9462052884456782
商品,0.9180344114789819
興味,0.9180344114789819
タイミング,0.9180344114789819
賃上げを実現するため,0.8974151242762463
健全な成長,0.8816667673081071
賃上げ率,0.8816667673081071
労務費,0.8816667673081071
金融教育,0.8816667673081071
中小企業施策,0.8816667673081071
社会課題,0.8816667673081071
IT化,0.8816667673081071
"賛成
・全国一律",0.8816667673081071
中小企業政策,0.8816667673081071
建設業界,0.8816667673081071
関連性を指摘,0.8816667673081071
経営難,0.8816667673081071
"
・円安",0.8816667673081071
省エネ,0.8816667673081071
民間金融機関,0.8816667673081071
インボイス制度,0.8816667673081071
持続的な成長,0.8670679678869545
企業収益,0.8508951086413534
分析,0.84392643932526
海外市場,0.8328766031386752
実体経済,0.8328766031386752
意味,0.8328766031386752
新たな産業,0.8328766031386752
ライフスタイル,0.8328766031386752
包括的な対策,0.8328766031386752
海外進出,0.8126738958211556
理解を深めること,0.8126738958211556
競争力強化,0.8016240596345706
迅速な実施,0.8016240596345706
規制改革,0.7946553903184773
