,pmi
民主化,1.3278720669997555
新興国,1.3278720669997555
"
   ・デフレ",1.3278720669997555
創業支援,1.3278720669997555
国産ワクチン,1.3278720669997555
年功序列,1.3278720669997555
省エネ,1.3278720669997555
個人所得,1.3278720669997555
"
・終身雇用",1.3278720669997555
事業承継問題,1.3278720669997555
民間主導,1.3278720669997555
民間金融機関,1.3278720669997555
事業承継税制,1.3278720669997555
IT化,1.194340674375233
企業間,1.194340674375233
地域密着型,1.1737213871724972
中堅企業,1.1455505102058008
"賛成
・スタートアップ",1.1455505102058008
事業再生,1.1455505102058008
地域金融機関,1.1047285156855458
柔軟化,1.1047285156855458
両者,1.1047285156855458
大部分を占める中小企業,1.1047285156855458
中小企業を支える政策,1.1047285156855458
資金供給,1.0765576387188494
賃上げ率,1.0401899945479747
金融システム,1.0401899945479747
活性化を図るため,1.0401899945479747
国際的な協力,1.0401899945479747
脱却を重視,1.0401899945479747
新たなビジネスモデル,1.0401899945479747
"

以上",1.0401899945479747
サービス産業,1.0401899945479747
"
・金融政策",1.0401899945479747
DX,1.0401899945479747
浮き彫り,1.0401899945479747
需要喚起,1.009418335881221
企業収益,1.009418335881221
・金融政策,1.0050986747367046
"

全体",0.9976303801291787
海外市場,0.9913998303785425
減税政策,0.9913998303785425
産業政策,0.9913998303785425
国会議事録,0.9913998303785425
発言を基,0.9913998303785425
グローバル化,0.9913998303785425
融資制度,0.9913998303785425
経済指標,0.9711971230610232
持続的な成長,0.964966573310387
競争力強化,0.9601472868744382
"
・日銀",0.9601472868744382
金融機関,0.9513944957648435
資産デフレ,0.9224069588915912
プライマリーバランス,0.9224069588915912
健全な成長,0.9224069588915912
利上げ,0.9224069588915912
技術者,0.9224069588915912
軽減措置,0.9224069588915912
このため,0.9224069588915912
迅速な執行,0.9224069588915912
"
・TPP",0.9224069588915912
官民連携,0.9224069588915912
長期的な経済成長,0.9224069588915912
原材料費,0.9224069588915912
タイミング,0.9224069588915912
事業継続,0.9224069588915912
事業承継,0.9224069588915912
事業継承,0.9224069588915912
ビジネスチャンス,0.9224069588915912
商工中金,0.9224069588915912
中小企業金融,0.9224069588915912
飲食店,0.9224069588915912
ベンチャー企業,0.9224069588915912
新たな雇用創出,0.8860393147207163
新しい産業,0.8758869432566982
その実施,0.85786843775402
終身雇用,0.85786843775402
スタンスを要約したもの,0.85786843775402
金融面,0.85786843775402
経営改善,0.85786843775402
活力,0.8509479949094463
迅速な実施,0.8423642512180548
デフレ状況,0.8170464432337647
公的資金,0.8170464432337647
スタンスを分かりやすくまとめたもの,0.8170464432337647
政府系金融機関,0.8170464432337647
米国,0.8170464432337647
"
・働き方改革",0.8170464432337647
両面,0.8170464432337647
