,pmi
原子力政策,1.870956510889248
土地利用規制法案,1.870956510889248
公式見解,1.870956510889248
資本家,1.870956510889248
この法案,1.870956510889248
軍事一体化,1.870956510889248
有害廃棄物,1.870956510889248
解釈改憲,1.870956510889248
軍事戦略,1.7374251182647256
大軍拡,1.6886349540952936
軍事拡張,1.6478129595750384
海外派兵,1.608592246421757
子育て支援,1.583274438437467
基地建設,1.5455341104546203
"
・沖縄県民",1.5344842742680351
軍事費,1.5344842742680351
指揮下,1.5344842742680351
手法,1.5344842742680351
新基地建設,1.5344842742680351
憲法違反,1.5195586240513594
・憲法九条,1.4879642586331423
"
・憲法九条",1.4879642586331423
"反対
・集団的自衛権",1.481491744127525
軍事研究,1.4654914027810837
軍事目的,1.4654914027810837
官製談合,1.4654914027810837
特例措置,1.4654914027810837
辺野古新基地建設,1.4654914027810837
改憲,1.4654914027810837
警告,1.4460733169239823
危険性を指摘,1.411424181510808
基地周辺,1.4009528816435126
国際法違反,1.4009528816435126
軍事協力,1.4009528816435126
沖縄県民,1.3854486951075473
閣議決定,1.3854486951075473
社会問題,1.3601308871232574
反発,1.3601308871232574
イラク派遣,1.3601308871232574
憲法解釈変更,1.3601308871232574
大幅な増加,1.3601308871232574
新設,1.3601308871232574
年金,1.3601308871232574
県民,1.3403282598270778
軍拡,1.3244128045211783
問題であると指摘,1.3113407229538254
恐れ,1.3113407229538254
現政権,1.3113407229538254
環境保護,1.3113407229538254
軍事行動,1.3004116524216351
辺野古,1.2955923659856863
"反対
・政府",1.2831698459871292
反対意見,1.2731195101336277
防衛費を増やすこと,1.2648207073189326
先制攻撃,1.2648207073189326
危険性,1.2600474285662748
安倍政権,1.2519173024830248
"
・イラク",1.177809330329303
矛盾,1.177809330329303
大転換,1.177809330329303
保育,1.177809330329303
軍備強化,1.177809330329303
天下り問題,1.177809330329303
特別委員会,1.177809330329303
"慎重
・政府",1.177809330329303
財政再建,1.177809330329303
行使を認めること,1.177809330329303
姿勢を批判,1.177809330329303
戦争放棄,1.177809330329303
適切な管理,1.177809330329303
武力行使,1.177809330329303
官民連携,1.177809330329303
軍需産業,1.177809330329303
関係省庁間,1.177809330329303
安保政策,1.177809330329303
多額,1.177809330329303
市町村,1.177809330329303
ドイツ,1.177809330329303
活動拡大,1.177809330329303
財政難,1.177809330329303
遵守を重視,1.177809330329303
手続き,1.1237421090590272
憲法九条,1.1195404222053271
限られた財源,1.0977666226557665
集団的自衛権行使,1.0932519423012397
"反対
・防衛費",1.082499150524978
建設,1.082499150524978
沖縄基地問題,1.082499150524978
社会保障,1.0644806450222997
憲法9条,1.0600262946729193
代わり,1.0600262946729193
軍事活動,1.0600262946729193
自衛権行使,1.047756202081105
精神,1.0442779377047802
福祉,1.0442779377047802
危険,1.0396589918484855
反対の立場,1.0326273204848049
災害支援,1.0236586505020446
公文書,1.0236586505020446
地域振興,1.0236586505020446
無条件,1.0236586505020446
労働者,1.0236586505020446
決定,0.999117541585927
"
・軍事力",0.9954877735353482
米軍基地問題,0.9954877735353482
立憲主義,0.9836533158883454
重要な分野,0.9771386348671517
九条,0.9701699655510584
"懸念
・自衛隊",0.9680887993472338
"
 
",0.9546657790150931
アジア諸国,0.9546657790150931
基地問題,0.9546657790150931
動き,0.9546657790150931
軍事支援,0.9546657790150931
環境問題,0.9546657790150931
地域住民,0.9546657790150931
"
・防衛省・自衛隊",0.9546657790150931
市民,0.9546657790150931
批判的,0.9482348886848025
尊重,0.9326868722963179
いることを問題視,0.9264949020483967
地元住民,0.9264949020483967
子育て,0.9264949020483967
イラク,0.9154450658618117
欠如,0.9058756148456611
米軍基地,0.8990959278602823
戦争,0.8955768626450866
普天間基地,0.8901272578775218
自衛隊基地,0.8901272578775218
歴史的,0.8901272578775218
一体化,0.8901272578775218
子供,0.8901272578775218
与党,0.8901272578775218
反対,0.8748597857467335
基地,0.8593555992107682
批判,0.8544091752754426
対立,0.8413370937080898
平和的,0.8379415047069516
武力,0.8379415047069516
国民生活,0.8368827433587095
"

３．集団的",0.8329688440375733
"
・憲法",0.829502636061087
日本政府,0.829502636061087
可能性を指摘,0.8249879557065605
可能性を懸念,0.8211343863905705
解釈変更,0.8100845502039855
"
・沖縄",0.796441773800199
平和主義,0.7915755841490261
地産地消,0.7723442222211384
"
・米軍基地",0.7723442222211384
軍拡競争,0.7723442222211384
駐留軍労働者,0.7723442222211384
地域社会,0.7723442222211384
特定秘密保護法,0.7723442222211384
審議,0.7723442222211384
被災地,0.7723442222211384
武器購入,0.7723442222211384
合憲性,0.7723442222211384
ことを問題視,0.7723442222211384
彼,0.7723442222211384
重要分野,0.7723442222211384
敵基地攻撃能力,0.7723442222211384
厳しい姿勢,0.7723442222211384
非軍事,0.7723442222211384
国民目線,0.7723442222211384
政権,0.7723442222211384
日本国民,0.7723442222211384
声,0.7723442222211384
国際交流,0.7723442222211384
有効利用,0.7723442222211384
人口減少,0.7723442222211384
防衛目的,0.7723442222211384
若者,0.7723442222211384
国家公務員,0.7723442222211384
安倍内閣,0.7723442222211384
不満,0.7723442222211384
高齢者,0.7723442222211384
行使容認,0.7723442222211384
海外活動,0.7723442222211384
いないことを問題視,0.7723442222211384
代表,0.7723442222211384
機密情報,0.7723442222211384
二項,0.7723442222211384
早急な対応,0.7723442222211384
人口問題,0.7723442222211384
在日米軍基地,0.7723442222211384
懸念を表明,0.7625880472757737
教育,0.7558149202699278
民生,0.7529261363640369
資金,0.7529261363640369
容認,0.7338779413933424
問題視,0.7327350841260927
歴史,0.7315222277008833
住民,0.7315222277008833
人権,0.7258242065862455
懐疑的,0.7182770009508628
倍増,0.7182770009508628
専守防衛を重視,0.7182770009508628
あり方,0.713503722198205
安保法制,0.7078057010835673
意見をわかりやすくまとめたもの,0.7078057010835673
生活,0.703351350734187
沖縄,0.7008852582389934
基地負担,0.692301514547602
権利,0.692301514547602
ないまま,0.692301514547602
支配,0.692301514547602
平和憲法,0.692301514547602
混乱,0.692301514547602
影響を懸念,0.692301514547602
軍備,0.6813724440154117
減少,0.6813724440154117
"
・政府",0.6732533195769076
現状変更,0.6669837065633122
国内資源,0.6669837065633122
直接的な意見,0.6669837065633122
憲法第九条,0.6669837065633122
"懸念
・防衛予算",0.6669837065633122
イージス・アショア,0.6669837065633122
地元,0.6471810792671325
名,0.6471810792671325
非軍事的,0.6471810792671325
転用,0.6471810792671325
調査,0.6388128295966158
保有,0.631265623961233
行動,0.6284500425610693
経済安全保障政策,0.6181935423938801
近隣国,0.6181935423938801
平和外交,0.6181935423938801
軍事力強化,0.6181935423938801
予算増加,0.6181935423938801
医療支援,0.6181935423938801
"
・再生可能エネルギー",0.6181935423938801
日本国憲法,0.6181935423938801
憲法学者,0.6181935423938801
国会承認,0.6181935423938801
社会福祉,0.6181935423938801
化石燃料,0.6181935423938801
個人,0.6181935423938801
日米地位協定,0.6181935423938801
大学,0.6181935423938801
急増,0.6181935423938801
問題解決,0.6181935423938801
意見を簡潔にまとめたもの,0.6181935423938801
"
・集団的自衛権",0.6181935423938801
"
２．集団的",0.6087147984393364
疑問,0.6082761057365342
変更,0.6063590847468773
真,0.602445185425741
過去,0.602445185425741
否定的,0.5979908350763606
"
・米軍",0.5979908350763606
地方自治,0.5979908350763606
米軍,0.5920823983901944
無駄な支出,0.5900226654271838
合意,0.5716735267589873
防衛省・自衛隊,0.5716735267589873
縮小,0.5716735267589873
国民的な議論,0.5716735267589873
反省,0.5716735267589873
不祥事,0.5716735267589873
この点,0.5716735267589873
緊張,0.5626236912390693
十分な議論,0.5492006709069287
事故,0.5492006709069287
海外派遣,0.5452867715857923
形,0.5431583564509661
違憲,0.5418205636093062
秘密保護,0.535955444156908
無制限,0.535955444156908
憲法改正,0.5339331987761403
行政,0.5210297939402324
行使,0.5172383202039703
防衛を重視,0.5164108480839379
負担軽減,0.5128330267360538
"

２．集団的",0.5057155589671899
支出,0.5040802356264591
ない人,0.4943240606810944
周辺諸国,0.48466214976935756
平和国家,0.48466214976935756
予備費,0.48466214976935756
増額自体,0.48466214976935756
歳出削減,0.48466214976935756
隣国,0.48466214976935756
人命救助,0.48466214976935756
具体的なスタンス,0.48466214976935756
"
・自衛隊内",0.48466214976935756
いないと指摘,0.48466214976935756
長年,0.48466214976935756
国連安全保障理事会,0.48466214976935756
特定秘密,0.48466214976935756
アメリカ依存,0.48466214976935756
"

3. 集団的",0.48466214976935756
家族,0.48466214976935756
支援体制,0.48466214976935756
"

2．集団的",0.48466214976935756
基地負担軽減,0.48466214976935756
社会的,0.48466214976935756
財務省,0.48466214976935756
有効性,0.48466214976935756
理由,0.48466214976935756
公正性,0.48466214976935756
後方支援,0.48466214976935756
地元自治体,0.48466214976935756
特定秘密保護法案,0.48466214976935756
自然災害時,0.48466214976935756
防衛計画,0.48466214976935756
決議,0.48466214976935756
宇宙空間,0.48466214976935756
原子力発電所,0.48466214976935756
戦争を未然,0.48466214976935756
文脈,0.48466214976935756
どこ,0.48466214976935756
表明,0.47986597750586446
この要約,0.4757732023521115
知識,0.4750926987532068
ことを懸念,0.473851233665142
軍事的,0.4715900682020047
警戒,0.4700633503482049
条件,0.4621892939172989
"慎重
・自衛隊",0.4572631755812431
法改正,0.45187232694636664
慎重な議論,0.44957082995808745
理念,0.44957082995808745
原則,0.44784817664664117
民主主義,0.44384015524910236
主権,0.44384015524910236
財源,0.4409870862666959
自衛隊を明記すること,0.43587198559992557
合憲,0.43587198559992557
集団的自衛権,0.43447240524550224
"
・防衛省",0.4305949284990818
財政,0.4305949284990818
政治的,0.42403752795292265
問題を指摘,0.42403752795292265
