,pmi
選択肢を広げること,0.4488155489817781
原発維持,0.4488155489817781
"

３．安全性を最優先",0.4488155489817781
中立性,0.4488155489817781
"賛成
・大学",0.4488155489817781
閉鎖性,0.4488155489817781
産業競争力,0.4488155489817781
原賠法,0.4488155489817781
国際的な知見,0.4488155489817781
具体的な取り組み,0.4488155489817781
"

２．カーボンニュートラル",0.4488155489817781
消防団,0.4488155489817781
"
・浜岡原発",0.4488155489817781
移行期間,0.4488155489817781
核融合技術,0.4488155489817781
"賛成
・原子力発電所",0.4488155489817781
経済支援,0.4488155489817781
消費者庁,0.4488155489817781
"賛成
・エネルギー需要",0.4488155489817781
職員,0.4488155489817781
海上保安庁,0.4488155489817781
進捗状況,0.4488155489817781
力を入れる必要,0.4488155489817781
次世代革新炉,0.4488155489817781
持続可能なエネルギー供給,0.4488155489817781
産業推進,0.4488155489817781
終わり,0.4488155489817781
トルコ,0.4488155489817781
各地域,0.4488155489817781
農林水産業,0.4488155489817781
"反対
・現時点",0.4488155489817781
"
・温暖化対策",0.4488155489817781
新しい産業,0.4488155489817781
信頼関係を築くこと,0.4488155489817781
復興を最重要課題,0.4488155489817781
強化を重視,0.4488155489817781
適切な情報発信,0.4488155489817781
選定,0.4488155489817781
"
・原発技術",0.4488155489817781
環境問題解決,0.4488155489817781
港湾,0.4488155489817781
観光振興,0.4488155489817781
"
・新エネルギー",0.4488155489817781
環境省,0.4488155489817781
CO2削減目標,0.4488155489817781
未来志向,0.4488155489817781
原子力研究開発,0.4488155489817781
中立的,0.4488155489817781
第三者,0.4488155489817781
新産業,0.4488155489817781
試算,0.4488155489817781
米軍,0.4488155489817781
専門人材,0.4488155489817781
日印原子力協定,0.4488155489817781
"
・2050年",0.4488155489817781
原発導入,0.4488155489817781
コンプライアンス,0.4488155489817781
再処理体制,0.4488155489817781
国有化,0.4488155489817781
専門性,0.4488155489817781
国際的な共同研究,0.4488155489817781
原発建設計画,0.4488155489817781
差別意識,0.4488155489817781
原発を稼働させること,0.4488155489817781
軍事利用,0.4488155489817781
*要約,0.4488155489817781
完全廃炉,0.4488155489817781
長期活用,0.4488155489817781
地域エネルギー,0.4488155489817781
廃炉後,0.4488155489817781
多様化を推進,0.4488155489817781
開発利用,0.4488155489817781
バックエンド問題,0.4488155489817781
原子力損害賠償制度,0.4488155489817781
理解を重視,0.4488155489817781
不透明な中,0.4488155489817781
安定供給を重視,0.4488155489817781
CO2削減,0.4488155489817781
次世代原子炉,0.4488155489817781
抑制,0.4488155489817781
工程表,0.4488155489817781
仮設住宅,0.4488155489817781
厳格な安全確認,0.4488155489817781
揚水発電,0.4488155489817781
震災対策,0.4488155489817781
農林水産業再生,0.4488155489817781
特例措置,0.4488155489817781
きちんとした検証,0.4488155489817781
"
・発言",0.4488155489817781
支援措置,0.4488155489817781
早急な再稼働,0.4488155489817781
移住促進,0.4488155489817781
原子炉等規制法,0.4488155489817781
信頼を築く必要,0.4488155489817781
浄化槽,0.4488155489817781
"
・防波壁",0.4488155489817781
産業経済,0.4488155489817781
性質,0.4488155489817781
事情,0.4488155489817781
急務であると認識,0.4488155489817781
地方創生,0.4488155489817781
原子力災害被災地域,0.4488155489817781
電力市場,0.4488155489817781
過去10年間,0.4488155489817781
有効利用,0.4488155489817781
日本産,0.4488155489817781
優秀な人材,0.4488155489817781
既存原発,0.4488155489817781
消費者利益,0.4488155489817781
戦略的,0.4488155489817781
投資効果,0.4488155489817781
展示内容,0.4488155489817781
傘,0.4488155489817781
ない中傷,0.4488155489817781
経済性,0.4488155489817781
危機意識,0.4488155489817781
政府全体,0.4488155489817781
リスク低減,0.4488155489817781
"
・IAEA",0.4488155489817781
安全協定,0.4488155489817781
地域産業,0.4488155489817781
外交政策,0.4488155489817781
厳正な審査,0.4488155489817781
10年,0.4488155489817781
"
・資源",0.4488155489817781
支援体制,0.4488155489817781
廃炉・汚染水対策,0.4488155489817781
"強化を求める
・原発事故",0.4488155489817781
どちら,0.4488155489817781
妥当性,0.4488155489817781
不安を軽減するため,0.4488155489817781
克服,0.4488155489817781
リスク管理を重視,0.4488155489817781
資源利用,0.4488155489817781
フランス,0.4488155489817781
原発を停止すること,0.4488155489817781
利活用,0.4488155489817781
必要な人材,0.4488155489817781
喫緊,0.4488155489817781
安全性確認,0.4488155489817781
持続可能な発展,0.4488155489817781
共生,0.4488155489817781
復興庁,0.4488155489817781
アメリカ,0.4488155489817781
外部,0.4488155489817781
高温ガス炉,0.4488155489817781
大規模災害,0.4488155489817781
連携を強化すること,0.4488155489817781
スタンスをわかりやすく説明するもの,0.4488155489817781
継続的な支援,0.4488155489817781
慎重に進める必要,0.4488155489817781
緊張感,0.4488155489817781
超党派,0.4488155489817781
石炭政策,0.4488155489817781
"バランス
・再生可能エネルギー",0.4488155489817781
課税,0.4488155489817781
原発事故防止,0.4488155489817781
ウクライナ侵略,0.4488155489817781
安全性を確認すること,0.4488155489817781
冷却システム,0.4488155489817781
重要と強調,0.4488155489817781
劣化状況,0.4488155489817781
防災インフラ,0.4488155489817781
特措法,0.4488155489817781
世界最高水準,0.4488155489817781
二酸化炭素排出量,0.4488155489817781
廃炉措置,0.4488155489817781
浜岡原発,0.4488155489817781
公正性,0.4488155489817781
新たな技術,0.4488155489817781
冷静な議論,0.4488155489817781
不断,0.4488155489817781
輸入規制撤廃,0.4488155489817781
次世代原発,0.4488155489817781
経済活動,0.4488155489817781
経済振興,0.4488155489817781
発展を図る必要,0.4488155489817781
"
 
",0.4488155489817781
選挙区,0.4488155489817781
安全性を最重要,0.4488155489817781
安全最優先,0.4488155489817781
省エネ技術,0.4488155489817781
原発活用,0.4488155489817781
原子力を活用すること,0.4488155489817781
社会的な問題,0.4488155489817781
相手国,0.4488155489817781
信頼を回復するため,0.4488155489817781
廃炉研究,0.4488155489817781
安全性を高めるため,0.4488155489817781
経済回復,0.4488155489817781
"賛成
・関係自治体",0.4488155489817781
反原発,0.4488155489817781
国際的な原子力発電,0.4488155489817781
水素技術,0.4488155489817781
環境対策,0.4488155489817781
強い要望,0.4488155489817781
基盤整備,0.4488155489817781
"
・柏崎刈羽原発",0.4488155489817781
責任を持つこと,0.4488155489817781
原発ゼロを目指すこと,0.4488155489817781
"賛成
・資源",0.4488155489817781
寄与するため,0.4488155489817781
安全問題,0.4488155489817781
地域ごと,0.4488155489817781
専門学校,0.4488155489817781
電力料金,0.4488155489817781
条件付き,0.4488155489817781
重要だと認識,0.4488155489817781
過渡期,0.4488155489817781
経済的な理由,0.4488155489817781
原子力関係施設,0.4488155489817781
原発産業,0.4488155489817781
官民,0.4488155489817781
ヨルダン,0.4488155489817781
サプライチェーン,0.4488155489817781
国産エネルギー,0.4488155489817781
一貫した姿勢,0.4488155489817781
国際交渉,0.4488155489817781
重要なベースロード電源,0.4488155489817781
効率化,0.4488155489817781
いく方針,0.4488155489817781
依存度を下げる必要,0.4488155489817781
高校,0.4488155489817781
理解を深める努力,0.4488155489817781
原発コスト,0.4488155489817781
温室効果ガス削減,0.4488155489817781
原発関連法案,0.4488155489817781
原子力安全基盤機構廃止法,0.4488155489817781
いると評価,0.4488155489817781
独立した原子力規制委員会,0.4488155489817781
再稼働を進める方針,0.4488155489817781
避難対策,0.4488155489817781
産業界,0.4488155489817781
低コスト,0.4488155489817781
構築を重視,0.4488155489817781
法的な整備,0.4488155489817781
サイバーセキュリティ,0.4488155489817781
日本全体,0.4488155489817781
枠組み内,0.4488155489817781
原子力事業所,0.4488155489817781
必要であることを指摘,0.4488155489817781
原子力教育,0.4488155489817781
利点,0.4488155489817781
コスト削減,0.4488155489817781
エネルギー需要,0.4488155489817781
中長期的な支援,0.4488155489817781
長期的な視点,0.4488155489817781
地球温暖化防止,0.4488155489817781
・エネルギー基本計画,0.4488155489817781
低い日本,0.4488155489817781
廃止措置,0.4488155489817781
実績,0.4488155489817781
廃炉完了,0.4488155489817781
地産地消型,0.4488155489817781
処理水放出,0.4488155489817781
産品,0.4488155489817781
役割分担,0.4488155489817781
海洋生物,0.4488155489817781
軍事転用,0.4488155489817781
特別な支援,0.4488155489817781
すべて,0.4488155489817781
調査委員会,0.4488155489817781
次世代エネルギー,0.4488155489817781
耐震設計,0.4488155489817781
原子力規制行政,0.4488155489817781
税制上,0.4488155489817781
日米同盟,0.4488155489817781
基本政策,0.4488155489817781
課税制度,0.4488155489817781
継続利用,0.4488155489817781
地元理解,0.4488155489817781
参入,0.4488155489817781
外資,0.4488155489817781
関係省庁,0.4488155489817781
原発立地団体,0.4488155489817781
利害関係者,0.4488155489817781
未来世代,0.4488155489817781
高レベル廃棄物,0.4488155489817781
島々,0.4488155489817781
発言者,0.4488155489817781
健全な発展,0.4488155489817781
監視機関,0.4488155489817781
発電時,0.4488155489817781
