,pmi
利権,0.7156200364120039
特措法,0.7156200364120039
防災インフラ,0.7156200364120039
強い要望,0.7156200364120039
透明な説明,0.7156200364120039
揚水発電,0.7156200364120039
被害者保護,0.7156200364120039
取り返し,0.7156200364120039
耐震設計,0.7156200364120039
損害賠償制度,0.7156200364120039
核燃料サイクル政策,0.7156200364120039
分離,0.7156200364120039
"
・防波壁",0.7156200364120039
調整,0.7156200364120039
輸送,0.7156200364120039
核廃棄物問題,0.7156200364120039
超党派,0.7156200364120039
石炭政策,0.7156200364120039
"
・廃炉技術",0.7156200364120039
社会的責任,0.7156200364120039
古い原発,0.7156200364120039
安全最優先,0.7156200364120039
原発立地自治体,0.7156200364120039
構築を重視,0.7156200364120039
救済措置,0.7156200364120039
政府全体,0.7156200364120039
この意見,0.7156200364120039
消費者利益,0.7156200364120039
無限責任,0.7156200364120039
条件付き,0.7156200364120039
審査体制,0.7156200364120039
既存原発,0.7156200364120039
活断層,0.7156200364120039
"
   - 福島第一原発",0.7156200364120039
グリーンエネルギー,0.7156200364120039
運転停止,0.7156200364120039
避難対策,0.7156200364120039
安全文化,0.7156200364120039
再稼働を進める方針,0.7156200364120039
独立した原子力規制委員会,0.7156200364120039
教訓を基,0.7156200364120039
原発反対,0.7156200364120039
決定過程,0.7156200364120039
現段階,0.7156200364120039
両者,0.7156200364120039
利権構造,0.7156200364120039
産業推進,0.7156200364120039
厳格な審査,0.7156200364120039
コスト削減,0.7156200364120039
廃炉費用,0.7156200364120039
林業再生,0.7156200364120039
原子力安全行政,0.7156200364120039
不備を批判,0.7156200364120039
適切に機能していなかったこと,0.7156200364120039
原子力事業者,0.7156200364120039
必要な対策,0.7156200364120039
長期的なエネルギー政策,0.7156200364120039
国民的なコンセンサス,0.7156200364120039
稼働停止,0.7156200364120039
使用済燃料対策,0.7156200364120039
不断,0.7156200364120039
立地自治体,0.7156200364120039
経済振興,0.7156200364120039
発展を図る必要,0.7156200364120039
その準備,0.7156200364120039
縮小,0.7156200364120039
安全基準を満たす原発,0.7156200364120039
"疑問を持つ
・福島原発",0.7156200364120039
官邸,0.7156200364120039
国際的な流れ,0.7156200364120039
関係省庁,0.7156200364120039
影響を受けた被災者,0.7156200364120039
民意,0.7156200364120039
移行期間,0.7156200364120039
核融合技術,0.7156200364120039
独自性,0.7156200364120039
法的根拠,0.7156200364120039
開発利用,0.7156200364120039
国際的な共同研究,0.7156200364120039
人為的な過ち,0.7156200364120039
"支持
・脱炭素",0.7156200364120039
健康を重視,0.7156200364120039
国際的な原子力安全,0.7156200364120039
原子力事業者間,0.7156200364120039
管理運営能力,0.7156200364120039
核廃棄物,0.7156200364120039
日米同盟,0.7156200364120039
地産地消型,0.7156200364120039
がん対策,0.7156200364120039
廃炉プロセス,0.7156200364120039
リスク低減,0.7156200364120039
低コスト,0.7156200364120039
新たな基準,0.7156200364120039
"反対
・現時点",0.7156200364120039
影響を受けた住民,0.7156200364120039
公共,0.7156200364120039
安全リスク,0.7156200364120039
責任追及,0.7156200364120039
確保を最優先,0.7156200364120039
各地域,0.7156200364120039
「安全神話,0.7156200364120039
関連施設,0.7156200364120039
いない限り,0.7156200364120039
持続可能なエネルギー供給,0.7156200364120039
原発ゼロ法案,0.7156200364120039
外交政策,0.7156200364120039
家計,0.7156200364120039
コンプライアンス,0.7156200364120039
エネルギー確保,0.7156200364120039
国有化,0.7156200364120039
原発維持,0.7156200364120039
法的責任,0.7156200364120039
経済優先,0.7156200364120039
信頼関係を築くこと,0.7156200364120039
原発防護,0.7156200364120039
不可欠だと指摘,0.7156200364120039
原発を稼働させること,0.7156200364120039
賠償法,0.7156200364120039
支払い能力,0.7156200364120039
賠償スキーム,0.7156200364120039
*要約,0.7156200364120039
核技術,0.7156200364120039
完全廃炉,0.7156200364120039
長期活用,0.7156200364120039
訓練,0.7156200364120039
海上保安庁,0.7156200364120039
ごみ問題,0.7156200364120039
バックエンド問題,0.7156200364120039
革新原子力技術,0.7156200364120039
原子力損害賠償制度,0.7156200364120039
欲望,0.7156200364120039
小型モジュール炉,0.7156200364120039
"

３．安全性を最優先",0.7156200364120039
現在進行形,0.7156200364120039
リスク管理を重視,0.7156200364120039
原発関連予算,0.7156200364120039
原発マネー,0.7156200364120039
参入,0.7156200364120039
安全協定,0.7156200364120039
"*
   ",0.7156200364120039
"
・有事",0.7156200364120039
過信,0.7156200364120039
原子炉等規制法,0.7156200364120039
中長期的なエネルギー政策,0.7156200364120039
厳格な安全確認,0.7156200364120039
そのリスク,0.7156200364120039
原子力安全規制,0.7156200364120039
"
・原子力エネルギー",0.7156200364120039
相手国,0.7156200364120039
人間,0.7156200364120039
遅延,0.7156200364120039
核セキュリティー,0.7156200364120039
震災対策,0.7156200364120039
カーボンニュートラル実現,0.7156200364120039
原発運用,0.7156200364120039
最終処理,0.7156200364120039
一元化,0.7156200364120039
法律改正,0.7156200364120039
自由化,0.7156200364120039
地層処分,0.7156200364120039
その際,0.7156200364120039
外資,0.7156200364120039
支出,0.7156200364120039
原因解明,0.7156200364120039
環境負荷,0.7156200364120039
利害関係者,0.7156200364120039
"強化を求める
・原発事故",0.7156200364120039
あり方,0.7156200364120039
情報交換,0.7156200364120039
高レベル廃棄物,0.7156200364120039
誰,0.7156200364120039
安全性確認,0.7156200364120039
慎重に進める必要,0.7156200364120039
・エネルギー基本計画,0.7156200364120039
各省庁,0.7156200364120039
連携を強化すること,0.7156200364120039
具体的な計画,0.7156200364120039
高温ガス炉,0.7156200364120039
四十年,0.7156200364120039
どれ,0.7156200364120039
法治国家,0.7156200364120039
新たな原子力技術,0.7156200364120039
電力部門,0.7156200364120039
ヨルダン,0.7156200364120039
経済的な理由,0.7156200364120039
"
・脱炭素化",0.7156200364120039
進行状況,0.7156200364120039
重大事故,0.7156200364120039
プロセス,0.6747980418917487
"
・福島事故",0.6643267420244533
原子力事業,0.6643267420244533
最大限,0.6615528151417281
拡充,0.641512064258282
新設,0.6376584949422921
従来,0.6355773287384675
主力,0.6355773287384675
使用済み燃料,0.6355773287384675
即時,0.6286086594223741
