,pmi
"
・全て",0.2911970145592254
幅広い視点,0.2911970145592254
より効果的な施策,0.2911970145592254
無償化を提唱,0.2911970145592254
二地域居住,0.2911970145592254
移民受け入れ,0.2911970145592254
与野党,0.2911970145592254
金融立国,0.2911970145592254
世界,0.2911970145592254
実現可能性,0.2911970145592254
複雑化,0.2911970145592254
外国人労働力,0.2911970145592254
深刻な人口減少,0.2911970145592254
家族関係社会支出,0.2911970145592254
保育制度,0.2911970145592254
総合的な取り組み,0.2911970145592254
喪失,0.2911970145592254
子育て産業,0.2911970145592254
学費減免,0.2911970145592254
土地,0.2911970145592254
高校授業料無償化,0.2911970145592254
個人消費,0.2911970145592254
出生率1.8の達成,0.2911970145592254
景気対策,0.2911970145592254
社会保障政策,0.2911970145592254
現金支給,0.2911970145592254
高い保育,0.2911970145592254
"支持
・人口減少",0.2911970145592254
社会保障改革,0.2911970145592254
役割を果たすこと,0.2911970145592254
共感,0.2911970145592254
地方部,0.2911970145592254
基盤整備,0.2911970145592254
自動車学校,0.2911970145592254
国会職員,0.2911970145592254
無償教育,0.2911970145592254
さまざまな施策,0.2911970145592254
不安を解消すること,0.2911970145592254
"
・国内市場",0.2911970145592254
"
・人口減少時代",0.2911970145592254
ローカル路線,0.2911970145592254
アジア,0.2911970145592254
一億総活躍社会,0.2911970145592254
外国人材,0.2911970145592254
育児支援策,0.2911970145592254
無人化,0.2911970145592254
教育投資,0.2911970145592254
移転,0.2911970145592254
不可欠だと指摘,0.2911970145592254
助成制度,0.2911970145592254
社会制度,0.2911970145592254
自動車,0.2911970145592254
都市圏,0.2911970145592254
各省,0.2911970145592254
協力を重視,0.2911970145592254
受験圧力,0.2911970145592254
どれ,0.2911970145592254
住宅支援,0.2911970145592254
移民,0.2911970145592254
安倍政権,0.2911970145592254
包括的な支援策,0.2911970145592254
この状況,0.2911970145592254
十分でないと指摘,0.2911970145592254
都市機能,0.2911970145592254
"反対
・少子化",0.2911970145592254
学校再編,0.2911970145592254
質向上を重視,0.2911970145592254
首長,0.2911970145592254
質を重視,0.2911970145592254
近隣市町村,0.2911970145592254
町全体,0.2911970145592254
"
・全国",0.2911970145592254
生活基盤,0.2911970145592254
子供一人一人,0.2911970145592254
都市再生,0.2911970145592254
地方を活性化,0.2911970145592254
誘致,0.2911970145592254
幅広い施策,0.2911970145592254
結婚を促進する施策,0.2911970145592254
子ども手当法案,0.2911970145592254
農業事業者,0.2911970145592254
市場縮小,0.2911970145592254
深刻な影響を及ぼすため,0.2911970145592254
輸出促進,0.2911970145592254
経済規模,0.2911970145592254
輸出,0.2911970145592254
海外市場,0.2911970145592254
無人化技術,0.2911970145592254
"必要性を強調
・少子化問題",0.2911970145592254
経済構造,0.2911970145592254
中間所得世帯,0.2911970145592254
私学助成,0.2911970145592254
第一子,0.2911970145592254
希薄化,0.2911970145592254
就職難,0.2911970145592254
中間層,0.2911970145592254
増員,0.2911970145592254
