,pmi
無人化技術,4.148411783492376
無人アセット,4.148411783492376
自衛隊員,4.148411783492376
自衛隊,3.791736839553644
自衛官,3.742946675384212
省人化,3.742946675384212
防衛力,3.6375861597263857
"賛成
・2030年",3.455264602932431
女性自衛官,3.455264602932431
防衛省,3.455264602932431
その他,3.2321210516182215
募集環境,3.0497994948242666
託児所,3.0497994948242666
無人化,3.0497994948242666
多様な施策,2.762117422372486
複雑な課題,2.762117422372486
人材不足,2.762117422372486
優秀な人材,2.762117422372486
この状況,2.538973871058276
"賛成
・子ども手当",2.538973871058276
影響を与えていることを指摘,2.538973871058276
生徒,2.538973871058276
幅広い施策,2.538973871058276
財政問題,2.538973871058276
人材確保,2.3566523142643216
影響を及ぼしていると指摘,2.3566523142643216
研究,2.3566523142643216
安全保障,2.3566523142643216
結婚支援,2.202501634437063
"
・防衛費",2.202501634437063
その結果,2.202501634437063
国力,2.202501634437063
重要であるとの認識,2.202501634437063
負担を軽減するため,2.0689702418125404
再検討,2.0689702418125404
適切な支援,2.0689702418125404
2030年,2.0689702418125404
技術革新,1.951187206156157
厳しさ,1.951187206156157
課題であると指摘,1.951187206156157
充実を重視,1.951187206156157
多角的なアプローチ,1.8458266904983307
両方,1.8458266904983307
防衛費,1.8458266904983307
人材育成,1.8458266904983307
少子化解決,1.8458266904983307
必要性を示唆,1.8458266904983307
影響を与えるため,1.750516510694006
人数,1.750516510694006
人材,1.7280436548419473
支援を提案,1.663505133704376
運用,1.663505133704376
幸福,1.663505133704376
賛同,1.622683139184121
運営,1.622683139184121
充実を提案,1.5834624260308396
安全,1.5834624260308396
この発言,1.5093544538771178
個々,1.5093544538771178
"
・今後",1.5093544538771178
処遇改善,1.5093544538771178
処遇,1.4403615823901663
対応策,1.3758230612525952
一体,1.3151984394361604
再考,1.3151984394361604
"懸念
・少子化",1.286210902562908
設置,1.2580400255962119
"重要
・少子化",1.2580400255962119
他,1.2580400255962119
分野,1.2039728043259361
困難,1.2039728043259361
改善を提案,1.2039728043259361
技術,1.2039728043259361
ことを提案,1.1526795099383853
存在,1.1038893457689534
活動,1.1038893457689534
不妊治療,1.1038893457689534
方向性,1.0573693301340605
同時,1.0573693301340605
継続,1.0129175675632267
"
・国",0.9703579531444309
活力,0.9703579531444309
危機感を表明,0.9703579531444309
重要な課題,0.9497386659416952
課題であると認識,0.9295359586241757
少子高齢化,0.9295359586241757
"
・結婚",0.9295359586241757
必要性を指摘,0.909733331327996
必須,0.8903152454708944
警告,0.8903152454708944
環境を整えること,0.8649974374866045
増税,0.8525749174880475
学生,0.8525749174880475
方法,0.8525749174880475
検討,0.8403048248962329
今,0.7926767759069784
重要であると認識,0.7811159535059026
"
・子ども・子育て支援",0.7811159535059026
"
・現行",0.7811159535059026
いることを指摘,0.7811159535059026
"
・少子高齢化",0.7472144018302211
"
・子ども手当",0.7472144018302211
ことを指摘,0.6889454937062454
結果,0.68267588069265
利用,0.6519042220258962
今後,0.6519042220258962
導入,0.6368663446613557
発言,0.622051258876215
中心,0.622051258876215
必要だと訴え,0.5930637220029628
いると指摘,0.5930637220029628
懸念を表明,0.5930637220029628
進行,0.583584978048419
意義,0.5648928450362665
施設,0.5648928450362665
最大,0.5648928450362665
ことを強調,0.5510995229039306
影響,0.5298015252249964
関連性,0.5108256237659907
位置づけ,0.5108256237659907
"重要性を強調
・少子化",0.5020919437972361
"提案
・少子化",0.48485013736273
若者,0.48485013736273
子ども手当,0.45953232937844013
背景,0.45953232937844013
"
・子ども",0.45953232937844013
必要性を強調,0.447109809379883
確保,0.4299735271368958
ことを認識,0.41074216520900814
危機感,0.39890770756200533
そのため,0.387211667798814
重要性を認識,0.3718267489593346
懸念,0.3566749439387324
いること,0.35292259432018186
総合的,0.3417492937220567
具体的な対策,0.3417492937220567
中,0.3270431463323613
手当,0.3089594708990658
対応,0.29295912955262465
これ,0.2855790222550021
増加,0.26684798554893896
一環,0.2565914853817499
基盤,0.2565914853817499
育成,0.2565914853817499
家族,0.2565914853817499
少子化問題,0.25077751551632993
若い世代,0.23638877806423034
現実,0.2165861507680507
解決策,0.19716806491094901
危機,0.19716806491094901
上,0.18950519216537995
形,0.17811986994025458
低下,0.15942773692810217
考慮,0.1410785982599056
提案,0.13744883020932683
現状,0.12306009275722721
認識,0.10536051565782635
必要性,0.09445528217556394
表明,0.0937324776627072
保育所,0.08796877294595722
人,0.08605489676367302
軽減,0.07087433958665709
力,0.07087433958665709
子育て支援策,0.05406722127027579
方針,0.05406722127027579
こと,0.04668711397265326
重要性,0.03958920208962254
出生率向上,0.03753791931906524
子ども・子育て支援,0.03753791931906524
強調,0.03753791931906524
必要性を訴え,0.026668247082161273
高齢化,0.02127739844728488
"
要約",0.019486887673496694
考え,0.009822519472518434
"
",0.0
要約,0.0
向上,-0.005249355886143678
強化,-0.0336383591488298
訴え,-0.036179656577502356
育児支援,-0.041242958534049134
関心,-0.054146363369956936
状況,-0.05628083589858958
ため,-0.0581447693366523
問題,-0.058410762156414484
示唆,-0.07109592168373022
"
・現在",-0.07109592168373022
"
・少子化",-0.07598590697792199
・少子化,-0.07598590697792199
指摘,-0.0794641713542468
この要約,-0.0794641713542468
"

",-0.08206495305430417
際,-0.08569472110488296
少子化,-0.0947119147550716
必要,-0.09650563720909862
政治,-0.10008345855698253
課題,-0.10483406131558039
重要性を強調,-0.12547269256180207
支持,-0.12825433552367885
財源確保,-0.14204765765601474
いる現状,-0.14204765765601474
女性,-0.14204765765601474
現行,-0.15565330971179328
未来,-0.15565330971179328
日本,-0.15565330971179328
少子化対策,-0.16142810920567718
結婚,-0.169076330043934
"
・人口減少",-0.17572087276260262
負担軽減,-0.1823215567939546
知識,-0.18887895734011367
ない人,-0.19322679027621706
支援策,-0.2018661528669248
"
・人口",-0.2018661528669248
対策,-0.20646386211555434
"賛成
・少子化",-0.22103606897464506
意識,-0.22103606897464506
もの,-0.22734523816790975
国,-0.2304849581725775
期待,-0.2583074637718767
支援,-0.26074351856975775
議論,-0.2704288243042214
方,-0.2824050153509372
スタンス,-0.2824050153509372
役割,-0.29423947299793995
負担,-0.29423947299793995
具体的な施策,-0.3059355127611313
活用,-0.3174963351622072
重視,-0.3174963351622072
姿勢,-0.3513978868378886
環境,-0.36610403422758403
子ども,-0.3787968610260031
減少,-0.38776553100876343
税,-0.3948829987776275
維持,-0.3948829987776275
将来,-0.40546510810816444
ら,-0.4096667949618644
共,-0.4262991950110063
急務,-0.43655569517819537
財政,-0.4467080666422135
主張,-0.456758402495715
社会保障,-0.456758402495715
現在,-0.4667087333488829
数,-0.4667087333488829
アプローチ,-0.48631720473725926
国民,-0.505548566665147
不足,-0.5150273106196908
予算,-0.5150273106196908
すること,-0.5181670306243584
実施,-0.5520685823000397
拡充,-0.5520685823000397
関連,-0.5611184178199576
解決,-0.587786664902119
実現,-0.5965203448708736
人口減少,-0.6094794895133789
子育て,-0.633508914240214
見解,-0.663772571880041
具体的,-0.6718697821126605
"
・子育て",-0.6718697821126605
賛成,-0.6799019538099246
人口,-0.719122666963206
"
・日本",-0.7267855397087751
・子育て支援,-0.7642431022436755
保育,-0.8003481068857918
世代,-0.8003481068857918
財源,-0.8144328467675308
出生率,-0.8283219589281979
施策,-0.8283219589281979
促進,-0.8420208032863599
子育て支援,-0.8688680533225479
場,-0.9014442237571606
