,pmi
近い場所,0.39397072868242927
参加型,0.39397072868242927
系統強化,0.39397072868242927
地域防災力,0.39397072868242927
防災力,0.39397072868242927
各自治体,0.39397072868242927
積極的に対応する必要,0.39397072868242927
"賛成
・二酸化炭素の貯留",0.39397072868242927
世界的な取り組み,0.39397072868242927
"賛成
・2030年度",0.39397072868242927
難しい産業,0.39397072868242927
クリーンな水素,0.39397072868242927
産業分野,0.39397072868242927
官民連携,0.39397072868242927
ハイブリッドシステム,0.39397072868242927
公的機関,0.39397072868242927
燃料課税,0.39397072868242927
米価,0.39397072868242927
"言及
・地球温暖化",0.39397072868242927
水力エネルギー,0.39397072868242927
賦課金,0.39397072868242927
意見を理解しやすくまとめたもの,0.39397072868242927
譲与割合,0.39397072868242927
消費者,0.39397072868242927
国民理解,0.39397072868242927
"賛成
・温室効果ガス削減目標",0.39397072868242927
交通分野,0.39397072868242927
現時点,0.39397072868242927
機能不全,0.39397072868242927
社会資本,0.39397072868242927
加速化,0.39397072868242927
都市化,0.39397072868242927
普及啓発,0.39397072868242927
日本人,0.39397072868242927
海洋酸性化,0.39397072868242927
ゾーニング,0.39397072868242927
空港,0.39397072868242927
公共部門,0.39397072868242927
フュージョンエネルギー,0.39397072868242927
河川整備,0.39397072868242927
基本方針,0.39397072868242927
新しい知見,0.39397072868242927
廃棄物処理,0.39397072868242927
一般廃棄物,0.39397072868242927
産業廃棄物,0.39397072868242927
積極的な参加,0.39397072868242927
分散型電源,0.39397072868242927
NPT体制,0.39397072868242927
社会保障費,0.39397072868242927
安定確保,0.39397072868242927
農業者,0.39397072868242927
人向け,0.39397072868242927
"
・政治家",0.39397072868242927
"
・農林水産省",0.39397072868242927
消費者負担,0.39397072868242927
長期優良住宅,0.39397072868242927
"
・自転車",0.39397072868242927
若手研究者,0.39397072868242927
スタンスを示すもの,0.39397072868242927
官民ファンド,0.39397072868242927
政府主導,0.39397072868242927
持続可能な林業,0.39397072868242927
"賛成
・森林整備",0.39397072868242927
鉄鋼業,0.39397072868242927
"賛成
・農林漁業",0.39397072868242927
交通政策,0.39397072868242927
交通基本法,0.39397072868242927
"
・気候変動サミット",0.39397072868242927
国会議員,0.39397072868242927
官房長官,0.39397072868242927
平準化,0.39397072868242927
見通し,0.39397072868242927
比率を上げること,0.39397072868242927
スマートコミュニティ,0.39397072868242927
