,pmi
近い場所,0.5283187812135078
クアッド首脳会談,0.5283187812135078
暑さ対策,0.5283187812135078
環境委員,0.5283187812135078
"
・気象庁",0.5283187812135078
循環経済,0.5283187812135078
低い日本,0.5283187812135078
核融合エネルギー,0.5283187812135078
海洋環境保全,0.5283187812135078
縦割り行政,0.5283187812135078
海洋環境,0.5283187812135078
資源獲得競争,0.5283187812135078
仙台防災枠組み,0.5283187812135078
100%,0.5283187812135078
あまり詳しくない方,0.5283187812135078
「グリーンGDP,0.5283187812135078
増産,0.5283187812135078
再生可能エネルギー事業,0.5283187812135078
米豪印,0.5283187812135078
三井住友銀行,0.5283187812135078
森林取得,0.5283187812135078
機能不全,0.5283187812135078
海洋酸性化,0.5283187812135078
"
・国民全体",0.5283187812135078
フュージョンエネルギー,0.5283187812135078
公共部門,0.5283187812135078
空港,0.5283187812135078
蓄電池技術,0.5283187812135078
ゾーニング,0.5283187812135078
環境立国,0.5283187812135078
日本人,0.5283187812135078
原子力利用,0.5283187812135078
長期的な温室効果ガス削減,0.5283187812135078
鉄道貨物,0.5283187812135078
先住民,0.5283187812135078
CO₂削減,0.5283187812135078
当面,0.5283187812135078
風力エネルギー,0.5283187812135078
都市化,0.5283187812135078
適合義務化,0.5283187812135078
最新技術,0.5283187812135078
免税措置,0.5283187812135078
FIT制度,0.5283187812135078
発電コスト,0.5283187812135078
環境性能,0.5283187812135078
長期戦略,0.5283187812135078
低いため,0.5283187812135078
地震災害,0.5283187812135078
"
・発展途上国",0.5283187812135078
観光資源,0.5283187812135078
クリーンエネルギー分野,0.5283187812135078
多様なステークホルダー,0.5283187812135078
安定性を重視,0.5283187812135078
スタンスをわかりやすく整理したもの,0.5283187812135078
早期再稼働,0.5283187812135078
世論,0.5283187812135078
沖縄電力,0.5283187812135078
法治国家,0.5283187812135078
重要な電源,0.5283187812135078
系統接続,0.5283187812135078
エネルギー確保,0.5283187812135078
外務省,0.5283187812135078
インフラ投資,0.5283187812135078
生活様式,0.5283187812135078
"
・米軍",0.5283187812135078
基地建設,0.5283187812135078
力を入れる必要,0.5283187812135078
民間投資,0.5283187812135078
人材確保,0.5283187812135078
化石燃料事業,0.5283187812135078
可能な限り,0.5283187812135078
意見をわかりやすく整理したもの,0.5283187812135078
地域創生,0.5283187812135078
国際的な温暖化防止,0.5283187812135078
地元住民,0.5283187812135078
欧州,0.5283187812135078
共通の認識,0.5283187812135078
新規建設,0.5283187812135078
補助制度,0.5283187812135078
国際基準,0.5283187812135078
国益,0.5283187812135078
地方公共団体,0.5283187812135078
現状評価,0.5283187812135078
80％,0.5283187812135078
長期優良住宅,0.5283187812135078
民有林,0.5283187812135078
"
・国有林",0.5283187812135078
期待を表明,0.5283187812135078
若手研究者,0.5283187812135078
民法,0.5283187812135078
海上都市,0.5283187812135078
社会保障費,0.5283187812135078
官民ファンド,0.5283187812135078
カーボンプライシング,0.5283187812135078
政府主導,0.5283187812135078
新しい産業,0.5283187812135078
その解決,0.5283187812135078
"賛成
・エネルギー供給",0.5283187812135078
アジア各国,0.5283187812135078
持続可能な林業,0.5283187812135078
鉄鋼業,0.5283187812135078
電力料金,0.5283187812135078
"賛成
・特に洋上風力発電",0.5283187812135078
"
・従来",0.5283187812135078
再生可能エネルギー関連産業,0.5283187812135078
"賛同
・2050年",0.5283187812135078
発送電,0.5283187812135078
分離,0.5283187812135078
導入を強く推進,0.5283187812135078
科学的,0.5283187812135078
"
・観光地",0.5283187812135078
環境汚染,0.5283187812135078
投資拡大,0.5283187812135078
持続可能な管理,0.5283187812135078
"
・政治家",0.5283187812135078
"賛成
・福島県",0.5283187812135078
技術革新を重視,0.5283187812135078
竹島周辺海域,0.5283187812135078
支配,0.5283187812135078
次世代技術,0.5283187812135078
"賛成
・竹島周辺",0.5283187812135078
スタンスを理解するために作成したもの,0.5283187812135078
"
・気候変動サミット",0.5283187812135078
許認可,0.5283187812135078
公的機関,0.5283187812135078
"賛成
・福島",0.5283187812135078
一緒,0.5283187812135078
漁獲量,0.5283187812135078
産業廃棄物,0.5283187812135078
一般廃棄物,0.5283187812135078
廃棄物処理,0.5283187812135078
徐々,0.5283187812135078
国有林,0.5283187812135078
"言及
・再生可能エネルギー",0.5283187812135078
労働者,0.5283187812135078
新しい知見,0.5283187812135078
設備投資促進税制,0.5283187812135078
抑制を重視,0.5283187812135078
貢献を重視,0.5283187812135078
"賛成
・農林水産業",0.5283187812135078
ハイブリッド技術,0.5283187812135078
河川整備,0.5283187812135078
電力部門,0.5283187812135078
金融機関,0.5283187812135078
分散型電源,0.5283187812135078
平準化,0.5283187812135078
ハイブリッドシステム,0.5283187812135078
官民連携,0.5283187812135078
官房長官,0.5283187812135078
先進技術,0.5283187812135078
発展途上国,0.5283187812135078
環境行政,0.5283187812135078
"賛成
・二酸化炭素の貯留",0.5283187812135078
土砂災害対策,0.5283187812135078
低消費電力,0.5283187812135078
見通し,0.5283187812135078
コスト低減,0.5283187812135078
系統強化,0.5283187812135078
"賛成
・政府",0.5283187812135078
一定,0.5283187812135078
NPT体制,0.5283187812135078
選定,0.5283187812135078
高効率石炭火力発電技術,0.5283187812135078
新興国,0.5283187812135078
交通体系,0.5283187812135078
逆手,0.5283187812135078
ESG投資,0.5283187812135078
取得,0.5283187812135078
麻生大臣,0.5283187812135078
地軸,0.5283187812135078
乏しいため,0.5283187812135078
グリーンボンド,0.5283187812135078
償還財源,0.5283187812135078
特に脱炭素,0.5283187812135078
"
・環境対策",0.5283187812135078
地球温暖化対策計画,0.5283187812135078
電気代,0.5283187812135078
さまざまな省庁,0.5283187812135078
都道府県,0.5283187812135078
維持修繕,0.5283187812135078
生産量,0.5283187812135078
対応を提案,0.5283187812135078
特定分野,0.5283187812135078
グリーン水素,0.5283187812135078
非化石エネルギー源,0.5283187812135078
"支持
・資源",0.5283187812135078
カーボンニュートラルポート,0.5283187812135078
LNG火力,0.5283187812135078
物づくり大国,0.5283187812135078
"
・民生",0.5283187812135078
核問題,0.5283187812135078
エネルギー消費削減目標,0.5283187812135078
魚,0.5283187812135078
自然科学,0.5283187812135078
魚種,0.5283187812135078
キーワード,0.5283187812135078
メタンガス,0.5283187812135078
"賛成
・パリ協定",0.5283187812135078
憲法改定,0.5283187812135078
貧困,0.5283187812135078
土砂災害,0.5283187812135078
燃料電池,0.5283187812135078
献金,0.5283187812135078
CO2排出対策,0.5283187812135078
国際的な環境問題,0.5283187812135078
再生可能エネルギー外交,0.5283187812135078
"
・福島原発事故",0.5283187812135078
農業共済事業,0.5283187812135078
エネルギー部門,0.5283187812135078
再資源化,0.5283187812135078
港湾地域,0.5283187812135078
水素事業,0.5283187812135078
次世代燃料,0.5283187812135078
高コスト,0.5283187812135078
安定性向上,0.5283187812135078
国際的な温室効果ガス削減,0.5283187812135078
航行,0.5283187812135078
産業団体,0.5283187812135078
エネルギー自立型,0.5283187812135078
ビル,0.5283187812135078
難しいと指摘,0.5283187812135078
自民党政権,0.5283187812135078
貧困撲滅,0.5283187812135078
理解を深める努力,0.5283187812135078
運輸部門,0.5283187812135078
必要であるとの意見,0.5283187812135078
"
・国連",0.5283187812135078
影響を証明するため,0.5283187812135078
いると批判,0.5283187812135078
地産地消型,0.5283187812135078
北極域,0.5283187812135078
温暖化ガス削減,0.5283187812135078
地形,0.5283187812135078
人類共通の喫緊,0.5283187812135078
廃棄物分野,0.5283187812135078
景観,0.5283187812135078
代替フロン,0.5283187812135078
国産エネルギー,0.5283187812135078
"

２．国際的な協力を重視",0.5283187812135078
先駆け,0.5283187812135078
地方金融機関,0.5283187812135078
その衰退,0.5283187812135078
調和を図る必要,0.5283187812135078
天候,0.5283187812135078
農業現場,0.5283187812135078
ESG,0.5283187812135078
海域,0.5283187812135078
医療,0.5283187812135078
再生可能エネルギー技術,0.5283187812135078
請負業者,0.5283187812135078
特性を生かした取り組み,0.5283187812135078
需要地,0.5283187812135078
港湾整備,0.5283187812135078
80%,0.5283187812135078
グローバリゼーション,0.5283187812135078
国際的な合意,0.5283187812135078
環境アセスメント,0.5283187812135078
揮発油税,0.5283187812135078
この分野,0.5283187812135078
"

以上",0.5283187812135078
石油依存度,0.5283187812135078
主軸,0.5283187812135078
省エネルギー技術,0.5283187812135078
初期投資,0.5283187812135078
国際的な合意形成,0.5283187812135078
大幅削減,0.5283187812135078
ガバナンス,0.5283187812135078
研究機関,0.5283187812135078
IT技術,0.5283187812135078
いる政治家,0.5283187812135078
地域連携,0.5283187812135078
研究開発を進めること,0.5283187812135078
炭素税,0.5283187812135078
生産者,0.5283187812135078
事業環境,0.5283187812135078
"賛成
・GPU",0.5283187812135078
地震リスク,0.5283187812135078
漁場,0.5283187812135078
カーボンニュートラルを進めること,0.5283187812135078
南極地域,0.5283187812135078
高い観測データ,0.5283187812135078
由来,0.5283187812135078
導入を重視,0.44827607353997145
共同,0.44827607353997145
安定したエネルギー供給,0.4413074042238781
経済性,0.4413074042238781
"
・パリ協定",0.4413074042238781
"懸念
・再生可能エネルギー",0.43300860140918307
いう意見,0.43300860140918307
整合性,0.43300860140918307
特定,0.43300860140918307
明確化,0.4229582655556815
併用,0.4229582655556815
"
・再生可能エネルギー導入",0.4229582655556815
カーボンニュートラルを達成するため,0.4170931461032835
スタンスを理解するため,0.41499009590650465
国際的な協調,0.41053574555712447
グリーントランスフォーメーション,0.41053574555712447
不可欠であると認識,0.41053574555712447
多様性を重視,0.41053574555712447
国際的な視点,0.41053574555712447
新たな産業,0.41053574555712447
ビジョン,0.39478738858898527
運営,0.39478738858898527
一部,0.39478738858898527
経済活性化,0.39478738858898527
動き,0.39478738858898527
日本全体,0.39478738858898527
世界全体,0.39478738858898527
気候変動政策,0.39478738858898527
時間,0.39478738858898527
中国,0.3817153070216325
自然エネルギー,0.3741681013862495
地域レベル,0.3741681013862495
"

４．国際的な協力を重視",0.3741681013862495
"
・企業",0.3741681013862495
原子力発電所,0.3741681013862495
原子力政策,0.3741681013862495
カーボンニュートラル社会,0.3741681013862495
日米,0.3741681013862495
導入を提案,0.3741681013862495
木質バイオマス,0.3741681013862495
情報開示,0.3741681013862495
役割を評価,0.3741681013862495
扱い,0.3741681013862495
意味,0.3741681013862495
プラス,0.3741681013862495
"
・自治体",0.3741681013862495
"

２．原子力エネルギー",0.3741681013862495
"
・海",0.3741681013862495
技術的,0.3741681013862495
外国,0.3741681013862495
変更,0.3741681013862495
海外,0.3657998517157329
合意形成,0.36126469655034166
イノベーション,0.3584197444181105
"
・太陽光",0.3564685242868486
洋上風力,0.3539653940687302
導入拡大,0.3524281147498437
"
・途上国",0.3459972244195533
資源循環,0.3459972244195533
早期,0.3459972244195533
技術力,0.3459972244195533
自動車産業,0.3459972244195533
"支持
・温暖化対策",0.3459972244195533
"
・環境省",0.3459972244195533
国際社会全体,0.3459972244195533
注意を払う必要,0.3459972244195533
地熱発電,0.3459972244195533
原子力エネルギー,0.3459972244195533
重要なエネルギー源,0.3459972244195533
電気料金,0.3459972244195533
"賛成
・地方",0.3459972244195533
グローバルな課題,0.3459972244195533
国際ルール,0.3459972244195533
ゼロエミッション,0.3459972244195533
