,pmi
近い場所,0.4141734359999487
高温耐性品種,0.4141734359999487
解明,0.4141734359999487
国際的なルール,0.4141734359999487
蓄電技術,0.4141734359999487
新増設,0.4141734359999487
意見をまとめたもの,0.4141734359999487
耐震性,0.4141734359999487
次世代技術,0.4141734359999487
成長戦略,0.4141734359999487
パターン,0.4141734359999487
利用を促進すること,0.4141734359999487
地方経済を活性化,0.4141734359999487
"賛成
・バイオマス発電",0.4141734359999487
使い道,0.4141734359999487
電力料金,0.4141734359999487
政策推進,0.4141734359999487
"賛同
・2050年",0.4141734359999487
関係省庁,0.4141734359999487
"
・国有林",0.4141734359999487
国産化,0.4141734359999487
交通政策,0.4141734359999487
"賛成
・農林漁業",0.4141734359999487
労働者,0.4141734359999487
鉄鋼業,0.4141734359999487
持続可能な林業,0.4141734359999487
スタンスを示すもの,0.4141734359999487
若手研究者,0.4141734359999487
消費者負担,0.4141734359999487
自主防災組織,0.4141734359999487
国際的な温室効果ガス排出削減,0.4141734359999487
"反対
・ガソリン補助",0.4141734359999487
持続可能な管理,0.4141734359999487
"賛成
・竹島周辺",0.4141734359999487
竹島周辺海域,0.4141734359999487
投資拡大,0.4141734359999487
民有林,0.4141734359999487
"
・公立学校",0.4141734359999487
原発停止後,0.4141734359999487
高まり,0.4141734359999487
"

４．国際的な協力を重視",0.4141734359999487
世界的な人口増加,0.4141734359999487
経済界,0.4141734359999487
経済政策,0.4141734359999487
アジア各国,0.4141734359999487
主要排出国,0.4141734359999487
水力エネルギー,0.4141734359999487
"
・地域ごと",0.4141734359999487
違法伐採,0.4141734359999487
不可欠と認識,0.4141734359999487
熱中症対策,0.4141734359999487
最小限,0.4141734359999487
スタンスを理解するために作成したもの,0.4141734359999487
米価,0.4141734359999487
"懸念
・温暖化対策",0.4141734359999487
不安定化,0.4141734359999487
賦課金,0.4141734359999487
人権問題,0.4141734359999487
家庭,0.4141734359999487
水資源管理,0.4141734359999487
革新技術,0.4141734359999487
私たち,0.4141734359999487
極端な気象現象,0.4141734359999487
豪雪,0.4141734359999487
自動販売機,0.4141734359999487
国際貢献,0.4141734359999487
人向け,0.4141734359999487
"賛成
・温暖化対策",0.4141734359999487
新技術開発,0.4141734359999487
食料自給力,0.4141734359999487
補助金制度,0.4141734359999487
カーボンニュートラルを達成すること,0.4141734359999487
長期戦略,0.4141734359999487
地方財源,0.4141734359999487
交通基本法,0.4141734359999487
国会議員,0.4141734359999487
エネルギー起源,0.4141734359999487
化石燃料事業,0.4141734359999487
高い脱炭素,0.4141734359999487
クアッド首脳会談,0.4141734359999487
米豪印,0.4141734359999487
政府支援,0.4141734359999487
「グリーンGDP,0.4141734359999487
仙台防災枠組み,0.4141734359999487
持続可能な農業,0.4141734359999487
技術的,0.4141734359999487
電力インフラ整備,0.4141734359999487
NHK,0.4141734359999487
被災地支援,0.4141734359999487
大災害,0.4141734359999487
"
・気象庁",0.4141734359999487
環境活動,0.4141734359999487
