,pmi
ベーシックインカム,0.37661695377050597
大胆な経済対策,0.37661695377050597
安価な労働力,0.37661695377050597
新たな経済対策,0.37661695377050597
社会保険料負担,0.37661695377050597
公的支援,0.37661695377050597
所得補償制度,0.37661695377050597
事業承継問題,0.37661695377050597
交通インフラ,0.37661695377050597
投資協定,0.37661695377050597
技術者,0.37661695377050597
中小企業施策,0.37661695377050597
教育投資,0.37661695377050597
母子家庭,0.37661695377050597
中小企業・小規模事業者,0.37661695377050597
安全を守るため,0.37661695377050597
地方経済活性化,0.37661695377050597
防衛産業,0.37661695377050597
国際的な協力,0.37661695377050597
無駄遣い,0.37661695377050597
与党,0.37661695377050597
民間金融機関,0.37661695377050597
成長型経済,0.37661695377050597
親,0.37661695377050597
ケア労働,0.37661695377050597
カジノ解禁,0.37661695377050597
低所得者支援,0.37661695377050597
共生社会,0.37661695377050597
再稼働,0.37661695377050597
失業給付,0.37661695377050597
"
・男性",0.37661695377050597
ジェンダー平等,0.37661695377050597
消費拡大策,0.37661695377050597
持続可能な社会保障制度,0.37661695377050597
中央省庁,0.37661695377050597
中小零細企業,0.37661695377050597
風評被害,0.37661695377050597
再分配政策,0.37661695377050597
男性,0.37661695377050597
見直しを要求,0.37661695377050597
医療機関,0.37661695377050597
互い,0.37661695377050597
中央銀行,0.37661695377050597
高校生,0.37661695377050597
IT投資,0.37661695377050597
観光地,0.37661695377050597
アフターコロナ,0.37661695377050597
大企業優先,0.37661695377050597
取扱い,0.37661695377050597
幼児教育,0.37661695377050597
健康経営,0.37661695377050597
介護職,0.37661695377050597
エネルギー価格,0.37661695377050597
多子加算,0.37661695377050597
デジタル化推進,0.37661695377050597
経済見通し,0.37661695377050597
国際協調,0.37661695377050597
大胆な財政出動,0.37661695377050597
地方大学,0.37661695377050597
"
・農家",0.37661695377050597
雇用確保を重視,0.37661695377050597
若い船員,0.37661695377050597
"
・働き方改革",0.37661695377050597
軍事優先,0.37661695377050597
"
・科学技術",0.37661695377050597
経済的な支援,0.37661695377050597
このため,0.37661695377050597
行政機関,0.37661695377050597
新興国,0.37661695377050597
育児休業給付,0.37661695377050597
輸入価格,0.37661695377050597
長期的な雇用政策,0.37661695377050597
不良債権,0.37661695377050597
商工中金,0.37661695377050597
インフラ投資,0.37661695377050597
これを実現するため,0.37661695377050597
補正予算案,0.37661695377050597
デジタル社会,0.37661695377050597
育児休業,0.37661695377050597
不十分であると批判,0.37661695377050597
専門職,0.37661695377050597
医療従事者,0.37661695377050597
ウクライナ情勢,0.37661695377050597
事業再構築,0.37661695377050597
労務費,0.37661695377050597
積極的な支援,0.37661695377050597
取引先,0.37661695377050597
新たな制度,0.37661695377050597
雇用制度改革,0.37661695377050597
日本人雇用,0.37661695377050597
個人所得,0.37661695377050597
育児休業制度,0.37661695377050597
国産ワクチン,0.37661695377050597
若者雇用,0.37661695377050597
燃料価格,0.37661695377050597
意見をわかりやすく整理したもの,0.37661695377050597
新しい産業,0.37661695377050597
事業承継税制,0.37661695377050597
あまり詳しくない方,0.37661695377050597
供給力,0.37661695377050597
終身雇用制度,0.37661695377050597
金融システム,0.37661695377050597
インフレ手当,0.37661695377050597
福祉分野,0.37661695377050597
駐留軍,0.37661695377050597
不可欠であると指摘,0.37661695377050597
経済施策,0.37661695377050597
環境産業,0.37661695377050597
育児休業給付金,0.37661695377050597
経済復活,0.37661695377050597
活性化策,0.37661695377050597
新制度,0.37661695377050597
人口増加,0.37661695377050597
浮き彫り,0.37661695377050597
公共放送,0.37661695377050597
景気改善,0.37661695377050597
消費者視点,0.37661695377050597
負担増加,0.37661695377050597
生活資金,0.37661695377050597
それぞれ,0.37661695377050597
民主化,0.37661695377050597
低所得世帯,0.37661695377050597
就労確保,0.37661695377050597
今回,0.37661695377050597
価格上昇,0.37661695377050597
再分配機能,0.37661695377050597
基本方針,0.37661695377050597
労働生産性向上,0.37661695377050597
行政手続き,0.37661695377050597
リカレント教育,0.37661695377050597
自衛隊,0.37661695377050597
若者・子育て世代,0.37661695377050597
他省庁,0.37661695377050597
この点,0.37661695377050597
エネルギー政策,0.3253236593829556
育児,0.314096596789172
リーダーシップ,0.3076240822835546
権利保護,0.30250898161678413
"
・個人",0.29657424609696964
産業競争力,0.29657424609696964
"
・地方自治体",0.29657424609696964
経済危機,0.29657424609696964
働き方改革,0.2932353448314549
社会保障費,0.2896055767808763
ウクライナ,0.2896055767808763
暮らし,0.2896055767808763
経済戦略,0.2896055767808763
整備を提案,0.2896055767808763
大規模な経済対策,0.2813067739661812
国益,0.2813067739661812
迅速な経済対策,0.2813067739661812
緊急経済対策,0.2813067739661812
構造的な賃上げ,0.2813067739661812
景気刺激策,0.2813067739661812
デフレ経済,0.2813067739661812
持続的な賃上げ,0.2813067739661812
問題意識,0.2813067739661812
創設,0.2765334952135236
消費者被害,0.2712564381126798
意識改革,0.2712564381126798
拡大を提案,0.2712564381126798
企業経営,0.2712564381126798
経済関係,0.2712564381126798
子育て世代,0.2712564381126798
大企業優遇,0.2712564381126798
財政健全化,0.2712564381126798
経済安定,0.2712564381126798
国際社会,0.2712564381126798
非正規雇用労働者,0.2712564381126798
消費者教育,0.2588339181141226
"
・岸田政権",0.2588339181141226
高齢者雇用,0.2588339181141226
職業訓練,0.2588339181141226
技術革新,0.2588339181141226
所得再分配,0.2588339181141226
両立を重視,0.2588339181141226
児童手当,0.2588339181141226
制度改善,0.2588339181141226
適用範囲,0.2588339181141226
物価高騰対策,0.2588339181141226
この問題,0.2588339181141226
資金供給,0.2588339181141226
専門家,0.2588339181141226
効果的な施策,0.2588339181141226
野党,0.2588339181141226
高所得者,0.2588339181141226
位置付け,0.2540146316781737
不況,0.2514538108165
他国,0.2514538108165
環境政策,0.2514538108165
持続可能な社会,0.2514538108165
"
・賃上げ",0.2487835822606212
賃上げ促進税制,0.2430855611459835
"賛成
・デフレ",0.2430855611459835
安定確保,0.2430855611459835
具体的な経済対策,0.2430855611459835
"
・経済産業省",0.2430855611459835
使い方,0.2430855611459835
同一労働同一賃金,0.2430855611459835
知的財産,0.2430855611459835
関係省庁,0.2430855611459835
機能強化,0.2430855611459835
使い道,0.2430855611459835
"賛成
・消費税",0.2430855611459835
その他,0.2430855611459835
引下げ,0.2430855611459835
失業者,0.2430855611459835
労働政策,0.2430855611459835
感染症対策,0.2430855611459835
最重要課題,0.2430855611459835
労働生産性,0.2430855611459835
積極財政,0.2430855611459835
企業間,0.2430855611459835
雇用を支えるため,0.2430855611459835
持続可能性を重視,0.2430855611459835
アジア,0.23351611012983273
"
・カーボンニュートラル",0.23351611012983273
一環,0.23351611012983273
法整備,0.23351611012983273
男女,0.23001347957863075
経済環境,0.22708521979954227
賃上げを促進するため,0.22246627394324775
"
・物価高",0.22246627394324775
積極的な投資,0.22246627394324775
この意見,0.22246627394324775
賃上げを実現するため,0.22246627394324775
