,pmi
年度負担,1.9509992185627845
国産材,1.9509992185627845
税関,1.9509992185627845
輸出貨物,1.9509992185627845
軍備強化,1.9509992185627845
"反対
・防衛費",1.6827352319681053
物価高,1.6633171461110037
国債発行,1.6633171461110037
法律案,1.6633171461110037
防衛出動,1.6633171461110037
防衛財源確保法案,1.6633171461110037
教育予算,1.6145269819415717
復興特別所得税,1.6145269819415717
前面,1.5455341104546203
子供たち,1.5455341104546203
資質,1.5455341104546203
戦争放棄,1.5455341104546203
不満を表明,1.5455341104546203
国内法,1.5455341104546203
憲法学者,1.5455341104546203
（例,1.480995589317049
武力行使を行うこと,1.440173594796794
"
・戦後",1.440173594796794
外交問題,1.440173594796794
憲法違反,1.4203709675006142
手法,1.3913834306273618
政策変更,1.3913834306273618
子育て支援,1.3913834306273618
倍増,1.3913834306273618
議論なし,1.3913834306273618
"慎重
・防衛費",1.3632125536606656
流用,1.3319600101565612
すべて,1.2578520380028393
改憲,1.2578520380028393
憲法9条,1.2578520380028393
犠牲,1.2578520380028393
生活安全保障,1.2578520380028393
「専守防衛,1.2578520380028393
新基地建設,1.2578520380028393
警戒感を表明,1.2578520380028393
憲法解釈変更,1.2578520380028393
ことを危惧,1.2578520380028393
解釈改憲,1.2578520380028393
厳しい姿勢,1.2578520380028393
国民的な議論,1.2578520380028393
沖縄基地問題,1.2578520380028393
私権制限,1.2578520380028393
防衛費を増やすこと,1.2578520380028393
軍事研究,1.2578520380028393
境界,1.2578520380028393
修正,1.2578520380028393
与党,1.2578520380028393
政党,1.2578520380028393
子供予算,1.2578520380028393
財務省,1.2578520380028393
軍事戦略,1.2578520380028393
戦力不保持,1.2578520380028393
批判的,1.2578520380028393
"反対
・集団的自衛権",1.2578520380028393
憲法九条,1.234321540592645
優先順位,1.2037848167325635
強く反対,1.1972274161864043
戦後,1.177809330329303
・憲法九条,1.177809330329303
"
・防衛増税",1.177809330329303
防衛増税,1.1708406610132096
"疑問
   ",1.1708406610132096
透明性を要求,1.140069002346456
問題提起,1.140069002346456
国際的な競争,1.140069002346456
可能性を懸念,1.140069002346456
軍事費,1.140069002346456
いると批判,1.140069002346456
軍拡,1.103701358175581
既存,1.103701358175581
答弁,1.103701358175581
少子化対策,1.103701358175581
国際法違反,1.103701358175581
"
・国際法",1.103701358175581
説明不足,1.103701358175581
土地利用,1.103701358175581
海外派兵,1.103701358175581
批判,1.0774703460267112
福祉,1.0755304812088846
子供,1.0755304812088846
十分な議論,1.0755304812088846
防衛費増額,1.0755304812088846
"反対
   ",1.068610038364311
趣旨,1.0347084866886296
予算編成,1.0347084866886296
恐れ,1.0347084866886296
一定,1.0347084866886296
再稼働,1.0347084866886296
違憲,1.0347084866886296
方向性,1.0347084866886296
その内容,1.0347084866886296
"反対
・政府",1.0347084866886296
防衛計画,1.0347084866886296
財政健全化,1.0347084866886296
監視体制,1.0347084866886296
社会保障,1.0089559905862149
出動,1.0065376097219332
軍事協力,0.9954877735353482
国債,0.9954877735353482
少子化,0.9859183225191974
慎重姿勢,0.9701699655510584
"
・政府",0.9701699655510584
被災地,0.9701699655510584
反発,0.9701699655510584
決定過程,0.9701699655510584
安保法制,0.9393983068843047
復興,0.9393983068843047
動き,0.9393983068843047
転換,0.9293479710308032
- 防衛費,0.9213798013816265
防衛財源,0.9213798013816265
地元住民,0.9213798013816265
"
・憲法",0.9213798013816265
増税,0.914907286876009
反対意見,0.9011770940641068
精神,0.8949465443134708
財源確保,0.892392264508374
ことを懸念,0.8818008151009682
資金,0.8783624162979355
反対,0.8663731718694146
対話外交,0.8523869298946749
転用,0.8523869298946749
"賛成
・海上保安庁",0.8523869298946749
懐疑的,0.8523869298946749
必要であると提案,0.8523869298946749
重要な分野,0.8523869298946749
具体的な内容,0.8523869298946749
日報問題,0.8523869298946749
費用対効果,0.8523869298946749
独立性,0.8523869298946749
経済力,0.8523869298946749
食品産業,0.8523869298946749
在日米軍基地,0.8523869298946749
疑念,0.8523869298946749
決算剰余金,0.8523869298946749
従来,0.8523869298946749
地位協定,0.8523869298946749
国民負担,0.8523869298946749
基地建設,0.8523869298946749
欠如を指摘,0.8523869298946749
後方支援,0.8523869298946749
整合性を重視,0.8523869298946749
納税者,0.8523869298946749
自衛隊基地,0.8523869298946749
枠内,0.8523869298946749
地域医療,0.8523869298946749
遵守,0.8523869298946749
情報保全体制,0.8523869298946749
リスク管理,0.8523869298946749
武力行使,0.8523869298946749
安全保障法制,0.8523869298946749
土地所有,0.8523869298946749
バランスを考慮する必要,0.8523869298946749
"懸念
・防衛予算",0.8523869298946749
厚生労働省,0.8523869298946749
行使を認めること,0.8523869298946749
化石燃料,0.8523869298946749
安全保障情報,0.8523869298946749
防衛情報,0.8523869298946749
しっかりとした議論,0.8523869298946749
岸田総理,0.8523869298946749
矛盾,0.8523869298946749
立憲主義,0.8523869298946749
特に若い世代,0.8523869298946749
公文書,0.8523869298946749
厳しくなっている中,0.8523869298946749
集団的自衛権行使,0.8523869298946749
化石燃料依存,0.8523869298946749
乏しい日本,0.8523869298946749
設備,0.8523869298946749
再建,0.8523869298946749
無駄,0.8288564324844808
"
・防衛費",0.8270691219103851
危険性,0.819597107071684
尊重,0.8179007538235055
いると指摘,0.8058669142597821
ことを問題視,0.8058669142597821
調査,0.7983197086243992
変更,0.7952285160547262
法制度,0.7878484087571038
いることを懸念,0.7878484087571038
一体化,0.7878484087571038
"懸念
・集団的自衛権",0.7723442222211384
無制限,0.7723442222211384
国民生活,0.7653755529050452
軍事行動,0.7614151516889481
条件付き,0.7470264142368486
エネルギー自給率,0.7470264142368486
戦力,0.7470264142368486
取り扱い,0.7470264142368486
防衛方針,0.7470264142368486
予算増額,0.7470264142368486
可能性を指摘,0.7379765787169307
あり方,0.7346038942382914
疑問,0.733781187486828
内閣,0.727223786940669
警告,0.7223338016464772
制限,0.7142365914138578
問題視,0.7142365914138578
世論,0.6982362500674165
本当,0.6982362500674165
要求,0.6982362500674165
震災,0.6982362500674165
官民連携,0.6982362500674165
財源確保策,0.6982362500674165
責任を果たすこと,0.6982362500674165
資源配分,0.6982362500674165
地方分権,0.6982362500674165
活用を重視,0.6982362500674165
一次産業,0.6982362500674165
先制攻撃,0.6982362500674165
水素,0.6982362500674165
財源,0.6982362500674165
必要な防衛費,0.6982362500674165
憲法第九条,0.6982362500674165
軍事力強化,0.6982362500674165
情報開示,0.6982362500674165
国際関係,0.6982362500674165
軍事大国,0.6982362500674165
省庁間,0.6982362500674165
"
・米軍",0.6982362500674165
限定的な集団的自衛権,0.6982362500674165
重要だと指摘,0.6982362500674165
政府全体,0.6982362500674165
政権,0.6982362500674165
"

２．集団的",0.6780335427498971
影響を懸念,0.6780335427498971
警鐘,0.6780335427498971
使い道,0.6700653731007202
"

３．集団的",0.6700653731007202
基地負担,0.6700653731007202
声,0.6700653731007202
歴史,0.6700653731007202
憲法解釈,0.6700653731007202
危険性を指摘,0.6700653731007202
もの,0.6613316931319657
自衛権行使,0.6517162344325237
平和安全法制,0.6517162344325237
隠蔽,0.6517162344325237
問題解決,0.6517162344325237
軍事活動,0.6517162344325237
支出,0.6517162344325237
いないこと,0.6517162344325237
財政,0.6372755502777293
教育,0.6327583206879096
侵害,0.6292433785804651
在り方,0.6292433785804651
扱い,0.6292433785804651
沖縄県民,0.6159981518304445
リスクを指摘,0.6159981518304445
決定,0.6072644718616899
県民,0.6072644718616899
原則,0.6049787565808339
"
・防衛力強化",0.6010725016137689
民生,0.5876943756675927
行使容認,0.5647048574428939
"
・沖縄県民",0.5647048574428939
"
・他国",0.5647048574428939
負担増,0.5647048574428939
軍事転用,0.5647048574428939
外資規制,0.5647048574428939
普天間基地,0.5647048574428939
不備,0.5647048574428939
否定的,0.5647048574428939
"懸念
・自衛隊",0.5647048574428939
解釈変更,0.5647048574428939
幅広い分野,0.5647048574428939
存続,0.5647048574428939
"
・防衛大臣",0.5647048574428939
"
・防衛活動",0.5647048574428939
"懸念
・防衛費",0.5647048574428939
建設,0.5647048574428939
スタンドオフ防衛能力,0.5647048574428939
改定,0.5647048574428939
歳出削減,0.5647048574428939
"賛成
・防衛費",0.5647048574428939
危険,0.5647048574428939
柱,0.5647048574428939
財政難,0.5647048574428939
自給体制,0.5647048574428939
職場環境,0.5647048574428939
生活基盤,0.5647048574428939
戦争,0.5647048574428939
エネルギー自給率向上,0.5647048574428939
早期,0.5647048574428939
"
   ・政府",0.5647048574428939
具体的な対応,0.5647048574428939
・アジア太平洋地域,0.5647048574428939
その他,0.5647048574428939
将来世代,0.5647048574428939
厳しい状況,0.5647048574428939
北海道,0.5647048574428939
軍事力,0.5647048574428939
安定供給を確保すること,0.5647048574428939
自由な経済活動,0.5647048574428939
合憲性,0.5647048574428939
不足,0.5647048574428939
理解なし,0.5647048574428939
軍事面,0.5647048574428939
国際的な安全保障活動,0.5647048574428939
現状変更,0.5647048574428939
国家安全保障上,0.5647048574428939
情報連携,0.5647048574428939
日米協力,0.5647048574428939
水素エネルギー,0.5647048574428939
大幅増加,0.5647048574428939
沖縄問題,0.5647048574428939
軍事目的,0.5647048574428939
歳出,0.5647048574428939
可能性,0.5519658316654642
理念,0.5400122448525224
基地問題,0.5373058832547796
"懸念
   ",0.5296135376316239
懸念を表明,0.522145243024098
"
・防衛予算",0.5106376361726181
多く,0.5040802356264591
情報管理,0.5040802356264591
負担,0.5009890430567863
情報公開,0.49571198595594246
増加,0.49324589346074904
感情,0.48466214976935756
把握,0.48466214976935756
存立,0.48466214976935756
チェック,0.48466214976935756
信頼を得るため,0.48466214976935756
方法,0.4693946776385691
防衛費,0.46607425400126656
権利,0.4629221631329516
配分,0.4609080637612504
平和的,0.4469218217865105
見直しを提唱,0.4469218217865105
集団的自衛権を行使すること,0.4469218217865105
価格,0.4469218217865105
限界,0.4469218217865105
何,0.4469218217865105
国際法上,0.4469218217865105
活用を支持,0.4469218217865105
使い方,0.4469218217865105
慎重な検討,0.4469218217865105
"
・防衛費増額",0.4469218217865105
公共,0.4469218217865105
事前承認,0.4469218217865105
地方自治,0.4469218217865105
本来,0.4469218217865105
教訓,0.4469218217865105
外国人,0.4469218217865105
合憲,0.4469218217865105
慎重な姿勢,0.44040714076531673
法案,0.43687148593300906
国際法,0.4346517291946961
理由,0.4346517291946961
例,0.4311734648183713
不十分,0.4311734648183713
問題を指摘,0.42494291506773524
専守防衛,0.4208106777828247
地方自治体,0.4105541776156357
武力,0.4105541776156357
公開,0.4105541776156357
無駄遣い,0.4105541776156357
改革,0.40507471185101
国会,0.40040180615161763
削減,0.40040180615161763
適用,0.3928546005162347
真,0.3928546005162347
必要な予算,0.3928546005162347
"
・集団的自衛権",0.3888141909792298
警戒感,0.38238330064893933
平和主義,0.38238330064893933
慎重,0.3790992254477494
考え方,0.3754628578043655
"
・沖縄",0.37054884300193647
米軍基地,0.37054884300193647
容認,0.3668791141129741
憲法明記,0.3653719548224028
法制,0.3583684244450655
集団的自衛権,0.35595004358078375
基地,0.3527346067268094
流出を防ぐため,0.3415613061286843
国際平和活動,0.3415613061286843
歳出改革,0.3415613061286843
重要課題,0.3415613061286843
その中,0.3415613061286843
"
- 防衛予算",0.3415613061286843
"
・台湾",0.3415613061286843
縮小,0.3415613061286843
社会全体,0.3415613061286843
"
・エネルギー",0.3415613061286843
民間人,0.3415613061286843
安保政策,0.3415613061286843
"
・防衛関連",0.3415613061286843
声を重視,0.3415613061286843
税制措置,0.3415613061286843
保有,0.3415613061286843
宇宙空間,0.3415613061286843
必要な財源,0.3415613061286843
自衛隊活動,0.3415613061286843
解釈,0.3415613061286843
安倍政権,0.3415613061286843
エネルギー資源,0.3415613061286843
国内企業,0.3415613061286843
省庁,0.3415613061286843
"
・領土",0.3415613061286843
変化を背景,0.3415613061286843
監視,0.3415613061286843
国防上,0.3415613061286843
地元自治体,0.3415613061286843
運営,0.3415613061286843
行使を容認すること,0.3415613061286843
原発,0.3415613061286843
イージス・アショア,0.3415613061286843
住民,0.3415613061286843
遵守を重視,0.3415613061286843
議論を重視,0.3415613061286843
買収,0.3415613061286843
武器使用,0.3415613061286843
構造,0.3415613061286843
若い世代,0.3415613061286843
平和活動,0.3415613061286843
情報セキュリティ,0.3415613061286843
オーストラリア,0.3415613061286843
多面的なアプローチ,0.3415613061286843
危機管理能力,0.3415613061286843
日本全体,0.3415613061286843
成立,0.3415613061286843
国家間,0.3415613061286843
他省庁,0.3415613061286843
参考,0.3415613061286843
バランスを重視,0.3415613061286843
ジレンマ,0.3415613061286843
大転換,0.3415613061286843
特定秘密,0.3415613061286843
防衛関係費,0.3415613061286843
疑問を呈す,0.3415613061286843
外交重視,0.3415613061286843
四十三兆円,0.3415613061286843
コスト,0.3415613061286843
集団的,0.33444383835982017
憲法改正,0.3305114699420993
立場を表明,0.30877148330569326
行使,0.3064699863174141
透明性,0.30584322352660503
意向,0.3047473330059679
政府,0.303409540164308
再生可能エネルギー,0.30234059297540294
米軍,0.30234059297540294
安全性,0.29277114195925213
懸念,0.2873215371916876
地元,0.2859914549738735
質,0.2832923980047085
"

2. 集団的",0.27702278499111305
文書,0.27702278499111305
敵基地攻撃能力,0.27702278499111305
国民を守るため,0.27702278499111305
沖縄,0.27702278499111305
理解を深めること,0.27702278499111305
自衛権,0.2725684346417327
増強,0.269240644549058
現行憲法,0.26460026499255596
計画,0.26460026499255596
生活,0.2624239855699603
表明,0.2529252334120526
憲法,0.2529252334120526
"
・平和",0.2462511263243594
経済面,0.2462511263243594
無理,0.2462511263243594
外国資本,0.2462511263243594
人々,0.2462511263243594
戦闘,0.2462511263243594
承認,0.2462511263243594
"賛成
・安全保障環境",0.2462511263243594
配備,0.2462511263243594
外国,0.2462511263243594
安全保障法案,0.2462511263243594
辺野古,0.2462511263243594
意見,0.2442329621681221
明記,0.23334772148845143
法律,0.2282326208216811
"
・防衛力",0.2282326208216811
内容,0.2282326208216811
形,0.22548913487593011
利用,0.22548913487593011
法改正,0.22260936326731887
経済政策,0.21639816317467822
交渉,0.21639816317467822
"
・軍事力",0.21639816317467822
姿勢,0.2118834828201516
軍事,0.20514945063880757
現在,0.2017993637535255
改正,0.2017993637535255
方,0.19846046248801083
増額,0.19513267239533627
いることを指摘,0.19314130101041102
海外派遣,0.19314130101041102
額,0.18521523573799023
バランス,0.1779318823468822
"
・防衛",0.17712931408550464
社会,0.17550027020650993
問題,0.17266276966687022
両方,0.15923974933472962
将来,0.15923974933472962
労働環境,0.15923974933472962
経済安全保障法案,0.15923974933472962
国際平和,0.15923974933472962
人口減少,0.15923974933472962
国民一人一人,0.15923974933472962
合意,0.15923974933472962
新たな安全保障環境,0.15923974933472962
国際的な問題,0.15923974933472962
国力,0.15923974933472962
インフラ,0.15923974933472962
各国,0.15923974933472962
"
・平時",0.15923974933472962
外交活動,0.15923974933472962
効率的な運用,0.15923974933472962
複雑化,0.15923974933472962
日本政府,0.15923974933472962
国際派遣,0.15923974933472962
関係省庁,0.15923974933472962
厳しい国際情勢,0.15923974933472962
透明な議論,0.15923974933472962
台頭,0.15923974933472962
空港,0.15923974933472962
情報隠蔽,0.15923974933472962
国際的な任務,0.15923974933472962
侵攻,0.15923974933472962
現状,0.15923974933472962
悪化,0.15923974933472962
改正を提案,0.15923974933472962
十分な説明,0.15923974933472962
利用促進,0.15923974933472962
対策を提案,0.15923974933472962
領土問題,0.15923974933472962
合理化,0.15923974933472962
国々,0.15923974933472962
権限,0.15923974933472962
最近,0.15923974933472962
軍,0.154620803478435
状況,0.15169254369934676
行動,0.14948357438936494
法,0.14349139236659042
ことを指摘,0.13862046213199383
警戒,0.1293867861850484
"

3. 集団的",0.12644992651173867
自治体,0.12644992651173867
リスク,0.12475357326356021
人権,0.10517252806445379
策定,0.10517252806445379
世代,0.10517252806445379
制度,0.10517252806445379
資源,0.1014201784459033
地方,0.0986151275182948
分野,0.09710796822772343
配慮,0.09643884809569911
敵,0.09470122819715847
"慎重
   ",0.09470122819715847
影響,0.0895064113200544
コミュニケーション,0.0791970416611931
