,pmi
国産材,2.64414639912273
物価高,2.356464326670949
重要政策,2.356464326670949
地域医療,2.2386812910145655
食品産業,2.2386812910145655
負担増,2.1741427698769944
流用,2.158638583341029
"反対
・政府",2.133320775356739
子育て支援,2.084530611187307
倍増,2.084530611187307
重要な政策,2.084530611187307
"反対
・防衛費",2.008157632402733
国債発行,1.9509992185627845
自給体制,1.9509992185627845
被災地,1.9509992185627845
子供予算,1.9509992185627845
重要な課題であると認識,1.9509992185627845
安定供給を確保すること,1.9509992185627845
歳出削減,1.9509992185627845
少子化対策,1.9509992185627845
食料自給率を高めること,1.9509992185627845
軍備強化,1.9509992185627845
実態把握,1.9509992185627845
水源地,1.9509992185627845
"
・防衛費増額",1.833216182906401
農政,1.7968485387355264
財源確保策,1.7968485387355264
防衛費増額,1.76867766176883
財政健全化,1.727855667248575
悪影響を及ぼす可能性を指摘,1.727855667248575
四十三兆円,1.727855667248575
税制措置,1.727855667248575
国民的な議論,1.6633171461110037
（例,1.6633171461110037
"懸念
・防衛費",1.6633171461110037
防衛増税,1.6633171461110037
実情,1.6633171461110037
歳出,1.5943242746240522
不満を表明,1.5455341104546203
農業予算,1.5455341104546203
子供たち,1.5455341104546203
"慎重
・防衛費",1.5455341104546203
厳しい姿勢,1.5455341104546203
"
   ・国際情勢",1.5455341104546203
いると批判,1.5455341104546203
少子化,1.5455341104546203
"懸念
・防衛予算",1.5455341104546203
しっかりとした議論,1.5455341104546203
国土強靱化,1.5455341104546203
両方,1.5455341104546203
妥当性,1.5455341104546203
再建,1.5455341104546203
有効利用,1.5455341104546203
具体的な内容,1.5455341104546203
日報問題,1.5455341104546203
税外収入,1.5455341104546203
本来,1.5455341104546203
岸田総理,1.5455341104546203
与党,1.5455341104546203
復興,1.4990140948197275
"
・防衛増税",1.4654914027810837
条件付き,1.440173594796794
方向性,1.440173594796794
ニーズ,1.440173594796794
教育予算,1.3913834306273618
必要な防衛費,1.3913834306273618
農家,1.3913834306273618
説明不足,1.3913834306273618
実態,1.3913834306273618
一次産業,1.3913834306273618
再構築,1.3913834306273618
活用を重視,1.3913834306273618
復興特別所得税,1.3913834306273618
43兆円,1.3913834306273618
人々,1.344863414992469
悪影響を及ぼす可能性,1.344863414992469
海外依存,1.344863414992469
予算配分,1.344863414992469
"
・防衛関連",1.3223905591404104
歳出改革,1.3223905591404104
矛盾,1.3223905591404104
財源確保,1.31727545847364
優先順位,1.3091453323903899
リスクを指摘,1.3091453323903899
政府内,1.2578520380028393
軍事目的,1.2578520380028393
警戒感を表明,1.2578520380028393
"
・農林水産業",1.2578520380028393
北海道,1.2578520380028393
法律上,1.2578520380028393
"
・地方",1.2578520380028393
"疑問
・防衛予算",1.2578520380028393
ワクチン接種,1.2578520380028393
法律案,1.2578520380028393
解釈改憲,1.2578520380028393
生活基盤,1.2578520380028393
普天間基地,1.2578520380028393
"
   ・政府",1.2578520380028393
市町村,1.2578520380028393
防衛財源確保法案,1.2578520380028393
"
・政府",1.2578520380028393
スタンドオフ防衛能力,1.2578520380028393
子供,1.2578520380028393
適切な配分,1.2578520380028393
将来世代,1.2578520380028393
"
・人口減少",1.2578520380028393
福祉,1.2578520380028393
増税,1.2250622151798485
資金,1.2037848167325635
強く反対,1.1972274161864043
未来,1.1972274161864043
戦後,1.177809330329303
国債,1.177809330329303
"
・防衛費",1.152491522345013
国民負担,1.140069002346456
予算増加,1.140069002346456
ウクライナ侵攻,1.140069002346456
悪化,1.140069002346456
慎重な検討,1.140069002346456
公共,1.140069002346456
国際的な競争,1.140069002346456
理解を深める努力,1.140069002346456
問題提起,1.140069002346456
推進を重視,1.140069002346456
持続可能な農業,1.103701358175581
ことを危惧,1.103701358175581
"
・防衛予算",1.08600178107618
方法,1.0571813425406882
社会保障,1.0515156050050107
縮小,1.0347084866886296
必要な財源,1.0347084866886296
一定,1.0347084866886296
防衛関係費,1.0347084866886296
改憲,1.0347084866886296
その内容,1.0347084866886296
"
・戦後",1.0347084866886296
法案,1.0347084866886296
真剣な議論,1.0347084866886296
安定的な財源,1.0347084866886296
生産性向上,1.0347084866886296
外交問題,1.0347084866886296
趣旨,1.0347084866886296
労働者,1.0347084866886296
日本全体,1.0347084866886296
独立国家,1.0347084866886296
必要な財源確保,1.0347084866886296
参考,1.0347084866886296
"
- 防衛予算",1.0347084866886296
民間人,1.0347084866886296
その中,1.0347084866886296
声を重視,1.0347084866886296
持続可能性,1.0347084866886296
買収,1.0347084866886296
影響を懸念,1.0347084866886296
理由,1.010015874098258
疑念,1.0065376097219332
国民生活,1.0065376097219332
声,1.0065376097219332
- 防衛費,0.9859183225191974
"反対
   ",0.9815986613746811
農業政策,0.9701699655510584
理解を得るため,0.9701699655510584
いることを懸念,0.9701699655510584
国民を守るため,0.9701699655510584
使途,0.9701699655510584
批判,0.9538563900595346
財源,0.9495506783483227
農業生産,0.9393983068843047
無理,0.9393983068843047
いないこと,0.9393983068843047
削減,0.9393983068843047
安全保障法案,0.9393983068843047
同時,0.9213798013816265
持続的,0.9095453437346235
内閣,0.9095453437346235
反対,0.9071951663896698
"
・農業",0.8949465443134708
疑問,0.8783624162979355
配分,0.8663731718694146
"疑問
   ",0.8523869298946749
限界,0.8523869298946749
自衛隊基地,0.8523869298946749
経済力,0.8523869298946749
世界情勢,0.8523869298946749
利用促進,0.8523869298946749
必要であると提案,0.8523869298946749
決算剰余金,0.8523869298946749
水準,0.8523869298946749
最近,0.8523869298946749
リスク管理,0.8523869298946749
増大,0.8523869298946749
人口減少,0.8523869298946749
平和憲法,0.8523869298946749
"賛成
・防衛費",0.8523869298946749
重要な課題,0.8523869298946749
対策を提案,0.8523869298946749
効率的な運用,0.8523869298946749
バランスを考慮する必要,0.8523869298946749
国民一人一人,0.8523869298946749
軍事戦略,0.8523869298946749
