,pmi
日本政府,0.6813724440154117
水源地,0.6813724440154117
NGO,0.6813724440154117
洋上風力発電,0.6813724440154117
取り組みを支持,0.6813724440154117
一次産業,0.6813724440154117
"賛成
・海上保安庁",0.6813724440154117
非常事態規定,0.6813724440154117
最先端技術,0.6813724440154117
安保協力,0.6813724440154117
経済連携,0.6813724440154117
標的,0.6813724440154117
軍事研究,0.6813724440154117
勤務地,0.6813724440154117
住居,0.6813724440154117
海運業界,0.6813724440154117
"賛成
・国家安全保障会議",0.6813724440154117
東アジア共同体,0.6813724440154117
土地所有,0.6813724440154117
各機関,0.6813724440154117
岸田総理,0.6813724440154117
経済産業省,0.6813724440154117
装備品輸出,0.6813724440154117
防衛インフラ,0.6813724440154117
安全保障情報,0.6813724440154117
国際支援,0.6813724440154117
関係省庁間,0.6813724440154117
"
・海上自衛隊",0.6813724440154117
出動指示,0.6813724440154117
国民運動,0.6813724440154117
年度負担,0.6813724440154117
ニュース,0.6813724440154117
経済界,0.6813724440154117
輸出貨物,0.6813724440154117
医療品,0.6813724440154117
特許制度,0.6813724440154117
国土強靱化,0.6813724440154117
中東,0.6813724440154117
漁業,0.6813724440154117
憲法学者,0.6813724440154117
"
・防衛活動",0.6813724440154117
消費者,0.6813724440154117
"
・我が国",0.6813724440154117
重要分野,0.6813724440154117
領土を守るため,0.6813724440154117
個人情報保護,0.6813724440154117
株主,0.6813724440154117
防衛秘密,0.6813724440154117
一般市民,0.6813724440154117
環境負荷,0.6813724440154117
物流,0.6813724440154117
憲法解釈変更,0.6813724440154117
原子力政策,0.6813724440154117
民有地,0.6813724440154117
復旧活動,0.6813724440154117
海洋調査,0.6813724440154117
生産者,0.6813724440154117
倫理規程,0.6813724440154117
農業予算,0.6813724440154117
海洋資源,0.6813724440154117
生産拠点,0.6813724440154117
軍用機,0.6813724440154117
幅広い分野,0.6813724440154117
農業従事者,0.6813724440154117
税関,0.6813724440154117
在日米軍基地,0.6813724440154117
円安,0.6813724440154117
防護計画,0.6813724440154117
"
・ウクライナ侵攻",0.6813724440154117
ことを示唆,0.6813724440154117
南シナ海,0.6813724440154117
ロボット技術,0.6813724440154117
半導体産業,0.6813724440154117
国際的な食料供給,0.6813724440154117
意思表示,0.6813724440154117
農産物,0.5860622642110869
"
・再生可能エネルギー",0.5635894083590284
ウクライナ侵攻,0.5635894083590284
国家安全保障上,0.5478410513908891
- 食料自給率,0.5478410513908891
適切な管理,0.5478410513908891
低減,0.5272217641881534
重要であることを指摘,0.5272217641881534
調査,0.5095221870887526
"
・災害時",0.5095221870887526
化石燃料,0.4990508872214571
成長戦略,0.4990508872214571
事故,0.4990508872214571
関係省庁,0.4990508872214571
影響を与えるため,0.4990508872214571
地位協定,0.4990508872214571
重要施設,0.4990508872214571
納税者,0.4990508872214571
食料自給率を高めること,0.4990508872214571
動き,0.4807017485532606
原発,0.458228892701202
双方,0.458228892701202
流出を防ぐため,0.458228892701202
国際的な取り組み,0.458228892701202
緊急対応,0.458228892701202
情報セキュリティ,0.458228892701202
影響を及ぼすため,0.458228892701202
返還,0.458228892701202
産業政策,0.458228892701202
治療薬,0.458228892701202
若い世代,0.458228892701202
エネルギー資源,0.458228892701202
引き合い,0.458228892701202
"
・半導体",0.458228892701202
信頼関係構築,0.458228892701202
影響を与えること,0.44021038719852373
影響を指摘,0.4300580157345057
再生可能エネルギー,0.41900817954792074
感情,0.41900817954792074
ミサイル発射,0.41900817954792074
把握,0.41900817954792074
"反対
・防衛費",0.4131084574207324
存続,0.3936903715636308
麦,0.3936903715636308
対応体制,0.3936903715636308
生活基盤,0.3936903715636308
防災活動,0.3936903715636308
法務省,0.3936903715636308
担い手,0.3936903715636308
グローバル化,0.3936903715636308
軍事目的,0.3936903715636308
貧困問題,0.3936903715636308
"
・地方",0.3936903715636308
次世代,0.3936903715636308
軍事転用,0.3936903715636308
産業界,0.3936903715636308
"賛成
・国内外",0.3936903715636308
情報漏えい,0.3936903715636308
北海道,0.3936903715636308
食料自給率向上,0.3936903715636308
港湾,0.3936903715636308
"
・人口減少",0.3936903715636308
気候変動,0.3936903715636308
大量破壊兵器,0.3936903715636308
核開発,0.3936903715636308
ワクチン・治療薬,0.3936903715636308
弾道ミサイル発射,0.3936903715636308
政府内,0.3936903715636308
国土防衛,0.3936903715636308
必要であると提言,0.3936903715636308
気候変動対策,0.3936903715636308
適切な対策,0.3936903715636308
土地取引,0.3936903715636308
環境保護,0.3936903715636308
競争力を高めること,0.3936903715636308
食料安全保障を強化する必要,0.3936903715636308
解釈改憲,0.3936903715636308
法的根拠を明確にするため,0.3936903715636308
警察機関,0.3936903715636308
特に尖閣諸島,0.3936903715636308
サイバーセキュリティー,0.3936903715636308
戦略的な取り組み,0.3936903715636308
緊急事態,0.37121751571157224
農業支援,0.3629187128968771
出動,0.35595004358078375
米軍基地問題,0.34490020739419885
食料確保,0.34490020739419885
関係強化,0.34490020739419885
"警戒
   ",0.34490020739419885
農家,0.34490020739419885
若者,0.34490020739419885
震災,0.34490020739419885
非常時,0.34490020739419885
地方創生,0.34490020739419885
国産エネルギー,0.34490020739419885
半導体,0.34490020739419885
防衛活動,0.34490020739419885
農業者,0.34490020739419885
外資,0.34490020739419885
情報開示,0.34490020739419885
実態,0.34490020739419885
国際法違反,0.34490020739419885
生産体制,0.34490020739419885
"
・経済活動",0.34490020739419885
重要性を示唆,0.34490020739419885
内閣,0.33306574974719605
責務,0.33306574974719605
整備を提案,0.32469750007667936
省庁,0.32469750007667936
安倍政権,0.32469750007667936
成立,0.32469750007667936
セキュリティー,0.31364766389009446
備えるため,0.31364766389009446
食料供給,0.31364766389009446
感謝,0.31364766389009446
農業政策,0.30667899457400105
いることを懸念,0.30667899457400105
消防,0.30667899457400105
東アジア,0.301882822310508
注目,0.2983801917593059
農業生産,0.2983801917593059
災害時,0.29696074510507975
自給率向上,0.29360691300664826
自給率,0.28746815830832345
各国,0.2759073359072474
役所,0.2759073359072474
周辺事態,0.2759073359072474
後方支援,0.2759073359072474
機微技術,0.2759073359072474
基地跡地,0.2759073359072474
水資源,0.2759073359072474
経済安全保障上,0.2759073359072474
募集,0.2759073359072474
医療分野,0.2759073359072474
土地取得,0.2759073359072474
設備,0.2759073359072474
データ,0.2759073359072474
厳しい姿勢,0.2759073359072474
支援策,0.2759073359072474
経済安全保障推進法案,0.2759073359072474
産業競争力,0.2759073359072474
行政,0.2759073359072474
取り組みを重視,0.2759073359072474
原子力施設,0.2759073359072474
国産ワクチン,0.2759073359072474
急務であると指摘,0.2759073359072474
政府関係者,0.2759073359072474
重要情報,0.2759073359072474
正確な情報提供,0.2759073359072474
生産資材,0.2759073359072474
医療安全保障,0.2759073359072474
理解促進を重視,0.2759073359072474
情報保全体制,0.2759073359072474
土地,0.2759073359072474
解釈変更,0.2759073359072474
核・ミサイル開発,0.2759073359072474
防衛情報,0.2759073359072474
連携を深めること,0.2759073359072474
"賛成
・周辺国",0.2759073359072474
地産地消,0.2759073359072474
公文書,0.2759073359072474
日報問題,0.2759073359072474
食料自給率,0.2759073359072474
支配,0.2759073359072474
国会議員,0.2759073359072474
国際基準,0.2759073359072474
厳しさを認識,0.2759073359072474
民主主義,0.2759073359072474
最近,0.2759073359072474
"
・国連",0.2759073359072474
安全保障意識,0.2759073359072474
特に若い世代,0.2759073359072474
活性化,0.2759073359072474
化石燃料依存,0.2759073359072474
大豆,0.2759073359072474
重要性を提唱,0.2759073359072474
重要であることを強調,0.2759073359072474
- 食料安全保障,0.2759073359072474
人類,0.2759073359072474
シーレーン,0.2759073359072474
エネルギー政策,0.2759073359072474
脱炭素,0.2759073359072474
国産資源,0.2759073359072474
医療体制,0.2759073359072474
可能性を懸念,0.2759073359072474
資質,0.2759073359072474
国内法,0.2759073359072474
"
   ・国際情勢",0.2759073359072474
地域活性化,0.2759073359072474
経済性,0.2759073359072474
確立を重視,0.2759073359072474
外国人,0.2759073359072474
感謝を表明,0.2759073359072474
食料政策,0.2759073359072474
世界情勢,0.2759073359072474
不測時,0.2759073359072474
厚生労働省,0.2759073359072474
戦争放棄,0.2759073359072474
乏しい日本,0.2759073359072474
課題であると指摘,0.2759073359072474
不満を表明,0.2759073359072474
"
・エネルギー",0.2615185984551478
エネルギー安全保障,0.25648925005014583
"
・農業",0.25392842918847214
環境問題,0.25392842918847214
自然災害,0.25392842918847214
医療,0.25237683849705317
自給,0.24415863759266715
"
   ・安全保障",0.23953969173637255
適切な対応,0.23953969173637255
"
・平和",0.22938732027235448
平和安全法制,0.22938732027235448
防衛施設,0.22938732027235448
海外依存,0.22938732027235448
全力,0.22938732027235448
悪影響を及ぼす可能性,0.22938732027235448
法的整備,0.22938732027235448
強靱化,0.22938732027235448
経験,0.22938732027235448
"賛成
・安全保障環境",0.22938732027235448
防災,0.22461404151969688
役割を重視,0.22184011463697167
"
・食料",0.2187489220672988
警察,0.2187489220672988
閣議決定,0.21136881476967614
医療支援,0.21136881476967614
"懸念
・自衛隊",0.21136881476967614
例,0.21136881476967614
国民を守るため,0.21136881476967614
警戒感,0.21136881476967614
特定秘密保護法,0.21136881476967614
新基地建設,0.21136881476967614
育成を重視,0.21136881476967614
法令,0.21136881476967614
日本国内,0.21136881476967614
基地負担軽減,0.21136881476967614
強化を重要視,0.21136881476967614
不備,0.21136881476967614
（例,0.21136881476967614
役割を認識,0.21136881476967614
急務であると認識,0.21136881476967614
安全を確保するため,0.2017993637535255
安全保障を重視,0.19794579443753557
取得,0.19586462823371095
エネルギー,0.19366923767027522
示唆,0.19301967610147963
権利,0.19182421869670602
立場を表明,0.19182421869670602
いると批判,0.18889595891761754
歴史,0.18889595891761754
侵攻,0.18889595891761754
使用,0.182381277896424
進展,0.182381277896424
政権,0.182381277896424
特定,0.1805971561029226
食料安全保障,0.1779817987369392
エネルギー自給率,0.17054682024942114
農水省,0.17054682024942114
安全保障を提唱,0.17054682024942114
法的地位を明確化,0.17054682024942114
声を重視,0.17054682024942114
依存度,0.17054682024942114
重要物資,0.17054682024942114
人命,0.17054682024942114
縮小,0.17054682024942114
財政健全化,0.17054682024942114
近隣諸国,0.17054682024942114
ノウハウ,0.17054682024942114
バランスを取ること,0.17054682024942114
特定秘密,0.17054682024942114
法案,0.17054682024942114
遵守を重視,0.17054682024942114
武器使用,0.17054682024942114
ない世界,0.17054682024942114
多面的なアプローチ,0.17054682024942114
"
・核兵器",0.17054682024942114
安保政策,0.17054682024942114
労働者,0.17054682024942114
国内回帰,0.17054682024942114
