word,count
国,465
的,386
こと,361
もの,255
国際,235
日本,213
安全,202
これ,193
問題,180
日米,179
よう,170
一,169
関係,161
保障,153
ため,145
平和,133
核,132
協力,129
また,126
お,119
北朝鮮,117
社会,117
大臣,114
ところ,114
御,112
経済,110
重要,103
及び,103
国連,99
今,94
とも,94
外交,93
条約,88
決議,88
アジア,88
私,87
国務,84
政府,84
世界,84
間,82
安保理,82
安定,81
年,80
今後,80
麻生,78
話,78
実施,78
EOS,77
,77
十,77
そう,76
体制,75
地域,75
強化,74
対応,74
中,72
解決,72
二,70
それ,69
力,69
者,68
尋ね,68
基本,67
三,66
化,66
米国,65
上,64
努力,64
同盟,64
必要,63
イラク,62
安保,61
四,61
月,61
性,61
支援,61
君,60
連携,60
課題,59
昨年,59
米軍,58
理事,57
日,57
ＯＤＡ,57
方,56
諸国,56
ない,55
第,55
テロ,53
ＩＣＣ,53
五,52
太郎,52
等,52
抑止,51
委員,51
会,50
六,50
諸,50
協議,50
我々,49
状況,49
不,49
民主,48
つ,48
２,48
ども,47
今回,47
いろいろ,47
なく,46
ミサイル,46
国民,46
負担,46
維持,46
防衛,45
役割,45
拉致,44
九,43
八,43
七,43
会合,43
戦略,43
考え,42
協定,42
確保,41
アメリカ,41
環境,41
具体,41
分野,41
価値,41
中国,40
一層,40
改革,40
活動,40
検討,39
きちんと,39
とき,38
拡散,38
法,38
対策,38
両国,37
拍手,35
発表,35
ロシア,35
再編,35
何,34
極めて,34
緊密,34
実現,34
後,34
在日,34
少なく,33
確認,33
次,33
主義,33
積極,33
新た,32
外務,32
締結,32
一致,31
まず,31
着実,31
こう,31
場合,31
対話,31
本年,31
同時,30
イラン,30
繁栄,30
会議,29
さらに,29
一番,29
意味,29
韓国,29
開発,29
加盟,28
二十,28
どう,28
理解,28
初め,28
ら,28
計画,28
〇,28
共同,27
責任,27
効果,27
構築,27
総理,26
実験,26
回,26
洋,26
前,25
東,25
等々,25
内閣,25
軍縮,25
下,25
側,25
不可欠,25
隊,25
信頼,25
共通,25
アフリカ,25
プラス,25
案,24
脅威,24
採択,24
そして,24
年間,24
同,24
発射,24
自衛,24
太平,24
態勢,24
兵力,24
合衆,24
先生,23
早期,23
未来,23
いずれ,23
活用,23
経費,23
政治,23
地元,23
兵器,22
わけ,22
点,22
方針,22
情勢,22
懸案,22
アフガニスタン,22
合意,22
常任,22
取り組み,22
長官,22
行動,21
ふさわしい,21
意見,21
意義,21
認識,21
各国,21
エネルギー,21
普遍,21
米側,21
自由,21
発展,21
政策,20
もう,20
とおり,20
措置,20
立場,20
主張,19
双方,19
以上,19
年度,19
国会,19
最後,19
国交,19
正常,19
裁判,19
破壊,19
最初,18
弾道,18
重大,18
号,18
質問,18
目,18
情報,18
しかし,18
包括,18
期待,18
過去,18
結果,18
本,18
関連,18
支持,18
文書,18
履行,18
利益,18
人,18
形,17
改めて,17
目的,17
大統領,17
会談,17
対処,17
予算,17
整備,17
ここ,17
特別,17
軽減,17
説明,17
復興,17
枠組み,17
中東,17
協調,17
冷戦,16
能力,16
議長,16
違反,16
共有,16
長,16
今般,16
取組,16
全体,16
自身,16
日中,16
議論,16
すべて,16
省,16
事態,16
もと,16
最も,16
より,16
貿易,16
他,15
内容,15
日朝,15
声明,15
始め,15
開催,15
危機,15
首脳,15
観,15
観点,15
なお,15
約,15
段階,15
武力,15
行使,15
国益,15
人間,15
任務,15
各位,15
皆,15
交渉,15
軍隊,15
言葉,14
様々,14
かつ,14
最大,14
事実,14
前提,14
当時,14
義務,14
ちょっと,14
貢献,14
人権,14
国内,14
原則,14
犯罪,14
参加,14
大量,14
所存,14
紛争,14
そこ,14
間違い,13
周辺,13
非常,13
ただいま,13
国々,13
適切,13
現実,13
代表,13
かなり,13
多く,13
技術,13
交流,13
成果,13
事業,13
非,13
改善,13
可能,13
被害,13
今日,13
手段,13
規程,13
軍事,13
承認,13
駐留,13
沖縄,13
ＡＳＥＡＮ,13
闘い,13
懸念,13
近隣,13
際,13
向こう,13
朝鮮,12
講和,12
対,12
三十,12
所信,12
提案,12
容認,12
百,12
厳しい,12
グローバル,12
全力,12
防止,12
以来,12
当然,12
北方,12
領土,12
報告,12
最終,12
戦争,12
指摘,12
大切,12
作業,12
運用,12
基盤,12
こっち,12
施設,12
閣僚,12
億,12
周年,11
雇用,11
電話,11
明確,11
機会,11
自分,11
議員,11
規模,11
万,11
ほか,11
財政,11
特に,11
構造,11
投資,11
島,11
強く,11
柱,11
継続,11
刑事,11
例,11
人々,11
確実,11
透明,11
様,11
インド,11
圧力,11
感染,11
症,11
ＷＴＯ,11
作動,11
記憶,10
六十,10
提出,10
推進,10
北東,10
趣旨,10
迅速,10
行為,10
十分,10
直面,10
円,10
所,10
相互,10
平成,10
歴史,10
発言,10
承知,10
レベル,10
登壇,10
全く,10
大,10
市場,10
ライス,10
形成,10
豪州,10
大いに,10
誠意,10
輸入,10
理念,10
並び,10
庁,10
やはり,10
区域,10
ころ,9
四十,9
強い,9
決意,9
先般,9
相,9
表明,9
関心,9
約束,9
堅持,9
欧州,9
出席,9
兆,9
成長,9
補正,9
基金,9
一方,9
部,9
育成,9
現在,9
末,9
いい,9
プロセス,9
設置,9
高い,9
ただ,9
時間,9
判断,9
イスラエル,9
他方,9
常,9
背景,9
多分,9
組織,9
禁止,9
分,9
面,9
たち,9
隣国,9
貧困,9
精神,9
相手,9
ドル,9
友好,9
自国,9
地位,9
心,8
一環,8
重く,8
よく,8
種,8
互い,8
ＥＵ,8
一連,8
五十,8
対象,8
総合,8
機関,8
人材,8
最,8
見直し,8
ひいては,8
審議,8
更に,8
パレスチナ,8
制度,8
量,8
基礎,8
条,8
国防,8
問,8
確固,8
権,8
それぞれ,8
一般,8
向上,8
機動,8
なかなか,8
ＩＡＥＡ,8
弧,8
人類,8
依然,8
今年,8
さ,8
ＴＩＣＡＤ,8
定着,8
中南米,8
確立,8
ドーハ,8
一員,8
海外,8
額賀,8
ますます,8
取りまとめ,8
事変,7
近く,7
全会,7
宣言,7
是非,7
政権,7
国家,7
メッセージ,7
時点,7
重み,7
景気,7
インフルエンザ,7
主要,7
安心,7
一定,7
終了,7
優先,7
現,7
困難,7
要請,7
直接,7
互恵,7
進展,7
目標,7
停止,7
既に,7
仮,7
新しい,7
累次,7
経緯,7
資源,7
将来,7
関与,7
人道,7
省庁,7
次第,7
部会,7
航空,7
機,7
憲法,7
かなめ,7
幸福,7
広範,7
サミット,7
日ロ,7
粘り強く,7
割,7
和平,7
仕事,7
達成,7
倍増,7
公約,7
場,7
演説,7
まだ,7
体,7
契約,7
意思,7
署名,7
賛成,6
度,6
早い,6
時期,6
評価,6
さまざま,6
家族,6
拡大,6
断固,6
平壌,6
挑戦,6
施策,6
初めて,6
事,6
件,6
明らか,6
同様,6
速やか,6
実行,6
肝心,6
変化,6
チェコ,6
幅広い,6
パートナー,6
新型,6
昔,6
答え,6
以降,6
費,6
策定,6
緊急,6
高速,6
増大,6
主導,6
深刻,6
税収,6
変更,6
抜本,6
帰属,6
院,6
中心,6
訪問,6
しっかり,6
完全,6
団体,6
つもり,6
感じ,6
真摯,6
開始,6
免除,6
展開,6
湾岸,6
選挙,6
入り,6
Ｇ,6
揺るぎない,6
旨,6
手続,6
ローマ,6
東京,6
経験,6
規定,6
支配,6
集団,6
途上,6
ユーラシア,6
分担,6
移転,6
先ほど,6
重視,6
営み,6
志向,6
限り,6
かね,6
ＦＴＡ,6
近年,6
願い,6
地球,6
意欲,6
援助,6
多角,6
ラウンド,6
ＥＰＡ,6
視野,6
強調,6
以外,6
部分,6
％,6
一日,6
少し,6
サイン,6
みんな,5
全面,5
時代,5
ベルリン,5
総会,5
来年,5
実効,5
早急,5
日程,5
法律,5
大きく,5
放棄,5
討論,5
党,5
正しい,5
存在,5
いつ,5
時,5
大事,5
確か,5
パキスタン,5
金融,5
企業,5
程度,5
子育て,5
今月,5
与党,5
道,5
県,5
影響,5
道路,5
資金,5
策,5
現下,5
来,5
税,5
遺憾,5
姿勢,5
先,5
早く,5
４,5
答弁,5
手,5
決して,5
ブッシュ,5
数,5
連絡,5
あれ,5
前回,5
はっきり,5
制裁,5
半島,5
省エネ,5
農業,5
条件,5
イギリス,5
事項,5
ちょうだい,5
治安,5
派遣,5
回答,5
和解,5
処罰,5
事情,5
発効,5
法的,5
理由,5
主体,5
特権,5
支払,5
現状,5
もしくは,5
大陸,5
円滑,5
現行,5
グアム,5
進歩,5
域内,5
どこ,5
別,5
木村,5
ご,5
あいさつ,5
除去,5
多様,5
責務,5
さて,5
うち,5
原油,5
友人,5
いささか,5
意,5
広く,5
収集,5
分析,5
耳,5
感謝,5
議会,5
一貫,5
自体,5
態度,5
山積,5
機構,5
ラブロフ,5
一緒,5
福志郎,5
節約,5
多大,5
国づくり,5
マイナス,5
ＰＫＯ,5
攻撃,5
まあ,4
反対,4
多数,4
崩壊,4
みたい,4
むしろ,4
南,4
海,4
唯一,4
被爆,4
増強,4
著しく,4
労働,4
オバマ,4
非難,4
万全,4
他国,4
ルール,4
昨日,4
変動,4
大きい,4
交換,4
二百,4
車,4
密,4
一刻,4
世代,4
拡充,4
医師,4
医療,4
再生,4
中長期,4
就職,4
訓練,4
再,4
期限,4
利用,4
編成,4
決定,4
当面,4
中期,4
変わり,4
消費,4
税制,4
谷内,4
