要約：
１．日本の社会保障全般の見直しに賛成
・介護保険制度の見直しを主張し、社会の変化に対応した改革が必要であると指摘。今後の財源確保も重要な課題と考えている。

２．社会保障費の増加に懸念
・増税や給付の削減に不安を感じており、国民が減税に冷ややかな目を向けていることを示唆。

３．雇用保険制度の改革を求める
・雇用保険の保険料率引き下げには反対し、制度の安定運営を重視。過去の無駄遣いへの反省と信頼回復が必要と述べている。

４．制度の無駄遣いに対する警鐘
・雇用保険三事業についての徹底的な見直しが必要であり、不要な施設建設に保険料が無駄に使われてきたことを批判している。

５．国の責任を強調
・教育や社会保障は国の責任であり、しっかりとしたリーダーシップを持って対応するべきだという姿勢を示している。----------1. 社会保障制度の見直しを強く支持
   - 現在の介護保険制度が時代の変化に合っていないと指摘し、家族や働き方の変化に応じた見直しが必要と主張。

2. 財源確保の重要性を強調
   - 社会保障費が増加する中、持続可能な財源の確保が不可欠であると述べ、無駄遣いがないか厳しく監視する必要性を訴え。

3. 雇用保険制度の安定性を重視
   - 高失業率の中での雇用保険料引き下げは受け入れられず、失業給付制度の運営を安定させる重要性を強調。

4. 国民の不信感に配慮
   - 社会保障制度の改革において、過去の無駄遣いに対する国民の不信を理解し、信頼回復へ向けた努力が必要との考えを示す。

5. 国の責任を強調
   - 教育や社会保障については、国が主体的に責任を持つべきであり、しっかりとしたリーダーシップが必要であると唱える。----------1. 社会保障の見直しに賛成
   - 社会保障費の負担が増加し、給付が削減される懸念があることに触れ、その現実に対処する必要性を強調。

2. 介護保険制度の改善を求める
   - 介護保険制度の成熟は評価しつつも、社会環境の変化に伴い見直しが不可欠であると指摘。

3. 雇用保険制度の適切な運営を重視
   - 雇用失業情勢の厳しさから保険料率の引き下げに反対し、制度の安定運営を重要視。

4. 無駄遣いの是正を強調
   - 過去の無駄遣いや信頼の損失を反省し、制度改善に向けた具体的な行動が必要だと訴え。

5. 国の責任を再認識
   - 教育や社会保障といった国民の命や財産に関わる分野で、国が主導的に責任を持つべきという姿勢を示す。
