Topic,Count,Name,Representation,Representative_Docs
-1,3396,-1_国務大臣_じゅ_岸田文雄君_西村,"['国務大臣', 'じゅ', '岸田文雄君', '西村', '枝野幸男君', '茂木敏充君', '内閣総理大臣', '細野豪志君', '松本', '海江田万里君']","['○国務大臣（岸田文雄君）まトルコ力関連政府体制ま基本的力規制当局トルコ力庁推進当局エネルギー天然資源省ぞ別組織設置考り', '本質的「じゅ」研究以前問題そレベル将来禍根残るま周辺整備ちっる状況る「じゅ」実際的実用化向けるど持っく必要力機構改革進め', '○内閣総理大臣（岸田文雄君）今経産大臣答弁ま政府引続最新技術動向ど注視敷地逼迫復興早期処理水貯蔵タンク減く必要こ現状海洋放出現実的対応認識り']"
0,414,0_再生可能エネルギー最大限導入向け系統整備加速国民負担抑制地域共生両立取り組む力安全性確保大前提上活用進めるど脱炭素電源利用促進電気安定供給確保措置講る必要_徹底的省エネルギー推進再生可能エネルギー最大限導入進め力安全最優先地元理解得進め_再エネ力ど使る最大限活用水素ど新選択肢追求まり_通常国会ｇｘ二法成立踏ま地域共生再生可能エネルギー最大限活用送電網整備推進蓄電池等導入安全最優先運転期間延長次世代革新炉開発建設等取り組みエネルギー安定供給恒久的実現あゆる方策検討,"['再生可能エネルギー最大限導入向け系統整備加速国民負担抑制地域共生両立取り組む力安全性確保大前提上活用進めるど脱炭素電源利用促進電気安定供給確保措置講る必要', '徹底的省エネルギー推進再生可能エネルギー最大限導入進め力安全最優先地元理解得進め', '再エネ力ど使る最大限活用水素ど新選択肢追求まり', '通常国会ｇｘ二法成立踏ま地域共生再生可能エネルギー最大限活用送電網整備推進蓄電池等導入安全最優先運転期間延長次世代革新炉開発建設等取り組みエネルギー安定供給恒久的実現あゆる方策検討', 'こ状況下エネルギー安定的適切供給資源枯渇少く環境負荷少太陽光バイオマス再生可能エネルギー力ど含む非化石エネルギー導入一層進める必要', 'こ厳エネルギー供給状況踏ま再エネ導入最優先全国規模系統整備海底直流送電整備ど加速上力含めあゆるエネルギー源活用進める必要', '我国低エネルギー自給率高中東依存度再エネ適地限厳エネルギー供給状況踏まる再エネ導入最優先全国規模系統整備海底直流送電整備ど加速上力含めあゆるエネルギー源活用進める必要', '省エネ対策抜本強化再エネ力推進どｇｘ加速需要側供給側双方燃料価格高騰影響緩和る構造転換最大限進めまり', '同時ｇｘ前提るエネルギー安定供給確保ロシア暴挙引起こエネルギー危機踏ま力発電問題正面取り組み', '他方資源乏我国単一完璧エネルギー源現状力火力含む多様エネルギー源バランスよく活用エネルギー安価安定的供給確保まり']","['再生可能エネルギー最大限導入向け系統整備加速国民負担抑制地域共生両立取り組む力安全性確保大前提上活用進めるど脱炭素電源利用促進電気安定供給確保措置講る必要', '再生可能エネルギー最大限導入向け系統整備加速国民負担抑制地域共生両立取り組む力安全性確保大前提上活用進めるど脱炭素電源利用促進電気安定供給確保措置講る必要', '再生可能エネルギー最大限導入向け系統整備加速国民負担抑制地域共生両立取り組む力安全性確保大前提上活用進めるど脱炭素電源利用促進電気安定供給確保措置講る必要']"
1,372,1_副大臣_あく現段階感触ござけど力わっ人間っま正念場ござ技術系職員っり確保けるふ思っ_同時ヨルダン力協定中委員っゃっ力兵器転用大変殺傷力持被害及ぼす扱極め慎重けけ御指摘全くりござま単売けく前提スリーｓセーフガーズセキュリティーセーフティーこっっり担保るど大事りそ前提け売る売安易考方決立っ委員御理解思_安全確保る繰り返繰り返問わ中そ答方見出確立っりけどブレーキ役っりけ意識中っござ,"['副大臣', 'あく現段階感触ござけど力わっ人間っま正念場ござ技術系職員っり確保けるふ思っ', '同時ヨルダン力協定中委員っゃっ力兵器転用大変殺傷力持被害及ぼす扱極め慎重けけ御指摘全くりござま単売けく前提スリーｓセーフガーズセキュリティーセーフティーこっっり担保るど大事りそ前提け売る売安易考方決立っ委員御理解思', '安全確保る繰り返繰り返問わ中そ答方見出確立っりけどブレーキ役っりけ意識中っござ', '実すごく大事思っこ思ね', '国務大臣一度帰っりま現場状況よくわりまけど先赤松先生っゃっ力発電所対応ど支援断っ認識ま米国認識ふ承知りけど初動対応手順等知る限り現場含め必死思ベスト尽く思結果ど評価るべ検証けけふ思っり', '力発電所立地今日既福井県く立地る県含め五十一基力発電所二〇一〇年現在十三基話進ござま大変苦労多ござろ事例わり一住民方々話合こじまり本当大苦労重ね実際立地断念わけござま高レベル放射性廃棄物最終処分問題ま安全性絶対的配慮まわけござっ地元御理解御協力得る不可欠ござ', '四月民間児玉敏雄新理事長迎力機構改革踏ま新中長期目標業務取り組りま集中改革成果定着改善新改革段階進ぜひ', '力行政一元化非常大事思るけ早く国会御理解発足ふ思っりま当然情報持っくるふ思っりま', '向けま今プロセス入っるわけ植松委員全部止まる可能性想定すべふっゃまけどちろ安全性確保よ安全性確保けどり社会全体ど動く併考けふ思っりま今時点全動想定必要']","['○副大臣（西村康稔君）非常御指摘りまど固定メンバーけっく考わけござま御指摘り被災者命守る観点厚生労働省非常大事役割果ゃけま複合災害対応考りま力災害同時起こる東日本例コンビナート場合自然災害コンビナート事故同時起こる場合交通機関場合経産省省庁含め柔軟対応思っり御指摘踏ま厚労省方参加っり議論ふ思', '○副大臣（赤羽一嘉君）済みま件ちょっ事前通告っ十分準備わけまけど今話聞力災害被害遭わ地域特殊性前向考けけ全くり思', '本人今最大責任ま力事故収束向っく努力けふ考りま具体的阿部委員方御指摘「健康保障」中言一番深くわっけ思っり「４作業員健康対策」まま十分部分ござ国当事者意識持っっく必要ふ思っり']"
2,159,2_シー_力発電所事故被害者方々損害賠償適切賠償速実施る必要対応策講じる必要_オーウラン加工施設臨界事故発生ま際経験教訓近年力損害賠償国際動向等踏ま力損害賠償制度見直適切行必要_前回改正時以降平成十一年九月三十日我国唯一力損害賠償事例株式会社ジェー,"['シー', '力発電所事故被害者方々損害賠償適切賠償速実施る必要対応策講じる必要', 'オーウラン加工施設臨界事故発生ま際経験教訓近年力損害賠償国際動向等踏ま力損害賠償制度見直適切行必要', '前回改正時以降平成十一年九月三十日我国唯一力損害賠償事例株式会社ジェー', '機構法資金援助ま事故事業者破産等回避将来収益っ賠償責任果す結果国民負担最小化資考り', '場合法的処理賠償国民負担最小化向け適切望ま実一貫思っ', '場合力発電リスク分散相互扶助基本的考方相入損害賠償事故処理支障来す', '損害賠償実施方針力事業者作成公表義務付ける各事業者自主性培公表伴事業者間方針共有関係者対話通じ内容適切性確保期待りま要っり方針策定当っ関係者意見事業者間協議内容適切性磨っほそスタンスま文部科学省ま今般改正後法律施行る間力事業者本制度趣旨周知徹底当該方針公表後力事業者対応状況逐次注視本制度適切運用図っ考り', 'こっ国際的力損害賠償制度構築観点最適考', '機構法資金援助事故事業者破産等回避将来収益っ賠償責任果結果国民負担最小化資考ござ']","['○塩谷国務大臣今回改正まジェー・シー・オー臨界事故経験十分生ジェー・シー・オー臨界事故ま我国力利用歴史上初め臨界事故ござま原賠法制定以来最初唯一力損害賠償事例ま今般法改正際経験適切踏まる極め重要考り', '前回改正時以降平成十一年九月三十日我国唯一力損害賠償事例株式会社ジェー・シー・オーウラン加工施設臨界事故発生ま際経験教訓近年力損害賠償国際動向等踏ま力損害賠償制度見直適切行必要', '前回改正時以降平成十一年九月三十日我国唯一力損害賠償事例株式会社ジェー・シー・オーウラン加工施設臨界事故発生ま際経験教訓近年力損害賠償国際動向等踏ま力損害賠償制度見直適切行必要']"
3,132,3_汚染水_力安全神話陥っまっ東京電力福島第一力発電所事故反省踏まる場合ゼロリスク認識立ち安全性確保最優先取り組まり_経済産業省最重要課題東京電力福島第一力発電所福島復興着実歩み進めまり_経済産業省最重要課題力災害福島復興一歩着実歩み進めけりま,"['汚染水', '力安全神話陥っまっ東京電力福島第一力発電所事故反省踏まる場合ゼロリスク認識立ち安全性確保最優先取り組まり', '経済産業省最重要課題東京電力福島第一力発電所福島復興着実歩み進めまり', '経済産業省最重要課題力災害福島復興一歩着実歩み進めけりま', 'こ中東京電力柏崎刈羽力発電所核物質防護重大事案発生大変遺憾事業所管経済産業省東京電力強危機感緊張感持っ抜本的対策講じるっり指導監督行っまり', '福島復興向け東京電力福島第一力発電所', '汚染水対策力災害福島復興経済産業省最重要課題', '当っ東京電力福島第一力発電所事故教訓反省立ち安全第一大原則', '汚染水対策全力取り組む極め重要東京電力任く国前面立ち責任果まり', '安全着実']","['安全着実・汚染水対策力災害福島復興経済産業省最重要課題', '福島復興向け東京電力福島第一力発電所・汚染水対策全力取り組む極め重要東京電力任く国前面立ち責任果まり', '安全着実・汚染水対策力災害福島復興経済産業省最重要課題']"
4,76,4_二二_〇円結果得ま数字細差けど低廉電源け間違言る考り_国務大臣御指摘二〇三〇年四六_四十年前五十年前同じ炉中チェック状況変わじゃ,"['二二', '〇円結果得ま数字細差けど低廉電源け間違言る考り', '国務大臣御指摘二〇三〇年四六', '四十年前五十年前同じ炉中チェック状況変わじゃ', '力脱炭素電源ｇｘ推進く上重要二〇三〇年度二〇', '四十年っ徹底すべっ二〇三〇年以降従っ二〇五〇ごろゼロるプロセス賛成二〇一五年減すめる賛成多分ろろ多様意見ろ思自然体っ稼働率変わっ稼働率高く見過ぎ一五く一三じゃ一二まざま御意見現出りそ踏ま判断', '力学会示シナリオ中長期ロードマップ定める二〇四一二〇五一年廃止措置終了目標一概比較難考り', '同時今停止中火力発電九割頼る中燃料費昨年三', '増加ま決楽観る状況こふ考りま現実的代替案例二〇三〇年代ゼロ無責任こっ言こふ思っり', '力実現不可能共通認識ろ思っり']","['力脱炭素電源ＧＸ推進く上重要二〇三〇年度二〇％二二％目標向け安全性確保大前提地元理解得既存発電所着実進めふ考り', '割り戻く先般大臣御答弁十・二円十・四円るござまライフサイクル全体見る八円九円水力話けど算定方式り石炭火力十二・三円一般水力十一・〇円結果得ま数字細差けど低廉電源け間違言る考り', '○国務大臣（西村康稔君）御指摘二〇三〇年四六％削減目指取り組まエネルギー基本計画中再エネ三六三八％力含め二〇二二実現け四六％削減るわけ全力挙げ']"
5,73,5_今後力安全_力安全担新機関設立全面的協力_こ中身ま力規制委員会設置法法律中整備分野ふ思っり_常勤常勤委員例プラントメーカー仕事常勤力規制委員物理的無理欠格要件当まけど現実的不可能,"['今後力安全', '力安全担新機関設立全面的協力', 'こ中身ま力規制委員会設置法法律中整備分野ふ思っり', '常勤常勤委員例プラントメーカー仕事常勤力規制委員物理的無理欠格要件当まけど現実的不可能', '自衛隊専門的判断自衛隊判断こそ力規制委員長判断覆す形る基本的指示権べろふ思', '規制機関力安全', '規制委員会安全性判断下す最終判断当っ必要条件けど十分条件る別問題規制委員会方表明ふ承知り', '御指摘り力安全情報広く公開力規制庁意思決定プロセス根拠等国民見オープン透明性すべ認識り', '環境省引続独立力規制委員会予算面体制面サポートまり考り', '経済産業省通産省時代含め利用規制一緒行っまり甘厳格規制っ面ふ思反省上立っ力規制委員会独立規制委員会設置利用規制分ける法制取っわけ']","['今後力安全・保安院経済産業省独立一元的力安全規制機関創設念頭力安全規制新組織制度青写真早期示考', '今後力安全・保安院経済産業省独立一元的力安全規制機関創設念頭力安全規制新組織制度青写真早期示考り', '今後力安全・保安院経済産業省独立一元的力安全規制機関創設視野入新組織制度青写真るけ早期示考り']"
6,73,6_こ問題非常危惧念持わけ政府考方力政策問題面学者政治家地元力政策どこくちゃ運命わ日本力発電再処理工場等々問題多く問題わけ_力発電所技術同様ふ認識り_方針ｇｘ基本方針変わるく政府方針力発電ゼロ目指す決めそござま_確認日本存在ダム力発電所保護対象る理解よろね,"['こ問題非常危惧念持わけ政府考方力政策問題面学者政治家地元力政策どこくちゃ運命わ日本力発電再処理工場等々問題多く問題わけ', '力発電所技術同様ふ認識り', '方針ｇｘ基本方針変わるく政府方針力発電ゼロ目指す決めそござま', '確認日本存在ダム力発電所保護対象る理解よろね', '稼働稼働ろ力発電所っり保安安全確保けりま', '絶対必力発電リスク', '聞りま力委員会核燃サイクルり', '脱めざ核燃料サイクル', '自民党める進める迷っあげく神話回帰聞こ自民党エネルギー政策信用ま', '過去政策含め検証力政策一回くり上げく']","['○国務大臣（中川正春君）全体エネルギー政策中力関バックエンド議論先話ま核燃料サイクルトータル整理くま一義的大切ろ思', '力研究開発機構旧原研動燃動燃「じゅ」側推進よく御存じ思研究機関旧原研部分排除まあゆる専門家排除ま分け考ござ', '度予算委員会等確認けど今連立政権加わっ社民党マニフェスト中表現「脱めざ核燃料サイクル・再処理中止']"
7,71,7_こっこそぜひ被爆地開催るｇ７外相会談ｇ７枠組み核兵器国非核兵器国含まる枠組み枠組み核兵器世界向け取り組み機運再び盛り上げる取り組みこる強メッセージ発出考_以上濃縮同意考ま_本協定あく日印間移転る力関連資機材等平和的利用等法的確保枠組み特定ビジネス成長戦略直接関連づけ取り決めるま_我国力協定結ぶ追加議定書締結強く求め承知賠償条約入っ国力協定締結交渉す賠償条約加入すべ求める我国力協定締結交渉姿勢べ姿思考ょ,"['こっこそぜひ被爆地開催るｇ７外相会談ｇ７枠組み核兵器国非核兵器国含まる枠組み枠組み核兵器世界向け取り組み機運再び盛り上げる取り組みこる強メッセージ発出考', '以上濃縮同意考ま', '本協定あく日印間移転る力関連資機材等平和的利用等法的確保枠組み特定ビジネス成長戦略直接関連づけ取り決めるま', '我国力協定結ぶ追加議定書締結強く求め承知賠償条約入っ国力協定締結交渉す賠償条約加入すべ求める我国力協定締結交渉姿勢べ姿思考ょ', '我国インド追加議定書締結重要性観点追加議定書発効待っ力協定締結考り', '第三国協定我国直接表明すべ立場ま米印間二〇〇五年力協定進める合意二〇〇七年力協定交渉妥結二〇〇八年発効承知り関連ｎｓｇ二〇〇八年九月ｎｓｇ臨時総会インド力協力行可能決定り日印力協定こ流軌一理解り', '約束行動内容従っインド対応全国インド力平和利用協力大前提承知り', '考方米印力協定締結至る過程米国明立場整合', '要ｎｐｔ枠外側わけこインドままインド力活動国際的不拡散体制外側置ままる形国際的不拡散枠組み中取り組くこ努力重要認識', '首脳会談場議論行わる予断ま我国インド力協力行当っ今日インド行っまざま約束事例核実験モラトリアム継続力施設軍民分離約束堅持大前提考']","['こっ核軍縮・不拡散大変厳こそ実質的インド力平和利用責任行動引込むど', 'インド力協力二十九日日予定り日・インド首脳会談議論行わる予断ま我国インド力協力行当っインド側核実験モラトリアム継続力施設軍民分離ど過去行っ約束堅持当然前提考り', '我国日印力協定適用受ける核物質インド二〇％以上濃縮同意考ま']"
8,69,8_あ申上げ全国民皆一定程度御理解け例仮地元是非く言っ遠地域皆絶対めく声圧倒的多数すべふ思_安全規制っりる中力得そ大前提省全体立状況今申上げ思_程度む得脱依存急ぐま今内閣限り決める国民皆大御検討上踏ま判断思っり_確国民間ま多く方今時点不安持っる否め事実ござ,"['あ申上げ全国民皆一定程度御理解け例仮地元是非く言っ遠地域皆絶対めく声圧倒的多数すべふ思', '安全規制っりる中力得そ大前提省全体立状況今申上げ思', '程度む得脱依存急ぐま今内閣限り決める国民皆大御検討上踏ま判断思っり', '確国民間ま多く方今時点不安持っる否め事実ござ', '時点力等関係除染含め大金更上乗くろ想像付都度必要性数字変わっくふ認識り', '是非上力運用在り方っり考思っ', '節繰り返り一昨年三', '結局炉地震耐津波定説結果見り地震破損漏水水漏ふ考思けどどふ捉', '結果実現含め赤松理事御指摘受け点努め思っり力少くど外務省わっ中日本ける考方持っ一度ま', '結果的すべ近々停止ざる得状況ま']","['今回三・一一事故国民全体事故起ど人間手負こ恐怖感持ち脱方向向くわけ', '節繰り返り一昨年三・一一福島大変教訓っり受け止めるべく依存少くく念頭置取り組思', '事実ど別少く国民皆受け止め従来経済産業省経済産業省下機関力安全・保安院含め稼働ょそっ方向様々組み立ふ受け取思っ']"
