Topic,Count,Name,Representation,Representative_Docs
-1,4089,-1_国_省_御_環境,"['国', '省', '御', '環境', '国務', '日米', '国民', '国際', '性', '法']","['いずれにせよ外交が我が国の国家安全保障政策の要諦でありしっかりとした環境整備を行った上で我が国の防衛力をしっかりと整えていく', '○岸田国務大臣我が国の安全保障に関しましては我が国自身の防衛力を強化しあわせて日米同盟の抑止力を初めとする環境整備をしっかり整えていかなければなりません', 'そして我が国の防衛力強化これは何よりも我が国そして日米同盟を始めとする関係国との間で抑止力対処力を強化するためすなわち日本に対して武力攻撃をちゅうちょさせるために抑止力対処力を強化するこうした考え方に基づいて強化を考えているこうした取組であります']"
0,1849,0_国_環境_国際_日米,"['国', '環境', '国際', '日米', '化', 'ミサイル', '核', '能力', '国民', '社会']","['そして我が国を取り巻く安全保障環境は大変今厳しさを増しているこうした認識を持っています', 'こうした環境に対してまず我が国としましてもしっかりと防衛力強化等自ら努めることを進めていくことと併せて日米安全保障体制に基づく日米同盟の抑止力の強化維持これも重要であると考えますしそして併せて我が国の外交努力の必要性も強く感じるところでございます', '我が国を取り巻く安全保障環境が一層厳しさと不確実性を増す中我が国の平和と安全を確保するとともに地域と国際社会の平和と安定に引き続き積極的に貢献してまいります']"
1,1097,1_省_御_法_国務,"['省', '御', '法', '国務', '場合', '武力', '国', '委員', '皆', '話']","['○岸田国務大臣御指摘の点につきましては総理は国連の安全保障措置への参加といった国際法上合法的な活動に憲法上の制約はないとするこうした報告書の結論についてはとらないということを申し上げたわけでありますがこうした国連決議等に基づく安全保障の活動について我が国の安全に重大な影響を及ぼす可能性がない場合に我が国が武力行使に参加することはあり得ないこういったことを申し上げたと理解をしております', '○浜田国務大臣今先生がおっしゃったようにそれだったらほかの大臣にもということでありますがしかしながら防衛省の中で今まで防衛参事官制度というのがあった中でそしてまたそういった全省的な立場で補佐するという部分そしてまた防衛省の事務を統括する防衛大臣を文民統制する側から支える体制をつくるというそういう意味合いも含めて我々とすれば考えているところでありましてもしも我々の防衛省でそれがうまくいけば他省庁でもそういったことが考えられるのではないかなというふうに思います', 'しかし我々とすれば省に昇格して更に一層飛躍するそしてまた国民の皆さん方に我々防衛省・自衛隊というものを分かっていただくための努力そしてまたそういった事案を起こした方々だけが自衛隊員ではないわけでありまして今も真面目に一生懸命任務に励んでいる自衛隊員の皆さん方がいらっしゃるわけでありますので大変そういう意味ではこのところそういったものが多いという御指摘そして私自身が大臣になってからもそれがあるということに大変申し訳なく大変遺憾に思っておるところでございます']"
2,189,2_省_国民_全力_所存,"['省', '国民', '全力', '所存', '財産', '生命', '政務', '領空', '領海', '領土']","['防衛省・自衛隊としては我が国の防衛力を抜本的に強化することにより抑止力を高め我が国の領土領海領空そして国民の生命と財産を守り抜いてまいります', '我が国の平和と安全を維持しその存立を全うするとともに国民の生命財産及び我が国の領土領海領空を断固として守り抜くため防衛省・自衛隊は今後とも全力を尽くしていく所存です', '我が国の平和と安全を維持しその存立を全うするとともに国民の生命財産及び我が国の領土領海領空を断固として守り抜くため防衛省・自衛隊は今後とも全力を尽くしていく所存です']"
3,64,3_台湾_海峡_社会_国際,"['台湾', '海峡', '社会', '国際', '対話', '全体', '立場', '国', '林', '国務']","['いずれにせよ台湾海峡の平和と安定は我が国の安全保障はもとより国際社会全体の安定にとっても重要と考えており台湾をめぐる問題について対話により平和的に解決されることを期待するというのが従来からの我が国の一貫した立場であります', '我々としてはやはり台湾海峡の平和と安定は我が国の安全保障はもとより国際社会全体の安定にとっても重要でありまして台湾をめぐる問題が対話によって平和的に解決されることを期待するというのが従来からの一貫した立場であります', '政府としては台湾海峡の平和と安定これは我が国の安全保障はもとより国際社会全体の安定にとっても重要であり台湾をめぐる問題が対話により平和的に解決されることを期待するというのが従来からの一貫した立場であります']"
4,16,4_レベル_首脳_積極_,"['レベル', '首脳', '積極', '', '', '', '', '', '', '']","['同時に外交には裏付けとなる防衛力が必要です', '同時にこうした外交を展開するためには裏づけとなる防衛力が必要です', 'そのためにまず優先されるべきは首脳レベルを含む積極的な外交の展開ですが同時に外交には裏付けとなる防衛力が必要です']"
5,15,5_最小_態様_相手_専守,"['最小', '態様', '相手', '専守', '精神', '受動', '武力', '姿勢', '限度', '憲法']","['このような見解と相手から武力攻撃を受けたとき初めて防衛力を行使しその態様も自衛のための必要最小限にとどめまた保持する防衛力も自衛のためと必要最小限なものに限るなど憲法の精神にのっとった受動的な防衛戦略の姿勢を専守防衛という専守防衛の考え方は整合するものと考えております', '改めて専守防衛とは相手から武力攻撃を受けたとき初めて防衛力を行使しその態様も自衛のための必要最小限にとどめまた保持する防衛力も自衛のための必要最小限のものに限るなど憲法の精神にのっとった受動的な防衛戦略の姿勢をいうものでありこれは我が国の防衛の基本的な方針であります', '専守防衛とは相手から武力攻撃を受けたとき初めて防衛力を行使しその態様も自衛のための必要最小限にとどめまた保持する防衛力も自衛のための必要最小限のものに限るなど憲法の精神にのっとった受動的な防衛戦略の姿勢をいうものであり我が国の防衛の基本的な方針であることからこれを変更することは考えておりません']"
6,13,6_産業_国内_少子_中核,"['産業', '国内', '少子', '中核', '人材', '需要', '国', '員', '限界', '課題']","['国内防衛産業はいわば防衛力そのものであり基盤強化が急務です', 'また国内防衛産業は我が国の防衛力の一部であり産業基盤強化が急務です', 'そして国内防衛産業これは我が国の防衛力の一部であり産業基盤の強化が急務であると思います']"
7,11,7_組織_ハラスメント_根幹_相互,"['組織', 'ハラスメント', '根幹', '相互', '員', '各', '有無', '募集', '暴力', 'パワー']","['○浜田国務大臣ハラスメントは人の組織である自衛隊において自衛隊員相互の信頼関係を失墜させ組織の根幹を揺るがす決してあってはならないものだと考えます', 'ハラスメントは人の組織である自衛隊において自衛隊員相互の信頼関係を失墜させ組織の根幹を揺るがす決してあってはならないものであります', 'いずれにしてもハラスメントは人の組織である自衛隊において自衛隊員相互の信頼関係を失墜させ組織の根幹を揺るがす決してあってはならないものであります']"
8,11,8_資本_柱_課題_主義,"['資本', '柱', '課題', '主義', '食料', '命', '国家', '国民', '', '']","['経済安全保障は待ったなしの課題であり新しい資本主義の重要な柱です', '経済安全保障は待ったなしの課題であり新しい資本主義の重要な柱です', '経済安全保障も待ったなしの課題であり新しい資本主義の重要な柱です']"
