,pmi
石炭政策,0.51419830824463
不安を払拭するため,0.51419830824463
完全廃炉,0.51419830824463
長期活用,0.51419830824463
地域エネルギー,0.51419830824463
地産地消型,0.51419830824463
低い日本,0.51419830824463
感謝,0.51419830824463
廃炉・汚染水対策,0.51419830824463
この点,0.51419830824463
役割分担,0.51419830824463
国際的な懸念,0.51419830824463
日米同盟,0.51419830824463
特措法,0.51419830824463
安全最優先,0.51419830824463
雇用,0.51419830824463
差別意識,0.51419830824463
島々,0.51419830824463
廃炉工程,0.51419830824463
管理運営能力,0.51419830824463
移住促進,0.51419830824463
生活再建,0.51419830824463
安心を重視,0.51419830824463
健康を重視,0.51419830824463
人為的な過ち,0.51419830824463
健全な発展,0.51419830824463
核共有,0.51419830824463
バックエンド問題,0.51419830824463
地方創生,0.51419830824463
がん対策,0.51419830824463
不十分な状態,0.51419830824463
早急な再稼働,0.51419830824463
コスト削減,0.51419830824463
不備を批判,0.51419830824463
共生,0.51419830824463
"賛成
・エネルギー需要",0.51419830824463
安全協定,0.51419830824463
原子力安全行政,0.51419830824463
林業再生,0.51419830824463
廃炉作業を重視,0.51419830824463
最終処分地,0.51419830824463
脱原発・再生可能エネルギー,0.51419830824463
賠償基準,0.51419830824463
農地,0.51419830824463
原発を稼働させること,0.51419830824463
賠償対応,0.51419830824463
生存権,0.51419830824463
性質,0.51419830824463
支払い能力,0.51419830824463
賠償スキーム,0.51419830824463
"疑問を持つ
・福島原発",0.51419830824463
再稼働を進める方針,0.51419830824463
官邸,0.51419830824463
産業経済,0.51419830824463
国際的な流れ,0.51419830824463
健康を守るため,0.51419830824463
原発反対,0.51419830824463
次世代エネルギー,0.51419830824463
海洋生物,0.51419830824463
具体的な意見,0.51419830824463
国際的な共同研究,0.51419830824463
非常時,0.51419830824463
柔軟な対応,0.51419830824463
決定過程,0.51419830824463
一自治体,0.51419830824463
地域原子力防災協議会,0.51419830824463
メリット,0.51419830824463
リスク認識,0.51419830824463
汚染水処理,0.51419830824463
電力市場,0.51419830824463
投資効果,0.51419830824463
不透明感,0.51419830824463
どちら,0.51419830824463
汚染処理水,0.51419830824463
山林,0.51419830824463
持続可能な発展,0.51419830824463
土砂流出,0.51419830824463
核施設,0.51419830824463
超党派,0.51419830824463
国際展開,0.51419830824463
経済復興,0.51419830824463
核廃棄物問題,0.51419830824463
CO2削減目標,0.51419830824463
揚水発電,0.51419830824463
原子力研究開発,0.51419830824463
きちんとした検証,0.51419830824463
原発神話,0.51419830824463
菅総理,0.51419830824463
被災地住民,0.51419830824463
ドローン,0.51419830824463
新しい産業,0.51419830824463
"
・立憲民主党",0.51419830824463
体制整備,0.51419830824463
理解を求める姿勢,0.51419830824463
エネルギー外交,0.51419830824463
水素技術,0.51419830824463
燃料棒,0.51419830824463
弁護士会,0.51419830824463
不透明な中,0.51419830824463
欲望,0.51419830824463
この意見,0.51419830824463
