,pmi
新しい原発技術,0.48753006116246866
関連施設,0.48753006116246866
家計,0.48753006116246866
原発を停止すること,0.48753006116246866
最小限,0.48753006116246866
喫緊,0.48753006116246866
外交政策,0.48753006116246866
次世代革新炉,0.48753006116246866
その活動,0.48753006116246866
難しいと指摘,0.48753006116246866
終わり,0.48753006116246866
コスト削減,0.48753006116246866
トルコ,0.48753006116246866
社会的な問題,0.48753006116246866
11年,0.48753006116246866
産業政策,0.48753006116246866
信頼関係構築,0.48753006116246866
天然ガス,0.48753006116246866
フランス,0.48753006116246866
資源利用,0.48753006116246866
ALPS処理水,0.48753006116246866
農業,0.48753006116246866
妥当性,0.48753006116246866
基本政策,0.48753006116246866
"強化を求める
・原発事故",0.48753006116246866
常識,0.48753006116246866
調査委員会,0.48753006116246866
情報交換,0.48753006116246866
特別な支援,0.48753006116246866
緊張感,0.48753006116246866
農産物,0.48753006116246866
安全性を確認すること,0.48753006116246866
産品,0.48753006116246866
体制整備,0.48753006116246866
安全性を高めるため,0.48753006116246866
海上保安庁,0.48753006116246866
消費者庁,0.48753006116246866
経済振興,0.48753006116246866
不断,0.48753006116246866
使用済燃料対策,0.48753006116246866
コスト問題,0.48753006116246866
原発を稼働させること,0.48753006116246866
国民的なコンセンサス,0.48753006116246866
原発建設計画,0.48753006116246866
長期的なエネルギー政策,0.48753006116246866
"
・防波壁",0.48753006116246866
賠償基準,0.48753006116246866
脱原発・再生可能エネルギー,0.48753006116246866
"賛成
・エネルギー需要",0.48753006116246866
二酸化炭素排出量,0.48753006116246866
法治国家,0.48753006116246866
情報収集,0.48753006116246866
高経年化,0.48753006116246866
"
・浜岡原発",0.48753006116246866
長期的な取り組み,0.48753006116246866
消防団,0.48753006116246866
説明責任を果たすこと,0.48753006116246866
浄化槽,0.48753006116246866
"賛成
・大学",0.48753006116246866
除染技術,0.48753006116246866
環境対策,0.48753006116246866
"賛成
・関係自治体",0.48753006116246866
核廃棄物問題,0.48753006116246866
港湾,0.48753006116246866
現在進行形,0.48753006116246866
経済回復,0.48753006116246866
信頼性向上,0.48753006116246866
不安を重視,0.48753006116246866
がん対策,0.48753006116246866
完全廃炉,0.48753006116246866
危機意識,0.48753006116246866
既存原発,0.48753006116246866
戦略的,0.48753006116246866
傘,0.48753006116246866
ない中傷,0.48753006116246866
この意見,0.48753006116246866
継続利用,0.48753006116246866
"
・IAEA",0.48753006116246866
がん医療,0.48753006116246866
ブラックアウト,0.48753006116246866
関係省庁,0.48753006116246866
地方創生,0.48753006116246866
周辺環境,0.48753006116246866
移住促進,0.48753006116246866
森林,0.48753006116246866
十分な安全対策,0.48753006116246866
試算,0.48753006116246866
"
・立憲民主党",0.48753006116246866
日本産,0.48753006116246866
電力市場,0.48753006116246866
不安を払拭するため,0.48753006116246866
投資効果,0.48753006116246866
国際的な共同研究,0.48753006116246866
撤廃,0.48753006116246866
自治体任せ,0.48753006116246866
支援を重視,0.48753006116246866
弁護士会,0.48753006116246866
透明な説明,0.48753006116246866
法的根拠,0.48753006116246866
揚水発電,0.48753006116246866
きちんとした検証,0.48753006116246866
取り返し,0.48753006116246866
農林水産業再生,0.48753006116246866
核物質,0.48753006116246866
特例措置,0.48753006116246866
島々,0.48753006116246866
処理水放出,0.48753006116246866
復興庁,0.48753006116246866
継続的な支援,0.48753006116246866
スタンスをわかりやすく説明するもの,0.48753006116246866
特別な健康管理,0.48753006116246866
地産地消型,0.48753006116246866
廃炉完了,0.48753006116246866
放射線障害防止,0.48753006116246866
役割分担,0.48753006116246866
日米同盟,0.48753006116246866
火力発電所,0.48753006116246866
原子力災害被災地域,0.48753006116246866
廃炉後,0.48753006116246866
いないと批判,0.48753006116246866
安全協定,0.48753006116246866
原発立地団体,0.48753006116246866
廃炉工程,0.48753006116246866
管理運営能力,0.48753006116246866
発電時,0.48753006116246866
健康を重視,0.48753006116246866
性質,0.48753006116246866
産業経済,0.48753006116246866
原子炉等規制法,0.48753006116246866
人為的な過ち,0.48753006116246866
中長期的なエネルギー政策,0.48753006116246866
健全な発展,0.48753006116246866
早急な再稼働,0.48753006116246866
厳格な安全確認,0.48753006116246866
支援措置,0.48753006116246866
課税制度,0.48753006116246866
発展を図る必要,0.48753006116246866
観光振興,0.48753006116246866
長期活用,0.48753006116246866
放射線医療,0.48753006116246866
原子力関係施設,0.48753006116246866
高レベル廃棄物,0.48753006116246866
低コスト,0.48753006116246866
未来世代,0.48753006116246866
産業推進,0.48753006116246866
日本全体,0.48753006116246866
高校,0.48753006116246866
モニタリング,0.48753006116246866
原子力規制機関,0.48753006116246866
産業事故,0.48753006116246866
工程表,0.48753006116246866
川内原発,0.48753006116246866
"
・原発事故時",0.48753006116246866
原発維持,0.48753006116246866
テロ行為,0.48753006116246866
原発コスト,0.48753006116246866
再処理体制,0.48753006116246866
コンプライアンス,0.48753006116246866
専門学校,0.48753006116246866
仮設住宅,0.48753006116246866
国際交渉,0.48753006116246866
損害賠償金,0.48753006116246866
原子力教育,0.48753006116246866
原発産業,0.48753006116246866
条件付き,0.48753006116246866
核施設,0.48753006116246866
原子力事業所,0.48753006116246866
災害リスク,0.48753006116246866
枠組み内,0.48753006116246866
温室効果ガス削減,0.48753006116246866
重大事故,0.48753006116246866
地域原子力防災協議会,0.48753006116246866
サイバーセキュリティ,0.48753006116246866
"
・原発利用",0.48753006116246866
安全性を前提,0.48753006116246866
エネルギー安定供給,0.48753006116246866
自由化,0.48753006116246866
職員,0.48753006116246866
地層処分,0.48753006116246866
法令,0.48753006116246866
誰,0.48753006116246866
原子力問題,0.48753006116246866
支持を表明,0.48753006116246866
信頼構築,0.48753006116246866
地域ごと,0.48753006116246866
進捗状況,0.48753006116246866
四十年,0.48753006116246866
諸外国,0.48753006116246866
廃炉研究,0.48753006116246866
テロリズム,0.48753006116246866
導入を重視,0.48753006116246866
反原発,0.48753006116246866
政党,0.48753006116246866
廃炉作業を重視,0.48753006116246866
原子力規制行政,0.48753006116246866
すべて,0.48753006116246866
原発ゼロを目指すこと,0.48753006116246866
健康を守るため,0.48753006116246866
一自治体,0.48753006116246866
もらう必要,0.48753006116246866
省エネ技術,0.48753006116246866
ある政治家,0.48753006116246866
輸入規制撤廃,0.48753006116246866
次世代原発,0.48753006116246866
健康問題,0.48753006116246866
興味,0.48753006116246866
強い要望,0.48753006116246866
バックエンド問題,0.48753006116246866
避難対策,0.48753006116246866
太陽光発電,0.48753006116246866
どれ,0.48753006116246866
原発反対,0.48753006116246866
耐震設計,0.48753006116246866
再生可能エネルギー推進,0.48753006116246866
アメリカ,0.48753006116246866
決議,0.48753006116246866
法的支援,0.48753006116246866
石炭政策,0.48753006116246866
原発防護,0.48753006116246866
輸送,0.48753006116246866
新産業,0.48753006116246866
浜岡原発,0.48753006116246866
廃炉措置,0.48753006116246866
世界最高水準,0.48753006116246866
特措法,0.48753006116246866
処分方法,0.48753006116246866
防災インフラ,0.48753006116246866
原発関連法案,0.48753006116246866
選挙区,0.48753006116246866
"
 
",0.48753006116246866
原子力安全基盤機構廃止法,0.48753006116246866
被害を受けた人々,0.48753006116246866
いると評価,0.48753006116246866
課税,0.48753006116246866
差別意識,0.48753006116246866
未来志向,0.48753006116246866
原子力施設,0.41853718967551706
主体,0.40748735348893217
必要であると指摘,0.40748735348893217
太陽光,0.39221988135814384
被災地域,0.39221988135814384
影響を懸念,0.39221988135814384
原発建設,0.3821695455046422
自衛隊,0.3821695455046422
温室効果ガス,0.3821695455046422
説明責任,0.3821695455046422
推進を重視,0.3821695455046422
"
・電力",0.3821695455046422
輸入規制,0.3697470255060852
復旧,0.3697470255060852
現地,0.3697470255060852
ことを評価,0.3697470255060852
独立した規制機関,0.3697470255060852
規制庁,0.3697470255060852
国民負担,0.35399866853794604
透明な情報提供,0.35399866853794604
安全確認,0.35399866853794604
"
・東日本大震災後",0.35399866853794604
国内外,0.34442921752179523
合意形成,0.3333793813352103
・原子力施設,0.3333793813352103
放射性廃棄物処理,0.3333793813352103
原子力規制庁,0.3333793813352103
"
・避難計画",0.3333793813352103
賠償責任,0.3333793813352103
柱,0.3333793813352103
環境保護,0.3333793813352103
理解を深める努力,0.3333793813352103
最終処分場,0.3333793813352103
対話を重視,0.3333793813352103
徐々,0.3333793813352103
理解を得るため,0.3333793813352103
"
・高レベル放射性廃棄物",0.3333793813352103
責任を明確にする必要,0.3333793813352103
実情,0.3333793813352103
・ウクライナ,0.3333793813352103
進捗,0.3333793813352103
技術的,0.3333793813352103
"
・発言",0.3333793813352103
汚染水問題,0.3333793813352103
彼,0.3250111316646937
投資,0.3250111316646937
遅れ,0.3232270098711923
地域支援,0.3204759764993024
ことを提案,0.3204759764993024
原発廃炉,0.3204759764993024
信頼を回復するため,0.3204759764993024
不可欠であると指摘,0.30520850436851393
慎重な検討,0.30520850436851393
意見をわかりやすく整理したもの,0.30520850436851393
適切な支援,0.30520850436851393
防災対策,0.30520850436851393
廃炉・汚染水対策,0.30520850436851393
持続可能性,0.30520850436851393
迅速な賠償,0.30520850436851393
まま,0.30520850436851393
避難者,0.30520850436851393
対策強化,0.30520850436851393
納得,0.30520850436851393
乏しいため,0.30520850436851393
経済活動,0.30520850436851393
世論,0.30520850436851393
安全を重視,0.30520850436851393
必要であることを指摘,0.30520850436851393
不安を軽減するため,0.30520850436851393
原発ゼロ政策,0.30520850436851393
導入促進,0.30520850436851393
有効活用,0.30520850436851393
テロ対策,0.30520850436851393
前面,0.30520850436851393
不備を指摘,0.30520850436851393
国際情勢,0.30520850436851393
圧力,0.30520850436851393
IAEA,0.30520850436851393
原発周辺地域,0.30520850436851393
検証,0.30520850436851393
転換を提案,0.30520850436851393
仕組み,0.30520850436851393
規制当局,0.30520850436851393
地域振興策,0.30520850436851393
食品,0.30520850436851393
"懸念
・福島第一原発事故",0.30520850436851393
議論を進める必要,0.30520850436851393
内外,0.2933740467215112
見直しを提案,0.29081976691641437
規制強化,0.28685936570031734
過程,0.28685936570031734
国全体,0.28685936570031734
放射性廃棄物,0.28685936570031734
価格,0.28685936570031734
"
   ",0.2798906963842241
高レベル放射性廃棄物,0.2798906963842241
同意,0.2798906963842241
低下,0.2798906963842241
放出,0.2798906963842241
持続可能なエネルギー政策,0.2798906963842241
移行,0.27780953018039956
策定,0.27622096749526176
規制機関,0.27395596086440954
地方,0.2643865098482588
