,pmi
スポーツ団体,2.375344447276474
町全体,2.375344447276474
生活インフラ,2.375344447276474
生徒減少,2.375344447276474
育児能力,2.375344447276474
良質な住宅,2.375344447276474
コロナ後,2.375344447276474
地方部,2.375344447276474
分娩施設,2.375344447276474
"*
   ",2.375344447276474
オープンスペース,2.375344447276474
近隣市町村,2.375344447276474
社会経済,2.152200895962264
"
・子供たち",2.087662374824693
不可欠と認識,1.9698793391683096
決断,1.9698793391683096
"
・育児休業給付制度",1.9698793391683096
高い子育て支援,1.9698793391683096
現金支給,1.9698793391683096
規制緩和,1.9698793391683096
その観点,1.9698793391683096
多様なニーズ,1.9698793391683096
役割を果たすこと,1.9698793391683096
部活動,1.9698793391683096
その解決策,1.9698793391683096
スポーツ,1.8645188235104833
子育て支援拠点,1.8645188235104833
幅広い施策,1.8645188235104833
持続可能な財源,1.8645188235104833
"
・地域ごと",1.8157286593410513
"
   ",1.8157286593410513
防止,1.8157286593410513
体験活動,1.6821972667165286
単独の問題,1.6821972667165286
保育所整備,1.6821972667165286
国民一人一人,1.6821972667165286
慎重な検討,1.6821972667165286
学童クラブ,1.6821972667165286
発想,1.6821972667165286
複雑な課題,1.6821972667165286
核家族化,1.6821972667165286
能力向上,1.6821972667165286
世界,1.6821972667165286
介護サービス,1.6821972667165286
基礎自治体,1.6821972667165286
各地域,1.6821972667165286
地域医療構想,1.6821972667165286
教育内容,1.6821972667165286
単一の政策,1.6821972667165286
総合的な施策,1.6821972667165286
東京圏,1.6821972667165286
育児休業給付制度,1.6821972667165286
水道事業,1.6821972667165286
住宅供給,1.6821972667165286
成功事例,1.6821972667165286
子ども中心,1.6821972667165286
住宅支援,1.6821972667165286
シェアリングエコノミー,1.6821972667165286
健康問題,1.6821972667165286
大人中心,1.6821972667165286
北欧諸国,1.6821972667165286
ベビーシッター制度,1.6821972667165286
住宅環境,1.6821972667165286
就労支援,1.6821972667165286
国民会議,1.6821972667165286
生活基盤,1.6821972667165286
子育て支援予算,1.6821972667165286
働く女性,1.6821972667165286
食料生産,1.6821972667165286
生殖医療,1.6821972667165286
妊産婦,1.6821972667165286
フランス,1.6821972667165286
多様な働き方,1.6821972667165286
年齢制限,1.6821972667165286
児童福祉施策,1.6821972667165286
他地域,1.6821972667165286
いくこと,1.5868870869122038
効果的な少子化対策,1.5644142310601452
地域医療,1.5280465868892705
地域支援,1.5280465868892705
多様な子育て支援,1.5280465868892705
"
以下",1.4590537154023189
生徒,1.4590537154023189
総合的な政策,1.4590537154023189
強化を提言,1.4590537154023189
具体的な数値目標,1.4590537154023189
抑制,1.4590537154023189
具体的な提案,1.4590537154023189
情報提供,1.4590537154023189
私立大学,1.4590537154023189
連携を重視,1.4590537154023189
ある政治家,1.4590537154023189
経済的な不安定,1.4590537154023189
広い視野,1.4590537154023189
トータル,1.4590537154023189
活動,1.410263551232887
少子化社会,1.3945151942647478
一貫性,1.3945151942647478
高い教育,1.363743535597994
役割を重視,1.363743535597994
意見を分かりやすくまとめたもの,1.363743535597994
結婚・出産,1.363743535597994
保護者,1.3457250300953159
保育施設,1.2767321586083644
需要減少,1.2767321586083644
取り組みを重視,1.2767321586083644
総合的な子育て支援,1.2767321586083644
必要だと提案,1.2767321586083644
具体的なアプローチ,1.2767321586083644
給付水準,1.2767321586083644
雇用確保,1.2767321586083644
環境問題,1.2767321586083644
給与,1.2767321586083644
子供中心,1.2767321586083644
"
・生殖補助医療",1.2767321586083644
強化を要求,1.2767321586083644
家族観,1.2767321586083644
再構築,1.2767321586083644
"
・男女共同参画",1.2767321586083644
一政治家,1.2767321586083644
医療費助成,1.2767321586083644
いじめ,1.2767321586083644
厚労省,1.2767321586083644
その確保,1.2767321586083644
子供を育てるため,1.2767321586083644
必要性を提唱,1.2767321586083644
新しい資本主義,1.2767321586083644
公営住宅,1.2767321586083644
財政的な支援,1.2767321586083644
将来世代,1.2767321586083644
統廃合,1.2767321586083644
まちづくり,1.2767321586083644
地域住民,1.2767321586083644
子育て支援施設,1.2767321586083644
命を守ること,1.2767321586083644
育児負担,1.2767321586083644
政策推進,1.2767321586083644
見解をわかりやすくまとめたもの,1.2767321586083644
"
・全国",1.2767321586083644
重要と指摘,1.2767321586083644
全国一律,1.2767321586083644
"
・沖縄県",1.2767321586083644
郵便局,1.2767321586083644
産科医,1.2767321586083644
国際競争力,1.2767321586083644
法務,1.2767321586083644
参考,1.2767321586083644
耳を傾けること,1.2767321586083644
母子保健,1.2767321586083644
2030年代,1.2767321586083644
ロボット,1.2767321586083644
繁栄,1.2767321586083644
深刻な影響を及ぼすため,1.2767321586083644
助け合い,1.2767321586083644
各自治体,1.2767321586083644
新しい発想,1.2767321586083644
多様な子育て支援策,1.2767321586083644
社会機能,1.2767321586083644
子どもを育てやすい環境を整えること,1.2767321586083644
幅広い世代,1.2767321586083644
根幹,1.2767321586083644
多様な支援策,1.2767321586083644
貧困家庭,1.2767321586083644
"責任を強調
・少子化対策",1.2767321586083644
母子家庭,1.2767321586083644
所得階層,1.2767321586083644
総合的な取り組み,1.2767321586083644
高い出生率,1.2767321586083644
"必要性を強調
・少子化問題",1.2767321586083644
コロナ禍,1.2767321586083644
"
・結婚",1.2359101640881092
民間,1.2226649373380887
経済支援,1.2121936374707931
サービス,1.2012246061002192
充実を提案,1.1966894509348278
"重要性を強調
・子供",1.171371642950538
ニーズ,1.171371642950538
住環境,1.171371642950538
希望を実現するため,1.171371642950538
意向を表明,1.171371642950538
行政サービス,1.171371642950538
幼稚園,1.171371642950538
住民,1.122581478781106
特性,1.122581478781106
制度改善,1.122581478781106
学び,1.122581478781106
子供たち,1.122581478781106
個々,1.122581478781106
創設を提案,1.122581478781106
"
・不妊治療",1.122581478781106
経済的負担軽減,1.122581478781106
「国難,1.122581478781106
復興,1.122581478781106
高い保育,1.122581478781106
"批判
・現在",1.122581478781106
住宅政策,1.122581478781106
包括的な施策,1.122581478781106
数値目標,1.122581478781106
"
・待機児童",1.1023787714635866
育児休業給付,1.0944106018144097
コロナ,1.0944106018144097
事情,1.076061463146213
育児環境,1.076061463146213
具体的な行動,1.076061463146213
提供,1.0712881843935556
"
・地域",1.0580429576435348
重要と強調,1.0535886072941545
住宅,1.0403433805441338
経済的な負担,1.0403433805441338
遅れ,1.0403433805441338
妊娠,1.0316097005753793
内容,1.0254177303274583
実情,1.0207987844711637
協力,1.0030363281313233
家族制度,0.9890500861565834
制度整備,0.9890500861565834
少子化対策予算,0.9890500861565834
そのもの,0.9890500861565834
地域課題,0.9890500861565834
その実現,0.9890500861565834
関係者,0.9890500861565834
幅広い視点,0.9890500861565834
児童虐待,0.9890500861565834
枠組み,0.9890500861565834
出産育児一時金,0.9890500861565834
特に若い世代,0.9890500861565834
"
・未婚化",0.9890500861565834
定員,0.9890500861565834
インフラ,0.9890500861565834
人材不足,0.9890500861565834
安心して子育てできる環境を整えること,0.9890500861565834
一人当たり,0.9890500861565834
新しい技術,0.9890500861565834
理念,0.9890500861565834
対立,0.9890500861565834
考えを表明,0.9890500861565834
設立を提案,0.9890500861565834
チャンス,0.9890500861565834
医療機関,0.9890500861565834
経済全体,0.9890500861565834
全体的な子育て支援,0.9890500861565834
本当,0.9890500861565834
女性活躍推進,0.9890500861565834
予算削減,0.9890500861565834
様々な施策,0.9890500861565834
認定こども園,0.9890500861565834
