,pmi
子育てサービス,1.9761885083615744
妊娠初期,1.9761885083615744
計画しない妊娠,1.9761885083615744
一貫した支援,1.9761885083615744
若者向け政策,1.9761885083615744
正しい知識,1.9761885083615744
出産環境,1.9761885083615744
子ども・子育て支援政策,1.9761885083615744
コロナ後,1.9761885083615744
就業率,1.9761885083615744
"懸念
・地方自治体",1.9761885083615744
影響を与えていることを指摘,1.7530449570473645
妊婦,1.6885064359097934
周知,1.5707234002534098
命を守ること,1.5707234002534098
未婚化対策,1.5707234002534098
因果関係,1.5707234002534098
具体的な施策を提案,1.5707234002534098
育児休暇取得,1.5707234002534098
理解を深めること,1.5707234002534098
活躍促進,1.5707234002534098
母子保健,1.5707234002534098
育児休業を取ること,1.5707234002534098
家庭生活,1.5707234002534098
就労支援,1.283041327801629
一極集中是正,1.283041327801629
良質な住宅,1.283041327801629
充実を提唱,1.283041327801629
"懸念
・政府",1.283041327801629
教育水準,1.283041327801629
ライフスタイル,1.283041327801629
賃金格差,1.283041327801629
自治体間,1.283041327801629
支援不足,1.283041327801629
文科省,1.283041327801629
核家族化,1.283041327801629
崩壊,1.283041327801629
出生率回復,1.283041327801629
第三子,1.283041327801629
対立,1.283041327801629
出生率を上げるため,1.283041327801629
労働力確保,1.283041327801629
"
・子供たち",1.283041327801629
妊産婦,1.283041327801629
食料自給率,1.283041327801629
共働き・共育て,1.283041327801629
受け皿整備,1.283041327801629
住宅環境,1.283041327801629
東京圏,1.283041327801629
経営者,1.283041327801629
日本人,1.283041327801629
メリット,1.283041327801629
"賛成
・子供",1.283041327801629
病児保育,1.283041327801629
ベビーシッター制度,1.283041327801629
育児休業を取得すること,1.283041327801629
他地域,1.283041327801629
育児休暇制度,1.283041327801629
多いことを指摘,1.283041327801629
沖縄,1.1288906479743708
地域差,1.1288906479743708
義務教育,1.1288906479743708
"
・沖縄",1.1288906479743708
地域格差,1.1288906479743708
性別,1.1288906479743708
育児休暇,1.1007197710076744
役割分担,1.1007197710076744
子育て家庭,1.0598977764874191
現行施策,1.0598977764874191
格差是正,1.0598977764874191
関係省庁,1.0598977764874191
"
・男女",1.0598977764874191
情報提供,1.0598977764874191
育休制度,1.0598977764874191
職場復帰,1.0598977764874191
具体的な目標設定,1.0598977764874191
主な要因,1.0598977764874191
職場,1.020677063334138
軽減を重視,0.9953592553498481
家事,0.9953592553498481
職場環境,0.9953592553498481
上昇,0.9953592553498481
厚生労働省,0.9953592553498481
適切な支援,0.9953592553498481
父親,0.9953592553498481
キャリア,0.9953592553498481
導入を提案,0.9953592553498481
"
・妊娠",0.9953592553498481
一因,0.9645875966830944
ことを期待,0.9645875966830944
母,0.9201358341122606
希望を持てる社会を作ること,0.8775762196934647
活躍推進,0.8775762196934647
出生後,0.8775762196934647
失策,0.8775762196934647
"支持
・全て",0.8775762196934647
"
・男女共同参画",0.8775762196934647
育児負担,0.8775762196934647
"賛成
・現在",0.8775762196934647
お金,0.8775762196934647
母子家庭,0.8775762196934647
給付水準,0.8775762196934647
将来世代,0.8775762196934647
キャリア形成,0.8775762196934647
統廃合,0.8775762196934647
質を向上させる必要性,0.8775762196934647
現金支給,0.8775762196934647
セーフティーネット,0.8775762196934647
子供を育てるため,0.8775762196934647
婚姻率,0.8775762196934647
母親,0.8775762196934647
引上げ,0.8775762196934647
"重要性を強調
・出生率",0.8775762196934647
貧困家庭,0.8775762196934647
特に男性,0.8775762196934647
何,0.8775762196934647
同性婚,0.8775762196934647
第一子,0.8775762196934647
"
・沖縄県",0.8775762196934647
整備を重視,0.8775762196934647
出産・子育て応援交付金,0.8775762196934647
育児休業を取得,0.8775762196934647
産科医,0.8775762196934647
重要と指摘,0.8775762196934647
意識変革,0.8775762196934647
大学教育,0.8775762196934647
"賛成
・男性",0.8775762196934647
所得階層,0.8775762196934647
前例,0.8775762196934647
未婚率,0.8775762196934647
新しい制度,0.8775762196934647
高い出生率,0.8775762196934647
育児休業取得促進,0.8775762196934647
"疑問
・児童手当",0.8775762196934647
低所得層,0.8775762196934647
大きな影響を与えると指摘,0.8775762196934647
その解決策,0.8775762196934647
一政治家,0.8775762196934647
利用促進,0.8775762196934647
多様なニーズ,0.8775762196934647
学費免除,0.8775762196934647
都市圏,0.8775762196934647
社会進出,0.8775762196934647
厚労省,0.8775762196934647
憲法改正,0.8775762196934647
"重要性を強調
・子ども手当",0.8775762196934647
親たち,0.8775762196934647
子育て支援を充実させる必要,0.8775762196934647
募集環境,0.8775762196934647
強化を提唱,0.8775762196934647
公営住宅,0.8775762196934647
家族形成,0.8775762196934647
"賛成
・政府",0.8775762196934647
注意,0.8775762196934647
子供を持つ家庭,0.8775762196934647
男性,0.8367542251732094
育児参加,0.8130376985558934
"重要性を強調
・子供",0.7722157040356383
"賛成
・教育",0.7722157040356383
待機児童解消,0.7722157040356383
住環境,0.7722157040356383
"
・子供",0.7414440453688848
男女,0.732994990882357
夫婦,0.7234255398662064
社会構造,0.7234255398662064
両輪,0.7234255398662064
支援体制,0.7234255398662064
積極的な姿勢,0.7234255398662064
"
・不妊治療",0.7234255398662064
産後,0.7234255398662064
早急な対応,0.7234255398662064
誰,0.7234255398662064
宝,0.7234255398662064
配置,0.7234255398662064
経済再生,0.7234255398662064
必要であると提案,0.7234255398662064
環境を整える必要,0.703222832548687
"
・結婚",0.703222832548687
障害,0.6952546628995101
"
・男性",0.6883342200549362
生活環境,0.6769055242313134
父,0.6769055242313134
目標設定,0.6769055242313134
普及,0.6769055242313134
男女平等,0.6769055242313134
男女共同参画,0.6769055242313134
観点,0.6324537616604796
出産,0.6262617914125587
いることを指摘,0.6237956989173651
参加,0.6152119552259736
仕事,0.6093122330987853
複雑な課題,0.5898941472416838
"
・出生率",0.5898941472416838
格差解消,0.5898941472416838
活躍,0.5898941472416838
社会状況,0.5898941472416838
柔軟な働き方,0.5898941472416838
"
・出生数",0.5898941472416838
子育て予算,0.5898941472416838
人口問題,0.5898941472416838
命,0.5898941472416838
教育力,0.5898941472416838
その改善,0.5898941472416838
必要性を提言,0.5898941472416838
不安を表明,0.5898941472416838
環境を整えること,0.5898941472416838
様々な施策,0.5898941472416838
特に離島,0.5898941472416838
発想,0.5898941472416838
増設,0.5898941472416838
様々な要因,0.5898941472416838
就労環境,0.5898941472416838
いる少子高齢化,0.5898941472416838
経済的負担を軽減すること,0.5898941472416838
内需,0.5898941472416838
社会制度,0.5898941472416838
長期的な取り組み,0.5898941472416838
生活保護,0.5898941472416838
難しさを指摘,0.5898941472416838
与党,0.5898941472416838
"
・子育て世代",0.5898941472416838
低所得者層,0.5898941472416838
いることを問題視,0.5898941472416838
取り組みを評価,0.5898941472416838
高校生,0.5898941472416838
真剣に取り組むこと,0.5898941472416838
家族制度,0.5898941472416838
重大な問題であると認識,0.5898941472416838
