,pmi
"
・公立学校",1.7632675134337488
病害虫,1.7632675134337488
竹島周辺海域,1.7632675134337488
暑さ対策,1.7632675134337488
環境委員,1.7632675134337488
日本人,1.7632675134337488
"賛成
・竹島周辺",1.7632675134337488
消防飛行艇,1.7632675134337488
民有林,1.7632675134337488
"賛成
・GPU",1.7632675134337488
人権問題,1.7632675134337488
排出企業,1.7632675134337488
"
・気象庁",1.7632675134337488
原発停止後,1.7632675134337488
木製サッシ,1.7632675134337488
環境変動,1.7632675134337488
大災害,1.7632675134337488
国際協調主義,1.7632675134337488
再資源化,1.7632675134337488
過疎地域,1.7632675134337488
貧困撲滅,1.7632675134337488
被災地支援,1.7632675134337488
ハイブリッド車,1.7632675134337488
地方都市,1.7632675134337488
低消費電力,1.7632675134337488
克雪対策,1.7632675134337488
海洋環境保全,1.7632675134337488
ハザードマップ,1.7632675134337488
航行,1.7632675134337488
批准,1.7632675134337488
漁場,1.7632675134337488
クリーンエネルギー車,1.7632675134337488
二酸化炭素を排出しないため,1.7632675134337488
森林取得,1.7632675134337488
30%,1.7632675134337488
森林経営,1.7632675134337488
二酸化炭素濃度計,1.7632675134337488
耐震性,1.7632675134337488
"賛成
・先進国",1.7632675134337488
三井住友銀行,1.7632675134337488
国際的な環境保護,1.7632675134337488
経済再生,1.7632675134337488
法人,1.7632675134337488
関心を持つ必要,1.7632675134337488
"
・子供たち",1.475585440981968
感染症対策,1.475585440981968
地球全体,1.475585440981968
"
・近年",1.475585440981968
"必要性を訴える
・気候変動",1.3578024053255844
人間,1.3578024053255844
気候政策,1.3578024053255844
日本社会,1.3578024053255844
国際機関,1.3578024053255844
環境施策,1.3578024053255844
県民,1.3578024053255844
スタンスをまとめたもの,1.3578024053255844
"
・若者",1.3578024053255844
環境権,1.3578024053255844
"
・国連",1.3578024053255844
降雪,1.3578024053255844
私たち,1.3578024053255844
サステナビリティ,1.3578024053255844
豪雪,1.3578024053255844
子供たち,1.3112823896906916
全員,1.252441889667758
真剣に取り組む必要,1.203651725498326
持続的な取り組み,1.0701203328738034
森林保全,1.0701203328738034
"強い関心
・気候変動",1.0701203328738034
資源活用,1.0701203328738034
開発途上国,1.0701203328738034
財政面,1.0701203328738034
解明,1.0701203328738034
暮らし,1.0701203328738034
利用を促進すること,1.0701203328738034
特別措置法,1.0701203328738034
世論,1.0701203328738034
"
・国有林",1.0701203328738034
政府支援,1.0701203328738034
"
・フロン",1.0701203328738034
二国間クレジット制度,1.0701203328738034
意識を持つこと,1.0701203328738034
革新技術,1.0701203328738034
南極観測,1.0701203328738034
極端な気象現象,1.0701203328738034
"
・自転車",1.0701203328738034
安心を確保するため,1.0701203328738034
"
・発展途上国",1.0701203328738034
カーボンニュートラルポート,1.0701203328738034
国産木材,1.0701203328738034
進歩,1.0701203328738034
"反対
・政府",1.0701203328738034
気候基金,1.0701203328738034
キーワード,1.0701203328738034
水源涵養,1.0701203328738034
環境基本法,1.0701203328738034
原発運転期間,1.0701203328738034
線状降水帯,1.0701203328738034
国有林,1.0701203328738034
"
・国民全体",1.0701203328738034
"

２．国際的な協力を重視",1.0701203328738034
積極的に取り組むこと,1.0701203328738034
貧困,1.0701203328738034
環境活動,1.0701203328738034
浮き彫り,1.0701203328738034
豪雪地帯,1.0701203328738034
環境破壊,1.0701203328738034
CO₂削減,1.0701203328738034
