,pmi
電力需給,1.4235901458635876
民法,1.4235901458635876
"賛成
・エネルギー供給",1.4235901458635876
官民ファンド,1.4235901458635876
長期優良住宅,1.4235901458635876
"反対
・ガソリン補助",1.4235901458635876
スマートコミュニティ,1.4235901458635876
分離,1.4235901458635876
発送電,1.4235901458635876
"
・観光地",1.4235901458635876
再生可能エネルギー関連産業,1.4235901458635876
"賛成
・福島県",1.4235901458635876
電力供給体制,1.4235901458635876
電力料金,1.4235901458635876
社会保障費,1.4235901458635876
電気代,1.4235901458635876
逼迫,1.4235901458635876
系統強化,1.4235901458635876
バイオマス活用,1.4235901458635876
フュージョンエネルギー,1.4235901458635876
クリーンエネルギー車,1.4235901458635876
原発回帰,1.4235901458635876
補助制度,1.4235901458635876
系統接続,1.4235901458635876
LNG火力,1.4235901458635876
由来,1.4235901458635876
先駆け,1.4235901458635876
核燃料サイクル,1.4235901458635876
官房長官,1.4235901458635876
平準化,1.4235901458635876
低消費電力,1.4235901458635876
実用性,1.4235901458635876
需要地,1.4235901458635876
かつ計画的に実施する必要,1.4235901458635876
エネルギー生産,1.4235901458635876
次世代燃料,1.4235901458635876
水素事業,1.4235901458635876
エネルギー部門,1.4235901458635876
エネルギー自立型,1.4235901458635876
ビル,1.4235901458635876
特定分野,1.4235901458635876
非化石エネルギー源,1.4235901458635876
事業環境,1.4235901458635876
"賛成
・GPU",1.4235901458635876
脱炭素施策,1.4235901458635876
各段階,1.4235901458635876
請負業者,1.4235901458635876
クリーンエネルギー分野,1.4235901458635876
インフラ投資,1.4235901458635876
高い脱炭素,1.4235901458635876
最新技術,1.4235901458635876
電力インフラ整備,1.4235901458635876
ハイブリッド車,1.4235901458635876
風力エネルギー,1.4235901458635876
鉄道貨物,1.4235901458635876
許認可,1.4235901458635876
"賛成
・農林水産業",1.4235901458635876
過疎地域,1.4235901458635876
近い場所,1.4235901458635876
比率を高めること,1.269439466036329
電動車,1.2412685890696329
製造業,1.2412685890696329
撤退,1.2004465945493779
"賛成
・原発",1.2004465945493779
分散型エネルギーシステム,1.1359080734118066
発電コスト,1.1359080734118066
現時点,1.1359080734118066
水素技術,1.1359080734118066
"賛成
・政府",1.1359080734118066
地方活性化,1.1359080734118066
効率的な利用,1.1359080734118066
参入,1.1359080734118066
電力自由化,1.1359080734118066
比率を高めるため,1.1359080734118066
地産地消型,1.1359080734118066
災害時,1.1359080734118066
再生可能エネルギー技術,1.1359080734118066
"賛成
・二〇五〇年",1.0871179092423746
EV車,1.018125037755423
"
・製造業",1.018125037755423
エネルギー需給,1.018125037755423
天然ガス,1.018125037755423
"賛成
・電気自動車",1.018125037755423
100%,1.018125037755423
はじめ,1.018125037755423
グリーン水素,1.018125037755423
小規模事業者,1.018125037755423
"賛成
・現在",1.018125037755423
"賛成
・特に洋上風力発電",1.018125037755423
地元住民,1.018125037755423
初期投資,1.018125037755423
主力化,1.018125037755423
内燃機関,1.018125037755423
"賛成
・森林整備",1.018125037755423
"
・福島原発事故",1.018125037755423
消費税,1.018125037755423
期待を表明,1.018125037755423
電力会社,1.018125037755423
特性を生かした取り組み,1.018125037755423
原発政策,1.018125037755423
活用を提唱,1.018125037755423
電気事業者,1.018125037755423
自転車,1.018125037755423
"支持
・原発",0.9817573935845483
原発再稼働,0.9716050221205302
持続可能なエネルギー政策,0.9380823300818867
地域特性,0.9380823300818867
エネルギーシステム,0.9127645220975968
重要な電源,0.9127645220975968
地方創生,0.9127645220975968
水力発電,0.9127645220975968
脱炭素化を重視,0.9127645220975968
合成燃料,0.9127645220975968
産業振興,0.9127645220975968
カーボンニュートラルを目指す中,0.9127645220975968
"
・再生可能エネルギー導入",0.9127645220975968
"賛成
・脱炭素",0.8929618948014171
需給,0.8845936451309006
増設,0.8639743579281649
サプライチェーン,0.8639743579281649
課題解決,0.8482260009600258
地産地消,0.8482260009600258
原発依存度,0.8358034809614685
転換を支持,0.8358034809614685
"懸念
・再生可能エネルギー",0.8174543422932721
水素エネルギー,0.8174543422932721
"
・電力",0.8045509374573642
導入を重視,0.8045509374573642
雇用創出,0.8045509374573642
"
・自転車",0.7304429653036423
国際貢献,0.7304429653036423
国家戦略,0.7304429653036423
進歩,0.7304429653036423
環境基本法,0.7304429653036423
老朽化対策,0.7304429653036423
"賛成
・洋上風力発電",0.7304429653036423
力を入れる必要,0.7304429653036423
"賛成
・住宅",0.7304429653036423
地域密着型,0.7304429653036423
取り組みを強化する必要,0.7304429653036423
導入を促進すること,0.7304429653036423
地中熱,0.7304429653036423
震災,0.7304429653036423
適合義務化,0.7304429653036423
技術革新を重視,0.7304429653036423
普及を進める必要,0.7304429653036423
生息環境,0.7304429653036423
運営,0.7304429653036423
増産,0.7304429653036423
金融機関,0.7304429653036423
見通し,0.7304429653036423
鍵であると認識,0.7304429653036423
悪化,0.7304429653036423
国民理解,0.7304429653036423
比率を上げること,0.7304429653036423
消費者負担,0.7304429653036423
"賛成
・二酸化炭素の貯留",0.7304429653036423
コストを下げるため,0.7304429653036423
エネルギー起源,0.7304429653036423
官民連携,0.7304429653036423
電力部門,0.7304429653036423
"賛成
・福島",0.7304429653036423
フロン類,0.7304429653036423
安定した電力供給,0.7304429653036423
公共施設,0.7304429653036423
新しい技術,0.7304429653036423
持続可能なエネルギー利用,0.7304429653036423
ビジョン,0.7304429653036423
協議会,0.7304429653036423
長期戦略,0.7304429653036423
導入を重要視,0.7304429653036423
新しい産業,0.7304429653036423
分散型電源,0.7304429653036423
"
・農林水産省",0.7304429653036423
希望,0.7304429653036423
