,pmi
JT,2.7327428136925818
調達制度,2.7327428136925818
無制限,2.7327428136925818
外国資本,2.4450607412408005
利上げ,2.327277705584417
消費税を上げること,2.221917189926591
"懸念
・現在",2.0395956331326364
受動喫煙,2.0395956331326364
顧客,2.0395956331326364
立証,2.0395956331326364
地方都市,2.0395956331326364
余地,2.0395956331326364
プライマリーバランス,2.0395956331326364
全体的な経済成長,1.8854449533053779
内需拡大,1.8164520818184267
法人税減税,1.8164520818184267
規制強化,1.8164520818184267
金融緩和政策,1.8164520818184267
全体的な経済政策,1.8164520818184267
格差拡大,1.7519135606808554
構造的な問題,1.7519135606808554
軽減税率,1.7519135606808554
一貫性,1.7519135606808554
"
・インフレ",1.7031233965114234
電力供給,1.634130525024472
民間経済,1.634130525024472
カーボンプライシング,1.634130525024472
労働者保護,1.634130525024472
土地取得,1.634130525024472
厳しい環境,1.634130525024472
経済安全保障推進法,1.634130525024472
金融所得課税,1.634130525024472
"
・終身雇用",1.634130525024472
資産デフレ,1.634130525024472
"賛成
・現在",1.634130525024472
民需主導,1.634130525024472
防衛費,1.634130525024472
赤字企業,1.634130525024472
日本銀行,1.634130525024472
外交政策,1.634130525024472
タイミング,1.634130525024472
経済成長を促進するため,1.5800633037541962
"
・円安",1.5695920038869007
"
・日銀",1.5540878173509354
関係を重視,1.5287700093666456
技術開発,1.4799798451972137
格差問題,1.4799798451972137
輸出促進,1.4799798451972137
"
・金融政策",1.4799798451972137
悪影響を及ぼす可能性,1.4799798451972137
可処分所得を増やすこと,1.4799798451972137
"
・これ",1.4799798451972137
教育訓練,1.4799798451972137
進行,1.4799798451972137
自由な経済活動,1.4799798451972137
経済格差,1.459777137879694
結果,1.451808968230517
・金融政策,1.4448885253859434
影響を及ぼす可能性,1.4334598295623207
アメリカ,1.4334598295623207
低迷,1.410986973710262
円高,1.410986973710262
金融緩和,1.3977417469602416
意見をもと,1.346448452572691
健全な成長,1.346448452572691
日銀,1.346448452572691
公共投資,1.346448452572691
労働生産性,1.346448452572691
その実施,1.346448452572691
内需,1.346448452572691
再分配機能,1.346448452572691
ロシア,1.346448452572691
所得税減税,1.346448452572691
介入,1.346448452572691
インボイス制度,1.346448452572691
浮き彫り,1.346448452572691
従業員,1.346448452572691
スタンスを要約したもの,1.346448452572691
福利厚生,1.346448452572691
丁寧な説明,1.346448452572691
短期的な経済対策,1.346448452572691
労働法制,1.346448452572691
目標達成,1.346448452572691
中間層,1.346448452572691
国民負担,1.346448452572691
予算増加,1.346448452572691
経済連携協定,1.346448452572691
重要である一方,1.346448452572691
金融経済教育,1.346448452572691
マクロ経済政策,1.346448452572691
民間金融機関,1.346448452572691
規制緩和,1.2858238307562562
再分配,1.2858238307562562
適切な政策,1.2664057448991546
経済制裁,1.2664057448991546
金利,1.2664057448991546
資産,1.251138272768366
成長を促進するため,1.2446657582627485
違い,1.2286654169163074
自由化,1.2286654169163074
予備費,1.2286654169163074
"
・景気対策",1.2286654169163074
財政再建,1.2286654169163074
持続性,1.2286654169163074
"
・物価高騰",1.2286654169163074
プラス,1.2286654169163074
新たな政策,1.2286654169163074
可能性を指摘,1.2286654169163074
予算編成,1.2286654169163074
恐れ,1.2286654169163074
興味,1.2286654169163074
適切な支援策,1.2286654169163074
専門家,1.2286654169163074
インフレ対策,1.2286654169163074
所得再分配,1.2286654169163074
いると批判,1.2286654169163074
緩和,1.1958755940933168
異次元,1.1922977727454327
慎重な姿勢,1.1922977727454327
原因,1.1922977727454327
一定,1.1922977727454327
