,pmi
教育格差,1.3781971508872712
経済安全保障推進法,1.3781971508872712
セット,1.3781971508872712
庶民,1.3781971508872712
ジェンダー平等,1.3781971508872712
JT,1.3781971508872712
公立学校,1.3781971508872712
"賛成
・全国一律",1.3781971508872712
就労確保,1.3781971508872712
立証,1.3781971508872712
土地取得,1.3781971508872712
法的保護,1.3781971508872712
防衛費,1.3781971508872712
1500円,1.2446657582627485
労働法制,1.2446657582627485
欠如,1.224046471060013
全国一律,1.1958755940933168
悪影響を及ぼすと警告,1.1958755940933168
無期雇用,1.1958755940933168
経済的な支援,1.1550535995730615
大胆な財政出動,1.1550535995730615
根本的な見直し,1.1550535995730615
直接的な支援,1.1268827226063651
外国資本,1.0905150784354902
逆効果,1.0905150784354902
マクロ経済政策,1.0905150784354902
安価な労働力,1.0905150784354902
労働契約法,1.0905150784354902
後手,1.0905150784354902
復興特別所得税,1.0905150784354902
最低賃金引き上げ,1.0905150784354902
いると批判,1.0780925584369332
矛盾,1.0597434197687368
"賛成
・非正規雇用",1.0417249142660583
"懸念
・非正規雇用",1.0417249142660583
国庫負担,1.0417249142660583
派遣労働者,1.0215222069485388
不十分であると指摘,1.0104723707619538
批判的,0.9987075291823675
自由主義経済,0.9727320427791069
将来世代,0.9727320427791069
男女雇用機会均等法,0.9727320427791069
5%,0.9727320427791069
非正規雇用問題,0.9727320427791069
緊縮財政,0.9727320427791069
いないと指摘,0.9727320427791069
中央省庁,0.9727320427791069
悪影響を及ぼしていると指摘,0.9727320427791069
"懸念
・政府",0.9727320427791069
負担増,0.9727320427791069
生活保障,0.9727320427791069
金融所得課税,0.9727320427791069
予備費,0.9727320427791069
総理,0.9727320427791069
労働者保護,0.9727320427791069
外交政策,0.9727320427791069
予算編成,0.9727320427791069
外国人労働者受け入れ,0.9727320427791069
他省庁,0.9727320427791069
"賛成
・労働者",0.9727320427791069
負担増加,0.9727320427791069
消費減税,0.9727320427791069
岸田総理,0.9727320427791069
"
・非正規労働者",0.9727320427791069
透明性を要求,0.9727320427791069
失業給付,0.9727320427791069
生活保護,0.9727320427791069
ハローワーク,0.9727320427791069
就職氷河期世代,0.9727320427791069
年金制度,0.9727320427791069
問題を指摘,0.9533139569220052
時期,0.936364398608232
