,pmi
環境再生,2.077816845952834
デジタル基盤,2.077816845952834
国土交通省,2.077816845952834
需要拡大,2.077816845952834
農村地域,2.077816845952834
地方税化,2.077816845952834
給付型奨学金,2.077816845952834
国産農産物,2.077816845952834
"賛成
・地方経済",2.077816845952834
ジビエ,2.077816845952834
感染症法,2.077816845952834
ふるさと納税制度,2.077816845952834
飲食業界,2.077816845952834
被災者支援,1.8546732946386242
大規模災害,1.6723517378446697
"
・地域中小企業",1.6723517378446697
民需主導,1.6723517378446697
博士課程,1.6723517378446697
災害時,1.625831722209777
"
・沖縄",1.6078132167070984
港湾,1.5669912221868434
地域コミュニティ,1.5669912221868434
保証制度,1.5669912221868434
"賛成
・地域",1.5669912221868434
"
・農林水産業",1.5669912221868434
国土強靱化,1.5669912221868434
被災者,1.5669912221868434
農山漁村,1.5669912221868434
雇用促進策,1.5182010580174115
循環経済,1.5182010580174115
林業,1.4587776375466106
様々な施策,1.3846696653928887
洋上風力発電,1.3846696653928887
ユニバーサルサービス,1.3846696653928887
信用保証制度,1.3846696653928887
"
・地域産業",1.3846696653928887
"賛成
・地域経済",1.3846696653928887
年功序列,1.3846696653928887
生産拡大,1.3846696653928887
アフリカ,1.3846696653928887
災害対策,1.3846696653928887
国内消費,1.3846696653928887
役所,1.3846696653928887
期限,1.3846696653928887
資金面,1.3846696653928887
一次産業,1.3846696653928887
新規就農者,1.3846696653928887
電波,1.3846696653928887
私立高校,1.3846696653928887
関連省庁,1.3846696653928887
教育環境,1.3846696653928887
後継者不足,1.3846696653928887
アニマルウエルフェア,1.3846696653928887
事業復活支援金,1.3846696653928887
農林水産業,1.3046269577193523
沖縄,1.2893594855885637
水産業,1.2793091497350624
経済循環,1.2668866297365053
港,1.2305189855656304
高等教育,1.2305189855656304
漁業者,1.2305189855656304
中長期的な視点,1.2305189855656304
地域雇用,1.2305189855656304
食料供給,1.202348108598934
災害復旧,1.161526114078679
貧困問題,1.161526114078679
政府系金融機関,1.161526114078679
住民税,1.161526114078679
活性化を図ること,1.161526114078679
重要であることを指摘,1.161526114078679
自然災害,1.161526114078679
地方団体,1.161526114078679
資金支援,1.161526114078679
意見を理解しやすくまとめたもの,1.161526114078679
