,pmi
食品表示,1.846911289303135
就労確保,1.846911289303135
調達制度,1.846911289303135
軍事優先,1.846911289303135
公立学校,1.846911289303135
公共放送,1.846911289303135
教育格差,1.5592292168513542
運転手,1.4414461811949706
福祉サービス,1.4414461811949706
ライドシェア,1.4414461811949706
"
・非正規労働者",1.4414461811949706
肥料,1.4414461811949706
男性,1.3769076600573995
引下げ,1.3769076600573995
"
・男性",1.3360856655371443
国土強靱化,1.3360856655371443
経済的な支援,1.3360856655371443
自立支援,1.3360856655371443
漁業者,1.2872955013677123
"
・消費者庁",1.2872955013677123
"賛成
・消費者",1.2109225225831384
"
・沖縄",1.1537641087431898
観光地,1.1537641087431898
期限,1.1537641087431898
給付型奨学金,1.1537641087431898
立証,1.1537641087431898
悪影響を及ぼしていると指摘,1.1537641087431898
問題解決,1.1537641087431898
消費者被害,1.1537641087431898
駐留軍,1.1537641087431898
デジタル化推進,1.1537641087431898
輸入価格,1.1537641087431898
消費者教育,1.1537641087431898
財政安定,1.1537641087431898
経済的負担,1.1537641087431898
税制上,1.1537641087431898
顧客,1.1537641087431898
国土交通省,1.1537641087431898
受動喫煙,1.1537641087431898
引き合い,1.1537641087431898
医療機関,1.1537641087431898
事業復活支援金,1.1537641087431898
共生社会,1.1537641087431898
社会経済活動,1.1537641087431898
相談窓口,1.1537641087431898
ロシア,1.1537641087431898
消費者庁,1.1537641087431898
電波,1.1537641087431898
保育士,1.1537641087431898
高所得者,1.0359810730868064
補償,1.0359810730868064
この問題,1.0359810730868064
環境配慮,0.9996134289159315
低減,0.9996134289159315
"
・消費者契約法",0.9996134289159315
食品,0.9867100240800235
農家,0.9819138518165305
"
・消費者",0.9750723199998138
ウクライナ,0.9714425519492351
補正予算案,0.93062055742898
消費者契約法,0.93062055742898
社会保険料負担,0.93062055742898
重要であることを指摘,0.93062055742898
基準,0.93062055742898
所得補償制度,0.93062055742898
"必要性を強調
・コロナ禍",0.93062055742898
法人税減税,0.93062055742898
貧困対策,0.93062055742898
消費者を守るため,0.93062055742898
高速道路,0.93062055742898
雇用契約,0.93062055742898
合理的な価格形成,0.93062055742898
法律案,0.93062055742898
社会経済,0.9024496804622837
漁業,0.8913998442756987
物価対策,0.8660820362914088
"
・全て",0.8660820362914088
安全性,0.8483824591920079
法改正,0.8413894237010374
増加を重視,0.8353103776246551
問題意識,0.8353103776246551
"
・特定",0.8353103776246551
沖縄,0.8353103776246551
食,0.8252600417711536
"賛成
・国民",0.8172918721219767
子供,0.8108193576163593
防衛費,0.7482990006350254
他省庁,0.7482990006350254
農業生産者,0.7482990006350254
予備費,0.7482990006350254
消費拡大策,0.7482990006350254
全国一律,0.7482990006350254
災害対策,0.7482990006350254
再稼働,0.7482990006350254
造船業,0.7482990006350254
男女共同参画,0.7482990006350254
総理,0.7482990006350254
低所得世帯,0.7482990006350254
人件費,0.7482990006350254
外交政策,0.7482990006350254
消費者保護,0.7482990006350254
地域住民,0.7482990006350254
防衛産業,0.7482990006350254
実現を重視,0.7482990006350254
被災地域,0.7482990006350254
暮らし,0.7482990006350254
中央省庁,0.7482990006350254
社会資本,0.7482990006350254
民需主導,0.7482990006350254
観光客,0.7482990006350254
金融所得課税,0.7482990006350254
各省庁,0.7482990006350254
食育,0.7482990006350254
緑,0.7482990006350254
職業選択,0.7482990006350254
価格形成,0.7482990006350254
水産物,0.7482990006350254
同等以上,0.7482990006350254
被雇用者,0.7482990006350254
農業経営,0.7482990006350254
"
・生産者",0.7482990006350254
消費者視点,0.7482990006350254
役割分担,0.7482990006350254
子供たち,0.7482990006350254
生活保護制度,0.7482990006350254
資源確保,0.7482990006350254
負担増加,0.7482990006350254
軽減措置,0.7482990006350254
将来世代,0.7482990006350254
親,0.7482990006350254
透明性を要求,0.7482990006350254
生活保護,0.7482990006350254
技術者,0.7482990006350254
開発支援,0.7482990006350254
雇用施策,0.7482990006350254
所得補償,0.7482990006350254
国民経済,0.7482990006350254
"賛成
・労働者",0.7482990006350254
人口増加,0.7482990006350254
東京圏,0.7482990006350254
可能性を示唆,0.7482990006350254
"賛成
・政府",0.7482990006350254
農地,0.7482990006350254
北朝鮮,0.7482990006350254
利便性向上,0.7482990006350254
交通インフラ,0.7482990006350254
方々,0.7482990006350254
土地取得,0.7482990006350254
風評被害,0.7482990006350254
赤字企業,0.7482990006350254
大規模災害,0.7482990006350254
物流,0.7482990006350254
農業政策,0.6837604794974542
手続き,0.6837604794974542
権利,0.679306129148074
経済制裁,0.6682562929614889
効果的な経済対策,0.6682562929614889
食料,0.6682562929614889
食料安全保障,0.6573272224292986
意見を表明,0.6529888208307005
問題提起,0.642938484977199
住民,0.642938484977199
必要だと提案,0.642938484977199
重要であると提言,0.594148320807767
自由な経済活動,0.594148320807767
与党,0.594148320807767
権利保護,0.594148320807767
生活困窮者,0.594148320807767
安全を守るため,0.594148320807767
地域支援,0.594148320807767
"
・外国人労働者",0.594148320807767
経済的な理由,0.594148320807767
意識向上,0.594148320807767
