,pmi
有害廃棄物,2.430572298824671
土地利用規制法案,2.430572298824671
この法案,2.0251071907165064
"反対
・政府",2.0251071907165064
財政再建,1.7374251182647256
"
・イラク",1.7374251182647256
"慎重
・政府",1.7374251182647256
国際的な平和協力活動,1.7374251182647256
関係省庁間,1.7374251182647256
保育,1.7374251182647256
追加財源,1.7374251182647256
特別委員会,1.7374251182647256
青天井,1.7374251182647256
フルスペック,1.7374251182647256
ドイツ,1.7374251182647256
・憲法九条,1.6421149384604006
"
・憲法九条",1.6421149384604006
代わり,1.619642082608342
手法,1.583274438437467
公文書,1.583274438437467
現政権,1.583274438437467
解釈改憲,1.5142815669505156
反撃能力を持つこと,1.5142815669505156
アジア諸国,1.5142815669505156
憲法解釈変更,1.5142815669505156
イラク派遣,1.5142815669505156
大幅な増加,1.5142815669505156
社会問題,1.5142815669505156
軍事行動,1.4923026602317404
増税なし,1.4497430458129446
子育て支援,1.4497430458129446
与党,1.4497430458129446
専守防衛を重視,1.4320434687135437
集団的自衛権行使,1.3846037436419831
自衛権行使,1.3560575617356216
軍事研究,1.3319600101565612
軍拡競争,1.3319600101565612
重要分野,1.3319600101565612
戦争放棄,1.3319600101565612
遵守を重視,1.3319600101565612
代表,1.3319600101565612
二項,1.3319600101565612
活動範囲拡大,1.3319600101565612
周辺事態,1.3319600101565612
日本社会,1.3319600101565612
特例措置,1.3319600101565612
辺野古新基地建設,1.3319600101565612
厳しい姿勢,1.3319600101565612
駐留軍労働者,1.3319600101565612
国民目線,1.3319600101565612
"賛成
・周辺国",1.3319600101565612
機密情報,1.3319600101565612
経済安全保障法制,1.3319600101565612
"反対
・集団的自衛権",1.2991701873335704
イラク,1.2519173024830248
閣議決定,1.2519173024830248
海外派兵,1.2519173024830248
"反対
・防衛費",1.2366498303522364
自民党,1.2265994944987348
現状変更,1.2265994944987348
新設,1.2265994944987348
憲法違反,1.2141769745001778
負担増,1.177809330329303
近隣国,1.177809330329303
防衛増税,1.177809330329303
対立,1.177809330329303
労働者,1.177809330329303
日本国憲法,1.177809330329303
費用対効果,1.177809330329303
指揮下,1.177809330329303
問題であると指摘,1.177809330329303
憲法学者,1.177809330329303
"
・沖縄県民",1.177809330329303
憲法九条,1.168330586374759
いることを問題視,1.1496384533626065
憲法9条,1.1496384533626065
改憲,1.1496384533626065
子育て,1.1496384533626065
先制攻撃,1.13128931469441
重要な分野,1.13128931469441
防衛費を増やすこと,1.13128931469441
批判的,1.118385909858502
防衛を重視,1.0760266360193604
地元自治体,1.0442779377047802
"
・防衛増税",1.0442779377047802
姿勢を批判,1.0442779377047802
活動拡大,1.0442779377047802
支援体制,1.0442779377047802
核共有,1.0442779377047802
宇宙空間,1.0442779377047802
法務省,1.0442779377047802
特定秘密保護法案,1.0442779377047802
"
・憲法",1.0442779377047802
"慎重
・集団的自衛権",1.0442779377047802
ことを問題視,1.0442779377047802
原子力施設,1.0442779377047802
軍事協力,1.0442779377047802
官民連携,1.0442779377047802
基地周辺,1.0442779377047802
軍備強化,1.0442779377047802
物価高,1.0442779377047802
適切な管理,1.0442779377047802
隣国,1.0442779377047802
増額自体,1.0442779377047802
一つ,1.0442779377047802
"

３．集団的",1.0442779377047802
国際法違反,1.0442779377047802
多額,1.0442779377047802
秘密保持,1.0442779377047802
どこ,1.0442779377047802
チェック,1.0442779377047802
自衛隊違憲論,1.0442779377047802
"

2．集団的",1.0442779377047802
再定義,1.0442779377047802
