,pmi
資本家,1.6456175690116026
食料備蓄基地,1.6456175690116026
年金,1.6456175690116026
軍事一体化,1.6456175690116026
有害廃棄物,1.6456175690116026
反発,1.5402570533537763
軍事戦略,1.51208617638708
子育て支援,1.51208617638708
大軍拡,1.4632960122176482
復興特別所得税,1.422474017697393
解釈改憲,1.422474017697393
軍事費,1.4044555121947147
姿勢を批判,1.3579354965598218
"慎重
・政府",1.3579354965598218
"
・防衛増税",1.3579354965598218
流用,1.3579354965598218
手法,1.3091453323903899
防衛費増加,1.3091453323903899
"反対
・防衛費",1.2846042234742723
海外派兵,1.2778927888862854
所得税,1.2778927888862854
重要な政策,1.2778927888862854
子供,1.2709241195701921
代わり,1.2401524609034384
子育て,1.2401524609034384
重要分野,1.2401524609034384
有効利用,1.2401524609034384
高齢者,1.2401524609034384
辺野古新基地建設,1.2401524609034384
駐留軍労働者,1.2401524609034384
官製談合,1.2401524609034384
この法案,1.2401524609034384
恐れ,1.2037848167325635
国際法違反,1.1756139397658671
福祉,1.1756139397658671
いないと指摘,1.1756139397658671
社会保障,1.1756139397658671
軍事協力,1.1756139397658671
防衛増税,1.1660444887497163
安倍政権,1.1601097532299018
限られた財源,1.1601097532299018
警告,1.1601097532299018
憲法解釈変更,1.134791945245612
大幅な増加,1.134791945245612
"
 
",1.134791945245612
防衛装備品調達,1.134791945245612
社会問題,1.134791945245612
大幅増額,1.134791945245612
社会保険料,1.134791945245612
軍事拡張,1.134791945245612
重要な分野,1.1195244731148237
倍増,1.0990738626435328
危険性を指摘,1.0990738626435328
社会福祉,1.08600178107618
労働者,1.08600178107618
負担増,1.08600178107618
指揮下,1.08600178107618
食料自給率を上げること,1.08600178107618
新基地建設,1.08600178107618
"
・沖縄県民",1.08600178107618
環境保護,1.08600178107618
矛盾,1.0702534241080408
"反対
・政府",1.0578309041094838
憲法違反,1.0578309041094838
改憲,1.0578309041094838
人口減少,1.0578309041094838
食料自給率を向上させること,1.0578309041094838
基地建設,1.0578309041094838
"
・米軍基地",1.0578309041094838
少子化対策,1.0578309041094838
反対意見,1.0477805682559822
防衛財源,1.0394817654412871
国民的な議論,1.0394817654412871
防衛費を増やすこと,1.0394817654412871
危険性,1.0347084866886296
閣議決定,1.0265783606053793
無駄遣い,1.009628802291606
軍拡,1.003763682839208
減少,0.9950300028704533
"反対
・集団的自衛権",0.9842190867662377
与党,0.9524703884516574
急激な増額,0.9524703884516574
支援体制,0.9524703884516574
安倍内閣,0.9524703884516574
市町村,0.9524703884516574
大転換,0.9524703884516574
人口問題,0.9524703884516574
"懸念
・防衛予算",0.9524703884516574
選挙,0.9524703884516574
全て,0.9524703884516574
増額自体,0.9524703884516574
基地周辺,0.9524703884516574
戦争放棄,0.9524703884516574
安全保障対策,0.9524703884516574
水源地,0.9524703884516574
税金,0.9524703884516574
情報力,0.9524703884516574
物価高,0.9524703884516574
保育,0.9524703884516574
天下り問題,0.9524703884516574
農業基盤,0.9524703884516574
43兆円,0.9524703884516574
予備費,0.9524703884516574
辺野古,0.9524703884516574
少子化,0.9524703884516574
・憲法九条,0.9524703884516574
自然災害時,0.9524703884516574
財政再建,0.9524703884516574
歳出削減,0.9524703884516574
活動範囲拡大,0.9524703884516574
防衛以外,0.9524703884516574
土地利用規制法案,0.9524703884516574
条件付き,0.9524703884516574
軍需産業,0.9524703884516574
財政難,0.9524703884516574
増産,0.9524703884516574
"
・憲法九条",0.9524703884516574
安保政策,0.9524703884516574
アフガニスタン,0.9524703884516574
国民生活,0.9299975325995989
復興,0.9116483939314023
"
・政府",0.8942014803276815
発行,0.8918457666352226
立憲主義,0.8918457666352226
転用,0.8918457666352226
環境問題,0.8834775169647061
その財源,0.8834775169647061
ないまま,0.8724276807781209
批判的,0.8724276807781209
戦争,0.8669482150134954
国民的,0.8654590114620276
国債発行,0.8571602086473326
先制攻撃,0.8571602086473326
欠如,0.8523869298946749
増税,0.8486735947700139
社会的,0.8471098727938311
地域住民,0.8471098727938311
反対,0.8445814264404724
財源確保,0.8432710964866654
武力行使,0.841244753341433
懸念を表明,0.839529977271062
いることを問題視,0.8346873527952741
災害救助,0.8346873527952741
民生,0.8298680663593252
資金,0.8298680663593252
一体化,0.8189389958271348
財源,0.8152692669381725
軍事行動,0.8127084460764987
不満,0.8093695448109841
"懸念
・自衛隊",0.8072883786071595
支出,0.804834389645593
無条件,0.7983197086243992
本来,0.7983197086243992
増大,0.7983197086243992
あり方,0.7983197086243992
農業政策,0.7983197086243992
軍事力強化,0.7983197086243992
必要な防衛費,0.7983197086243992
現政権,0.7983197086243992
急増,0.7983197086243992
平和外交,0.7983197086243992
地域振興,0.7983197086243992
悪影響,0.7854163037884913
影響を懸念,0.7854163037884913
生活,0.7833940584077236
条件,0.7833940584077236
批判,0.7806201315249982
疑念,0.7747892112142051
地域社会,0.7701488316577029
政権,0.7701488316577029
県民,0.7583143740106999
犠牲,0.7583143740106999
使途,0.7583143740106999
農地,0.7583143740106999
食料生産,0.7583143740106999
説明不足,0.7517996929895062
真,0.7448310236734129
可能性を指摘,0.7427498574695884
危険,0.737359008834712
農業従事者,0.7293268371374476
経済安全保障法案,0.7293268371374476
地方自治,0.7293268371374476
行使を認めること,0.7293268371374476
十分な議論,0.7293268371374476
新設,0.7293268371374476
説明不足を指摘,0.7293268371374476
外資規制,0.7293268371374476
国会議員,0.7293268371374476
イラク派遣,0.7293268371374476
アジア諸国,0.7293268371374476
実情,0.7293268371374476
同意,0.7293268371374476
法律上,0.7293268371374476
優先順位,0.7293268371374476
赤字国債,0.7293268371374476
原則を重視,0.7293268371374476
建設国債,0.7293268371374476
決定,0.7293268371374476
駐屯地,0.7293268371374476
監視体制,0.7293268371374476
教育,0.712797535186237
納得,0.7113083316347694
無駄,0.7095242098412678
"
・防衛費増額",0.7073479304186724
尊重,0.7073479304186724
予算配分,0.7011559601707513
無駄な支出,0.7011559601707513
"
・農業",0.7011559601707513
軍事活動,0.7011559601707513
沖縄県民,0.6901061239841664
"
・防衛費",0.6848750745666138
情報提供,0.6805366729680156
低下,0.6805366729680156
増加,0.6776254627605572
・防衛費,0.6762170118234994
・食料自給率,0.6762170118234994
"
・食料自給率",0.6762170118234994
ない人,0.6744502269116135
集団的自衛権行使,0.6737569859826369
財政,0.6706192363106697
公正性,0.6647883159998765
可能性を懸念,0.6647883159998765
疑問,0.6647883159998765
原子力発電所,0.6647883159998765
意見をわかりやすくまとめたもの,0.6647883159998765
具体的なスタンス,0.6647883159998765
家族,0.6647883159998765
"
・サプライチェーン",0.6647883159998765
普天間基地,0.6647883159998765
"
・気候変動",0.6647883159998765
財務省,0.6647883159998765
生産者,0.6647883159998765
自衛隊基地,0.6647883159998765
活動拡大,0.6647883159998765
増税なし,0.6647883159998765
住民,0.6603339656504963
自給率向上,0.6570061755578216
知識,0.6552188649837258
持続可能性,0.6523657960013193
建設,0.6340166573331228
彼,0.6340166573331228
この点,0.6340166573331228
一貫性,0.6340166573331228
この要約,0.63180181700357
"
・米軍",0.6239663214796214
否定的,0.6239663214796214
地方,0.6197646346259214
憲法九条,0.6197646346259214
防衛費増額,0.6189787799685823
計画的,0.6159981518304445
対立,0.6159981518304445
必要だと指摘,0.6159981518304445
国民全体,0.6159981518304445
防衛予算増額,0.6159981518304445
ことを問題視,0.6076299021599278
いると指摘,0.6041636941834416
問題を指摘,0.6041636941834416
国全体,0.6041636941834416
反対の立場,0.599649013828915
緊張,0.599649013828915
懐疑的,0.5982985747310435
負担,0.5970157009181545
食料自給率向上,0.595795444512925
問題視,0.5944075192380769
国債,0.5895648947622889
いう意見,0.5809068320191744
精神,0.5777769390102467
自衛権行使,0.5711028319225536
配分,0.5656974133556455
平和的,0.5638123986598742
地方公共団体,0.547005280343493
武器購入,0.547005280343493
防衛目的,0.547005280343493
スタンドオフ防衛能力,0.547005280343493
経済的な側面,0.547005280343493
土地所有,0.547005280343493
軍事目的,0.547005280343493
輸出促進,0.547005280343493
北海道,0.547005280343493
国際交流,0.547005280343493
大幅な増額,0.547005280343493
ウクライナ侵攻,0.547005280343493
外資,0.547005280343493
国家公務員,0.547005280343493
厳しい姿勢,0.547005280343493
在日米軍基地,0.547005280343493
"
・軍事力",0.547005280343493
遵守を重視,0.547005280343493
戦場,0.547005280343493
ニーズ,0.547005280343493
水田,0.547005280343493
不測,0.547005280343493
不安,0.547005280343493
給油活動,0.547005280343493
復興支援,0.547005280343493
農業支援,0.547005280343493
国防軍,0.547005280343493
声,0.547005280343493
海外依存,0.547005280343493
方法,0.547005280343493
防衛方針,0.547005280343493
代表,0.547005280343493
"
・防衛予算",0.547005280343493
憲法9条,0.547005280343493
敵基地攻撃能力,0.547005280343493
市民,0.547005280343493
食料自給率,0.547005280343493
地産地消,0.547005280343493
地方創生,0.547005280343493
若者,0.547005280343493
いないことを問題視,0.547005280343493
税外収入,0.547005280343493
借金,0.547005280343493
復旧活動,0.547005280343493
軍事研究,0.547005280343493
被災地,0.547005280343493
平和主義,0.5372491053981284
表明,0.5227910222228984
米軍基地,0.5196063061553786
"慎重
・自衛隊",0.5196063061553786
ことを懸念,0.5142154575205021
自給率,0.5131037286678117
武力,0.5125191042723237
まま,0.5106376361726181
方向性,0.5106376361726181
手続き,0.49293805907321725
選択肢,0.49293805907321725
形,0.48487349923648687
基地,0.48448492336215904
安保法制,0.4824667592059219
九条,0.4824667592059219
歴史的,0.4824667592059219
防災,0.47554631636134803
議員,0.47554631636134803
"
・憲法",0.470632301558919
農林水産業,0.4669625726699566
解釈変更,0.4669625726699566
本当,0.4669625726699566
イラク,0.4669625726699566
装備品調達,0.4669625726699566
自衛隊派遣,0.4669625726699566
いないこと,0.4618474720031862
防衛費,0.45999390335386325
運営,0.45169510053916817
防衛関係費,0.44164476468566677
GDP比2%,0.44164476468566677
輸入依存,0.44164476468566677
基地問題,0.44164476468566677
一体,0.44164476468566677
既存,0.44164476468566677
不安定,0.44164476468566677
"
・防衛省・自衛隊",0.44164476468566677
国内資源,0.44164476468566677
イージス・アショア,0.44164476468566677
明確な意見,0.44164476468566677
事前,0.44164476468566677
無理,0.44164476468566677
十分な説明,0.44164476468566677
"
・原発",0.44164476468566677
地方自治体,0.44164476468566677
農業,0.43730636308706855
法案,0.43665722317462774
"
・政治家",0.4292222446871095
"
・アメリカ",0.4292222446871095
気候変動,0.42184213738948706
具体的な意見,0.42184213738948706
設定,0.42184213738948706
・食料安全保障,0.4169521520952953
調査,0.41347388771897037
災害対策,0.41347388771897037
不足,0.40885494186267585
警戒,0.4072433379683344
保有,0.40592668208358745
削減,0.4039044367028198
意見,0.4032605216773514
独立性,0.3928546005162347
消費者,0.3928546005162347
費用対効果,0.3928546005162347
国民負担,0.3928546005162347
行使容認,0.3928546005162347
食料政策,0.3928546005162347
予算増加,0.3928546005162347
医療支援,0.3928546005162347
総理大臣,0.3928546005162347
経済安全保障政策,0.3928546005162347
漁業,0.3928546005162347
"
・再生可能エネルギー",0.3928546005162347
重要物資,0.3928546005162347
"賛成
・防衛装備品",0.3928546005162347
公務員,0.3928546005162347
公文書,0.3928546005162347
"慎重
・防衛力強化",0.3928546005162347
ルール,0.3928546005162347
安全保障関連法案,0.3928546005162347
防衛関連予算,0.3928546005162347
化石燃料,0.3928546005162347
情報公開,0.3928546005162347
厚生労働省,0.3928546005162347
非軍事,0.3928546005162347
国会承認,0.3928546005162347
要求,0.3928546005162347
問題であると指摘,0.3928546005162347
現時点,0.3928546005162347
災害支援,0.3928546005162347
大学,0.3928546005162347
国会議事録,0.3928546005162347
意見を簡潔にまとめたもの,0.3928546005162347
いる可能性,0.3928546005162347
使い道,0.3928546005162347
日本経済,0.3928546005162347
欠如を問題視,0.3928546005162347
GDP比2％,0.3928546005162347
多く,0.383375856561691
容認,0.383375856561691
自治体,0.38192552998404444
民主主義,0.37265189319871533
歴史,0.37265189319871533
承認,0.37265189319871533
土地,0.37265189319871533
国会,0.37265189319871533
海外活動,0.3646837235495385
法的枠組み,0.3646837235495385
地元住民,0.3646837235495385
"
・食料",0.3594066664486946
不祥事,0.3463345848813419
人権,0.3463345848813419
丁寧な説明,0.3463345848813419
合意,0.3463345848813419
外国人,0.3463345848813419
事前承認,0.3463345848813419
日本全体,0.3463345848813419
補正予算,0.3463345848813419
慎重姿勢,0.3463345848813419
沖縄基地問題,0.3463345848813419
台湾有事,0.3463345848813419
"

３．集団的",0.3393659155652485
影響,0.337284749361424
歳出,0.33343118004543404
戦後,0.33343118004543404
権利,0.33343118004543404
増強,0.33129670751680135
慎重な姿勢,0.33055071718007994
"
・沖縄",0.3299407751056655
不明,0.32831607937866353
計画,0.32737667113672775
財政状況,0.32386172902928334
動き,0.32386172902928334
検証,0.32386172902928334
"賛成
・国内",0.32386172902928334
"なし
・発言",0.32386172902928334
可能性,0.3204776310450428
過去,0.319947829708147
いう立場,0.319947829708147
懸念,0.31520366628616875
依存,0.3133904291619879
無制限,0.31061650227926263
ことを指摘,0.30444364317218164
監視,0.301882822310508
"慎重
・防衛費",0.301882822310508
方針,0.301882822310508
不十分,0.29959710702965214
安定供給,0.2985439210449934
形成,0.295690852062587
行政,0.295690852062587
変更,0.2940087658796022
内容,0.29322475956739347
米軍,0.2897824153764207
購入,0.28749408485840844
転換,0.28749408485840844
食,0.28672218207982647
もの,0.2859914549738735
食料安全保障,0.2838142279000079
中心,0.2823127261164109
地元,0.2787412937488138
いる現状,0.2787412937488138
社会,0.2758525098429227
維持向上,0.2593232078917121
国内経済,0.2593232078917121
文脈,0.2593232078917121
量,0.2593232078917121
非常事態,0.2593232078917121
2%,0.2593232078917121
透明性を重視,0.2593232078917121
ウクライナ危機,0.2593232078917121
再稼働,0.2593232078917121
一つ,0.2593232078917121
医療分野,0.2593232078917121
人命救助,0.2593232078917121
ウクライナ侵略,0.2593232078917121
コスト削減,0.2593232078917121
救助活動,0.2593232078917121
適切な管理,0.2593232078917121
必須,0.2593232078917121
予算増額,0.2593232078917121
重要政策,0.2593232078917121
海外派遣,0.2593232078917121
外国資本,0.2593232078917121
防衛計画,0.2593232078917121
消極的,0.2593232078917121
官民連携,0.2593232078917121
不備,0.2593232078917121
周辺諸国,0.2593232078917121
地域協力,0.2593232078917121
多額,0.2593232078917121
透明性を高めること,0.2593232078917121
軍事力,0.2593232078917121
自分,0.2593232078917121
軍備強化,0.2593232078917121
賛否,0.2593232078917121
情報収集力,0.2593232078917121
戦争を未然,0.2593232078917121
長年,0.2593232078917121
"

2．集団的",0.2593232078917121
買収,0.2593232078917121
重要インフラ,0.2593232078917121
医療,0.2593232078917121
歳出改革,0.2593232078917121
政府,0.2550948717821909
行動,0.2489604208561655
軍事的,0.2462511263243594
規模,0.23870392068897636
食料,0.2294702447420309
海外,0.2285515492249584
"
・集団的自衛権",0.22580051585306857
沖縄,0.22423188808044195
ウクライナ,0.22158287990886505
主権,0.21850121337145695
自然災害,0.21850121337145695
食料供給,0.21850121337145695
解決,0.21053304372228004
審議,0.21053304372228004
原子力発電,0.19869858607527735
名,0.19869858607527735
整理,0.19869858607527735
国際活動,0.19869858607527735
日本政府,0.19869858607527735
非軍事的,0.19869858607527735
違憲,0.19869858607527735
リスク,0.19263183339303988
扱い,0.18700254631208596
増額,0.18521523573799023
慎重,0.18388350029013661
行使,0.18368579368609203
基地負担,0.17928050021817563
配置,0.17928050021817563
備蓄,0.17928050021817563
適正化,0.17928050021817563
"慎重
・防衛予算",0.17928050021817563
文化,0.17928050021817563
範囲拡大,0.17928050021817563
平和憲法,0.17928050021817563
アメリカ,0.17928050021817563
原則,0.17121594038144536
透明性,0.1689391464234431
"
・防衛",0.16669040585810363
いること,0.16473478921579685
説明責任,0.1640130280873872
外交努力,0.1640130280873872
防衛省・自衛隊,0.1640130280873872
改革,0.16134279953150837
専守防衛,0.15396269223388576
投資,0.15396269223388576
理念,0.15012391592672017
目的,0.14897515072284676
見解,0.14599452258470902
規制,0.14154017223532875
"賛成
・日本維新の会",0.14154017223532875
国内生産,0.14154017223532875
基本的,0.14154017223532875
合憲性,0.14154017223532875
国内農業,0.14154017223532875
輸入,0.14154017223532875
スタンスをわかりやすくまとめたもの,0.14154017223532875
先端技術,0.14154017223532875
詳しくない人,0.14154017223532875
権限,0.14154017223532875
全力,0.14154017223532875
存続,0.14154017223532875
直接,0.1357092519245355
憲法,0.13184077514661519
他,0.1252132789478999
実際,0.1195612655165534
軍備,0.1195612655165534
後,0.11767269082868538
問題,0.11767269082868538
攻撃,0.11271973369983677
防ぐため,0.11168720908564761
契約,0.10517252806445379
実施,0.10517252806445379
取り組みを重視,0.10517252806445379
直接的な言及,0.10517252806445379
エネルギー自給率,0.10517252806445379
問題解決,0.10517252806445379
防衛活動,0.10517252806445379
いないため,0.10517252806445379
軍事,0.10169426368812894
法,0.1002585132620247
対話,0.09805506029558984
憲法改正,0.09502015660043577
明記,0.09174950773231313
予算,0.09144233525255184
防衛予算,0.09036898542470496
説明,0.08917218671801276
専守防衛を重視,0.0874729509650529
武器,0.0874729509650529
独立,0.0874729509650529
原発,0.0874729509650529
例,0.08164203065425979
施策,0.07998227923589535
関心,0.0791970416611931
憲法明記,0.07700165109775754
厳しい中,0.07700165109775754
一般,0.07700165109775754
配慮,0.07322092825785144
経済的,0.07211166580356577
慎重な議論,0.07008120825318365
改正,0.07008120825318365
基本,0.07008120825318365
特定,0.07008120825318365
なし,0.06826797112900287
最優先,0.06516719345075454
資源,0.06383118790801236
考慮,0.058652512429560905
理由,0.058652512429560905
派遣,0.05638236389502188
立場,0.05398428121100897
集団的自衛権,0.05006876873816956
責任,0.049166852104313416
人,0.04735295717562767
場,0.046761765908039286
政策,0.04586496231196598
生産能力,0.03617965657750226
経済発展,0.03617965657750226
必要性を提起,0.03617965657750226
施設,0.03617965657750226
労働環境,0.03617965657750226
軍事転用,0.03617965657750226
治療薬,0.03617965657750226
信頼関係構築,0.03617965657750226
とおり,0.03617965657750226
生産基盤,0.03617965657750226
憲法第九条,0.03617965657750226
圧力,0.03617965657750226
経済政策,0.03617965657750226
貧困,0.03617965657750226
災害救援,0.03617965657750226
軍事支援,0.03617965657750226
経済・エネルギー安全保障,0.03617965657750226
データ,0.03617965657750226
納税者,0.03617965657750226
ないため,0.03617965657750226
国際機関,0.03617965657750226
自民党,0.03617965657750226
使い方,0.03617965657750226
防衛力増強,0.03617965657750226
提言,0.03617965657750226
レアアース,0.03617965657750226
個人情報,0.03617965657750226
必要な防衛力,0.03617965657750226
脆弱性,0.03617965657750226
自給体制,0.03617965657750226
合意形成,0.03617965657750226
国策,0.03617965657750226
"

3. 集団的",0.03617965657750226
南シナ海,0.03617965657750226
詳しくない方,0.03617965657750226
GDP,0.03617965657750226
組織運営,0.03617965657750226
日報問題,0.03617965657750226
長期契約,0.03617965657750226
重要施設,0.03617965657750226
在日米軍,0.03617965657750226
命を守るため,0.03617965657750226
物流,0.03617965657750226
集団的,0.02930677728974031
全体,0.02930677728974031
地域,0.027521593834387882
"
・防衛力",0.025129820390917438
"
・防衛省",0.022934429827481752
国民,0.02275663624536171
防衛関連,0.020912184446713864
下,0.02051353983310303
主張,0.020147249046453354
一方,0.019650354626291704
自衛権,0.016377029281322546
関連,0.015126247379670053
徹底,0.014200749858727102
"
・防衛力強化",0.011487043987130779
"
・現在",0.011487043987130779
防衛政策,0.009098697974831626
一定,0.008008779610806047
要約,0.005089069507471228
こと,0.005089069507471228
法改正,0.003389833754511524
防衛を重視,0.003389833754511524
指摘,0.0013757343828102876
"
",0.0
ら,-0.0009598903719543934
仕組み,-0.0030410565757789344
シビリアンコントロール,-0.0030410565757789344
状況,-0.0030410565757789344
急務,-0.007305455362236504
いることを指摘,-0.007305455362236504
訴え,-0.008520522340404485
基,-0.008742030814009365
常,-0.009805456664321003
発言,-0.010703929321348097
"重要性を強調
・自衛隊",-0.012610507591929696
価格,-0.012610507591929696
"
・この政治家",-0.012610507591929696
遵守,-0.012610507591929696
ため,-0.012610507591929696
防衛,-0.013039416026555523
災害,-0.0193901945773084
国,-0.022089251546473444
"

",-0.022089251546473444
見直し,-0.024781043212184866
"賛成
・防衛費",-0.028358864560068826
自主性,-0.028358864560068826
未来,-0.028358864560068826
見直しを提案,-0.028358864560068826
対応策,-0.028358864560068826
政治,-0.03160035848423977
必要,-0.032439313241230686
自身,-0.036141005002123736
使用,-0.037928315576219486
限界,-0.04078138455862599
安全保障を確保するため,-0.04078138455862599
現行,-0.04467244005159255
信頼性,-0.046058441659469686
将来,-0.046058441659469686
強調,-0.04759022648795645
分野,-0.048161491856248566
基本方針,-0.05913052322682246
エネルギー源,-0.05913052322682246
予算確保,-0.05913052322682246
安定的,-0.05913052322682246
縮小,-0.05913052322682246
拡大解釈,-0.05913052322682246
反省,-0.05913052322682246
幅広い視点,-0.05913052322682246
"

４．集団的",-0.05913052322682246
厳しい状況,-0.05913052322682246
"
・国民",-0.07714902872950083
実現,-0.07714902872950083
支援,-0.07714902872950083
振興,-0.07714902872950083
拡大,-0.07945052571778007
確保,-0.08160337907888107
考え方,-0.08160337907888107
重視,-0.08541205400890654
姿勢,-0.08680246043014346
注目,-0.08898348637650363
政治的,-0.08898348637650363
同時,-0.08898348637650363
