,pmi
食料備蓄基地,2.885308455939618
公共交通,2.885308455939618
国家公務員,2.4798433478314537
海洋調査,2.192161275379673
水源地,2.192161275379673
洋上風力発電,1.969017724065463
港湾,1.7866961672715083
宇宙安全保障,1.7866961672715083
国交省,1.7866961672715083
有効利用,1.7866961672715083
水田,1.7866961672715083
北海道,1.7866961672715083
消費者,1.63254548744425
公務員,1.63254548744425
農家,1.63254548744425
地域振興,1.63254548744425
"
・農業",1.6043746104775536
外国人,1.5860254718093572
増産,1.4990140948197275
国内開発,1.4990140948197275
具体的なスタンス,1.4990140948197275
維持向上,1.4990140948197275
海外依存,1.4990140948197275
法務省,1.4990140948197275
一つ,1.4990140948197275
農業基盤,1.4990140948197275
宇宙空間,1.4990140948197275
情報収集力,1.4990140948197275
人口減少,1.3812310591633439
食料自給率を向上させること,1.3812310591633439
治療薬,1.2758705435055175
外資規制,1.2758705435055175
駐屯地,1.2758705435055175
生産能力,1.2758705435055175
"
 
",1.2758705435055175
貧困,1.2758705435055175
現状変更,1.2758705435055175
直接的な意見,1.2758705435055175
"賛成
・食料",1.2758705435055175
アジア諸国,1.2758705435055175
物流,1.2758705435055175
この点,1.1805603637011928
このこと,1.1805603637011928
農地,1.1507074005515117
食料生産,1.1507074005515117
減少,1.1361086011303587
国産品,1.0935489867115629
輸出促進,1.0935489867115629
ウクライナ侵略,1.0935489867115629
地方創生,1.0935489867115629
遵守を重視,1.0935489867115629
可能な限り,1.0935489867115629
国内生産体制,1.0935489867115629
職務,1.0935489867115629
政策推進,1.0935489867115629
国際交流,1.0935489867115629
一員,1.0935489867115629
不測,1.0935489867115629
鉄道,1.0935489867115629
地域経済,1.0935489867115629
明確なスタンス,1.0935489867115629
場所,1.0935489867115629
国際交渉,1.0935489867115629
土地,1.0527269921913078
食料供給,1.0527269921913078
支配,1.0135062790380267
農林水産業,1.0135062790380267
"
・食料",0.9524703884516574
環境保護,0.9393983068843047
問題であると指摘,0.9393983068843047
"
・医薬品",0.9393983068843047
情報収集能力,0.9393983068843047
国家安全保障上,0.9393983068843047
農業政策,0.9393983068843047
連携強化を提案,0.9393983068843047
災害支援,0.9393983068843047
近隣国,0.9393983068843047
化石燃料,0.9393983068843047
重要物資,0.9393983068843047
経済安全保障政策,0.9393983068843047
労働者,0.9393983068843047
公文書,0.9393983068843047
いないため,0.9393983068843047
取り組みを重視,0.9393983068843047
安定供給,0.9191955995667852
取得,0.8704054353973532
"なし
・発言",0.8704054353973532
家族,0.8058669142597821
関係機関,0.8058669142597821
自分,0.8058669142597821
経済産業省,0.8058669142597821
生産者,0.8058669142597821
イノベーション,0.8058669142597821
消極的,0.8058669142597821
