,pmi
利権,0.42381424677636087
海上保安庁,0.42381424677636087
不透明な中,0.42381424677636087
弁護士会,0.42381424677636087
国際展開,0.42381424677636087
念頭,0.42381424677636087
開発利用,0.42381424677636087
"反対
・現時点",0.42381424677636087
信頼関係を築くこと,0.42381424677636087
国際的な共同研究,0.42381424677636087
メリット,0.42381424677636087
電源喪失,0.42381424677636087
法的根拠,0.42381424677636087
原賠法,0.42381424677636087
劣化状況,0.42381424677636087
"
・エネルギー自給率",0.42381424677636087
・原子力施設,0.42381424677636087
人為的な過ち,0.42381424677636087
健康を重視,0.42381424677636087
耐震設計,0.42381424677636087
具体的な取り組み,0.42381424677636087
"

２．カーボンニュートラル",0.42381424677636087
原発停止,0.42381424677636087
終わり,0.42381424677636087
事故を防ぐため,0.42381424677636087
喫緊,0.42381424677636087
最終処分場,0.42381424677636087
徐々,0.42381424677636087
中立性,0.42381424677636087
原発を停止すること,0.42381424677636087
難しい状況,0.42381424677636087
小型原子炉,0.42381424677636087
若い世代,0.42381424677636087
閉鎖性,0.42381424677636087
汚染水処理,0.42381424677636087
外交政策,0.42381424677636087
観光振興,0.42381424677636087
安全性重視,0.42381424677636087
有効活用,0.42381424677636087
移行期間,0.42381424677636087
核融合技術,0.42381424677636087
意見を簡潔にまとめたもの,0.42381424677636087
いない限り,0.42381424677636087
問題点を指摘,0.42381424677636087
地域防災計画,0.42381424677636087
港湾,0.42381424677636087
"
・浜岡原発",0.42381424677636087
処分方法,0.42381424677636087
水素技術,0.42381424677636087
核技術,0.42381424677636087
公正性,0.42381424677636087
環境問題解決,0.42381424677636087
次世代エネルギー,0.42381424677636087
大型原発,0.42381424677636087
原発建設計画,0.42381424677636087
原発を稼働させること,0.42381424677636087
基本政策,0.42381424677636087
*要約,0.42381424677636087
不可欠なエネルギー源,0.42381424677636087
エネルギー多様化,0.42381424677636087
強い要望,0.42381424677636087
天然ガス,0.42381424677636087
信頼関係構築,0.42381424677636087
復興活動,0.42381424677636087
完全廃炉,0.42381424677636087
長期活用,0.42381424677636087
地域エネルギー,0.42381424677636087
安全文化,0.42381424677636087
運転停止,0.42381424677636087
電力需給,0.42381424677636087
調査委員会,0.42381424677636087
海洋生物,0.42381424677636087
浜岡原発,0.42381424677636087
廃炉措置,0.42381424677636087
原子力事業者間,0.42381424677636087
管理運営能力,0.42381424677636087
必要であると認識,0.42381424677636087
経済支援,0.42381424677636087
廃炉工程,0.42381424677636087
消費者庁,0.42381424677636087
島々,0.42381424677636087
"賛成
・資源",0.42381424677636087
両方,0.42381424677636087
法治国家,0.42381424677636087
"賛成
・エネルギー需要",0.42381424677636087
低い日本,0.42381424677636087
防災インフラ,0.42381424677636087
地産地消型,0.42381424677636087
処理水放出,0.42381424677636087
安全最優先,0.42381424677636087
がん対策,0.42381424677636087
特措法,0.42381424677636087
産品,0.42381424677636087
地元企業,0.42381424677636087
フランス,0.42381424677636087
差別意識,0.42381424677636087
中長期的なエネルギー政策,0.42381424677636087
産業競争力,0.42381424677636087
震災対策,0.42381424677636087
透明な説明,0.42381424677636087
積極的に推進すること,0.42381424677636087
揚水発電,0.42381424677636087
きちんとした検証,0.42381424677636087
原発神話,0.42381424677636087
科学者,0.42381424677636087
早急な再稼働,0.42381424677636087
原子力関連,0.42381424677636087
"重要性を強調
・再稼働",0.42381424677636087
軍事利用,0.42381424677636087
産業経済,0.42381424677636087
カーボンニュートラル達成,0.42381424677636087
性質,0.42381424677636087
浄化槽,0.42381424677636087
"
・防波壁",0.42381424677636087
"
・海外",0.42381424677636087
依存を減らすこと,0.42381424677636087
事情,0.42381424677636087
上昇,0.42381424677636087
過酷事故,0.42381424677636087
資源利用,0.42381424677636087
有効利用,0.42381424677636087
原発処理水,0.42381424677636087
優秀な人材,0.42381424677636087
原発事故を背景,0.42381424677636087
既存原発,0.42381424677636087
無限責任,0.42381424677636087
戦略的,0.42381424677636087
傘,0.42381424677636087
過去10年間,0.42381424677636087
"
・立憲民主党",0.42381424677636087
日本産,0.42381424677636087
地方創生,0.42381424677636087
この意見,0.42381424677636087
電力市場,0.42381424677636087
投資効果,0.42381424677636087
原発を利用すること,0.42381424677636087
政府全体,0.42381424677636087
撤廃,0.42381424677636087
リスク低減,0.42381424677636087
・エネルギー基本計画,0.42381424677636087
経済復興,0.42381424677636087
安全協定,0.42381424677636087
地域産業,0.42381424677636087
共生,0.42381424677636087
創出,0.42381424677636087
ALPS処理水,0.42381424677636087
緊張感,0.42381424677636087
工程表,0.42381424677636087
産業推進,0.42381424677636087
中国,0.42381424677636087
安全性確認,0.42381424677636087
活性化,0.42381424677636087
利権構造,0.42381424677636087
新しい産業,0.42381424677636087
情報交換,0.42381424677636087
CO2削減,0.42381424677636087
国民生活,0.42381424677636087
廃炉費用,0.42381424677636087
"
・原発技術",0.42381424677636087
地元理解,0.42381424677636087
"強化を求める
・原発事故",0.42381424677636087
不安を軽減するため,0.42381424677636087
進捗状況,0.42381424677636087
"
・原発事故以降",0.42381424677636087
新たな基準,0.42381424677636087
輸入規制,0.42381424677636087
仮設住宅,0.42381424677636087
安全性を確認すること,0.42381424677636087
ウクライナ侵略,0.42381424677636087
超党派,0.42381424677636087
産学連携,0.42381424677636087
石炭政策,0.42381424677636087
外部,0.42381424677636087
丁寧な説明,0.42381424677636087
原子力エネルギー,0.42381424677636087
高温ガス炉,0.42381424677636087
大規模災害,0.42381424677636087
連携を強化すること,0.42381424677636087
核施設,0.42381424677636087
持続可能な発展,0.42381424677636087
適切な安全対策,0.42381424677636087
エネルギー需給,0.42381424677636087
必要な技術,0.42381424677636087
"バランス
・再生可能エネルギー",0.42381424677636087
関連性,0.42381424677636087
専門人材,0.42381424677636087
必要な人材,0.42381424677636087
輸入増加,0.42381424677636087
国際的な流れ,0.42381424677636087
"賛成
・大学",0.42381424677636087
その上,0.42381424677636087
CO2削減目標,0.42381424677636087
経済活動,0.42381424677636087
監視機関,0.42381424677636087
輸入規制撤廃,0.42381424677636087
諸外国,0.42381424677636087
"支持
・エネルギー政策",0.42381424677636087
選挙区,0.42381424677636087
冷静な議論,0.42381424677636087
導入を重視,0.42381424677636087
大間原発,0.42381424677636087
外資,0.42381424677636087
省エネ技術,0.42381424677636087
バックエンド問題,0.42381424677636087
原子力研究開発,0.42381424677636087
専門性,0.42381424677636087
参入,0.42381424677636087
原子力事業所,0.42381424677636087
枠組み内,0.42381424677636087
サイバーセキュリティ,0.42381424677636087
構築を重視,0.42381424677636087
利点,0.42381424677636087
興味,0.42381424677636087
基盤整備,0.42381424677636087
環境対策,0.42381424677636087
国産エネルギー,0.42381424677636087
専門的な知識,0.42381424677636087
原発ゼロを目指すこと,0.42381424677636087
地層処分,0.42381424677636087
"
・核燃料サイクル",0.42381424677636087
その実施,0.42381424677636087
新産業,0.42381424677636087
いじめ,0.42381424677636087
テロリズム,0.42381424677636087
不断,0.42381424677636087
高レベル廃棄物,0.42381424677636087
目標達成,0.42381424677636087
使用済燃料対策,0.42381424677636087
産業界,0.42381424677636087
原子力関係施設,0.42381424677636087
