,pmi
差別意識,0.7621400520468967
福島県内,0.7621400520468967
被爆体験者,0.7621400520468967
長崎,0.7621400520468967
閉鎖性,0.7621400520468967
若い世代,0.7621400520468967
復興大臣,0.7621400520468967
燃料棒,0.7621400520468967
地元企業,0.7621400520468967
災害リスク,0.7621400520468967
高コスト,0.7621400520468967
経済安全保障,0.7621400520468967
ない中傷,0.7621400520468967
厚生労働省,0.7621400520468967
作業者,0.7621400520468967
傘,0.7621400520468967
一自治体,0.7621400520468967
再処理体制,0.7621400520468967
途上国,0.7621400520468967
健全な発展,0.7621400520468967
11年,0.7621400520468967
原発立地団体,0.7621400520468967
"
・自身",0.7621400520468967
民主主義,0.7621400520468967
警護強化,0.7621400520468967
若者,0.7621400520468967
劣化状況,0.7621400520468967
学校教育,0.7621400520468967
地方創生,0.7621400520468967
弁護士会,0.7621400520468967
配備,0.7621400520468967
核問題,0.7621400520468967
産業政策,0.7621400520468967
自然エネルギー重視,0.7621400520468967
農水産物,0.7621400520468967
志賀原子力発電所,0.7621400520468967
地域原子力防災協議会,0.7621400520468967
優秀な人材,0.7621400520468967
水素技術,0.7621400520468967
工程表,0.7621400520468967
過去10年間,0.7621400520468967
"

２．カーボンニュートラル",0.7621400520468967
"
・立憲民主党",0.7621400520468967
原子力艦船,0.7621400520468967
浄化槽,0.7621400520468967
復興作業,0.7621400520468967
有効利用,0.7621400520468967
ブラックアウト,0.7621400520468967
原発神話,0.7621400520468967
"賛成
・現在",0.7621400520468967
積極的に推進すること,0.7621400520468967
"
・世界中",0.7621400520468967
賠償基準,0.7621400520468967
"賛成
・エネルギー需要",0.7621400520468967
投資効果,0.7621400520468967
日本経済,0.7621400520468967
故郷,0.7621400520468967
エネルギー外交,0.7621400520468967
法務省,0.7621400520468967
仮設住宅,0.7621400520468967
裁判例,0.7621400520468967
未来志向,0.7621400520468967
CO2削減目標,0.7621400520468967
損害賠償金,0.7621400520468967
農林漁業者,0.7621400520468967
核施設,0.7621400520468967
"賛成
・大学",0.7621400520468967
控訴,0.7621400520468967
地域再生,0.7621400520468967
中間貯蔵施設,0.7621400520468967
米軍,0.7621400520468967
法的支援,0.7621400520468967
核実験,0.7621400520468967
課税制度,0.7621400520468967
子どもたち,0.7621400520468967
除染技術,0.7621400520468967
地域産業,0.7621400520468967
原子力安全基盤機構廃止法,0.7621400520468967
安全問題,0.7621400520468967
近隣,0.7621400520468967
選挙区,0.7621400520468967
やりがい,0.7621400520468967
福祉,0.7621400520468967
原子力災害被災地域,0.7621400520468967
産業事故,0.7621400520468967
安心を重視,0.7621400520468967
与党,0.7621400520468967
資源利用,0.7621400520468967
その活動,0.7621400520468967
"
・大震災",0.7621400520468967
復興活動,0.7621400520468967
いると評価,0.7621400520468967
地域ごと,0.7621400520468967
廃炉研究,0.7621400520468967
サイバーセキュリティ,0.7621400520468967
枠組み内,0.7621400520468967
原子力事業所,0.7621400520468967
原子力教育,0.7621400520468967
専門学校,0.7621400520468967
高校,0.7621400520468967
作業員,0.7621400520468967
反原発,0.7621400520468967
原子力関係施設,0.7621400520468967
解除,0.7621400520468967
放射線障害防止,0.7621400520468967
環境権,0.7621400520468967
宮城県,0.7621400520468967
特別な健康管理,0.7621400520468967
電源構成,0.7621400520468967
消費者庁,0.7621400520468967
生存権,0.7621400520468967
農林水産業再生,0.7621400520468967
地震安全対策,0.7621400520468967
企業文化,0.7621400520468967
"賛成
・最近",0.7621400520468967
国際的な懸念,0.7621400520468967
農林水産業,0.7621400520468967
難しさを指摘,0.7621400520468967
移住促進,0.7621400520468967
三倍,0.7621400520468967
軍事転用,0.7621400520468967
島々,0.7621400520468967
日本国内,0.7621400520468967
特別な支援,0.7621400520468967
調査委員会,0.7621400520468967
廃炉作業を重視,0.7621400520468967
国際的な競争,0.7621400520468967
産業経済,0.7621400520468967
慎重に考える必要,0.7621400520468967
避難対応,0.7621400520468967
報道,0.7621400520468967
廃炉工程,0.7621400520468967
議会制民主主義,0.7621400520468967
役割を重視,0.6668298722425718
推進を提案,0.6286086594223741
"
・東日本大震災後",0.6286086594223741
漁業,0.6079893722196384
協議,0.6079893722196384
環境を整えること,0.6079893722196384
国際法,0.5798184952529422
差別,0.5798184952529422
持続可能な社会,0.5798184952529422
対策強化,0.5798184952529422
有効活用,0.5798184952529422
"関心
",0.5654297578008425
原子力災害対策,0.5389965007326869
漁業者,0.5389965007326869
除染作業,0.5389965007326869
"
・原発事故以降",0.5389965007326869
引き合い,0.5389965007326869
インフラ整備,0.5389965007326869
重要性を示唆,0.5389965007326869
"
・子供たち",0.5389965007326869
配慮を重視,0.5389965007326869
動向,0.5389965007326869
必要であると指摘,0.49977578757940566
災害対策,0.49977578757940566
信頼性向上,0.4744579795951159
"懸念
・東日本大震災",0.4744579795951159
現場,0.4744579795951159
蓄積,0.4744579795951159
住民支援,0.4744579795951159
10年,0.4744579795951159
緊急時対応,0.4744579795951159
原発作業,0.4744579795951159
被爆者,0.4744579795951159
慎重姿勢,0.4744579795951159
リサイクル,0.4744579795951159
サプライチェーン,0.4744579795951159
適切な補償,0.4744579795951159
難しい状況,0.4744579795951159
重要な選択肢,0.4744579795951159
選定,0.4744579795951159
実態,0.4744579795951159
"支持
・エネルギー政策",0.4744579795951159
核軍縮,0.4744579795951159
情報伝達,0.4744579795951159
重要インフラ,0.4744579795951159
リスク評価,0.4744579795951159
生命,0.4744579795951159
放射線量,0.4744579795951159
原発攻撃,0.4744579795951159
放射線,0.4567584024957149
疑念を表明,0.42566781542568377
ミス,0.42566781542568377
警備,0.42566781542568377
原子力分野,0.42566781542568377
放射能汚染,0.42566781542568377
疑問を提起,0.4054651081081644
核兵器,0.4054651081081644
"賛成
・再生可能エネルギー",0.4054651081081644
放射能,0.39441527192157944
例,0.39441527192157944
設定,0.38744660260548613
ケア,0.3566749439387324
感情,0.3566749439387324
真剣に取り組む必要,0.3566749439387324
"賛成
・地球温暖化対策",0.3566749439387324
原子力問題,0.3566749439387324
混乱,0.3566749439387324
抑止力,0.3566749439387324
不安を軽減するため,0.3566749439387324
重要と指摘,0.3566749439387324
北朝鮮,0.3566749439387324
廃炉ビジネス,0.3566749439387324
継続的な支援,0.3566749439387324
輸入規制撤廃,0.3566749439387324
風評被害対策,0.3566749439387324
廃止措置,0.3566749439387324
川内原発,0.3566749439387324
日米,0.3566749439387324
"
・新エネルギー",0.3566749439387324
"賛成
・原子力発電所",0.3566749439387324
自党,0.3566749439387324
安全を確保すること,0.3566749439387324
公正性,0.3566749439387324
水産業,0.3566749439387324
新たな技術,0.3566749439387324
十分な議論,0.3566749439387324
北海道,0.3566749439387324
原子力研究開発,0.3566749439387324
新しい原発技術,0.3566749439387324
原発周辺地域,0.3566749439387324
原発事故対応,0.3566749439387324
原発産業,0.3566749439387324
判決,0.3566749439387324
いる一方,0.3566749439387324
中小企業,0.3566749439387324
"
・原発事故時",0.3566749439387324
"賛成
・資源",0.3566749439387324
対応を重視,0.3566749439387324
国際的な安全保障,0.3566749439387324
農林水産物,0.3566749439387324
支援体制,0.3566749439387324
攻撃対象,0.3566749439387324
燃料デブリ,0.3566749439387324
食品,0.3566749439387324
決議,0.3566749439387324
指針,0.3566749439387324
名,0.3566749439387324
協定締結,0.3566749439387324
輸出を成長戦略,0.3566749439387324
日本産,0.3566749439387324
再処理,0.3566749439387324
過酷事故,0.3566749439387324
火力発電所,0.3566749439387324
核物質,0.3566749439387324
自民党,0.3566749439387324
小型原子炉,0.3566749439387324
体制整備,0.3566749439387324
実用化,0.3566749439387324
ことを評価,0.3566749439387324
その上,0.3566749439387324
核共有,0.3566749439387324
風力発電,0.3566749439387324
原発活用,0.3566749439387324
どちら,0.3566749439387324
沖縄,0.3566749439387324
裁判,0.3566749439387324
補償制度,0.3566749439387324
拠点,0.3566749439387324
"
・東日本大震災",0.3566749439387324
進捗状況,0.3566749439387324
不可欠なエネルギー源,0.3566749439387324
中立性,0.3566749439387324
決別,0.3566749439387324
原発事故を背景,0.3566749439387324
CO2削減,0.3566749439387324
様々なリスク,0.3566749439387324
最近,0.3566749439387324
具体的な意見,0.3566749439387324
"
・放射線",0.3566749439387324
具体的な方針,0.3566749439387324
"懸念
・現行",0.3566749439387324
あまり詳しくない方,0.3566749439387324
常識,0.3566749439387324
学生,0.3566749439387324
その管理,0.3566749439387324
危機意識,0.3566749439387324
東日本大震災,0.3392832012268632
適切な対応,0.3203072997678576
動き,0.31015492830383945
分野,0.31015492830383945
原発周辺,0.31015492830383945
影響を懸念,0.31015492830383945
政権,0.31015492830383945
インフラ,0.30260772266845654
"懸念を示す
",0.30260772266845654
１．福島,0.2995165300987838
根幹,0.29213642280116114
原発災害,0.29213642280116114
2030年,0.29213642280116114
戦争,0.29213642280116114
地方自治体,0.29213642280116114
原子力人材,0.29213642280116114
可能性を指摘,0.29213642280116114
関係機関,0.29213642280116114
具体的な対策,0.29213642280116114
教育,0.2852159799565874
必要性を認識,0.28030196515415834
除染,0.27663223626519595
子供たち,0.27663223626519595
指導,0.27663223626519595
事故発生時,0.27663223626519595
いる中,0.27663223626519595
災害時,0.27663223626519595
"
・原発災害",0.25131442828090617
避難指示,0.25131442828090617
外国人,0.25131442828090617
モニタリング,0.25131442828090617
不透明感,0.25131442828090617
被害を受けた人々,0.25131442828090617
現行法,0.25131442828090617
重要であることを指摘,0.25131442828090617
発電コスト,0.25131442828090617
経済産業省,0.25131442828090617
廃炉を進めること,0.25131442828090617
クリーンエネルギー,0.25131442828090617
自衛隊,0.25131442828090617
原子力潜水艦,0.25131442828090617
警察,0.25131442828090617
化石燃料,0.25131442828090617
農産物,0.25131442828090617
"
・福島県民",0.25131442828090617
"
・自民党",0.25131442828090617
日本政府,0.25131442828090617
疑念,0.25131442828090617
"賛成
・東日本大震災",0.25131442828090617
災害対応,0.25131442828090617
平和的,0.25131442828090617
国益,0.25131442828090617
震災,0.23329592277822775
帰還,0.22314355131420976
安全確保を重視,0.22314355131420976
収束,0.21559634567882682
姿勢を批判,0.2025242641114741
柱,0.2025242641114741
原発事故時,0.2025242641114741
"賛成
・エネルギー政策",0.2025242641114741
偏見,0.2025242641114741
"
・原発問題",0.2025242641114741
健康影響,0.2025242641114741
長期的な取り組み,0.2025242641114741
"
・2050年",0.2025242641114741
"
・震災",0.2025242641114741
放射性物質,0.2025242641114741
初動,0.2025242641114741
いることを懸念,0.2025242641114741
事故を背景,0.2025242641114741
防災計画,0.2025242641114741
"
・避難計画",0.2025242641114741
事情,0.2025242641114741
賛否,0.2025242641114741
震災後,0.2025242641114741
"
・福島県",0.19159519357928376
賛同,0.18677590714333486
エネルギー資源,0.18677590714333486
子供,0.17435338714477774
