,pmi
耐震設計,0.6751286750572669
自党,0.6751286750572669
農地,0.6751286750572669
観光振興,0.6751286750572669
港湾,0.6751286750572669
地域防災計画,0.6751286750572669
賠償基準,0.6751286750572669
"賛成
・エネルギー需要",0.6751286750572669
原子力技術者,0.6751286750572669
"
・世界中",0.6751286750572669
自然エネルギー重視,0.6751286750572669
農水産物,0.6751286750572669
志賀原子力発電所,0.6751286750572669
不可欠だと指摘,0.6751286750572669
11年,0.6751286750572669
経済安全保障,0.6751286750572669
閉鎖性,0.6751286750572669
"賛成
・大学",0.6751286750572669
ミス,0.6751286750572669
現在進行形,0.6751286750572669
信頼性向上,0.6751286750572669
核共有,0.6751286750572669
地元企業,0.6751286750572669
最終処理,0.6751286750572669
産業政策,0.6751286750572669
核廃棄物問題,0.6751286750572669
各地域,0.6751286750572669
原発建設計画,0.6751286750572669
支払い能力,0.6751286750572669
警護強化,0.6751286750572669
賠償スキーム,0.6751286750572669
三倍,0.6751286750572669
輸出規制,0.6751286750572669
生活再建,0.6751286750572669
安心を重視,0.6751286750572669
避難対策,0.6751286750572669
解除,0.6751286750572669
控訴,0.6751286750572669
中間貯蔵施設,0.6751286750572669
健康を重視,0.6751286750572669
人為的な過ち,0.6751286750572669
健全な発展,0.6751286750572669
課税制度,0.6751286750572669
原発立地団体,0.6751286750572669
菅総理,0.6751286750572669
防災計画,0.6751286750572669
周辺環境,0.6751286750572669
欲望,0.6751286750572669
原子力損害賠償制度,0.6751286750572669
エネルギー外交,0.6751286750572669
優秀な人材,0.6751286750572669
差別意識,0.6751286750572669
放射線医療,0.6751286750572669
原子力艦船,0.6751286750572669
不安を払拭するため,0.6751286750572669
地域エネルギー,0.6751286750572669
トルコ,0.6751286750572669
"
・自身",0.6751286750572669
法務省,0.6751286750572669
被災地住民,0.6751286750572669
産業経済,0.6751286750572669
不十分な状態,0.6751286750572669
科学者,0.6751286750572669
農林水産業再生,0.6751286750572669
移住促進,0.6751286750572669
積極的に推進すること,0.6751286750572669
議会制民主主義,0.6751286750572669
国際交渉,0.6751286750572669
スタンスを理解するために作成したもの,0.6751286750572669
あまり詳しくない方,0.6751286750572669
具体的な方針,0.6751286750572669
様々なリスク,0.6751286750572669
地方創生,0.6751286750572669
土砂流出,0.6751286750572669
山林,0.6751286750572669
汚染処理水,0.6751286750572669
周辺国,0.6751286750572669
投資効果,0.6751286750572669
リスク認識,0.6751286750572669
原発事故処理,0.6751286750572669
危機意識,0.6751286750572669
過去10年間,0.6751286750572669
ない中傷,0.6751286750572669
傘,0.6751286750572669
原発処理水,0.6751286750572669
性質,0.6751286750572669
"
・防波壁",0.6751286750572669
一自治体,0.6751286750572669
安全協定,0.6751286750572669
地域原子力防災協議会,0.6751286750572669
災害廃棄物,0.6751286750572669
迅速な処理,0.6751286750572669
資源利用,0.6751286750572669
新たな基準,0.6751286750572669
情報交換,0.6751286750572669
抑止力,0.6751286750572669
緊張感,0.6751286750572669
課税,0.6751286750572669
安全性を確認すること,0.6751286750572669
住民支援,0.6751286750572669
石炭政策,0.6751286750572669
超党派,0.6751286750572669
地域再生,0.6751286750572669
大規模災害,0.6751286750572669
健康問題,0.6751286750572669
生活支援,0.6751286750572669
高温ガス炉,0.6751286750572669
インフラ整備,0.6751286750572669
外部,0.6751286750572669
核実験,0.6751286750572669
決議,0.6751286750572669
産業事故,0.6751286750572669
地域産業,0.6751286750572669
原子力災害被災地域,0.6751286750572669
日米同盟,0.6751286750572669
戦略的,0.6751286750572669
税制上,0.6751286750572669
"疑問を持つ
・福島原発",0.6751286750572669
学校教育,0.6751286750572669
配備,0.6751286750572669
ケア,0.6751286750572669
諸外国,0.6751286750572669
原子力防災体制,0.6751286750572669
サイバーセキュリティ,0.6751286750572669
官邸,0.6751286750572669
廃炉研究,0.6751286750572669
リサイクル,0.6751286750572669
枠組み内,0.6751286750572669
原子力事業所,0.6751286750572669
基本政策,0.6751286750572669
専門学校,0.6751286750572669
情報収集,0.6751286750572669
原子力安全基盤機構廃止法,0.6751286750572669
廃炉作業を重視,0.6751286750572669
選挙区,0.6751286750572669
やりがい,0.6751286750572669
"賛成
・関係自治体",0.6751286750572669
経済振興,0.6751286750572669
慎重姿勢,0.6751286750572669
環境対策,0.6751286750572669
民主主義,0.6751286750572669
基盤整備,0.6751286750572669
除染技術,0.6751286750572669
公正性,0.6751286750572669
監視機関,0.6751286750572669
二酸化炭素排出量,0.6751286750572669
林業再生,0.6751286750572669
必要な対策,0.6751286750572669
非常時,0.6751286750572669
高校,0.6751286750572669
適切に機能していなかったこと,0.6751286750572669
最近,0.6751286750572669
原子力問題,0.6751286750572669
具体的な進展,0.6751286750572669
燃料棒,0.6751286750572669
"*
   ",0.6751286750572669
海洋生物,0.6751286750572669
"賛成
・最近",0.6751286750572669
"
・有事",0.6751286750572669
