,pmi
企業文化,2.302585092994046
"*
   ",2.302585092994046
育児休業を取得すること,2.302585092994046
育児負担,2.302585092994046
キャリア形成,2.302585092994046
正しい知識,2.302585092994046
コロナ後,2.302585092994046
周産期医療,2.302585092994046
"
   ",2.1484344131667874
職場復帰,2.0794415416798357
影響を与えていることを指摘,2.0794415416798357
多様なニーズ,1.8971199848858813
参考,1.8971199848858813
理解を深めること,1.8971199848858813
2030年代,1.8971199848858813
意識変革,1.8971199848858813
利用促進,1.8971199848858813
その解決策,1.8971199848858813
積極的に関与すること,1.8971199848858813
高い子育て支援,1.8971199848858813
育児休業を取ること,1.8971199848858813
職場環境,1.8325814637483102
成功事例,1.791759469228055
主な要因,1.791759469228055
社会経済,1.791759469228055
育児参加,1.7272209480904839
"
・仕事",1.7147984280919266
出産環境,1.6094379124341003
住宅支援,1.6094379124341003
様々な施策,1.6094379124341003
児童手当を削減すること,1.6094379124341003
後期高齢者医療制度,1.6094379124341003
ベビーシッター制度,1.6094379124341003
キャリア,1.6094379124341003
積極的な少子化対策,1.6094379124341003
食料自給率,1.6094379124341003
もと,1.6094379124341003
両立を図るため,1.6094379124341003
高齢者対策,1.6094379124341003
日本人,1.6094379124341003
産業界,1.6094379124341003
就業率,1.6094379124341003
具体的な政策を提案,1.6094379124341003
女性活躍推進,1.6094379124341003
住宅環境,1.6094379124341003
賃金格差,1.6094379124341003
第三子,1.6094379124341003
多様な施策,1.6094379124341003
根幹,1.6094379124341003
複雑な課題,1.6094379124341003
児童虐待,1.6094379124341003
他地域,1.6094379124341003
良質な住宅,1.6094379124341003
育児休業取得促進,1.6094379124341003
シェアリングエコノミー,1.6094379124341003
安倍政権,1.6094379124341003
安心して子育てできる環境を整えること,1.6094379124341003
"

以上",1.6094379124341003
職場,1.6094379124341003
受け皿整備,1.6094379124341003
三世代同居,1.6094379124341003
出産育児一時金,1.6094379124341003
充実を提唱,1.6094379124341003
病児保育,1.6094379124341003
育児休暇制度,1.6094379124341003
多角的な施策,1.6094379124341003
両親,1.6094379124341003
就労支援,1.6094379124341003
文科省,1.6094379124341003
配置改善,1.6094379124341003
参加,1.529395204760564
両立支援,1.491654876777717
特に男性,1.491654876777717
"
・結婚",1.4816045409242156
夫婦,1.455287232606842
女性活躍,1.455287232606842
防止,1.455287232606842
"
・不妊治療",1.455287232606842
産後,1.455287232606842
育児休業を取得,1.4271163556401458
育児休暇,1.4271163556401458
全世代型社会保障制度,1.3862943611198906
"
・企業",1.3862943611198906
必要であると提言,1.3862943611198906
医療保険制度,1.3862943611198906
"
以下",1.3862943611198906
情報提供,1.3862943611198906
男女共,1.3862943611198906
子育て支援拠点,1.3862943611198906
育児休業促進,1.3862943611198906
取得率,1.3470736479666094
"
・男性",1.3331845358059422
"
・妊娠",1.3217558399823195
取り組みを提案,1.3217558399823195
それぞれ,1.3217558399823195
家事,1.3217558399823195
雇用環境,1.3217558399823195
上昇,1.3217558399823195
医療体制,1.3217558399823195
2030年,1.3217558399823195
影響を与えるため,1.2909841813155658
結婚・出産,1.2909841813155658
環境を整える必要,1.2809338454620642
男性,1.2809338454620642
男女,1.241713132308783
"
・沖縄県",1.2039728043259361
取り組みを重視,1.2039728043259361
不安を解消すること,1.2039728043259361
子供を持つ家庭,1.2039728043259361
育児支援制度,1.2039728043259361
医療費助成,1.2039728043259361
孤立,1.2039728043259361
公営住宅,1.2039728043259361
未婚率,1.2039728043259361
不妊治療,1.2039728043259361
助け合い,1.2039728043259361
"
・女性",1.2039728043259361
家族観,1.2039728043259361
周知,1.2039728043259361
高い出生率,1.2039728043259361
引上げ,1.2039728043259361
命を守ること,1.2039728043259361
多様な働き方,1.2039728043259361
根本的な要因,1.2039728043259361
総合的な取り組み,1.2039728043259361
支援体制,1.2039728043259361
根本的な問題解決,1.2039728043259361
"賛成
・男性",1.2039728043259361
結婚,1.2039728043259361
出産,1.2039728043259361
保育施設,1.2039728043259361
出生後,1.2039728043259361
幸福度,1.2039728043259361
幅広い世代,1.2039728043259361
家庭生活,1.2039728043259361
フランス,1.2039728043259361
高校卒業,1.2039728043259361
地域文化,1.2039728043259361
子供を育てるため,1.2039728043259361
統廃合,1.2039728043259361
再構築,1.2039728043259361
コロナ禍,1.2039728043259361
役割分担,1.2039728043259361
多様性,1.2039728043259361
必要性を提唱,1.2039728043259361
政策推進,1.2039728043259361
社会機能,1.2039728043259361
結婚を促進する施策,1.2039728043259361
全世代,1.2039728043259361
将来世代,1.2039728043259361
助成制度,1.2039728043259361
社会保障制度改革,1.2039728043259361
貧困家庭,1.2039728043259361
社会進出,1.2039728043259361
いじめ,1.2039728043259361
育児休暇取得,1.2039728043259361
家族形成,1.2039728043259361
セーフティーネット,1.2039728043259361
所得階層,1.2039728043259361
活躍推進,1.2039728043259361
母子保健,1.2039728043259361
"
・育児休業給付制度",1.2039728043259361
包括的な対策,1.2039728043259361
充実を重視,1.2039728043259361
政策を提案,1.2039728043259361
出生率回復,1.2039728043259361
給食費,1.2039728043259361
地域子育て支援,1.2039728043259361
親たち,1.2039728043259361
コロナ,1.2039728043259361
賃上げ,1.2039728043259361
賃金向上,1.2039728043259361
障害,1.2039728043259361
産科医,1.2039728043259361
子供を産むこと,1.2039728043259361
多様な支援策,1.2039728043259361
一貫した支援,1.2039728043259361
財政的な支援,1.2039728043259361
給付水準,1.2039728043259361
募集環境,1.2039728043259361
具体的なアプローチ,1.2039728043259361
成功,1.1631508098056809
男女共同参画,1.157452788691043
仕事,1.143348182509501
出生率を上げるため,1.1394342831883648
共同,1.132513840343791
取得,1.10633433476202
変革,1.0986122886681098
子育て家庭,1.0986122886681098
"
・男女",1.0986122886681098
所得向上,1.0986122886681098
育児休業取得率,1.0986122886681098
"重要性を強調
・子供",1.0986122886681098
出生数,1.07880966137193
価値観,1.07880966137193
両立,1.072636802264849
結婚支援,1.0498221244986776
限り,1.0498221244986776
宝,1.0498221244986776
"賛成
・子供",1.0498221244986776
"批判
・現在",1.0498221244986776
「国難,1.0498221244986776
"
・教育無償化",1.0498221244986776
学び,1.0498221244986776
沖縄,1.0498221244986776
妨げ,1.0498221244986776
積極的な姿勢,1.0498221244986776
地域差,1.0498221244986776
その結果,1.0498221244986776
社会構造,1.0498221244986776
地域支援,1.0498221244986776
経済的負担軽減,1.0498221244986776
中小企業,1.0498221244986776
"
・沖縄",1.0498221244986776
性別,1.0498221244986776
制度改善,1.0498221244986776
"賛成
・地域",1.0498221244986776
全世代型,1.0498221244986776
環境作り,1.0296194171811581
日本社会,1.0216512475319812
育児休業取得,1.0147308046874077
いくこと,1.0033021088637848
目標設定,1.0033021088637848
悪化,1.0033021088637848
企業,0.9713505090571825
住宅,0.9675840262617057
妊娠,0.958850346292951
形成,0.958850346292951
女性,0.9565646310120951
育児休業制度,0.9444616088408515
社会的,0.9444616088408515
"
・出生率向上",0.9162907318741551
適切な支援,0.9162907318741551
全世代型社会保障,0.9162907318741551
難しさを指摘,0.9162907318741551
発想,0.9162907318741551
幸福,0.9162907318741551
基礎自治体,0.9162907318741551
"
・子育て世代",0.9162907318741551
定員,0.9162907318741551
意識改革,0.9162907318741551
就労環境,0.9162907318741551
インセンティブ,0.9162907318741551
教育内容,0.9162907318741551
包括的なアプローチ,0.9162907318741551
経済基盤,0.9162907318741551
制度整備,0.9162907318741551
子育て支援予算,0.9162907318741551
国債,0.9162907318741551
スタンスをわかりやすく説明するもの,0.9162907318741551
未婚化,0.9162907318741551
大企業,0.9162907318741551
人口問題,0.9162907318741551
様々な要因,0.9162907318741551
子ども・子育て支援策,0.9162907318741551
妊婦,0.9162907318741551
不可欠だと指摘,0.9162907318741551
家族制度,0.9162907318741551
特に離島,0.9162907318741551
所得制限撤廃,0.9162907318741551
枠組み,0.9162907318741551
経済支援,0.9162907318741551
厚生労働省,0.9162907318741551
"懸念
・政府",0.9162907318741551
未婚,0.9162907318741551
各地域,0.9162907318741551
特に若い世代,0.9162907318741551
経済全体,0.9162907318741551
"
・保護者",0.9162907318741551
父親,0.9162907318741551
医療機関,0.9162907318741551
"
・子供たち",0.9162907318741551
"
・若者",0.9162907318741551
デフレ,0.9162907318741551
貧困,0.9162907318741551
重大な問題であると認識,0.9162907318741551
チャンス,0.9162907318741551
そのもの,0.9162907318741551
教育行政,0.9162907318741551
先進国,0.9162907318741551
"賛成
・児童手当",0.9162907318741551
柔軟な働き方,0.9162907318741551
増設,0.9162907318741551
医療保険,0.9162907318741551
労働力確保,0.9162907318741551
教育国債,0.9162907318741551
現政府,0.9162907318741551
その改善,0.9162907318741551
高校生,0.9162907318741551
ライフスタイル,0.9162907318741551
妊産婦,0.9162907318741551
岸田内閣,0.9162907318741551
育児休業給付制度,0.9162907318741551
予算削減,0.9162907318741551
地域課題,0.9162907318741551
