,pmi
ジビエ,2.3785709999719677
農村地域,1.9731058918638034
取引条件,1.818955212036545
アニマルウエルフェア,1.6854238194120224
福利厚生,1.6854238194120224
国内消費,1.6854238194120224
食品表示,1.6854238194120224
顧客,1.6854238194120224
"強い関心を持つ
・中小企業",1.6854238194120224
需要拡大,1.6854238194120224
燃料価格,1.6854238194120224
中小企業者,1.6854238194120224
技術移転,1.6854238194120224
取引先,1.6854238194120224
環境産業,1.6854238194120224
地域全体,1.567640783755639
漁業者,1.531273139584764
"賛成
・消費者",1.4912678049710648
地方企業,1.4622802680978126
喫緊,1.4622802680978126
防災・減災,1.4622802680978126
国産品,1.4622802680978126
創業支援,1.4622802680978126
法律案,1.4622802680978126
"賛成
・地方",1.3800421698608405
農業所得,1.3669700882934879
地域再生,1.279958711303858
重要であると提案,1.279958711303858
様々な施策,1.279958711303858
食育,1.279958711303858
各省庁,1.279958711303858
中国,1.279958711303858
事業継承,1.279958711303858
老朽化対策,1.279958711303858
理解を得ること,1.279958711303858
エネルギーコスト上昇,1.279958711303858
水産物,1.279958711303858
悪影響を及ぼしていると指摘,1.279958711303858
大規模災害,1.279958711303858
東京圏,1.279958711303858
労働生産性向上,1.279958711303858
消費拡大策,1.279958711303858
生活改善,1.279958711303858
国内農業,1.279958711303858
環境保全,1.279958711303858
森林資源,1.279958711303858
中央銀行,1.279958711303858
緑,1.279958711303858
自ら,1.279958711303858
継続的な支援,1.279958711303858
"
・生産者",1.279958711303858
山村,1.279958711303858
官民連携,1.279958711303858
原材料費,1.279958711303858
社会経済情勢,1.279958711303858
若者雇用,1.279958711303858
消費促進,1.2154201901662869
生産者,1.1999160036303216
食品,1.1999160036303216
漁業,1.1999160036303216
意識改革,1.1745981956460319
理解を深めること,1.1745981956460319
経済指標,1.1745981956460319
"
・消費者庁",1.1258080314765997
重要であると提言,1.1258080314765997
エネルギー価格,1.1258080314765997
中小企業対策,1.1258080314765997
消費行動,1.1258080314765997
エネルギーコスト,1.1258080314765997
環境配慮,1.1258080314765997
"賛成
・企業",1.1258080314765997
成長支援,1.1258080314765997
消費者教育,1.0976371545099033
消費者庁,1.0976371545099033
ビジネスモデル,1.0792880158417069
環境対策,1.0568151599896483
イノベーション,1.051700059322878
取引,1.0175944468363671
健全な成長,0.9922766388520771
はじめ,0.9922766388520771
役所,0.9922766388520771
科学的根拠,0.9922766388520771
少子化問題,0.9922766388520771
特に若い世代,0.9922766388520771
サービス産業,0.9922766388520771
政策を進めること,0.9922766388520771
中小零細企業,0.9922766388520771
連携を強化すること,0.9922766388520771
物価対策,0.9922766388520771
持続可能な農業,0.9922766388520771
DX,0.9922766388520771
企業間,0.9922766388520771
経営改善,0.9922766388520771
成長産業化,0.9922766388520771
"賛成
・地方経済",0.9922766388520771
洋上風力発電,0.9922766388520771
M&A,0.9922766388520771
進出,0.9922766388520771
地方大学,0.9922766388520771
過疎地域,0.9922766388520771
新たなビジネスモデル,0.9922766388520771
官民一体,0.9922766388520771
円滑化,0.9922766388520771
IT化,0.9922766388520771
賃上げ環境,0.9922766388520771
賃金向上,0.9922766388520771
自動車産業,0.9922766388520771
若者向け,0.9922766388520771
社会課題,0.9922766388520771
関連性を指摘,0.9922766388520771
事業承継税制,0.9922766388520771
中小企業・小規模事業者,0.9922766388520771
"賛成
・デフレ",0.9922766388520771
インフレ手当,0.9922766388520771
後継者不足,0.9922766388520771
後押し,0.951454644331822
"
・物価高",0.943486474682645
賃上げを実現するため,0.943486474682645
"
・消費者",0.9361871722010335
スタンスをわかりやすくまとめたもの,0.9316520170356423
官民,0.9316520170356423
必要であると認識,0.9316520170356423
消費拡大,0.9232837673651256
産業競争力,0.9122339311785406
農産物,0.8969664590477522
"賛成
・中小企業",0.8904939445421348
小規模事業者,0.8904939445421348
興味,0.8744936031956937
観光客,0.8744936031956937
新しい技術,0.8744936031956937
民間投資,0.8744936031956937
"
・物価高騰",0.8744936031956937
観光振興,0.8744936031956937
"
・地方経済",0.8744936031956937
専門家,0.8744936031956937
商品,0.8744936031956937
物価高騰対策,0.8744936031956937
経済循環,0.8744936031956937
地域住民,0.8744936031956937
好循環を実現するため,0.8744936031956937
適正価格,0.8744936031956937
持続的な成長,0.8525146964769185
