,pmi
統合運用体制,1.708987182944192
"*
   ",1.708987182944192
無人機,1.708987182944192
省昇格,1.708987182944192
反撃能力を持つこと,1.708987182944192
新たな領域,1.708987182944192
"

以上",1.708987182944192
抑止力を高めること,1.708987182944192
基地依存,1.708987182944192
海運業界,1.708987182944192
国産装備品,1.708987182944192
バックアップ基地,1.708987182944192
調達制度,1.708987182944192
グレーゾーン事態,1.708987182944192
増員,1.708987182944192
ハラスメント防止,1.708987182944192
その活用,1.708987182944192
諸外国,1.708987182944192
"賛成
・陸海空自衛隊",1.708987182944192
ハラスメント防止策,1.708987182944192
必要最小限度,1.5912041472878085
最小限度,1.4858436316299821
必要な財源確保,1.4858436316299821
国際平和活動,1.4858436316299821
宇宙空間,1.4858436316299821
災害救助活動,1.4858436316299821
体制を整えること,1.457672754663286
サイバー分野,1.457672754663286
"支持
・防衛産業",1.4213051104924113
近隣国,1.4213051104924113
北東アジア,1.4213051104924113
邦人保護,1.4213051104924113
島嶼部,1.4213051104924113
日英,1.4213051104924113
国際共同開発,1.4213051104924113
深化を重視,1.4213051104924113
宇宙分野,1.4213051104924113
国々,1.4213051104924113
厳しい状況,1.4213051104924113
官邸,1.4213051104924113
連携強化を提案,1.4213051104924113
日米共同,1.4213051104924113
必要最小限,1.3988322546403524
連携を強化すること,1.3905334518256574
アジア地域,1.372514946322979
協力を強化する必要,1.372514946322979
士気向上,1.372514946322979
ハラスメント,1.372514946322979
ミサイル攻撃,1.372514946322979
対応力,1.3523122390054596
適応,1.3035220748360277
防衛大綱,1.3035220748360277
近代化,1.3035220748360277
ハイブリッド戦,1.3035220748360277
宇宙防衛,1.3035220748360277
"賛成
・アメリカ",1.3035220748360277
理解を深めるため,1.3035220748360277
持続可能性を重視,1.3035220748360277
決算剰余金,1.3035220748360277
最後,1.3035220748360277
自主防衛力,1.3035220748360277
"
・台湾海峡",1.3035220748360277
積極的に参加すること,1.3035220748360277
国際的な安全保障問題,1.3035220748360277
存立を脅かす場合,1.3035220748360277
ガバナンス,1.3035220748360277
自然エネルギー,1.3035220748360277
発言をもと,1.3035220748360277
国際政治,1.3035220748360277
サイバー防衛,1.3035220748360277
合理化,1.3035220748360277
"賛成
・防衛産業",1.3035220748360277
周辺地域,1.3035220748360277
活用を推進,1.3035220748360277
十分な説明,1.3035220748360277
"賛成
・自衛隊員",1.3035220748360277
存在を明確にすること,1.3035220748360277
共同訓練,1.3035220748360277
自前,1.3035220748360277
効率化,1.2671544306651528
国内防衛産業,1.2671544306651528
国際連携,1.2570020592011348
新たな脅威,1.2570020592011348
"
・防衛産業",1.249454853565752
職務,1.2389835536984564
同志国,1.2389835536984564
能力強化,1.2389835536984564
契約,1.2389835536984564
強化を推進,1.2389835536984564
体制整備,1.2389835536984564
相手,1.2389835536984564
安定を確保するため,1.1981615591782013
それぞれ,1.1981615591782013
防衛体制強化,1.1981615591782013
生活環境,1.1981615591782013
平和活動,1.1981615591782013
十分な防衛力,1.1981615591782013
重要と指摘,1.1981615591782013
具体的な取り組み,1.1981615591782013
税制措置,1.1981615591782013
サイバー防衛能力,1.1981615591782013
創設,1.1981615591782013
共同開発,1.1981615591782013
民主的統制,1.1981615591782013
勤務環境,1.1981615591782013
防衛態勢,1.1981615591782013
「人間,1.1981615591782013
コミュニケーションを重視,1.1981615591782013
名誉,1.1981615591782013
再発防止策,1.1981615591782013
AI,1.1981615591782013
最小限,1.182894087047413
待遇改善,1.1783589318820216
宇宙,1.174904697013934
国産化,1.162443476576122
サイバー空間,1.1493713950087694
地域防衛,1.1493713950087694
台湾海峡,1.1493713950087694
広報活動,1.1493713950087694
外交戦略,1.1493713950087694
必要だと提案,1.1493713950087694
厳しさを増しているため,1.1493713950087694
防災対策,1.1493713950087694
防衛力向上,1.1336230380406302
処遇改善,1.1336230380406302
士気,1.121200518042073
国際法上,1.121200518042073
存在意義,1.1111501821885716
協力体制,1.1028513793738763
防衛省・自衛隊,1.1028513793738763
自主防衛,1.1028513793738763
厳しい安全保障環境を背景,1.1028513793738763
サイバー,1.1028513793738763
コミュニケーション,1.0899479745379685
具体的な対策,1.0899479745379685
防衛産業,1.0825313768829188
情報発信,1.0803785235218177
"
・防衛装備",1.0803785235218177
抜本的な強化,1.0803785235218177
効率的,1.0671332967717972
人材確保,1.0671332967717972
強化を提唱,1.0671332967717972
処遇,1.0583996168030425
国際的な連携,1.0522076465551216
サイバーセキュリティ,1.049741554059928
能力向上,1.049741554059928
強い意識,1.0158400023842467
情報収集能力,1.0158400023842467
日本を取り巻く安全保障環境,1.0158400023842467
基盤強化,1.0158400023842467
