issueID	imageKind	nameOfHouse	nameOfMeeting	issue	date	summary	topics
121705254X02920250527	会議録	衆議院	本会議	第29号	20250527	"―――――――――――――
議事日程　第二十七号
令和七年五月二十七日
午後一時開議
第一　盗難特定金属製物品の処分の防止等に関する法律案（内閣提出）
第二　貨物自動車運送事業法の一部を改正する法律案（国土交通委員長提出）
第三　貨物自動車運送事業の適正化のための体制の整備等の推進に関する法律案（国土交通委員長提出）
―――――――――――――
○本日の会議に付した案件
国際協同組合年に当たり協同組合の振興を図る決議案（森山裕君外二十一名提出）
日程第一　盗難特定金属製物品の処分の防止等に関する法律案（内閣提出）
日程第二　貨物自動車運送事業法の一部を改正する法律案（国土交通委員長提出）
日程第三　貨物自動車運送事業の適正化のための体制の整備等の推進に関する法律案（国土交通委員長提出）
午後一時二分開議"	121705254X02920250527_009,121705254X02920250527_017
121705254X03020250530	会議録	衆議院	本会議	第30号	20250530	"―――――――――――――
議事日程　第二十八号
令和七年五月三十日
午後一時開議
第一　円滑な事業再生を図るための事業者の金融機関等に対する債務の調整の手続等に関する法律案（内閣提出）
第二　資金決済に関する法律の一部を改正する法律案（内閣提出）
第三　行政書士法の一部を改正する法律案（総務委員長提出）
―――――――――――――
○本日の会議に付した案件
日程第一　円滑な事業再生を図るための事業者の金融機関等に対する債務の調整の手続等に関する法律案（内閣提出）
日程第二　資金決済に関する法律の一部を改正する法律案（内閣提出）
日程第三　行政書士法の一部を改正する法律案（総務委員長提出）
社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律案（内閣提出）
午後一時二分開議"	121705254X03020250530_002,121705254X03020250530_006,121705254X03020250530_013
121705254X03120250603	会議録	衆議院	本会議	第31号	20250603	"―――――――――――――
議事日程　第二十九号
令和七年六月三日
午後一時開議
第一　海洋再生可能エネルギー発電設備の整備に係る海域の利用の促進に関する法律の一部を改正する法律案（内閣提出、参議院送付）
第二　ギャンブル等依存症対策基本法の一部を改正する法律案（内閣委員長提出）
―――――――――――――
○本日の会議に付した案件
日程第一　海洋再生可能エネルギー発電設備の整備に係る海域の利用の促進に関する法律の一部を改正する法律案（内閣提出、参議院送付）
日程第二　ギャンブル等依存症対策基本法の一部を改正する法律案（内閣委員長提出）
午後一時二分開議"	121705254X03120250603_004
121705254X03220250605	会議録	衆議院	本会議	第32号	20250605	"―――――――――――――
議事日程　第三十号
令和七年六月五日
午後一時開議
第一　信託業法の一部を改正する法律案（内閣提出）
第二　自殺対策基本法の一部を改正する法律案（参議院提出）
―――――――――――――
○本日の会議に付した案件
日程第一　信託業法の一部を改正する法律案（内閣提出）
日程第二　自殺対策基本法の一部を改正する法律案（参議院提出）
午後一時二分開議"	121705254X03220250605_007
121705254X03320250610	会議録	衆議院	本会議	第33号	20250610	"―――――――――――――
議事日程　第三十一号
令和七年六月十日
午後一時開議
第一　スポーツ基本法及びスポーツにおけるドーピングの防止活動の推進に関する法律の一部を改正する法律案（文部科学委員長提出）
第二　社会保険労務士法の一部を改正する法律案（厚生労働委員長提出）
第三　外国為替及び外国貿易法第十条第二項の規定に基づき、北朝鮮を仕向地とする貨物の輸出及び北朝鮮を原産地又は船積地域とする貨物の輸入につき承認義務を課する等の措置を講じたことについて承認を求めるの件
―――――――――――――
○本日の会議に付した案件
情報監視審査会会長の情報監視審査会令和六年年次報告書についての発言
日程第一　スポーツ基本法及びスポーツにおけるドーピングの防止活動の推進に関する法律の一部を改正する法律案（文部科学委員長提出）
日程第二　社会保険労務士法の一部を改正する法律案（厚生労働委員長提出）
日程第三　外国為替及び外国貿易法第十条第二項の規定に基づき、北朝鮮を仕向地とする貨物の輸出及び北朝鮮を原産地又は船積地域とする貨物の輸入につき承認義務を課する等の措置を講じたことについて承認を求めるの件
午後一時二分開議"	121705254X03320250610_007,121705254X03320250610_014,121705254X03320250610_017
121705254X03420250612	会議録	衆議院	本会議	第34号	20250612	"―――――――――――――
議事日程　第三十二号
令和七年六月十二日
午後一時開議
第一　独立行政法人男女共同参画機構法案（内閣提出）
第二　独立行政法人男女共同参画機構法の施行に伴う関係法律の整備等に関する法律案（内閣提出）
―――――――――――――
○本日の会議に付した案件
日程第一　独立行政法人男女共同参画機構法案（内閣提出）
日程第二　独立行政法人男女共同参画機構法の施行に伴う関係法律の整備等に関する法律案（内閣提出）
午後一時二分開議"	121705254X03420250612_003
121705254X03520250618	会議録	衆議院	本会議	第35号	20250618	"―――――――――――――
議事日程　第三十三号
令和七年六月十八日
午後一時開議
第一　手話に関する施策の推進に関する法律案（参議院提出）
―――――――――――――
○本日の会議に付した案件
財務金融委員長井林辰憲君解任決議案（笠浩史君外六名提出）
財務金融委員長の選挙
日程第一　手話に関する施策の推進に関する法律案（参議院提出）
午後一時二分開議"	121705254X03520250618_000
121705254X03620250620	会議録	衆議院	本会議	第36号	20250620	"―――――――――――――
令和七年六月二十日
午後一時　本会議
―――――――――――――
○本日の会議に付した案件
租税特別措置法及び東日本大震災の被災者等に係る国税関係法律の臨時特例に関する法律の一部を改正する法律案（重徳和彦君外九名提出）
裁判所の人的・物的充実に関する請願外五百請願
国家基本政策委員会及び懲罰委員会を除く内閣委員会外十四常任委員会並びに東日本大震災復興・防災・災害対策に関する特別委員会外六特別委員会において、各委員会から申出のあった案件について閉会中審査するの件（議長発議）
午後一時二分開議"	121705254X03620250620_005,121705254X03620250620_028
121715254X02220250528	会議録	参議院	本会議	第22号	20250528	"午前十時一分開議
━━━━━━━━━━━━━
○議事日程　第二十三号
令和七年五月二十八日
午前十時開議
第一　国会議員の選挙等の執行経費の基準に関する法律の一部を改正する法律案（内閣提出、衆議院送付）
第二　災害対策基本法等の一部を改正する法律案（内閣提出、衆議院送付）
第三　令和五年度一般会計原油価格・物価高騰対策及び賃上げ促進環境整備対応予備費使用総調書及び各省各庁所管使用調書（第二百十六回国会内閣提出、第二百十七回国会衆議院送付）
第四　令和五年度一般会計予備費使用総調書及び各省各庁所管使用調書（第二百十六回国会内閣提出、第二百十七回国会衆議院送付）
第五　令和五年度特別会計予備費使用総調書及び各省各庁所管使用調書（第二百十六回国会内閣提出、第二百十七回国会衆議院送付）
第六　令和五年度特別会計予算総則第二十一条第一項の規定による経費増額総調書及び各省各庁所管経費増額調書（第二百十六回国会内閣提出、第二百十七回国会衆議院送付）
第七　脱炭素成長型経済構造への円滑な移行の推進に関する法律及び資源の有効な利用の促進に関する法律の一部を改正する法律案（内閣提出、衆議院送付）
第八　人工知能関連技術の研究開発及び活用の推進に関する法律案（内閣提出、衆議院送付）
━━━━━━━━━━━━━
○本日の会議に付した案件
一、国際協同組合年に当たり協同組合の振興を図る決議案（山本順三君外十六名発議）（委員会審査省略要求）
一、日本学術会議法案（趣旨説明）
以下　議事日程のとおり
─────・─────"	121715254X02220250528_009,121715254X02220250528_021,121715254X02220250528_023,121715254X02220250528_024,121715254X02220250528_027,121715254X02220250528_032,121715254X02220250528_037,121715254X02220250528_048,121715254X02220250528_053
121715254X02320250530	会議録	参議院	本会議	第23号	20250530	"午前十時一分開議
━━━━━━━━━━━━━
○議事日程　第二十四号
令和七年五月三十日
午前十時開議
第一　譲渡担保契約及び所有権留保契約に関する法律案（内閣提出、衆議院送付）
第二　譲渡担保契約及び所有権留保契約に関する法律の施行に伴う関係法律の整備等に関する法律案（内閣提出、衆議院送付）
第三　航空法等の一部を改正する法律案（内閣提出、衆議院送付）
第四　保険業法の一部を改正する法律案（内閣提出、衆議院送付）
━━━━━━━━━━━━━
○本日の会議に付した案件
一、食品等の流通の合理化及び取引の適正化に関する法律及び卸売市場法の一部を改正する法律案（趣旨説明）
以下　議事日程のとおり
─────・─────"	121715254X02320250530_002,121715254X02320250530_006,121715254X02320250530_008,121715254X02320250530_011,121715254X02320250530_020,121715254X02320250530_025,121715254X02320250530_030
