speechID	speakerID	speakerGroup	speakerPosition	speech	previous_speechID	subsequent_speechID	topicID
121705254X02920250527_009	三原じゅん子	自由民主党	内閣府特命担当大臣（こども政策・少子化対策・若者活躍・男女共同参画・共生・共助）	"○国務大臣（三原じゅん子君）　協同組合は、持続可能な開発目標の実施と社会経済開発全体に対し貢献されており、様々な分野において社会課題の解決に取り組まれていると承知しております。
　今後、更に社会課題の解決に向けた取組が加速するよう、ただいまの御決議の趣旨を受け止め、取り組んでまいります。（拍手）
　　　　　――――◇―――――
　日程第一　盗難特定金属製物品の処分の防止等に関する法律案（内閣提出）"		121705254X02920250527_011	121705254X02920250527_009
121705254X02920250527_011	大岡敏孝	自由民主党・無所属の会		"○大岡敏孝君　ただいま議題となりました法律案につきまして、内閣委員会における審査の経過及び結果を御報告します。
　本案は、特定金属製物品の窃取を防止するためには盗難特定金属製物品の処分を防止することが重要であることに鑑み、特定金属くず買受業について買受けの相手方の氏名等の確認を義務づけるほか、指定金属切断工具を隠して携帯する行為を禁止する等の措置を講じるものです。
　本案は、去る五月二十日本委員会に付託され、翌二十一日坂井国家公安委員会委員長から趣旨の説明を聴取しました。次いで、二十三日に質疑を行い、質疑終局後、討論を行い、採決しましたところ、本案は賛成多数をもって原案のとおり可決すべきものと決しました。
　なお、本案に対し附帯決議が付されました。
　以上、御報告します。（拍手）
　　　　―――――――――――――"	121705254X02920250527_009		121705254X02920250527_009
121705254X02920250527_017	井上貴博	自由民主党・無所属の会		"○井上貴博君　ただいま議題となりました両法律案につきまして、提案の趣旨を御説明申し上げます。
　まず、貨物自動車運送事業法の一部を改正する法律案は、トラック事業に係る輸送の安全を確保し、その健全な発達を図るため、所要の措置を講じようとするものであります。その主な内容は、
　第一に、トラック事業の許可について、五年ごとの更新制を導入するとともに、独立行政法人に、更新事務を行わせることができること、
　第二に、国土交通大臣は、トラック事業の運賃及び料金に係る適正原価を定めることができることとし、これに伴い、標準的な運賃は廃止すること。また、トラック事業者及び貨物利用運送事業者は、運賃等が適正原価を下回らないようにしなければならないこと、
　第三に、トラック事業者等は、元請事業者として運送を引き受ける場合において、再委託の回数を二回以内に制限するよう努めなければならないこと、
　第四に、無許可等でトラック事業を経営する者への貨物の運送委託を禁止し、罰則を設けるとともに、荷主等に対し、勧告等を行うことができること
などであります。
　次に、貨物自動車運送事業の適正化のための体制の整備等の推進に関する法律案は、トラック事業の許可に係る更新制等の実現に向けて必要な体制の整備等を推進するため、その基本となる事項を定めようとするものであります。その主な内容は、
　第一に、基本方針として、独立行政法人に、許可の更新事務及びトラック事業の適正化等に資する取組への支援に関する業務を行わせることとし、これらの業務を実施するため、更新手数料のほか、必要な財源措置について検討すること、
　第二に、政府は、基本方針に基づく施策の実施に必要な法制上又は財政上の措置等について、本法律の施行後三年以内を目途として講じなければならないこと、
　第三に、政府は、物流に関する施策の総合的かつ集中的な推進を図るため、物流政策推進会議を設置すること
などであります。
　両案は、去る二十三日の国土交通委員会において、いずれも全会一致をもって委員会提出法律案として提出することに決したものであります。
　何とぞ速やかに御賛同くださいますようにお願い申し上げます。（拍手）
　　　　―――――――――――――"			121705254X02920250527_017
121705254X03020250530_002	額賀福志郎	無所属	議長	"○議長（額賀福志郎君）　日程第一、円滑な事業再生を図るための事業者の金融機関等に対する債務の調整の手続等に関する法律案を議題といたします。
　委員長の報告を求めます。経済産業委員長宮崎政久君。
　　　　―――――――――――――
　円滑な事業再生を図るための事業者の金融機関等に対する債務の調整の手続等に関する法律案及び同報告書
　　　　〔本号末尾に掲載〕
　　　　―――――――――――――
　　　　〔宮崎政久君登壇〕"		121705254X03020250530_003	121705254X03020250530_002
121705254X03020250530_003	宮崎政久	自由民主党・無所属の会		"○宮崎政久君　ただいま議題となりました法律案につきまして、経済産業委員会における審査の経過及び結果を御報告申し上げます。
　本案は、経済的に窮境に陥るおそれのある事業者が、早期で円滑に事業再生を行うことができるようにするため、当該事業者の申出により、経済産業大臣の指定を受けた公正な第三者機関の関与の下で、金融機関等である債権者の一定割合以上の多数決とその決議に対する裁判所の認可により、当該事業者がその債務に係る権利関係の調整を行うことができる手続等を整備するものであります。
　本案は、去る五月二十日本委員会に付託され、翌二十一日に武藤経済産業大臣から趣旨の説明を聴取いたしました。二十三日に質疑に入り、二十八日質疑を終局いたしました。
　質疑終局後、自由民主党・無所属の会、立憲民主党・無所属、日本維新の会、国民民主党・無所属クラブ、公明党及び有志の会の六派共同提案により、目的規定に、事業者が「その事業の価値の毀損並びに技術及び人材の散逸の回避を図った上で」との文言を追加すること等を内容とする修正案が提出され、趣旨の説明を聴取いたしました。
　次いで、討論、採決を行った結果、修正案及び修正部分を除く原案はいずれも賛成多数をもって可決され、本案は修正議決すべきものと決しました。
　なお、本案に対し附帯決議が付されました。
　以上、御報告申し上げます。（拍手）
　　　　―――――――――――――"	121705254X03020250530_002		121705254X03020250530_002
121705254X03020250530_006	額賀福志郎	無所属	議長	"○議長（額賀福志郎君）　日程第二、資金決済に関する法律の一部を改正する法律案を議題といたします。
　委員長の報告を求めます。財務金融委員長井林辰憲君。
　　　　―――――――――――――
　資金決済に関する法律の一部を改正する法律案及び同報告書
　　　　〔本号末尾に掲載〕
　　　　―――――――――――――
　　　　〔井林辰憲君登壇〕"		121705254X03020250530_007	121705254X03020250530_006
121705254X03020250530_007	井林辰憲	自由民主党・無所属の会		"○井林辰憲君　ただいま議題となりました法律案につきまして、財務金融委員会における審査の経過及び結果を御報告申し上げます。
　本案は、金融のデジタル化等の進展に対応し、利用者保護を確保しつつ、イノベーションを促進するため、暗号資産交換業者等に対する資産の国内保有命令の創設、暗号資産等の売買又は交換の媒介のみを行う者の登録制の創設、国境をまたぐ一定の収納代行に対し、資金移動業の規制を適用すること等の措置を講ずるものであります。
　本案は、去る五月十五日当委員会に付託され、翌十六日加藤国務大臣から趣旨の説明を聴取し、二十八日、質疑を行い、質疑を終局いたしました。
　質疑終局後、本案に対し、自由民主党・無所属の会、立憲民主党・無所属、日本維新の会、国民民主党・無所属クラブ及び公明党の共同提案により、検討規定について、検討の目途を施行後三年とするとともに、資金移動業の規制を適用する国境をまたぐ収納代行の範囲を検討の対象として明記する修正案が提出され、提出者から趣旨の説明を聴取いたしました。
　次いで、討論を行い、採決いたしましたところ、本案は賛成多数をもって修正議決すべきものと決しました。
　なお、本案に対し附帯決議が付されたことを申し添えます。
　以上、御報告申し上げます。（拍手）
　　　　―――――――――――――"	121705254X03020250530_006		121705254X03020250530_006
121705254X03020250530_013	竹内譲	公明党		"○竹内譲君　ただいま議題となりました法律案につきまして、提案の趣旨及び内容を御説明申し上げます。
　本案は、デジタル社会が進展するなど、近時の行政書士制度を取り巻く状況が大きく変化していることを踏まえ、行政書士の使命及び職責を明らかにする規定を設けるとともに、特定行政書士が行政庁に対する不服申立ての手続について代理等することができる範囲を拡大するほか、行政書士又は行政書士法人でない者による業務の制限違反等に対して両罰規定を設ける等の措置を講じようとするものであります。
　本案は、昨二十九日、総務委員会におきまして、全会一致をもって委員会提出の法律案とすることに決したものであります。
　何とぞ速やかに御賛同くださいますようお願い申し上げます。（拍手）
　　　　―――――――――――――"		121705254X03020250530_016	121705254X03020250530_013
121705254X03020250530_016	鈴木隼人	自由民主党・無所属の会		"○鈴木隼人君　議事日程追加の緊急動議を提出いたします。
　内閣提出、社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律案を議題とし、委員長の報告を求め、その審議を進められることを望みます。"	121705254X03020250530_013	121705254X03020250530_019	121705254X03020250530_013
121705254X03020250530_019	額賀福志郎	無所属	議長	"○議長（額賀福志郎君）　社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律案を議題といたします。
　委員長の報告を求めます。厚生労働委員長藤丸敏君。
　　　　―――――――――――――
　社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律案及び同報告書
　　　　〔本号末尾に掲載〕
　　　　―――――――――――――
　　　　〔藤丸敏君登壇〕"	121705254X03020250530_016	121705254X03020250530_020	121705254X03020250530_013
