topicID	issueID	summary	participants	tags	is_tariff_trump	is_palestine_recognition
121705254X02920250527_009	121705254X02920250527	盗難特定金属製物品の処分防止に関する法律案が賛成多数で可決された。内閣委員会からの趣旨説明を受け、買受け業者の氏名確認義務や切断工具の携帯禁止措置を盛り込んだ。	['三原じゅん子', '大岡敏孝']	['安全保障・防衛', '産業・企業支援', '刑事法制・犯罪対策']	False	False
121705254X02920250527_017	121705254X02920250527	トラック事業法改正案と適正化案の概要説明。更新制、適正原価設定、再委託制限、違反者への措置などを盛り込む。	['井上貴博']	['経済・財政政策', '産業・企業支援', '安全保障・防衛']	False	False
121705254X03020250530_002	121705254X03020250530	経済産業委員会において、事業再生のための債務調整手続等に関する法律案が可決された。修正案も賛成多数で可決され、附帯決議も付された。	['額賀福志郎', '宮崎政久']	['経済・財政政策', '金融・金融政策']	False	False
121705254X03020250530_006	121705254X03020250530	資金決済法改正案について、井林辰憲委員長が金融のデジタル化に対応し、暗号資産交換業者への規制強化などを提案した。修正議決が行われ、３年後の施行と規制対象範囲の検討を定めた。	['額賀福志郎', '井林辰憲']	['デジタル・情報通信', '金融・金融政策', '安全保障・防衛']	False	False
121705254X03020250530_013	121705254X03020250530	This is a collection of speeches delivered during a parliamentary discussion regarding a revised National Pension Law in Japan. The speeches reveal significant concerns about the law's potential negative impacts on retirees and younger generations, particularly regarding the continued use of the macroeconomic slide adjustment mechanism. Key criticisms include the lack of immediate action to halt the slide, concerns about long-term funding, and the potential for further reductions in benefits. The speakers advocate for alternative solutions such as immediate cessation of the slide, increased funding through the existing national pension fund, and the introduction of a basic pension guarantee.	[]	['年金・社会保障', '経済・財政政策', '憲法・皇室']	False	False
121705254X03120250603_004	121705254X03120250603	海洋再生可能エネルギー発電設備法とギャンブル等依存症対策基本法の一部改正案が議題となり、両案について内閣委員会でそれぞれ全会一致で可決された。	['額賀福志郎', '大岡敏孝']	['エネルギー政策', '産業・企業支援']	False	False
121705254X03220250605_007	121705254X03220250605	自殺対策基本法改正案について、全会一致で原案どおり可決された。子供の自殺対策を社会全体で取り組み、学校との連携や心の健康教育の推進を強化する内容。	['藤丸敏', '柘植']	['こども・子育て支援', '教育・文化', '人権問題']	False	False
121705254X03320250610_007	121705254X03320250610	スポーツ基本法とドーピング防止に関する法律案が審議された。スポーツを取り巻く環境変化に対応するため、基本理念の見直しや施策の拡充を提案。	['額賀福志郎', '中村裕之']	['スポーツ・文化', '人権問題']	False	False
121705254X03320250610_014	121705254X03320250610	社会保険労務士法改正案について、社会保険労務士の使命を明確化し、労務監査の包含、弁護士代理人改定などを提案。厚生労働委員会で賛成多数を得て委員会提出となった。	['藤丸敏']	['労働問題・働き方改革', '司法・法務', '行政改革・公務員制度']	False	False
121705254X03320250610_017	121705254X03320250610	北朝鮮関連貨物輸出・輸入承認措置について、宮崎政久委員が承認を求める議題に関する議論。	['額賀福志郎', '宮崎政久']	['安全保障・防衛', '外交・国際関係', '経済・財政政策']	False	False
