person_id,name_kanji,party,district
5,穀田恵二,日本共産党,近畿ブロック
6,萩生田光一,自由民主党,東京24区
11,林幹雄,自由民主党,千葉10区
13,西田昭二,自由民主党,石川3区
14,若宮健嗣,自由民主党,東京ブロック
55,丹羽秀樹,自由民主党,愛知6区
56,田村貴昭,日本共産党,九州ブロック
57,神谷裕,立憲民主党,北海道ブロック
58,稲津久,公明党,北海道10区
66,中川貴元,自由民主党,東海ブロック
69,重徳和彦,立憲民主党,愛知12区
74,茂木敏充,自由民主党,栃木5区
75,伊藤達也,自由民主党,東京22区
76,山下貴司,自由民主党,岡山2区
95,森英介,自由民主党,千葉11区
110,田野瀬太道,無所属,奈良3区
150,田所嘉徳,自由民主党,北関東ブロック
152,岸田文雄,自由民主党,広島1区
167,篠原豪,立憲民主党,神奈川1区
170,階猛,立憲民主党,岩手1区
184,薗浦健太郎,自由民主党,千葉5区
186,細野豪志,無所属,静岡5区
192,中山展宏,自由民主党,南関東ブロック
205,加藤鮎子,自由民主党,山形3区
221,福田昭夫,立憲民主党,栃木2区
225,柴山昌彦,自由民主党,埼玉8区
230,和田義明,自由民主党,北海道5区
232,武井俊輔,自由民主党,九州ブロック
240,渡辺周,立憲民主党,東海ブロック
248,吉田統彦,立憲民主党,東海ブロック
254,平林晃,公明党,中国ブロック
255,中島克仁,立憲民主党,南関東ブロック
256,泉健太,立憲民主党,京都3区
261,福重隆浩,公明党,北関東ブロック
268,玉木雄一郎,国民民主党,香川2区
273,松本洋平,自由民主党,東京ブロック
285,吉田豊史,日本維新の会,北陸信越ブロック
291,井出庸生,自由民主党,長野3区
311,伊藤信太郎,自由民主党,宮城4区
321,大口善徳,公明党,東海ブロック
333,小渕優子,自由民主党,群馬5区
335,大石晃子,れいわ新選組,比例近畿ブロック
350,江藤拓,自由民主党,宮崎2区
358,中川正春,立憲民主党,東海ブロック
361,掘井健智,日本維新の会,近畿ブロック
366,岩田和親,自由民主党,九州ブロック
369,山本左近,自由民主党,東海ブロック
379,小川淳也,立憲民主党,香川1区
386,日下正喜,公明党,中国ブロック
394,鈴木憲和,自由民主党,山形2区
397,野中厚,自由民主党,北関東ブロック
410,沢田良,日本維新の会,北関東ブロック
422,細田健一,自由民主党,新潟2区
430,井上英孝,日本維新の会,大阪1区
433,斎藤アレックス,国民民主党,比例近畿ブロック
447,赤木正幸,日本維新の会,近畿ブロック
452,木原誠二,自由民主党,東京20区
460,勝目康,自由民主党,京都1区
473,落合貴之,立憲民主党,東京6区
475,牧原秀樹,自由民主党,北関東ブロック
479,早坂敦,日本維新の会,東北ブロック
484,阿部俊子,自由民主党,比例中国ブロック
492,小林茂樹,自由民主党,近畿ブロック
498,高橋英明,日本維新の会,北関東ブロック
499,柚木道義,立憲民主党,中国ブロック
501,務台俊介,自由民主党,北陸信越ブロック
509,三木圭恵,日本維新の会,近畿ブロック
516,吉田知代,日本維新の会,比例四国ブロック
519,鈴木敦,国民民主党,南関東ブロック
526,宮沢博行,自由民主党,比例東海ブロック
531,盛山正仁,自由民主党,近畿ブロック
533,新谷正義,自由民主党,広島4区
540,緒方林太郎,無所属,福岡9区
559,中司宏,日本維新の会,大阪11区
561,渡辺博道,自由民主党,千葉6区
576,御法川信英,自由民主党,秋田3区
578,金村龍那,日本維新の会,南関東ブロック
581,辻清人,自由民主党,東京2区
589,篠原孝,立憲民主党,北陸信越ブロック
591,馬淵澄夫,立憲民主党,奈良1区
592,泉田裕彦,自由民主党,北陸信越ブロック
593,赤間二郎,自由民主党,神奈川14区
599,田中和徳,自由民主党,神奈川10区
610,小野寺五典,自由民主党,宮城6区
614,梅谷守,立憲民主党,新潟6区
640,八木哲也,自由民主党,愛知11区
648,石原宏高,自由民主党,東京ブロック
650,稲田朋美,自由民主党,福井1区
659,鈴木英敬,自由民主党,三重4区
660,勝俣孝明,自由民主党,静岡6区
664,下条みつ,立憲民主党,長野2区
666,小林鷹之,自由民主党,千葉2区
681,井坂信彦,立憲民主党,兵庫1区
684,上杉謙太郎,自由民主党,東北ブロック
688,高見康裕,自由民主党,島根2区
689,住吉寛紀,日本維新の会,兵庫11区
695,東国幹,自由民主党,北海道6区
702,古川直季,自由民主党,神奈川6区
708,安倍晋三,自由民主党,山口4区
709,山井和則,立憲民主党,京都6区
711,美延映夫,日本維新の会,大阪4区
744,神田潤一,自由民主党,青森2区
756,輿水恵一,公明党,北関東ブロック
761,中野洋昌,公明党,兵庫8区
767,奥下剛光,日本維新の会,大阪7区
771,小寺裕雄,自由民主党,滋賀4区
773,長島昭久,自由民主党,東京ブロック
776,古屋範子,公明党,南関東ブロック
780,古賀篤,自由民主党,福岡3区
790,近藤昭一,立憲民主党,愛知3区
793,湯原俊二,立憲民主党,中国ブロック
