person_id,party,topic,n_alltime,n_term_hor,chars_term_hor,searchword_segs,n_term_other_house
5,日本共産党,Defence,717,223,106519,562,0
5,日本共産党,NuclearPower,31,5,2682,9,0
5,日本共産党,FamilySeparate,0,0,0,0,0
5,日本共産党,LGBT,2,2,1360,5,0
6,自由民主党,Defence,116,67,62251,158,31
6,自由民主党,NuclearPower,109,54,38729,99,39
6,自由民主党,FamilySeparate,0,0,0,0,0
6,自由民主党,LGBT,0,0,0,0,0
11,自由民主党,Defence,31,0,0,0,0
11,自由民主党,NuclearPower,200,0,0,0,0
11,自由民主党,FamilySeparate,0,0,0,0,0
11,自由民主党,LGBT,0,0,0,0,0
13,自由民主党,Defence,11,3,1269,4,4
13,自由民主党,NuclearPower,15,0,0,0,0
13,自由民主党,FamilySeparate,0,0,0,0,0
13,自由民主党,LGBT,0,0,0,0,0
14,自由民主党,Defence,279,10,10272,36,2
14,自由民主党,NuclearPower,3,0,0,0,2
14,自由民主党,FamilySeparate,0,0,0,0,0
14,自由民主党,LGBT,1,0,0,0,1
55,自由民主党,Defence,3,0,0,0,0
55,自由民主党,NuclearPower,8,0,0,0,0
55,自由民主党,FamilySeparate,0,0,0,0,0
55,自由民主党,LGBT,0,0,0,0,0
56,日本共産党,Defence,273,151,77217,359,0
56,日本共産党,NuclearPower,47,6,4573,24,0
56,日本共産党,FamilySeparate,1,0,0,0,0
56,日本共産党,LGBT,0,0,0,0,0
57,立憲民主党,Defence,36,23,18312,38,0
57,立憲民主党,NuclearPower,5,2,4963,4,0
57,立憲民主党,FamilySeparate,0,0,0,0,0
57,立憲民主党,LGBT,0,0,0,0,0
58,公明党,Defence,49,24,26275,72,0
58,公明党,NuclearPower,85,1,578,1,0
58,公明党,FamilySeparate,0,0,0,0,0
58,公明党,LGBT,0,0,0,0,0
66,自由民主党,Defence,3,3,3174,5,0
66,自由民主党,NuclearPower,0,0,0,0,0
66,自由民主党,FamilySeparate,0,0,0,0,0
66,自由民主党,LGBT,0,0,0,0,0
69,立憲民主党,Defence,264,108,70316,255,0
69,立憲民主党,NuclearPower,20,1,769,1,0
69,立憲民主党,FamilySeparate,0,0,0,0,0
69,立憲民主党,LGBT,0,0,0,0,0
